Date,SP500_Returns,VIX,Inflation_YoY,Unemployment,Fed_Rate,Consumer_Sentiment,Industrial_Production,CPI,cumret_5,cumret_10,cumret_20,cumret_30
1991-01-11,-1.797504365629865,31.318,6.279809220985677,6.1,6.91,66.8,107.5,133.7,17.076415536654068,16.575198483327846,23.66525171652296,22.80556470683792
1991-01-18,5.392887544814795,31.68,6.597774244833077,6.1,6.91,66.8,107.1,134.1,10.059290794031117,12.939827472763765,14.20701927237853,16.05814460516417
1991-01-25,1.1558246428401864,23.47,6.175771971496435,6.1,6.91,66.8,107.1,134.1,9.224268552502291,11.691009959552655,13.753087217959603,17.288066425833826
1991-02-01,2.0769423979022816,21.908,6.175771971496435,6.2,6.25,70.4,107.1,134.1,9.298943462815167,10.887627877152518,10.115147483396125,15.268913204108303
1991-02-08,4.751499457969355,22.596,6.175771971496435,6.2,6.25,70.4,107.1,134.1,3.9627076645361248,6.915265251549019,3.286488759705697,8.27883664803113
1991-02-15,2.7020985919452123,21.346,6.175771971496435,6.2,6.25,70.4,106.5,134.1,-0.4281110341726513,2.6987458735613146,1.3602094637402917,3.9370289046267715
1991-02-22,-0.923970000722707,20.9725,6.730007917656389,6.2,6.25,70.4,106.5,134.8,2.6172589864524864,4.143304840522766,3.9928911109591514,6.090529168053083
1991-03-01,0.3883531933372319,21.4325,5.5599060297572445,6.2,6.25,70.4,106.5,134.8,2.258418792582395,2.3619426096282314,4.672131624563991,5.129807992085156
1991-03-08,2.1467307940123748,20.744,5.5599060297572445,6.5,6.12,87.7,106.5,134.8,1.4535222061664577,-0.6827570276702111,1.5948740562909736,1.680220719526182
1991-03-15,-0.3627192491967967,17.125999999999998,5.5599060297572445,6.5,6.12,87.7,105.7,134.8,2.8400160531987018,1.0439235350822695,3.637676723441796,2.103914972613885
1991-03-22,-1.6354788435063885,16.258,5.794831636648379,6.5,6.12,87.7,105.7,135.1,3.1403008823173817,6.081956818807432,5.344504066532707,6.808530604567364
1991-03-29,2.1062343537001205,16.625,5.300077942322679,6.5,6.12,87.7,105.7,135.1,1.4871239683684756,1.1220061407658521,2.761042939570979,2.393265539447076
1991-04-05,0.0373072145418484,17.613999999999997,5.300077942322679,6.8,5.91,81.8,105.7,135.1,0.10123745141785712,1.8462338724967164,5.0111969336727125,4.25192417825464
1991-04-12,1.342713326302314,18.59,5.222135619641466,6.8,5.91,81.8,105.7,135.0,-2.105672811926129,-0.696633527603463,3.9511038434419055,3.283391417548742
1991-04-19,0.9989533048154976,15.946000000000002,5.222135619641466,6.8,5.91,81.8,105.3,135.0,-1.7464918686781683,-3.394067707081483,1.2753757784483843,-0.4112485787721609
1991-04-26,-1.3482621105613268,16.988,4.732350659425899,6.8,5.91,81.8,105.3,135.0,2.852091676411228,-1.3033619821112064,1.205743089199962,-0.7598476198389492
1991-05-03,0.469631900926637,17.808,4.732350659425899,6.6,5.78,78.3,105.3,135.0,-0.3597676368446767,-0.14442957211117102,1.8697546909157037,-1.46533265523614
1991-05-10,-1.3287809140752227,17.574,4.732350659425899,6.6,5.78,78.3,105.3,135.0,1.7432316178166651,2.2568827398538494,2.703998489958903,0.8942396222038296
1991-05-17,-0.891567486294953,17.584,4.965089216446872,6.6,5.78,78.3,105.1,135.3,1.4393472275626928,2.2932886735446356,2.379222052966967,3.243907220141251
1991-05-24,1.369525332399757,16.134,4.802478698683199,6.6,5.78,78.3,105.1,135.3,-1.6768620986043925,2.566956129191622,1.049040259371492,2.529873256935189
1991-05-31,3.268959881619371,15.88,4.802478698683199,6.6,5.78,78.3,105.1,135.3,-4.040222800325877,-0.6951726517774537,0.6849174049465612,4.2659634855282125
1991-06-07,-2.667828092941349,16.669999999999998,4.802478698683199,6.9,5.9,82.1,105.1,135.3,0.21611557864364972,1.6208507538147066,1.2571540530076808,10.518410360936414
1991-06-14,0.7537664191940907,17.095999999999997,5.112316034082109,6.9,5.9,82.1,105.8,135.7,0.5048504100662488,3.1075896877426734,2.362080770477659,8.58248890246327
1991-06-21,-1.187582317989977,16.468,4.949729311678253,6.9,5.9,82.1,105.8,135.7,0.8418246659910533,4.680342204045296,4.007945638236254,10.882855155939719
1991-06-28,-1.744539070255624,18.306,4.949729311678253,6.9,5.9,82.1,105.8,135.7,4.316194863565048,4.833495598770954,3.0876148674443327,11.940943767358636
1991-07-05,0.7867180949848507,18.5225,4.949729311678253,7.0,5.82,82.9,105.8,135.7,3.4858877814899714,2.542239656487988,0.5506918707542496,9.276094271974067
1991-07-12,1.6493834605456614,18.984,4.949729311678253,7.0,5.82,82.9,105.8,135.7,1.4017058704183016,2.0170975483850606,-1.3228136171721139,8.110452685835746
1991-07-19,1.044050288153353,16.812,5.181747873163167,7.0,5.82,82.9,106.9,136.0,2.5896653415801163,0.4372475848325674,-1.3325686067671594,7.355163623923855
1991-07-26,-0.8562824773487132,16.216,4.615384615384621,7.0,5.82,82.9,106.9,136.0,3.8064737035136353,0.08400685962552945,0.929306857686818,8.00672054877003
1991-08-02,1.640721423928282,15.41,4.615384615384621,6.8,5.66,82.0,106.9,136.0,0.4958968603892,-1.4799267981670416,-0.0361547945419427,6.591254717187844
1991-08-09,-0.0154960379484259,15.69,4.615384615384621,6.8,5.66,82.0,106.9,136.0,-0.9118616511214594,1.3897512271831447,4.995866031677343,4.474066837848456
1991-08-16,-0.3978116770888329,15.256,4.846153846153856,6.8,5.66,82.0,107.6,136.3,0.6068849361895223,-0.35789574492754994,8.755643690365055,5.254424625544685
1991-08-23,2.2278196884212065,16.934,4.444444444444451,6.8,5.66,82.0,107.6,136.3,-2.0980843924004566,-0.723039806790915,5.309889632083475,4.345833975616453
1991-08-30,0.3196537547567324,14.972,4.444444444444451,6.8,5.66,82.0,107.6,136.3,-3.5859679180703097,-0.6423331751231665,5.925193614484314,2.0408182165472244
1991-09-06,-1.600785648410763,16.955,4.444444444444451,6.8,5.45,83.0,107.6,136.3,-1.9660739595180554,-1.6653844473608514,6.779749285276093,3.199686839927951
1991-09-13,-1.4160908967344343,17.6,4.674329501915708,6.8,5.45,83.0,107.6,136.6,2.3227935418474566,-1.9421730912113189,6.566908074218203,5.396390000952356
1991-09-20,1.128813871889811,17.54,4.674329501915708,6.8,5.45,83.0,108.2,136.6,-0.9589608919200687,-3.2738739346834356,5.972876394136506,7.248915792901212
1991-09-27,-0.5207309397111892,15.951999999999998,3.878326996197723,6.8,5.45,83.0,108.2,136.6,1.4045124419432842,-1.7621114020521689,6.88779930299086,5.991188256766189
1991-10-04,-1.2049738196502011,15.828,3.878326996197723,6.7,5.21,78.3,108.2,136.6,3.0531185963114993,0.8445904841188678,7.916063652663929,8.20458984375001
1991-10-11,0.0524622182377143,18.066,3.878326996197723,6.7,5.21,78.3,108.2,136.6,0.3067198512819225,1.465459734959107,8.192423384440485,9.070644770921765
1991-10-18,2.896837708572786,15.815,4.258555133079844,6.7,5.21,78.3,108.1,137.1,-4.16814913415603,3.556685721038999,3.042038838574812,4.4815277293988265
1991-10-25,-2.1146465714570017,16.168,3.471698113207533,6.7,5.21,78.3,108.1,137.1,-2.337327095525743,9.146273559180319,5.632478772332328,7.761576225711209
1991-11-01,1.8532001277893784,15.508,3.471698113207533,6.8,4.81,69.1,108.1,137.1,-3.12276423182688,6.076867610705738,5.105790681485889,6.140753942945554
1991-11-08,0.4012080381359029,16.14,3.471698113207533,6.8,4.81,69.1,108.1,137.1,-2.143096824506663,6.609984915590994,2.7004975835429157,5.240651472477542
1991-11-15,-2.613968069521877,15.7825,3.547169811320749,6.8,4.81,69.1,108.2,137.2,1.1551966661806468,8.588159607047263,4.947465610097912,7.093203438080931
1991-11-22,-1.6935812428635175,19.866,2.925731432858192,6.8,4.81,69.1,108.2,137.2,8.060821934879602,8.677615478206047,7.483913649228446,7.319082710470992
1991-11-29,-0.244593340752186,20.455,2.925731432858192,6.8,4.81,69.1,108.2,137.2,11.758433711862871,9.559723628935423,10.878952931991591,7.523589066277725
1991-12-06,1.0340613160784828,19.73,2.925731432858192,6.8,4.43,68.2,108.2,137.2,9.496174998786433,8.805065772987032,7.892372046542828,8.617774303394565
1991-12-13,1.4165114826511394,19.432,3.3758439609902435,6.8,4.43,68.2,108.2,137.8,8.944776971329382,7.012248385954467,7.298358121440485,7.841962650078571
1991-12-20,0.6684545780057949,17.826,3.3758439609902435,6.8,4.43,68.2,107.8,137.8,7.348078186626372,6.62980650465006,7.495343790713016,7.384246057587718
1991-12-27,5.017564717189238,15.855,3.0665669409125185,6.8,4.43,68.2,107.8,137.8,0.5707836867075988,-0.4969711794857612,0.8930780296031893,1.26458071064679
1992-01-03,3.1688247683870685,18.66,3.0665669409125185,6.8,4.03,67.5,107.8,137.8,-1.9673773243782056,-3.2193447126188657,-1.2686620333568377,1.1613476319257021
1992-01-10,-1.011110380932645,18.864,3.0665669409125185,7.1,4.03,67.5,107.8,137.8,-0.6311720256959363,-0.9154464598102652,0.06022645057195408,0.9106236385731048
1992-01-17,0.9058008173358668,17.274,3.365744203440535,7.1,4.03,67.5,107.8,138.2,-1.773860701815455,-3.6670930355570674,-1.2844326393982919,0.2506847985647598
1992-01-24,-0.8069461116934962,16.8425,3.05741983594332,7.1,4.03,67.5,107.8,138.2,-0.6691053012868986,-3.352754121742274,-1.3767211585279715,-0.15163301871418122
1992-01-31,-1.6125955593208396,17.369999999999997,3.05741983594332,7.1,4.03,67.5,107.8,138.2,-1.0616948849872299,-1.0983879465196522,-1.250057577871233,1.482459410120418
1992-02-07,0.5650955441782513,18.336,3.05741983594332,7.1,4.06,68.8,107.8,138.2,-1.2770926188349296,1.2041188671890302,-1.858469969816523,1.457099488612057
1992-02-14,0.3381290376365697,17.622,3.05741983594332,7.1,4.06,68.8,106.7,138.2,-0.2860800916237527,-0.8388338538836138,-0.17213488017475687,1.7212896132736244
1992-02-21,-0.2545622290971328,17.2425,3.1319910514541416,7.1,4.06,68.8,106.7,138.3,-1.9274221172373873,0.2673616710249238,0.7753451372516373,2.7951292333377564
1992-02-28,0.3086842364092845,16.662,2.596439169139475,7.1,4.06,68.8,106.7,138.3,-2.701726213778022,0.811721707499502,0.707531578334808,0.3998046638429953
1992-03-06,-2.001456147639113,18.05,2.596439169139475,7.3,3.98,76.0,106.7,138.3,-0.037086810300379636,1.396991855993024,1.77035001950554,1.4909501391793478
1992-03-13,0.3461561388669043,19.244,2.596439169139475,7.3,3.98,76.0,106.7,138.3,2.5133087667729592,2.015570852945414,4.526413188189848,-0.7835582260191654
1992-03-20,1.3453556831131808,17.056,2.664692820133241,7.3,3.98,76.0,107.2,138.7,-0.5543396175456516,0.9846871944439117,1.8429412387094501,0.10455220182878922
1992-03-27,-1.89642305481782,16.31,2.664692820133241,7.3,3.98,76.0,107.2,138.7,2.2379179130847193,2.4733608392386586,4.066915405727234,2.627015143374356
