train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique,val_dir_acc,val_sharpe,val_composite
1.4953497648239136,0,49,,,,,,,,,,,,
1.64319908618927,0,99,,,,,,,,,,,,
,0,107,0.7269731760025024,2.0,1.1934597492218018,1.1934597492218018,1.2377138137817383,,,,,,,
,0,107,,,,,,1.413078784942627,0.0,100.0,1.0,0.0,0.0,0.0
1.6135547161102295,1,149,,,,,,,,,,,,
1.6963104009628296,1,199,,,,,,,,,,,,
,1,215,0.6212983727455139,2.0,1.154998540878296,1.154998540878296,1.1978263854980469,,,,,,,
,1,215,,,,,,1.1935595273971558,0.0,100.0,1.0,0.0,0.0,0.0
0.8589913845062256,2,249,,,,,,,,,,,,
1.2430927753448486,2,299,,,,,,,,,,,,
,2,323,0.5453760623931885,2.0,1.1757041215896606,1.1757041215896606,1.2192997932434082,,,,,,,
,2,323,,,,,,1.0348402261734009,0.0,100.0,1.0,0.0,0.0,0.0
0.7440594434738159,3,349,,,,,,,,,,,,
0.5625847578048706,3,399,,,,,,,,,,,,
,3,431,0.54679274559021,2.0,1.182128667831421,1.182128667831421,1.225962519645691,,,,,,,
,3,431,,,,,,0.9830387234687805,0.0,100.0,1.0,0.0,0.0,0.0
0.7395870685577393,4,449,,,,,,,,,,,,
1.3844013214111328,4,499,,,,,,,,,,,,
,4,539,0.5303347706794739,2.0,1.1566356420516968,1.1566356420516968,1.1995242834091187,,,,,,,
,4,539,,,,,,0.9648873209953308,0.0,100.0,1.0,0.0,0.0,0.0
0.7875339984893799,5,549,,,,,,,,,,,,
0.7114770412445068,5,599,,,,,,,,,,,,
,5,647,0.5328472256660461,2.0,1.188690423965454,1.188690423965454,1.2327675819396973,,,,,,,
,5,647,,,,,,0.9549156427383423,0.0,100.0,1.0,0.0,0.0,0.0
0.9348982572555542,6,649,,,,,,,,,,,,
0.9213117361068726,6,699,,,,,,,,,,,,
0.8117428421974182,6,749,,,,,,,,,,,,
,6,755,0.5407379865646362,2.0,1.2128764390945435,1.2128764390945435,1.2578505277633667,,,,,,,
,6,755,,,,,,0.9460116028785706,0.0,100.0,1.0,0.0,0.0,0.0
0.5351186990737915,7,799,,,,,,,,,,,,
1.1286994218826294,7,849,,,,,,,,,,,,
,7,863,0.5431208610534668,2.0,1.2494304180145264,1.2494304180145264,1.295759916305542,,,,,,,
,7,863,,,,,,0.9431479573249817,0.0,100.0,1.0,0.0,0.0,0.0
0.7767999172210693,8,899,,,,,,,,,,,,
1.2820037603378296,8,949,,,,,,,,,,,,
,8,971,0.5521062016487122,2.0,1.257530927658081,1.257530927658081,1.3041608333587646,,,,,,,
,8,971,,,,,,0.9376609325408936,0.0,100.0,1.0,0.0,0.0,0.0
0.7579864263534546,9,999,,,,,,,,,,,,
0.702621340751648,9,1049,,,,,,,,,,,,
,9,1079,0.5610519647598267,2.0,1.3337879180908203,1.3337879180908203,1.3832454681396484,,,,,,,
,9,1079,,,,,,0.9357367157936096,0.0,100.0,1.0,0.0,0.0,0.0
0.5778684616088867,10,1099,,,,,,,,,,,,
0.764715850353241,10,1149,,,,,,,,,,,,
,10,1187,0.5428580045700073,2.0,1.176904320716858,1.176904320716858,1.220544457435608,,,,,,,
,10,1187,,,,,,0.9312130808830261,0.0,100.0,1.0,0.0,0.0,0.0
0.7116588354110718,11,1199,,,,,,,,,,,,
1.074252724647522,11,1249,,,,,,,,,,,,
,11,1295,0.538783073425293,2.0,1.179506540298462,1.179506540298462,1.223243236541748,,,,,,,
,11,1295,,,,,,0.9286022186279297,0.0,100.0,1.0,0.0,0.0,0.0
0.9030303955078125,12,1299,,,,,,,,,,,,
1.3509042263031006,12,1349,,,,,,,,,,,,
0.9100930690765381,12,1399,,,,,,,,,,,,
,12,1403,0.5452350378036499,2.0,1.2019789218902588,1.2019789218902588,1.2465488910675049,,,,,,,
,12,1403,,,,,,0.924723744392395,0.0,100.0,1.0,0.0,0.0,0.0
0.8689290285110474,13,1449,,,,,,,,,,,,
1.356857180595398,13,1499,,,,,,,,,,,,
,13,1511,0.5527002811431885,2.0,1.2217118740081787,1.2217118740081787,1.2670135498046875,,,,,,,
,13,1511,,,,,,0.9280295968055725,0.0,100.0,1.0,0.0,0.0,0.0
0.5926414728164673,14,1549,,,,,,,,,,,,
0.8082132339477539,14,1599,,,,,,,,,,,,
,14,1619,0.563431978225708,2.0,1.1971509456634521,1.1971509456634521,1.241541862487793,,,,,,,
,14,1619,,,,,,0.9201324582099915,0.0,100.0,1.0,0.0,0.0,0.0
