train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique,val_dir_acc,val_sharpe,val_composite
0.7292034029960632,0,49,,,,,,,,,,,,
,0,93,0.6449050903320312,1.7450393438339233,0.6991094350814819,0.9627044200897217,1918.085693359375,,,,,,,
,0,93,,,,,,0.7737592458724976,0.039175428450107574,85.14376831054688,1241.0,0.5311501622200012,14.34395694732666,0.44990792870521545
0.8554372191429138,1,99,,,,,,,,,,,,
0.5808107256889343,1,149,,,,,,,,,,,,
,1,187,0.5334442853927612,1.5711017847061157,0.698698878288269,0.961469829082489,6406.73486328125,,,,,,,
,1,187,,,,,,0.6365139484405518,0.026039689779281616,100.0,1238.0,0.5455271601676941,56.51390838623047,0.4215635061264038
0.5182703733444214,2,199,,,,,,,,,,,,
0.5820192098617554,2,249,,,,,,,,,,,,
,2,281,0.4904443323612213,1.6107994318008423,0.6975049376487732,0.9607074856758118,5255.77001953125,,,,,,,
,2,281,,,,,,0.5502827763557434,0.018942788243293762,100.0,1238.0,0.5455271601676941,63.1563720703125,0.4215635061264038
0.4944808781147003,3,299,,,,,,,,,,,,
0.5227081179618835,3,349,,,,,,,,,,,,
,3,375,0.4642440378665924,1.6921156644821167,0.6972635984420776,0.9607887864112854,3117.3857421875,,,,,,,
,3,375,,,,,,0.505763590335846,0.015933023765683174,100.0,1222.0,0.5455271601676941,50.01445388793945,0.4215635061264038
0.5041964054107666,4,399,,,,,,,,,,,,
0.42572468519210815,4,449,,,,,,,,,,,,
,4,469,0.4516497850418091,1.6606972217559814,0.6970884203910828,0.9604983329772949,3700.00244140625,,,,,,,
,4,469,,,,,,0.4812416434288025,0.013508215546607971,100.0,1219.0,0.5455271601676941,68.56944274902344,0.4215635061264038
0.5403188467025757,5,499,,,,,,,,,,,,
0.4257371127605438,5,549,,,,,,,,,,,,
,5,563,0.44601255655288696,1.632204532623291,0.6970047950744629,0.9603219032287598,4343.552734375,,,,,,,
,5,563,,,,,,0.4666208326816559,0.012787279672920704,100.0,1227.0,0.5455271601676941,83.32328033447266,0.4215635061264038
0.5205821990966797,6,599,,,,,,,,,,,,
0.47389674186706543,6,649,,,,,,,,,,,,
,6,657,0.43963539600372314,1.7428776025772095,0.697263777256012,0.9609307646751404,1851.788330078125,,,,,,,
,6,657,,,,,,0.4584144949913025,0.014393193647265434,100.0,1221.0,0.5455271601676941,42.70170974731445,0.4215635061264038
0.5396815538406372,7,699,,,,,,,,,,,,
0.3806473910808563,7,749,,,,,,,,,,,,
,7,751,0.4344671070575714,1.6977633237838745,0.6967791318893433,0.9603728652000427,2624.273681640625,,,,,,,
,7,751,,,,,,0.4525405466556549,0.015374425798654556,100.0,1233.0,0.5455271601676941,50.64599609375,0.4215635061264038
0.499046266078949,8,799,,,,,,,,,,,,
,8,845,0.4306780993938446,1.6778653860092163,0.6963756680488586,0.9599558711051941,3412.583984375,,,,,,,
,8,845,,,,,,0.4488237202167511,0.010801817290484905,100.0,1218.0,0.5455271601676941,76.88505554199219,0.4215635061264038
0.4238886833190918,9,849,,,,,,,,,,,,
0.43019944429397583,9,899,,,,,,,,,,,,
,9,939,0.4276382029056549,1.6398736238479614,0.696273922920227,0.9597241282463074,4739.916015625,,,,,,,
,9,939,,,,,,0.4464424252510071,0.00818137638270855,100.0,1185.0,0.5455271601676941,121.33097076416016,0.4215635061264038
0.42264261841773987,10,949,,,,,,,,,,,,
0.3964923024177551,10,999,,,,,,,,,,,,
,10,1033,0.42466554045677185,1.6755595207214355,0.6966748833656311,0.9602073431015015,4332.25537109375,,,,,,,
,10,1033,,,,,,0.44351038336753845,0.008681506849825382,100.0,1211.0,0.5455271601676941,93.76754760742188,0.4215635061264038
0.5596824884414673,11,1049,,,,,,,,,,,,
0.4538586139678955,11,1099,,,,,,,,,,,,
,11,1127,0.42190390825271606,1.6999385356903076,0.6968160271644592,0.9604173302650452,3925.993896484375,,,,,,,
,11,1127,,,,,,0.4411980211734772,0.009464211761951447,100.0,1220.0,0.5455271601676941,74.24964141845703,0.4215635061264038
0.4763927459716797,12,1149,,,,,,,,,,,,
0.38351958990097046,12,1199,,,,,,,,,,,,
,12,1221,0.42138978838920593,1.5443403720855713,0.6989269852638245,0.9614887833595276,8914.37890625,,,,,,,
,12,1221,,,,,,0.44004082679748535,0.013051060028374195,100.0,1227.0,0.5455271601676941,124.09368133544922,0.4215635061264038
0.35616323351860046,13,1249,,,,,,,,,,,,
0.4481598734855652,13,1299,,,,,,,,,,,,
,13,1315,0.41872426867485046,1.6425038576126099,0.697067379951477,0.9604809284210205,5771.73974609375,,,,,,,
,13,1315,,,,,,0.43790337443351746,0.01431200746446848,100.0,1235.0,0.5455271601676941,67.94461059570312,0.4215635061264038
0.38082602620124817,14,1349,,,,,,,,,,,,
0.48739534616470337,14,1399,,,,,,,,,,,,
,14,1409,0.4182218015193939,1.6420717239379883,0.6970567107200623,0.9604606032371521,5766.828125,,,,,,,
,14,1409,,,,,,0.4357403814792633,0.014190689660608768,100.0,1222.0,0.5455271601676941,68.1937255859375,0.4215635061264038
0.3727792799472809,15,1449,,,,,,,,,,,,
0.49862632155418396,15,1499,,,,,,,,,,,,
,15,1503,0.41610631346702576,1.582852840423584,0.6977837681770325,0.9607006907463074,7519.13916015625,,,,,,,
,15,1503,,,,,,0.4348229765892029,0.012314492836594582,100.0,1227.0,0.5455271601676941,108.43653106689453,0.4215635061264038
0.4508257508277893,16,1549,,,,,,,,,,,,
,16,1597,0.4143258035182953,1.6506119966506958,0.6966481804847717,0.9601155519485474,5284.93359375,,,,,,,
,16,1597,,,,,,0.43449583649635315,0.012018008157610893,100.0,1228.0,0.5455271601676941,78.37467193603516,0.4215635061264038
0.3584890067577362,17,1599,,,,,,,,,,,,
0.38254421949386597,17,1649,,,,,,,,,,,,
,17,1691,0.4142056703567505,1.6783208847045898,0.6966551542282104,0.9602727293968201,4597.5126953125,,,,,,,
,17,1691,,,,,,0.43227797746658325,0.01125200092792511,100.0,1229.0,0.5455271601676941,70.97073364257812,0.4215635061264038
0.4495398998260498,18,1699,,,,,,,,,,,,
0.4217764735221863,18,1749,,,,,,,,,,,,
,18,1785,0.41234713792800903,1.6577577590942383,0.6965194940567017,0.9600604772567749,4922.8193359375,,,,,,,
,18,1785,,,,,,0.4322313666343689,0.009851109236478806,100.0,1227.0,0.5455271601676941,91.36785125732422,0.4215635061264038
0.3307114541530609,19,1799,,,,,,,,,,,,
0.4031236171722412,19,1849,,,,,,,,,,,,
,19,1879,0.4105183780193329,1.6409894227981567,0.6964403986930847,0.959931492805481,5199.06494140625,,,,,,,
,19,1879,,,,,,0.43082988262176514,0.009682121686637402,100.0,1223.0,0.5455271601676941,102.300537109375,0.4215635061264038
0.3868083953857422,20,1899,,,,,,,,,,,,
0.3539465665817261,20,1949,,,,,,,,,,,,
,20,1973,0.409848153591156,1.7170501947402954,0.6966859102249146,0.9604306221008301,3573.876708984375,,,,,,,
,20,1973,,,,,,0.4301542341709137,0.009048908948898315,100.0,1219.0,0.5455271601676941,70.7503433227539,0.4215635061264038
0.35533756017684937,21,1999,,,,,,,,,,,,
0.3720782399177551,21,2049,,,,,,,,,,,,
,21,2067,0.409334659576416,1.725142478942871,0.6968069076538086,0.9605655074119568,3355.78955078125,,,,,,,
,21,2067,,,,,,0.42927753925323486,0.008229033090174198,99.92012786865234,1210.0,0.5447284579277039,73.7266616821289,0.4211638271808624
0.4058091938495636,22,2099,,,,,,,,,,,,
0.3331151008605957,22,2149,,,,,,,,,,,,
,22,2161,0.40805789828300476,1.7903141975402832,0.6974359750747681,0.961227536201477,2373.88671875,,,,,,,
,22,2161,,,,,,0.4285370111465454,0.009046436287462711,97.92332458496094,1223.0,0.5471246242523193,44.023193359375,0.4284789562225342
0.3308101296424866,23,2199,,,,,,,,,,,,
0.3849940001964569,23,2249,,,,,,,,,,,,
,23,2255,0.406110018491745,1.608825445175171,0.6966047883033752,0.9599132537841797,5913.9130859375,,,,,,,
,23,2255,,,,,,0.42766112089157104,0.008677949197590351,100.0,1217.0,0.5455271601676941,135.1531982421875,0.4215635061264038
0.44967132806777954,24,2299,,,,,,,,,,,,
0.3653601109981537,24,2349,,,,,,,,,,,,
,24,2349,0.40456637740135193,1.6461617946624756,0.6962043642997742,0.9597198963165283,4801.96142578125,,,,,,,
,24,2349,,,,,,0.427455872297287,0.012508220970630646,100.0,1225.0,0.5455271601676941,78.59923553466797,0.4215635061264038
0.44753405451774597,25,2399,,,,,,,,,,,,
,25,2443,0.4039335250854492,1.592079997062683,0.6969508528709412,0.9601331949234009,6483.58642578125,,,,,,,
,25,2443,,,,,,0.4268759489059448,0.008602878078818321,100.0,1204.0,0.5455271601676941,147.95851135253906,0.4215635061264038
0.3919489085674286,26,2449,,,,,,,,,,,,
0.3145585358142853,26,2499,,,,,,,,,,,,
,26,2537,0.40340304374694824,1.6696170568466187,0.696165144443512,0.9596735239028931,4112.705078125,,,,,,,
,26,2537,,,,,,0.4261853098869324,0.015007884241640568,100.0,1223.0,0.5455271601676941,58.8582763671875,0.4215635061264038
0.4859005808830261,27,2549,,,,,,,,,,,,
0.4052519202232361,27,2599,,,,,,,,,,,,
,27,2631,0.4030037820339203,1.6246334314346313,0.6958866715431213,0.9593309164047241,4922.22265625,,,,,,,
,27,2631,,,,,,0.4259244203567505,0.019455069676041603,100.0,1238.0,0.5455271601676941,57.9200325012207,0.4215635061264038
0.3978143334388733,28,2649,,,,,,,,,,,,
0.46083250641822815,28,2699,,,,,,,,,,,,
,28,2725,0.40161651372909546,1.6495782136917114,0.6962538957595825,0.9596498012542725,4533.4013671875,,,,,,,
,28,2725,,,,,,0.4258134663105011,0.015581742860376835,100.0,1228.0,0.5455271601676941,62.997596740722656,0.4215635061264038
0.4474451243877411,29,2749,,,,,,,,,,,,
0.41771072149276733,29,2799,,,,,,,,,,,,
,29,2819,0.4000266194343567,1.6579478979110718,0.6960970163345337,0.9595238566398621,4181.564453125,,,,,,,
,29,2819,,,,,,0.42491382360458374,0.018660277128219604,100.0,1230.0,0.5455271601676941,51.19686508178711,0.4215635061264038
0.4657747745513916,30,2849,,,,,,,,,,,,
0.46496152877807617,30,2899,,,,,,,,,,,,
,30,2913,0.3998151421546936,1.6854196786880493,0.6962041854858398,0.9596788883209229,3588.077392578125,,,,,,,
,30,2913,,,,,,0.42506375908851624,0.01906229369342327,100.0,1227.0,0.5455271601676941,43.72810363769531,0.4215635061264038
0.447908490896225,31,2949,,,,,,,,,,,,
0.5579816102981567,31,2999,,,,,,,,,,,,
,31,3007,0.39963778853416443,1.6129577159881592,0.6961386799812317,0.9594002962112427,5203.13037109375,,,,,,,
,31,3007,,,,,,0.4238148629665375,0.022825509309768677,100.0,1233.0,0.5455271601676941,52.759422302246094,0.4215635061264038
0.3847903609275818,32,3049,,,,,,,,,,,,
0.2928925156593323,32,3099,,,,,,,,,,,,
,32,3101,0.39905399084091187,1.7290388345718384,0.6965240240097046,0.9599765539169312,2695.490966796875,,,,,,,
,32,3101,,,,,,0.42367273569107056,0.020881982520222664,100.0,1231.0,0.5455271601676941,32.139259338378906,0.4215635061264038
0.4219793677330017,33,3149,,,,,,,,,,,,
,33,3195,0.39878207445144653,1.6509451866149902,0.696252703666687,0.9595578908920288,4338.58984375,,,,,,,
,33,3195,,,,,,0.42419734597206116,0.016512751579284668,100.0,1226.0,0.5455271601676941,59.39151382446289,0.4215635061264038
0.32035842537879944,34,3199,,,,,,,,,,,,
0.5132876634597778,34,3249,,,,,,,,,,,,
,34,3289,0.39852261543273926,1.5917365550994873,0.6965833902359009,0.9596788883209229,5971.3095703125,,,,,,,
,34,3289,,,,,,0.4238065481185913,0.014957000501453876,100.0,1223.0,0.5455271601676941,87.14580535888672,0.4215635061264038
0.4156123399734497,35,3299,,,,,,,,,,,,
0.3915121257305145,35,3349,,,,,,,,,,,,
,35,3383,0.397763729095459,1.6602116823196411,0.69615238904953,0.9595548510551453,4060.728759765625,,,,,,,
,35,3383,,,,,,0.42345282435417175,0.018874172121286392,100.0,1222.0,0.5455271601676941,49.95829772949219,0.4215635061264038
0.3712189793586731,36,3399,,,,,,,,,,,,
0.39895689487457275,36,3449,,,,,,,,,,,,
,36,3477,0.3964685797691345,1.6443196535110474,0.6962281465530396,0.9594447016716003,4580.884765625,,,,,,,
,36,3477,,,,,,0.42233261466026306,0.019948458299040794,100.0,1221.0,0.5455271601676941,51.06513214111328,0.4215635061264038
0.41696810722351074,37,3499,,,,,,,,,,,,
0.44062644243240356,37,3549,,,,,,,,,,,,
,37,3571,0.39783766865730286,1.7481741905212402,0.6968433856964111,0.9605513215065002,2555.589599609375,,,,,,,
,37,3571,,,,,,0.4227120876312256,0.013556443154811859,99.84025573730469,1205.0,0.5455271601676941,41.714534759521484,0.4219992458820343
0.4315328598022461,38,3599,,,,,,,,,,,,
0.36498284339904785,38,3649,,,,,,,,,,,,
,38,3665,0.39670342206954956,1.647760033607483,0.6963228583335876,0.9596246480941772,4492.03515625,,,,,,,
,38,3665,,,,,,0.4226755201816559,0.013313103467226028,99.92012786865234,1207.0,0.5447284579277039,73.58263397216797,0.4211638271808624
0.4642544090747833,39,3699,,,,,,,,,,,,
0.41632235050201416,39,3749,,,,,,,,,,,,
,39,3759,0.39673152565956116,1.6198610067367554,0.6962619423866272,0.9594681859016418,5085.24462890625,,,,,,,
,39,3759,,,,,,0.4231172800064087,0.01615879498422146,100.0,1227.0,0.5455271601676941,70.61457824707031,0.4215635061264038
0.4790061116218567,40,3799,,,,,,,,,,,,
0.39140522480010986,40,3849,,,,,,,,,,,,
,40,3853,0.3957705795764923,1.6384093761444092,0.6962874531745911,0.9597001075744629,4663.345703125,,,,,,,
