checkpoint,epoch,ckpt_metric,ckpt_value,mse,mae,r2,dir_acc,sharpe,total_return,max_drawdown,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,pred_std,pred_mean,pct_positive,num_negative
tft-epoch=epoch=06-composite=val_composite=0.5074,6,,,1.3070552349090576,0.8036282658576965,-4.8160552978515625e-05,0.5465631929046563,1.4157846522622128,0.7619003057479858,-0.13044625520706177,24.944567627494457,25.831485587583146,28.04878048780488,21.175166297117517,0.0,0.019861869513988495,0.011882706545293331,65.6319290465632,310
tft-epoch=epoch=07-composite=val_composite=0.4947,7,,,1.3081371784210205,0.8045607209205627,-0.0008758306503295898,0.5177383592017738,0.9707924408268808,0.3291819095611572,-0.11498149484395981,33.03769401330377,27.0509977827051,39.57871396895787,0.3325942350332594,0.0,0.03250429034233093,0.0031989761628210545,48.33702882483371,465
tft-epoch=epoch=08-composite=val_composite=0.5010,8,,,1.3094111680984497,0.8061627745628357,-0.001850724220275879,0.5055432372505543,0.7824422734472628,0.24914073944091797,-0.12040726095438004,38.13747228381374,36.58536585365854,23.725055432372503,1.5521064301552108,0.0,0.03131790831685066,-0.010279863141477108,38.691796008869176,553
tft-epoch=epoch=16-predstd=val_pred_std=0.0477,16,val_pred_std,0.0477,1.311230182647705,0.8038985729217529,-0.0032423734664916992,0.5288248337028825,0.942542328515664,0.3069080114364624,-0.10336121916770935,16.186252771618626,33.03769401330377,46.895787139689574,3.8802660753880267,0.0,0.04549393430352211,-0.0019665875006467104,49.44567627494457,455
tft-epoch=epoch=17-predstd=val_pred_std=0.0478,17,val_pred_std,0.0478,1.3107388019561768,0.8036180734634399,-0.002866387367248535,0.5332594235033259,0.8919918334324216,0.3254777193069458,-0.10838653147220612,17.849223946784925,30.93126385809313,47.5609756097561,3.6585365853658534,0.0,0.04350733384490013,0.011907598935067654,58.536585365853654,374
tft-epoch=epoch=19-composite=val_composite=0.4958,19,,,1.3124076128005981,0.804521381855011,-0.004143238067626953,0.5254988913525499,0.6968996169759364,0.2029350996017456,-0.10458208620548248,18.29268292682927,28.93569844789357,47.006651884700666,5.764966740576496,0.0,0.045458484441041946,-0.006728762295097113,45.1219512195122,495
tft-epoch=epoch=20-predstd=val_pred_std=0.0466,20,val_pred_std,0.0466,1.3107857704162598,0.8036823868751526,-0.002902388572692871,0.5288248337028825,0.6242272741769636,0.21517491340637207,-0.16234362125396729,13.52549889135255,32.48337028824834,49.2239467849224,4.767184035476718,0.0,0.04618233069777489,0.02213505655527115,59.64523281596452,364
tft-epoch=epoch=21-composite=val_composite=0.4941,21,,,1.3109889030456543,0.8045903444290161,-0.00305783748626709,0.5365853658536586,0.9264123751271797,0.3044731616973877,-0.12031122297048569,26.274944567627497,21.61862527716186,51.44124168514412,0.6651884700665188,0.0,0.03726709261536598,0.0001478533522458747,46.674057649667404,480
tft-epoch=epoch=24-unique=val_num_unique=902,24,val_num_unique,902.0,1.3093549013137817,0.8044304847717285,-0.001807570457458496,0.5266075388026608,0.47588498557519066,0.2556804418563843,-0.2590964138507843,23.725055432372503,18.514412416851442,57.20620842572062,0.3325942350332594,0.22172949002217296,0.035943128168582916,0.04773049056529999,90.68736141906874,84
tft-epoch=epoch=30-diracc=val_dir_acc=0.5721,30,val_dir_acc,0.5721,1.3100669384002686,0.8062654137611389,-0.002352476119995117,0.5221729490022173,0.6264934097706162,0.41340386867523193,-0.1971178948879242,16.186252771618626,7.427937915742794,76.38580931263859,0.0,0.0,0.03889303281903267,0.0778794065117836,98.66962305986696,12
