train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique,val_dir_acc,val_sharpe,val_composite,val_pred_std_avg,val_dir_acc_avg,val_composite_avg
0.8492797017097473,0,49,,,,,,,,,,,,,,,
,0,92,0.6434606313705444,1.635331392288208,0.7232739925384521,0.9738129377365112,8945.3310546875,,,,,,,,,,
,0,92,,,,,,0.7917624115943909,0.036507077515125275,96.37973022460938,1232.0,0.5414320230484009,30.5074405670166,0.4277443587779999,0.028461281210184097,0.4801287353038788,0.3715205192565918
0.7136735916137695,1,99,,,,,,,,,,,,,,,
0.6538308262825012,1,149,,,,,,,,,,,,,,,
,1,185,0.5385804176330566,1.612449288368225,0.7039883136749268,0.9543527960777283,7806.2412109375,,,,,,,,,,
,1,185,,,,,,0.6429627537727356,0.020395971834659576,100.0,1223.0,0.543845534324646,151.97900390625,0.41980674862861633,0.012660659849643707,0.525180995464325,0.40786856412887573
0.5470515489578247,2,199,,,,,,,,,,,,,,,
0.5650956630706787,2,249,,,,,,,,,,,,,,,
,2,278,0.49023863673210144,1.6378427743911743,0.7010601162910461,0.9517623782157898,6559.14599609375,,,,,,,,,,
,2,278,,,,,,0.5525817275047302,0.01625552587211132,100.0,1225.0,0.543845534324646,152.1471405029297,0.41980674862861633,0.009283388033509254,0.5335478782653809,0.4191035032272339
0.594796359539032,3,299,,,,,,,,,,,,,,,
0.5730915069580078,3,349,,,,,,,,,,,,,,,
,3,371,0.4633964002132416,1.673363447189331,0.6991692185401917,0.95035320520401,5050.0537109375,,,,,,,,,,
,3,371,,,,,,0.503454327583313,0.014532115310430527,100.0,1223.0,0.543845534324646,121.06105041503906,0.41980674862861633,0.007717146072536707,0.5365245342254639,0.4195997416973114
0.45827335119247437,4,399,,,,,,,,,,,,,,,
0.462385356426239,4,449,,,,,,,,,,,,,,,
,4,464,0.4500476121902466,1.6762313842773438,0.6982008218765259,0.9496940970420837,4382.05712890625,,,,,,,,,,
,4,464,,,,,,0.476492315530777,0.01179827656596899,100.0,1229.0,0.543845534324646,104.00875091552734,0.41980674862861633,0.00578696932643652,0.5452132225036621,0.4212356507778168
0.42962926626205444,5,499,,,,,,,,,,,,,,,
0.504341185092926,5,549,,,,,,,,,,,,,,,
,5,557,0.44380202889442444,1.666092038154602,0.6978956460952759,0.9494739770889282,4254.6826171875,,,,,,,,,,
,5,557,,,,,,0.4617890417575836,0.015980243682861328,100.0,1226.0,0.543845534324646,57.09481430053711,0.41980674862861633,0.007550754584372044,0.5452132225036621,0.4212356507778168
0.4785548150539398,6,599,,,,,,,,,,,,,,,
0.5071155428886414,6,649,,,,,,,,,,,,,,,
,6,650,0.4329677224159241,1.6425131559371948,0.6978325247764587,0.9493685960769653,4170.880859375,,,,,,,,,,
,6,650,,,,,,0.4523487389087677,0.022767292335629463,100.0,1227.0,0.543845534324646,38.964481353759766,0.41980674862861633,0.017704710364341736,0.5452132225036621,0.4212356507778168
0.4390771985054016,7,699,,,,,,,,,,,,,,,
,7,743,0.43008777499198914,1.631491780281067,0.6977527141571045,0.9493528008460999,5284.25,,,,,,,,,,
,7,743,,,,,,0.44543057680130005,0.008543766103684902,100.0,1218.0,0.543845534324646,112.74330139160156,0.41980674862861633,0.007019596640020609,0.5452132225036621,0.4212356507778168
0.47372302412986755,8,749,,,,,,,,,,,,,,,
0.4465697407722473,8,799,,,,,,,,,,,,,,,
,8,836,0.42811694741249084,1.6469660997390747,0.6979436278343201,0.9496188163757324,5294.2255859375,,,,,,,,,,
,8,836,,,,,,0.4422379732131958,0.011910086497664452,100.0,1217.0,0.543845534324646,80.80254364013672,0.41980674862861633,0.009057766757905483,0.5452132225036621,0.4212356507778168
0.438149631023407,9,849,,,,,,,,,,,,,,,
0.4520682692527771,9,899,,,,,,,,,,,,,,,
,9,929,0.4264868497848511,1.5992517471313477,0.6984508633613586,0.949727475643158,6892.68603515625,,,,,,,,,,
,9,929,,,,,,0.4403934180736542,0.014773664996027946,100.0,1219.0,0.543845534324646,86.14793395996094,0.41980674862861633,0.01064961589872837,0.5452132225036621,0.4212356507778168
0.46945303678512573,10,949,,,,,,,,,,,,,,,
0.5139057040214539,10,999,,,,,,,,,,,,,,,
,10,1022,0.4251103103160858,1.6568622589111328,0.6976338028907776,0.9493916630744934,4965.8974609375,,,,,,,,,,
,10,1022,,,,,,0.4372342824935913,0.011031819507479668,100.0,1214.0,0.543845534324646,80.98158264160156,0.41980674862861633,0.00834650732576847,0.5452132225036621,0.4212356507778168
0.42854517698287964,11,1049,,,,,,,,,,,,,,,
0.48574191331863403,11,1099,,,,,,,,,,,,,,,
,11,1115,0.42412686347961426,1.6322894096374512,0.6977974772453308,0.9494062066078186,5697.93701171875,,,,,,,,,,
,11,1115,,,,,,0.4357157051563263,0.013929714448750019,100.0,1211.0,0.543845534324646,71.01077270507812,0.41980674862861633,0.010305418632924557,0.5452132225036621,0.4212356507778168
0.4583818316459656,12,1149,,,,,,,,,,,,,,,
0.4375532567501068,12,1199,,,,,,,,,,,,,,,
,12,1208,0.4229077398777008,1.61396324634552,0.697823166847229,0.9493144750595093,6033.9208984375,,,,,,,,,,
,12,1208,,,,,,0.4341442584991455,0.012437094934284687,100.0,1204.0,0.543845534324646,81.47999572753906,0.41980674862861633,0.009581872262060642,0.5452132225036621,0.4212356507778168
0.36943551898002625,13,1249,,,,,,,,,,,,,,,
0.4308278560638428,13,1299,,,,,,,,,,,,,,,
,13,1301,0.42122218012809753,1.623469352722168,0.6978325843811035,0.9494081139564514,5805.62451171875,,,,,,,,,,
,13,1301,,,,,,0.4327598214149475,0.014947216026484966,100.0,1223.0,0.543845534324646,63.66067886352539,0.41980674862861633,0.011502765119075775,0.5452132225036621,0.4212356507778168
0.4182979166507721,14,1349,,,,,,,,,,,,,,,
,14,1394,0.4201977252960205,1.624856948852539,0.6978957653045654,0.9494901895523071,5770.013671875,,,,,,,,,,
,14,1394,,,,,,0.4328159689903259,0.016245124861598015,98.31053924560547,1208.0,0.5446500182151794,55.816375732421875,0.42502859234809875,0.012736737728118896,0.5451327562332153,0.4219839572906494
0.4525148272514343,15,1399,,,,,,,,,,,,,,,
0.5092569589614868,15,1449,,,,,,,,,,,,,,,
,15,1487,0.41935521364212036,1.6276484727859497,0.697750985622406,0.9493380784988403,5588.4091796875,,,,,,,,,,
,15,1487,,,,,,0.4318295419216156,0.012281949631869793,100.0,1213.0,0.543845534324646,72.60700988769531,0.41980674862861633,0.008818419650197029,0.5452132225036621,0.4212356507778168
0.4713648855686188,16,1499,,,,,,,,,,,,,,,
0.4301222860813141,16,1549,,,,,,,,,,,,,,,
,16,1580,0.41793084144592285,1.63093101978302,0.6977809071540833,0.9493646621704102,5485.60595703125,,,,,,,,,,
,16,1580,,,,,,0.43034446239471436,0.01328051183372736,100.0,1202.0,0.543845534324646,68.9645767211914,0.41980674862861633,0.009544079191982746,0.5452132225036621,0.4212356507778168
0.37713557481765747,17,1599,,,,,,,,,,,,,,,
0.4575786590576172,17,1649,,,,,,,,,,,,,,,
,17,1673,0.4172479212284088,1.6119657754898071,0.6978462934494019,0.9492799043655396,5829.38623046875,,,,,,,,,,
,17,1673,,,,,,0.429966002702713,0.011312011629343033,100.0,1207.0,0.543845534324646,89.85761260986328,0.41980674862861633,0.009503301233053207,0.5452132225036621,0.4212356507778168
0.49616774916648865,18,1699,,,,,,,,,,,,,,,
0.4061613082885742,18,1749,,,,,,,,,,,,,,,
,18,1766,0.4155580699443817,1.5834763050079346,0.6982124447822571,0.9493617415428162,6583.12353515625,,,,,,,,,,
,18,1766,,,,,,0.4287542402744293,0.010582543909549713,100.0,1215.0,0.543845534324646,114.62815856933594,0.41980674862861633,0.010774606838822365,0.5452132225036621,0.4212356507778168
0.46740642189979553,19,1799,,,,,,,,,,,,,,,
0.4267543852329254,19,1849,,,,,,,,,,,,,,,
,19,1859,0.4160398244857788,1.6301723718643188,0.6976320743560791,0.9491365551948547,5100.509765625,,,,,,,,,,
,19,1859,,,,,,0.4285639226436615,0.009860067628324032,100.0,1201.0,0.543845534324646,96.02645874023438,0.41980674862861633,0.011231583543121815,0.5452132225036621,0.4212356507778168
0.40400639176368713,20,1899,,,,,,,,,,,,,,,
0.4739709794521332,20,1949,,,,,,,,,,,,,,,
,20,1952,0.41566914319992065,1.6383438110351562,0.6974881291389465,0.9490651488304138,4762.44189453125,,,,,,,,,,
,20,1952,,,,,,0.4282096028327942,0.009234664030373096,100.0,1199.0,0.543845534324646,101.4081039428711,0.41980674862861633,0.011433671228587627,0.5452132225036621,0.4212356507778168
0.4061533808708191,21,1999,,,,,,,,,,,,,,,
,21,2045,0.4149132966995239,1.645988941192627,0.697505533695221,0.949076771736145,4638.736328125,,,,,,,,,,
,21,2045,,,,,,0.4272933900356293,0.008824081160128117,100.0,1212.0,0.543845534324646,100.77127838134766,0.41980674862861633,0.011418801732361317,0.5452132225036621,0.4212356507778168
0.4428396224975586,22,2049,,,,,,,,,,,,,,,
0.45303812623023987,22,2099,,,,,,,,,,,,,,,
,22,2138,0.4150901734828949,1.6171352863311768,0.6976864337921143,0.9491047263145447,5627.0361328125,,,,,,,,,,
,22,2138,,,,,,0.42635709047317505,0.010813895612955093,100.0,1206.0,0.543845534324646,94.23339080810547,0.41980674862861633,0.012859133072197437,0.5449718236923218,0.42129024863243103
0.4676808714866638,23,2149,,,,,,,,,,,,,,,
0.4131327271461487,23,2199,,,,,,,,,,,,,,,
,23,2231,0.4135228991508484,1.652218222618103,0.6974593997001648,0.9490402936935425,4594.65185546875,,,,,,,,,,
,23,2231,,,,,,0.4268737733364105,0.009297093376517296,99.91954803466797,1200.0,0.5446500182151794,92.15740203857422,0.4206468462944031,0.011704368516802788,0.5451327562332153,0.4213707745075226
0.45726528763771057,24,2249,,,,,,,,,,,,,,,
0.5060244798660278,24,2299,,,,,,,,,,,,,,,
,24,2324,0.4144534170627594,1.593888521194458,0.6977111101150513,0.9489644169807434,6161.875,,,,,,,,,,
,24,2324,,,,,,0.42613402009010315,0.008464572951197624,100.0,1210.0,0.543845534324646,137.4835968017578,0.41980674862861633,0.01171073503792286,0.5452132225036621,0.4212356507778168
0.4101674556732178,25,2349,,,,,,,,,,,,,,,
0.3891930878162384,25,2399,,,,,,,,,,,,,,,
,25,2417,0.4135400950908661,1.6231448650360107,0.6973673105239868,0.9488733410835266,5286.728515625,,,,,,,,,,
,25,2417,,,,,,0.42621687054634094,0.009252876043319702,100.0,1218.0,0.543845534324646,112.13813781738281,0.41980674862861633,0.011799831874668598,0.5452132225036621,0.4214114248752594
0.45114022493362427,26,2449,,,,,,,,,,,,,,,
0.4478614926338196,26,2499,,,,,,,,,,,,,,,
,26,2510,0.4132375717163086,1.667960524559021,0.6971339583396912,0.9488067030906677,4221.63916015625,,,,,,,,,,
