train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch
0.5793095231056213,0,49,,,,,,
,0,93,0.5166341066360474,1.779325246810913,0.7153556942939758,0.9703119397163391,2892.883544921875,
,0,93,,,,,,0.6337170004844666
0.4730909764766693,1,99,,,,,,
0.40763065218925476,1,149,,,,,,
,1,187,0.4574584364891052,1.558955192565918,0.7099999785423279,0.9632771611213684,7563.6806640625,
,1,187,,,,,,0.4968710243701935
0.4464339017868042,2,199,,,,,,
0.5234715342521667,2,249,,,,,,
,2,281,0.45095887780189514,1.5829267501831055,0.7095253467559814,0.9629658460617065,6946.90478515625,
,2,281,,,,,,0.4636644124984741
0.4867546558380127,3,299,,,,,,
0.4194413125514984,3,349,,,,,,
,3,375,0.4490026533603668,1.5884315967559814,0.7092933058738708,0.9628239870071411,6661.01708984375,
,3,375,,,,,,0.4572007954120636
0.4260367453098297,4,399,,,,,,
0.4641287922859192,4,449,,,,,,
,4,469,0.4489065706729889,1.630536437034607,0.7089070677757263,0.96275395154953,5286.24755859375,
,4,469,,,,,,0.45457762479782104
0.5265501737594604,5,499,,,,,,
0.5828546285629272,5,549,,,,,,
,5,563,0.44722503423690796,1.6457217931747437,0.7089040875434875,0.9628334045410156,4627.56494140625,
,5,563,,,,,,0.4535348415374756
0.43669870495796204,6,599,,,,,,
0.5630437135696411,6,649,,,,,,
,6,657,0.444741427898407,1.6726255416870117,0.7086771130561829,0.963379979133606,2382.965087890625,
,6,657,,,,,,0.4502691328525543
0.5260456800460815,7,699,,,,,,
0.38678163290023804,7,749,,,,,,
,7,751,0.4381231665611267,1.6956939697265625,0.7098225355148315,0.9648038744926453,1797.0615234375,
,7,751,,,,,,0.44756150245666504
0.4859747290611267,8,799,,,,,,
,8,845,0.4312652051448822,1.7731586694717407,0.7083409428596497,0.9633142352104187,1032.038330078125,
,8,845,,,,,,0.4421764016151428
0.38577497005462646,9,849,,,,,,
0.44710302352905273,9,899,,,,,,
,9,939,0.42465266585350037,1.663832664489746,0.7078269720077515,0.9621692895889282,3391.001220703125,
,9,939,,,,,,0.43790552020072937
0.40930256247520447,10,949,,,,,,
0.435965895652771,10,999,,,,,,
,10,1033,0.4209739565849304,1.7593179941177368,0.7081257700920105,0.9630070924758911,1808.173583984375,
,10,1033,,,,,,0.43490520119667053
