val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,epoch,step,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique,val_dir_acc,val_sharpe,val_composite,train_loss_step
2.1661040782928467,1.249198317527771,2.0732157230377197,2.7505950927734375,9.130335807800293,0,38,,,,,,,,
,,,,,0,38,2.2755963802337646,0.09186214953660965,100.0,266.0,0.6015037298202515,304.8861999511719,0.4816552698612213,
,,,,,1,49,,,,,,,,1.9683265686035156
1.839983344078064,1.237542986869812,1.979187250137329,2.660247802734375,8.37662124633789,1,77,,,,,,,,
,,,,,1,77,2.038694143295288,0.09120836108922958,100.0,266.0,0.6015037298202515,281.17962646484375,0.4816552698612213,
,,,,,2,99,,,,,,,,1.8908851146697998
1.4496182203292847,1.2263802289962769,1.825478196144104,2.5005481243133545,6.953031063079834,2,116,,,,,,,,
,,,,,2,116,1.7570722103118896,0.07808639109134674,100.0,266.0,0.6015037298202515,271.33551025390625,0.4816552698612213,
,,,,,3,149,,,,,,,,1.260406494140625
1.2213668823242188,1.226063847541809,1.710411787033081,2.3764724731445312,5.702589988708496,3,155,,,,,,,,
,,,,,3,155,1.4660853147506714,0.06226920709013939,100.0,266.0,0.6015037298202515,276.7241516113281,0.4816552698612213,
1.0713382959365845,1.2412093877792358,1.6180428266525269,2.2753145694732666,4.467573165893555,4,194,,,,,,,,
,,,,,4,194,1.2605953216552734,0.04767664894461632,100.0,266.0,0.6015037298202515,277.74261474609375,0.4816552698612213,
,,,,,5,199,,,,,,,,1.0816538333892822
1.0117392539978027,1.3042552471160889,1.5707017183303833,2.208265542984009,3.3231401443481445,5,233,,,,,,,,
,,,,,5,233,1.1236556768417358,0.03599366545677185,100.0,266.0,0.6015037298202515,259.5614318847656,0.4816552698612213,
,,,,,6,249,,,,,,,,0.9194530248641968
0.9758744835853577,1.4094040393829346,1.5602136850357056,2.178439140319824,2.445568799972534,6,272,,,,,,,,
,,,,,6,272,1.0356568098068237,0.024365698918700218,100.0,265.0,0.6015037298202515,255.28982543945312,0.4816552698612213,
,,,,,7,299,,,,,,,,1.4099528789520264
0.9671923518180847,1.5092591047286987,1.5621216297149658,2.1715729236602783,1.8956139087677002,7,311,,,,,,,,
,,,,,7,311,0.9942476153373718,0.019481811672449112,100.0,265.0,0.6015037298202515,214.40406799316406,0.4816552698612213,
,,,,,8,349,,,,,,,,0.9296086430549622
0.9609290957450867,1.4820127487182617,1.5610764026641846,2.172030448913574,2.0270843505859375,8,350,,,,,,,,
,,,,,8,350,0.9688153266906738,0.01822531409561634,100.0,265.0,0.6015037298202515,256.748779296875,0.4816552698612213,
0.9582266211509705,1.4890327453613281,1.561274528503418,2.171518325805664,1.9918889999389648,9,389,,,,,,,,
,,,,,9,389,0.9695483446121216,0.018848683685064316,100.0,266.0,0.6015037298202515,241.70851135253906,0.4816552698612213,
,,,,,10,399,,,,,,,,0.7817531824111938
0.9557284116744995,1.522395372390747,1.5631822347640991,2.1710729598999023,1.8450939655303955,10,428,,,,,,,,
,,,,,10,428,0.9561964869499207,0.01646745391190052,100.0,266.0,0.6015037298202515,241.99667358398438,0.4816552698612213,
,,,,,11,449,,,,,,,,1.0965261459350586
0.9547510147094727,1.4966930150985718,1.5619726181030273,2.171306610107422,1.9611772298812866,11,467,,,,,,,,
,,,,,11,467,0.9490858912467957,0.017260728403925896,100.0,265.0,0.6015037298202515,256.72308349609375,0.4816552698612213,
,,,,,12,499,,,,,,,,0.761951744556427
0.9527207016944885,1.4858067035675049,1.5616987943649292,2.1715362071990967,2.016012668609619,12,506,,,,,,,,
,,,,,12,506,0.9415459036827087,0.01817600056529045,100.0,265.0,0.6015037298202515,255.49072265625,0.4816552698612213,
0.9520631432533264,1.4797301292419434,1.5617283582687378,2.1718437671661377,2.0501062870025635,13,545,,,,,,,,
,,,,,13,545,0.9440197944641113,0.0178682804107666,100.0,265.0,0.6015037298202515,267.06964111328125,0.4816552698612213,
,,,,,14,549,,,,,,,,1.0720559358596802
0.9508478045463562,1.533621907234192,1.563774824142456,2.1706783771514893,1.7971032857894897,14,584,,,,,,,,
,,,,,14,584,0.9378911256790161,0.019497210159897804,100.0,265.0,0.6015037298202515,195.86788940429688,0.4816552698612213,
,,,,,15,599,,,,,,,,0.9524409770965576
0.9515019059181213,1.6268434524536133,1.5699961185455322,2.1724631786346436,1.4793980121612549,15,623,,,,,,,,
,,,,,15,623,0.9392080903053284,0.02125740237534046,100.0,265.0,0.6015037298202515,120.32933044433594,0.4816552698612213,
,,,,,16,649,,,,,,,,0.7536745071411133
0.9497438669204712,1.4830389022827148,1.5618895292282104,2.171544313430786,2.0343270301818848,16,662,,,,,,,,
,,,,,16,662,0.9452197551727295,0.019970674067735672,100.0,264.0,0.6015037298202515,236.34127807617188,0.4816552698612213,
,,,,,17,699,,,,,,,,0.80392986536026
0.9503812789916992,1.487977147102356,1.561819314956665,2.171157121658325,2.0057640075683594,17,701,,,,,,,,
,,,,,17,701,0.9411349892616272,0.02169184200465679,100.0,263.0,0.6015037298202515,213.1077880859375,0.4816552698612213,
0.9491522312164307,1.4808982610702515,1.5615954399108887,2.1713271141052246,2.0413882732391357,18,740,,,,,,,,
,,,,,18,740,0.9317649602890015,0.02303781732916832,100.0,266.0,0.6015037298202515,206.69796752929688,0.4816552698612213,
,,,,,19,749,,,,,,,,1.0942431688308716
0.9486473202705383,1.5188567638397217,1.5633724927902222,2.170783758163452,1.863707184791565,19,779,,,,,,,,
,,,,,19,779,0.9366766214370728,0.020537473261356354,100.0,266.0,0.6015037298202515,198.1580810546875,0.4816552698612213,
,,,,,20,799,,,,,,,,1.060009479522705
0.9478466510772705,1.515600562095642,1.5630710124969482,2.1706902980804443,1.8760889768600464,20,818,,,,,,,,
,,,,,20,818,0.9319891333580017,0.02141735330224037,100.0,266.0,0.6015037298202515,192.5242919921875,0.4816552698612213,
,,,,,21,849,,,,,,,,1.4890373945236206
0.9471333622932434,1.5336589813232422,1.5640146732330322,2.170642137527466,1.7982432842254639,21,857,,,,,,,,
,,,,,21,857,0.9323251247406006,0.021485749632120132,100.0,266.0,0.6015037298202515,177.97406005859375,0.4816552698612213,
0.9463424682617188,1.543686032295227,1.5645315647125244,2.170668840408325,1.7567123174667358,22,896,,,,,,,,
,,,,,22,896,0.933844268321991,0.02116275765001774,100.0,266.0,0.6015037298202515,172.99864196777344,0.4816552698612213,
,,,,,23,899,,,,,,,,0.6674710512161255
0.9439989924430847,1.5203361511230469,1.5635557174682617,2.170914649963379,1.8587160110473633,23,935,,,,,,,,
,,,,,23,935,0.9361767768859863,0.020347418263554573,100.0,266.0,0.6015037298202515,198.5837860107422,0.4816552698612213,
,,,,,24,949,,,,,,,,1.0203673839569092
0.9413737058639526,1.498923420906067,1.563119888305664,2.171358108520508,1.9676389694213867,24,974,,,,,,,,
,,,,,24,974,0.9315463304519653,0.024347791448235512,100.0,266.0,0.6015037298202515,182.5439453125,0.4816552698612213,
,,,,,25,999,,,,,,,,0.837546169757843
0.9388036131858826,1.4908217191696167,1.5623022317886353,2.170806884765625,2.0022921562194824,25,1013,,,,,,,,
,,,,,25,1013,0.9312715530395508,0.031095324084162712,100.0,265.0,0.6015037298202515,148.29257202148438,0.4816552698612213,
,,,,,26,1049,,,,,,,,0.8521820902824402
0.936574399471283,1.534664511680603,1.5634247064590454,2.1694633960723877,1.7933025360107422,26,1052,,,,,,,,
,,,,,26,1052,0.9263935685157776,0.034853968769311905,100.0,266.0,0.6015037298202515,110.04029083251953,0.4816552698612213,
0.9331894516944885,1.4535824060440063,1.562340497970581,2.173419237136841,2.216752529144287,27,1091,,,,,,,,
,,,,,27,1091,0.9254266023635864,0.03339533880352974,100.0,266.0,0.6015037298202515,160.579833984375,0.4816552698612213,
,,,,,28,1099,,,,,,,,0.8855682611465454
0.9276608824729919,1.4471514225006104,1.56241774559021,2.1737444400787354,2.2613677978515625,28,1130,,,,,,,,
,,,,,28,1130,0.9226922392845154,0.037794679403305054,100.0,266.0,0.6015037298202515,145.74867248535156,0.4816552698612213,
,,,,,29,1149,,,,,,,,0.6461213827133179
0.9255251884460449,1.5153177976608276,1.5642372369766235,2.170712471008301,1.9131039381027222,29,1169,,,,,,,,
,,,,,29,1169,0.9209567308425903,0.03770163655281067,100.0,266.0,0.6015037298202515,110.91339111328125,0.4816552698612213,
,,,,,30,1199,,,,,,,,0.973727822303772
0.9200426936149597,1.4772816896438599,1.5607248544692993,2.169778823852539,2.062971830368042,30,1208,,,,,,,,
,,,,,30,1208,0.9108253121376038,0.03968789801001549,100.0,266.0,0.6015037298202515,122.43025207519531,0.4816552698612213,
0.919248640537262,1.527163028717041,1.5633331537246704,2.16969633102417,1.831737995147705,31,1247,,,,,,,,
,,,,,31,1247,0.9199692010879517,0.03613545000553131,100.0,266.0,0.6015037298202515,109.25873565673828,0.4816552698612213,
,,,,,32,1249,,,,,,,,0.77848881483078
0.9182009696960449,1.3717707395553589,1.5638731718063354,2.1848132610321045,2.7591617107391357,32,1286,,,,,,,,
,,,,,32,1286,0.9155080914497375,0.03782254830002785,100.0,265.0,0.6015037298202515,192.7786407470703,0.4816552698612213,
