experiment_name,phase,group,hidden_size,dropout,learning_rate,best_val_loss,total_epochs,early_stopped,test_mse,test_rmse,test_r2,dir_acc,sharpe_ratio,auc_roc,alpha,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,pred_std,num_unique,pct_positive,pct_negative,composite_score,evaluated
vix2r_d010_t15_dirw05,05b_regime_with_penalties,other,16,0.1,0.0005,0.38079532980918884,86,True,1.1993741989135742,1.0951594114303589,-0.020756840705871582,0.5054602184087363,0.49322355446981475,0.49411249287160075,-0.5549989938735962,33.073322932917314,19.734789391575664,47.19188767550702,0.0,0.0,66.92667706708268,False,False,True,True,0.13511585659116032,1281,71.996879875195,28.003120124804994,0.4995727112803371,True
vix2r_d010_t15_dirw1,05b_regime_with_penalties,other,16,0.1,0.0005,0.38177499175071716,86,True,1.1993741989135742,1.0951594114303589,-0.020756840705871582,0.5054602184087363,0.49322355446981475,0.49411249287160075,-0.5549989938735962,33.073322932917314,19.734789391575664,47.19188767550702,0.0,0.0,66.92667706708268,False,False,True,True,0.13511585659116032,1281,71.996879875195,28.003120124804994,0.4995727112803371,True
vix2r_d010_t15_dirw1_extw5p90,05b_regime_with_penalties,other,16,0.1,0.0005,0.8468972444534302,72,True,1.1817668676376343,1.0870909690856934,-0.005771756172180176,0.5249609984399376,0.7847425311765505,0.4714607038575348,-0.1073005199432373,25.195007800312013,2.9641185647425896,63.338533541341654,0.93603744149766,7.566302652106084,74.80499219968799,True,True,True,True,0.09244630408642637,1278,90.32761310452419,9.67238689547582,0.4964217022974724,True
vix2r_d010_t15_dirw2,05b_regime_with_penalties,other,16,0.1,0.0005,0.3837343454360962,86,True,1.1993741989135742,1.0951594114303589,-0.020756840705871582,0.5054602184087363,0.49322355446981475,0.49411249287160075,-0.5549989938735962,33.073322932917314,19.734789391575664,47.19188767550702,0.0,0.0,66.92667706708268,False,False,True,True,0.13511585659116032,1281,71.996879875195,28.003120124804994,0.4995727112803371,True
vix2r_d010_t15_dirw2_extw5p90,05b_regime_with_penalties,other,16,0.1,0.0005,0.8438153266906738,77,True,1.1849511861801147,1.0885546207427979,-0.008481740951538086,0.4953198127925117,0.6795868614473517,0.47127469240804054,-0.3082089424133301,34.009360374414975,10.9204368174727,50.78003120124806,0.46801872074883,3.8221528861154446,65.99063962558503,True,True,True,True,0.10694306041811655,1278,64.1185647425897,35.8814352574103,0.46659450520055223,True
vix2r_d010_t15_extw5p90,05b_regime_with_penalties,other,16,0.1,0.0005,0.8449379205703735,72,True,1.1817668676376343,1.0870909690856934,-0.005771756172180176,0.5249609984399376,0.7847425311765505,0.4714607038575348,-0.1073005199432373,25.195007800312013,2.9641185647425896,63.338533541341654,0.93603744149766,7.566302652106084,74.80499219968799,True,True,True,True,0.09244630408642637,1278,90.32761310452419,9.67238689547582,0.4964217022974724,True
vix2r_d010_t20_dirw05,05b_regime_with_penalties,other,16,0.1,0.0005,0.37680649757385254,72,True,1.3775994777679443,1.173711895942688,-0.1724398136138916,0.47581903276131043,0.5632764467715786,0.49453101863296267,-0.4862128496170044,58.11232449297972,9.360374414976599,32.52730109204368,0.0,0.0,41.887675507020276,False,False,True,True,0.42458274306473476,1281,41.88767550702028,58.11232449297972,0.4703500513942731,True
vix2r_d010_t20_dirw1,05b_regime_with_penalties,other,16,0.1,0.0005,0.3793552815914154,72,True,1.3775994777679443,1.173711895942688,-0.1724398136138916,0.47581903276131043,0.5632764467715786,0.49453101863296267,-0.4862128496170044,58.11232449297972,9.360374414976599,32.52730109204368,0.0,0.0,41.887675507020276,False,False,True,True,0.42458274306473476,1281,41.88767550702028,58.11232449297972,0.4703500513942731,True
vix2r_d010_t20_dirw1_extw5p90,05b_regime_with_penalties,other,16,0.1,0.0005,0.8132437467575073,68,True,1.4498502016067505,1.2040972709655762,-0.2339305877685547,0.4789391575663027,0.824324031101832,0.4844741627649134,-0.3398926258087158,40.79563182527301,3.6661466458658345,50.858034321372855,0.31201248049922,4.368174726989079,59.204368174726994,True,True,True,True,0.37077639879128826,1280,24.882995319812792,75.11700468018721,0.46341332033121607,True
vix2r_d010_t20_dirw2,05b_regime_with_penalties,other,16,0.1,0.0005,0.384452760219574,72,True,1.3775994777679443,1.173711895942688,-0.1724398136138916,0.47581903276131043,0.5632764467715786,0.49453101863296267,-0.4862128496170044,58.11232449297972,9.360374414976599,32.52730109204368,0.0,0.0,41.887675507020276,False,False,True,True,0.42458274306473476,1281,41.88767550702028,58.11232449297972,0.4703500513942731,True
vix2r_d010_t20_dirw2_extw5p90,05b_regime_with_penalties,other,16,0.1,0.0005,0.8183612823486328,68,True,1.4498502016067505,1.2040972709655762,-0.2339305877685547,0.4789391575663027,0.824324031101832,0.4844741627649134,-0.3398926258087158,40.79563182527301,3.6661466458658345,50.858034321372855,0.31201248049922,4.368174726989079,59.204368174726994,True,True,True,True,0.37077639879128826,1280,24.882995319812792,75.11700468018721,0.46341332033121607,True
vix2r_d010_t20_extw5p90,05b_regime_with_penalties,other,16,0.1,0.0005,0.8081262111663818,68,True,1.4498502016067505,1.2040972709655762,-0.2339305877685547,0.4789391575663027,0.824324031101832,0.4844741627649134,-0.3398926258087158,40.79563182527301,3.6661466458658345,50.858034321372855,0.31201248049922,4.368174726989079,59.204368174726994,True,True,True,True,0.37077639879128826,1280,24.882995319812792,75.11700468018721,0.46341332033121607,True
