experiment_name,phase,group,hidden_size,dropout,learning_rate,encoder_length,attention_heads,batch_size,created_at,best_val_loss,total_epochs,early_stopped,test_mse,test_rmse,test_mae,test_r2,dir_acc,sharpe_ratio,max_drawdown,total_return,num_trades,precision,recall,f1_score,auc_roc,alpha,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,healthy_days,degraded_days,unidirectional_days,weak_collapse_days,strong_collapse_days,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,problematic_pct,predicted_down,predicted_up,pct_down_predictions,pct_up_predictions,evaluated,collapse_type,pred_std,pred_mean,pred_min,pred_max,num_unique,num_positive,num_negative,num_zero,pct_positive,pct_negative,collapsed,composite_score
vix2r_d010_t15_dirw05,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-28T23:05:29.488459,0.38079532980918884,86,True,1.1993741989135742,1.0951594114303589,0.7837147116661072,-0.020756840705871582,0.5054602184087363,0.49322355446981475,-0.2524595558643341,0.37625670433044434,923,0.5297941495124594,0.7097242380261248,0.6066997518610422,0.49411249287160075,-0.5549989938735962,33.073322932917314,19.734789391575664,47.19188767550702,0.0,0.0,,,,,,False,False,True,True,66.92667706708268,359,923,0.2800312012480499,0.7199687987519501,True,,0.13511585659116032,0.06846610164195008,-0.23617393,0.23754072,1281,923,359,0,71.996879875195,28.003120124804994,False,0.4995727112803371
vix2r_d010_t15_dirw1,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-28T23:05:31.642800,0.38177499175071716,86,True,1.1993741989135742,1.0951594114303589,0.7837147116661072,-0.020756840705871582,0.5054602184087363,0.49322355446981475,-0.2524595558643341,0.37625670433044434,923,0.5297941495124594,0.7097242380261248,0.6066997518610422,0.49411249287160075,-0.5549989938735962,33.073322932917314,19.734789391575664,47.19188767550702,0.0,0.0,,,,,,False,False,True,True,66.92667706708268,359,923,0.2800312012480499,0.7199687987519501,True,,0.13511585659116032,0.06846610164195008,-0.23617393,0.23754072,1281,923,359,0,71.996879875195,28.003120124804994,False,0.4995727112803371
vix2r_d010_t15_dirw1_extw5p90,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-28T23:31:37.939237,0.8468972444534302,72,True,1.1817668676376343,1.0870909690856934,0.7747845649719238,-0.005771756172180176,0.5249609984399376,0.7847425311765505,-0.2524595558643341,0.8239551782608032,1158,0.5345423143350605,0.8984034833091437,0.6702761234434218,0.4714607038575348,-0.1073005199432373,25.195007800312013,2.9641185647425896,63.338533541341654,0.93603744149766,7.566302652106084,,,,,,True,True,True,True,74.80499219968799,124,1158,0.0967238689547582,0.9032761310452418,True,,0.09244630408642637,0.08356040677727614,-0.017545357,0.46721902,1278,1158,124,0,90.32761310452419,9.67238689547582,False,0.4964217022974724
vix2r_d010_t15_dirw2,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-28T23:05:33.985444,0.3837343454360962,86,True,1.1993741989135742,1.0951594114303589,0.7837147116661072,-0.020756840705871582,0.5054602184087363,0.49322355446981475,-0.2524595558643341,0.37625670433044434,923,0.5297941495124594,0.7097242380261248,0.6066997518610422,0.49411249287160075,-0.5549989938735962,33.073322932917314,19.734789391575664,47.19188767550702,0.0,0.0,,,,,,False,False,True,True,66.92667706708268,359,923,0.2800312012480499,0.7199687987519501,True,,0.13511585659116032,0.06846610164195008,-0.23617393,0.23754072,1281,923,359,0,71.996879875195,28.003120124804994,False,0.4995727112803371
vix2r_d010_t15_dirw2_extw5p90,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-28T23:36:10.417657,0.8438153266906738,77,True,1.1849511861801147,1.0885546207427979,0.7777550220489502,-0.008481740951538086,0.4953198127925117,0.6795868614473517,-0.2524595558643341,0.6230467557907104,822,0.5255474452554745,0.6269956458635704,0.5718067504963601,0.47127469240804054,-0.3082089424133301,34.009360374414975,10.9204368174727,50.78003120124806,0.46801872074883,3.8221528861154446,,,,,,True,True,True,True,65.99063962558503,460,822,0.358814352574103,0.641185647425897,True,,0.10694306041811655,0.06582156056771918,-0.07172212,0.46761703,1278,822,460,0,64.1185647425897,35.8814352574103,False,0.46659450520055223
vix2r_d010_t15_extw5p90,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-28T23:05:36.406411,0.8449379205703735,72,True,1.1817668676376343,1.0870909690856934,0.7747845649719238,-0.005771756172180176,0.5249609984399376,0.7847425311765505,-0.2524595558643341,0.8239551782608032,1158,0.5345423143350605,0.8984034833091437,0.6702761234434218,0.4714607038575348,-0.1073005199432373,25.195007800312013,2.9641185647425896,63.338533541341654,0.93603744149766,7.566302652106084,,,,,,True,True,True,True,74.80499219968799,124,1158,0.0967238689547582,0.9032761310452418,True,,0.09244630408642637,0.08356040677727614,-0.017545357,0.46721902,1278,1158,124,0,90.32761310452419,9.67238689547582,False,0.4964217022974724
vix2r_d010_t20_dirw05,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-28T23:36:42.914587,0.37680649757385254,72,True,1.3775994777679443,1.173711895942688,0.8944236636161804,-0.1724398136138916,0.47581903276131043,0.5632764467715786,-0.1979362517595291,0.44504284858703613,537,0.515828677839851,0.4020319303338171,0.4518760195758564,0.49453101863296267,-0.4862128496170044,58.11232449297972,9.360374414976599,32.52730109204368,0.0,0.0,,,,,,False,False,True,True,41.887675507020276,745,537,0.5811232449297972,0.41887675507020283,True,,0.42458274306473476,-0.13808987944321374,-0.61018133,0.41348463,1281,537,745,0,41.88767550702028,58.11232449297972,False,0.4703500513942731
vix2r_d010_t20_dirw1,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-28T23:37:44.095860,0.3793552815914154,72,True,1.3775994777679443,1.173711895942688,0.8944236636161804,-0.1724398136138916,0.47581903276131043,0.5632764467715786,-0.1979362517595291,0.44504284858703613,537,0.515828677839851,0.4020319303338171,0.4518760195758564,0.49453101863296267,-0.4862128496170044,58.11232449297972,9.360374414976599,32.52730109204368,0.0,0.0,,,,,,False,False,True,True,41.887675507020276,745,537,0.5811232449297972,0.41887675507020283,True,,0.42458274306473476,-0.13808987944321374,-0.61018133,0.41348463,1281,537,745,0,41.88767550702028,58.11232449297972,False,0.4703500513942731
vix2r_d010_t20_dirw1_extw5p90,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-29T00:03:52.068275,0.8132437467575073,68,True,1.4498502016067505,1.2040972709655762,0.9450341463088989,-0.2339305877685547,0.4789391575663027,0.824324031101832,-0.1015661433339119,0.5913630723953247,319,0.5329153605015674,0.2467343976777939,0.33730158730158727,0.4844741627649134,-0.3398926258087158,40.79563182527301,3.6661466458658345,50.858034321372855,0.31201248049922,4.368174726989079,,,,,,True,True,True,True,59.204368174726994,963,319,0.751170046801872,0.24882995319812792,True,,0.37077639879128826,-0.353226525724241,-0.6931586,0.36467057,1280,319,963,0,24.882995319812792,75.11700468018721,False,0.46341332033121607
vix2r_d010_t20_dirw2,05b_regime_with_penalties,other,16,0.1,0.0005,20,2,64,2025-11-28T23:57:46.444274,0.384452760219574,72,True,1.3775994777679443,1.173711895942688,0.8944236636161804,-0.1724398136138916,0.47581903276131043,0.5632764467715786,-0.1979362517595291,0.44504284858703613,537,0.515828677839851,0.4020319303338171,0.4518760195758564,0.49453101863296267,-0.4862128496170044,58.11232449297972,9.360374414976599,32.52730109204368,0.0,0.0,,,,,,False,False,True,True,41.887675507020276,745,537,0.5811232449297972,0.41887675507020283,True,,0.42458274306473476,-0.13808987944321374,-0.61018133,0.41348463,1281,537,745,0,41.88767550702028,58.11232449297972,False,0.4703500513942731
