experiment_name,phase,hidden_size,dropout,has_staleness,n_periods,n_features,avg_concentration,std_concentration,min_concentration,max_concentration,concentration_trend,top_feature,feature_stability
02b_vintage_sweep/baseline_h16_drop0.10,02b_vintage_sweep,16,0.1,False,6,5,0.36968988676865894,0.08773193464998427,0.2682291865348816,0.5264272689819336,-0.026176978009087724,VIX,0.8333333333333334
02b_vintage_sweep/baseline_h16_drop0.20,02b_vintage_sweep,16,0.2,False,6,5,0.4940519531567891,0.04068863377460815,0.4454202353954315,0.5503634214401245,0.001035703931535934,VIX,1.0
02b_vintage_sweep/baseline_h14_drop0.15,02b_vintage_sweep,14,0.15,False,6,5,0.3903677562872569,0.05558343073312459,0.2814048230648041,0.4445866346359253,0.0292253051485334,VIX,0.8333333333333334
02b_vintage_sweep/baseline_h18_drop0.30,02b_vintage_sweep,18,0.3,False,6,5,0.3851508249839147,0.02503429911491202,0.3594731390476227,0.4223146438598633,-0.0017361342906952275,VIX,1.0
02b_vintage_sweep/baseline_h20_drop0.25,02b_vintage_sweep,20,0.25,False,6,5,0.3272114743789037,0.021247974041373015,0.2971173822879791,0.35820335149765015,-0.005561868633542777,relative_time_idx,0.6666666666666666
02b_vintage_sweep/baseline_h14_drop0.25,02b_vintage_sweep,14,0.25,False,6,5,0.4728526572386424,0.07192112443966675,0.32248327136039734,0.5414144396781921,0.02037234646933415,VIX,1.0
02b_vintage_sweep/baseline_h20_drop0.15,02b_vintage_sweep,20,0.15,False,6,5,0.3068683594465256,0.026765458827033187,0.26765352487564087,0.341131329536438,0.0035194064889635013,Inflation_YoY,0.6666666666666666
02b_vintage_sweep/baseline_h12_drop0.30,02b_vintage_sweep,12,0.3,False,6,5,0.44073382516702014,0.08786117417915278,0.33518943190574646,0.5900720357894897,-0.04750253047261929,VIX,1.0
02b_vintage_sweep/baseline_h12_drop0.15,02b_vintage_sweep,12,0.15,False,6,5,0.3549501945575078,0.0729453729290331,0.2764839828014374,0.5009738206863403,-0.03365557449204588,VIX,0.6666666666666666
02b_vintage_sweep/baseline_h20_drop0.30,02b_vintage_sweep,20,0.3,False,6,5,0.2946474055449168,0.024400058863305787,0.2724305987358093,0.33968594670295715,-0.005822139126913906,relative_time_idx,0.5
02b_vintage_sweep/baseline_h18_drop0.25,02b_vintage_sweep,18,0.25,False,6,5,0.3766324023405711,0.024693568529878467,0.34133660793304443,0.4058992266654968,-0.005053404399326896,VIX,1.0
02b_vintage_sweep/baseline_h12_drop0.25,02b_vintage_sweep,12,0.25,False,6,5,0.41453155875205994,0.11581659120263674,0.29389795660972595,0.6257233023643494,-0.06313007218497145,VIX,1.0
02b_vintage_sweep/baseline_h18_drop0.15,02b_vintage_sweep,18,0.15,False,6,5,0.3496307134628296,0.03423706225939554,0.3019804060459137,0.3953150510787964,-0.012873666627066523,VIX,1.0
02b_vintage_sweep/baseline_h14_drop0.30,02b_vintage_sweep,14,0.3,False,6,5,0.5097511013348898,0.09058095280522085,0.3533245325088501,0.6273009777069092,0.02241145883287697,VIX,0.8333333333333334
02b_vintage_sweep/baseline_h10_drop0.10,02b_vintage_sweep,10,0.1,False,6,5,0.47764424482981366,0.007334457618131707,0.4692860543727875,0.49010545015335083,-0.0023765700204032287,VIX,1.0
02b_vintage_sweep/baseline_h10_drop0.20,02b_vintage_sweep,10,0.2,False,6,5,0.5052608400583267,0.012088221329265228,0.48713868856430054,0.52061927318573,0.0038866681712013914,VIX,1.0
02b_vintage_sweep/baseline_h16_drop0.25,02b_vintage_sweep,16,0.25,False,6,5,0.4991342971722285,0.041944949852635215,0.44737952947616577,0.5585174560546875,0.00018310972622456699,VIX,1.0
02b_vintage_sweep/baseline_h10_drop0.30,02b_vintage_sweep,10,0.3,False,6,5,0.541015605131785,0.01573123568499077,0.5147461891174316,0.5639427304267883,0.00433802264077317,VIX,1.0
02b_vintage_sweep/baseline_h16_drop0.15,02b_vintage_sweep,16,0.15,False,6,5,0.3828797936439514,0.09234536116055517,0.2767317295074463,0.5442848801612854,-0.02631418875285565,VIX,1.0
02b_vintage_sweep/baseline_h20_drop0.10,02b_vintage_sweep,20,0.1,False,6,5,0.2992308090130488,0.02443803867206754,0.25999969244003296,0.3285191059112549,0.0037739404610224784,Inflation_YoY,0.5
02b_vintage_sweep/baseline_h14_drop0.20,02b_vintage_sweep,14,0.2,False,6,5,0.44946038722991943,0.06687844365020514,0.30935758352279663,0.5156858563423157,0.027415095056806213,VIX,1.0
02b_vintage_sweep/baseline_h20_drop0.20,02b_vintage_sweep,20,0.2,False,6,5,0.31036682426929474,0.02212177721233007,0.27353471517562866,0.33506178855895996,0.003768800837652983,Inflation_YoY,0.6666666666666666
02b_vintage_sweep/baseline_h14_drop0.10,02b_vintage_sweep,14,0.1,False,6,5,0.3571573694547017,0.04900140434367328,0.2544233202934265,0.39940232038497925,0.023118037836892247,VIX,0.8333333333333334
02b_vintage_sweep/baseline_h18_drop0.10,02b_vintage_sweep,18,0.1,False,6,5,0.354025994737943,0.0437773448198371,0.307502418756485,0.42354094982147217,-0.017355010339192043,VIX,1.0
02b_vintage_sweep/baseline_h12_drop0.20,02b_vintage_sweep,12,0.2,False,6,5,0.3903930087884267,0.11355434411416704,0.2930701971054077,0.6155372858047485,-0.058789544446127856,VIX,0.8333333333333334
02b_vintage_sweep/baseline_h18_drop0.20,02b_vintage_sweep,18,0.2,False,6,5,0.3818611452976863,0.034619807292882374,0.3312045931816101,0.43020862340927124,-0.012138781377247438,VIX,1.0
02b_vintage_sweep/baseline_h12_drop0.10,02b_vintage_sweep,12,0.1,False,6,5,0.3553459992011388,0.07811333233815676,0.2834276258945465,0.5185579061508179,-0.03594831143106738,VIX,0.6666666666666666
02b_vintage_sweep/baseline_h10_drop0.25,02b_vintage_sweep,10,0.25,False,6,5,0.5217997382084528,0.016356420907105484,0.4934362471103668,0.5374690294265747,0.00732524139540533,VIX,1.0
02b_vintage_sweep/baseline_h16_drop0.30,02b_vintage_sweep,16,0.3,False,6,5,0.5548241933186849,0.026530528950587665,0.5094488263130188,0.5919333100318909,0.006538799830845333,VIX,1.0
