train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch
0.6681899428367615,0,49,,,,,,
,0,93,0.5982744097709656,1.6544835567474365,0.7153576016426086,0.9998799562454224,9259.935546875,
,0,93,,,,,,0.6856968402862549
0.7648531794548035,1,99,,,,,,
0.49683892726898193,1,149,,,,,,
,1,187,0.5031963586807251,1.8780137300491333,0.7165625095367432,1.000844120979309,2110.512939453125,
,1,187,,,,,,0.5784902572631836
0.45617789030075073,2,199,,,,,,
0.5001944303512573,2,249,,,,,,
,2,281,0.4683111906051636,1.8916125297546387,0.716741681098938,1.0011024475097656,1429.1279296875,
,2,281,,,,,,0.5027734637260437
0.38407307863235474,3,299,,,,,,
0.4908127784729004,3,349,,,,,,
,3,375,0.4589015543460846,1.8959869146347046,0.7161779999732971,1.0006928443908691,1982.833740234375,
,3,375,,,,,,0.47213825583457947
0.5458314418792725,4,399,,,,,,
0.4109591543674469,4,449,,,,,,
,4,469,0.45455482602119446,1.8580775260925293,0.7149533629417419,0.9999024271965027,3014.629150390625,
,4,469,,,,,,0.46251192688941956
0.5057157278060913,5,499,,,,,,
0.38741281628608704,5,549,,,,,,
,5,563,0.4525395631790161,1.8803631067276,0.7151654362678528,0.9999988079071045,2899.49755859375,
,5,563,,,,,,0.4578203558921814
0.4316003918647766,6,599,,,,,,
0.5225017070770264,6,649,,,,,,
,6,657,0.4493507742881775,1.9063869714736938,0.7153134346008301,1.0001709461212158,2346.15771484375,
,6,657,,,,,,0.45514389872550964
0.36290913820266724,7,699,,,,,,
0.45105090737342834,7,749,,,,,,
,7,751,0.4422294497489929,1.7305384874343872,0.7126058340072632,0.9988127946853638,4562.10498046875,
,7,751,,,,,,0.4508218467235565
0.5833803415298462,8,799,,,,,,
,8,845,0.4381038546562195,1.8011195659637451,0.7136988639831543,0.9996606707572937,2961.37744140625,
,8,845,,,,,,0.4468817710876465
0.47039058804512024,9,849,,,,,,
0.4606490433216095,9,899,,,,,,
,9,939,0.4348537027835846,1.6261497735977173,0.7133370637893677,0.9996926784515381,6164.51416015625,
,9,939,,,,,,0.44239357113838196
0.40101298689842224,10,949,,,,,,
0.37904706597328186,10,999,,,,,,
,10,1033,0.4321103096008301,1.6301573514938354,0.7124858498573303,0.9991934299468994,5114.62646484375,
,10,1033,,,,,,0.43947723507881165
0.46814489364624023,11,1049,,,,,,
0.3884928822517395,11,1099,,,,,,
,11,1127,0.43061894178390503,1.6960361003875732,0.7127044200897217,0.9991562366485596,3359.67236328125,
,11,1127,,,,,,0.4368866980075836
0.6100883483886719,12,1149,,,,,,
0.34264886379241943,12,1199,,,,,,
,12,1221,0.4302316904067993,1.6549112796783447,0.7123600840568542,0.9989422559738159,4079.936279296875,
,12,1221,,,,,,0.4355858266353607
0.32703059911727905,13,1249,,,,,,
0.46776914596557617,13,1299,,,,,,
,13,1315,0.4280651807785034,1.7414802312850952,0.712668240070343,0.9989935755729675,2181.497314453125,
,13,1315,,,,,,0.43559882044792175
0.4047858715057373,14,1349,,,,,,
0.5142511129379272,14,1399,,,,,,
,14,1409,0.42648276686668396,1.627915382385254,0.7122910022735596,0.9990386962890625,4759.94091796875,
,14,1409,,,,,,0.4333871603012085
0.4481947124004364,15,1449,,,,,,
0.5037174224853516,15,1499,,,,,,
,15,1503,0.4259832501411438,1.5859200954437256,0.7125517129898071,0.999379575252533,5954.5986328125,
,15,1503,,,,,,0.4328345060348511
0.4087548553943634,16,1549,,,,,,
,16,1597,0.424254834651947,1.6303977966308594,0.7128029465675354,0.9993897676467896,5017.470703125,
,16,1597,,,,,,0.43161293864250183
0.4717126786708832,17,1599,,,,,,
0.41122156381607056,17,1649,,,,,,
,17,1691,0.4238679111003876,1.7253576517105103,0.7121480703353882,0.998569130897522,2372.806640625,
,17,1691,,,,,,0.43024009466171265
0.3949560523033142,18,1699,,,,,,
0.39243218302726746,18,1749,,,,,,
,18,1785,0.4236505329608917,1.635489821434021,0.7126940488815308,0.9991445541381836,4759.81982421875,
,18,1785,,,,,,0.42980217933654785
0.5092803239822388,19,1799,,,,,,
0.39294707775115967,19,1849,,,,,,
,19,1879,0.4224160611629486,1.5925101041793823,0.7123429179191589,0.9990994930267334,5840.35546875,
,19,1879,,,,,,0.42966997623443604
0.4499221444129944,20,1899,,,,,,
0.37060317397117615,20,1949,,,,,,
,20,1973,0.4214949607849121,1.58294677734375,0.7121689915657043,0.9991866946220398,6068.35302734375,
,20,1973,,,,,,0.42816808819770813
0.3835631012916565,21,1999,,,,,,
0.3846278190612793,21,2049,,,,,,
,21,2067,0.4197911024093628,1.6622029542922974,0.7126520276069641,0.9990378022193909,4284.1689453125,
,21,2067,,,,,,0.42787307500839233
0.35231250524520874,22,2099,,,,,,
0.4166111350059509,22,2149,,,,,,
,22,2161,0.4191972315311432,1.6519261598587036,0.7115377187728882,0.9982790946960449,3927.976806640625,
,22,2161,,,,,,0.4270137548446655
0.3509206771850586,23,2199,,,,,,
0.37080228328704834,23,2249,,,,,,
,23,2255,0.4179113209247589,1.5879093408584595,0.7116047739982605,0.998772144317627,5593.462890625,
,23,2255,,,,,,0.42636269330978394
0.4785141348838806,24,2299,,,,,,
0.5119452476501465,24,2349,,,,,,
,24,2349,0.4164411127567291,1.7071974277496338,0.7112036347389221,0.9979308843612671,2481.266357421875,
,24,2349,,,,,,0.42669203877449036
0.3187286853790283,25,2399,,,,,,
,25,2443,0.4155283272266388,1.6211429834365845,0.7116829752922058,0.998527467250824,4813.00341796875,
