experiment_name,period1,period2,cosine_similarity,l2_distance,entropy_change,concentration_change,top_timestep1,top_timestep2,top_timestep_delta,signal_cosine,signal_l2,signal_entropy,signal_top_timestep,n_signals_fired
00_baseline_exploration/sweep2_hidden_20,2024,2025,0.9970129186829173,0.01740715652704239,-0.05592489242553711,0.0003608390688896179,t-14,t-0,14,False,False,True,True,2
00_baseline_exploration/sweep_dropout_0.2,2020,2021,0.9612510371730599,0.08368556201457977,0.24352741241455078,-0.02175655961036682,t-19,t-19,0,False,True,True,False,2
00_baseline_exploration/sweep_dropout_0.2,2021,2022,0.9216846968956754,0.1312216967344284,-0.31493043899536133,0.04064740985631943,t-19,t-19,0,True,True,True,False,3
00_baseline_exploration/sweep_dropout_0.2,2022,2023,0.893253884531775,0.1483851671218872,0.4632110595703125,-0.04341007024049759,t-19,t-19,0,True,True,True,False,3
00_baseline_exploration/sweep_dropout_0.2,2023,2024,0.993461014852866,0.029088178649544716,-0.060951948165893555,0.004633631557226181,t-19,t-19,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_enc_20,2021,2022,0.9859033760409435,0.03887147083878517,-0.2290053367614746,0.0030850060284137726,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_enc_20,2022,2023,0.9759013329412464,0.0505295991897583,0.34380292892456055,-0.003452107310295105,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_hidden_10,2022,2023,0.9830163728408725,0.04327767342329025,0.18811488151550293,-0.0038355961441993713,t-0,t-9,9,False,True,True,True,3
00_baseline_exploration/sweep_hidden_32,2020,2021,0.9938864210323627,0.027437593787908554,-0.1331033706665039,0.0013114996254444122,t-19,t-19,0,False,True,True,False,2
00_baseline_exploration/sweep_hidden_32,2022,2023,0.9887655133938953,0.03952986001968384,0.16076111793518066,-0.0037169307470321655,t-19,t-19,0,False,True,True,False,2
00_baseline_exploration/sweep_hidden_32,2023,2024,0.9942934464947698,0.027677230536937714,-0.0571441650390625,-0.0030780434608459473,t-19,t-19,0,False,True,True,False,2
00_baseline_exploration/sweep_lr_0.002,2022,2023,0.979143112065819,0.0520489476621151,0.5671255588531494,-0.007972825318574905,t-19,t-19,0,False,True,True,False,2
00_baseline_exploration/sweep2_combo1,2020,2021,0.9844483402759246,0.028887540102005005,-0.061446189880371094,0.0015163980424404144,t-0,t-0,0,False,True,True,False,2
