train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique,val_dir_acc,val_sharpe,val_composite
1.692596197128296,0,49,,,,,,,,,,,,
1.1182305812835693,0,99,,,,,,,,,,,,
,0,107,0.3558356761932373,0.09397757798433304,0.02196766436100006,0.02196766436100006,0.08975987136363983,,,,,,,
,0,107,,,,,,1.420995831489563,0.0,100.0,1.0,1.0,0.0,1.0
0.9829999208450317,1,149,,,,,,,,,,,,
1.0272486209869385,1,199,,,,,,,,,,,,
,1,215,0.18973040580749512,0.48935171961784363,0.09622025489807129,0.09622025489807129,0.39315593242645264,,,,,,,
,1,215,,,,,,1.1942373514175415,0.0,100.0,1.0,1.0,0.0,1.0
1.28624427318573,2,249,,,,,,,,,,,,
1.678480625152588,2,299,,,,,,,,,,,,
,2,323,0.31475910544395447,0.750654935836792,0.13357828557491302,0.13357828557491302,0.5458008646965027,,,,,,,
,2,323,,,,,,1.0415589809417725,0.0,100.0,1.0,1.0,0.0,1.0
1.238579273223877,3,349,,,,,,,,,,,,
1.0152342319488525,3,399,,,,,,,,,,,,
,3,431,0.34201639890670776,0.07610489428043365,0.017942994832992554,0.017942994832992554,0.07331506907939911,,,,,,,
,3,431,,,,,,0.9804642796516418,0.0,100.0,1.0,1.0,0.0,1.0
0.8270782232284546,4,449,,,,,,,,,,,,
0.7739303112030029,4,499,,,,,,,,,,,,
,4,539,0.35967451333999634,0.17544029653072357,0.047065526247024536,0.047065526247024536,0.19230972230434418,,,,,,,
,4,539,,,,,,0.9648010730743408,0.0,100.0,1.0,1.0,0.0,1.0
0.7947713732719421,5,549,,,,,,,,,,,,
0.7684131264686584,5,599,,,,,,,,,,,,
,5,647,0.36997854709625244,0.16837409138679504,0.03800779581069946,0.03800779581069946,0.1552998423576355,,,,,,,
,5,647,,,,,,0.9543930888175964,0.0,100.0,1.0,1.0,0.0,1.0
0.8029248714447021,6,649,,,,,,,,,,,,
0.9006428718566895,6,699,,,,,,,,,,,,
0.6491015553474426,6,749,,,,,,,,,,,,
,6,755,0.38621753454208374,0.2730248272418976,0.0773833692073822,0.0773833692073822,0.31618842482566833,,,,,,,
,6,755,,,,,,0.9486574530601501,0.0,100.0,1.0,1.0,0.0,1.0
0.7826399803161621,7,799,,,,,,,,,,,,
1.0457062721252441,7,849,,,,,,,,,,,,
,7,863,0.36881017684936523,0.10184218734502792,0.026261955499649048,0.026261955499649048,0.1073063462972641,,,,,,,
,7,863,,,,,,0.9450793862342834,0.0,100.0,1.0,1.0,0.0,1.0
0.6720368266105652,8,899,,,,,,,,,,,,
0.7587747573852539,8,949,,,,,,,,,,,,
,8,971,0.36470913887023926,0.07509063184261322,0.017712518572807312,0.017712518572807312,0.07237334549427032,,,,,,,
,8,971,,,,,,0.9419500827789307,0.0,100.0,1.0,1.0,0.0,1.0
1.0291324853897095,9,999,,,,,,,,,,,,
0.7405127286911011,9,1049,,,,,,,,,,,,
,9,1079,0.37512779235839844,0.24170370399951935,0.06728571653366089,0.06728571653366089,0.2749294340610504,,,,,,,
,9,1079,,,,,,0.9419634342193604,0.0,100.0,1.0,1.0,0.0,1.0
0.7002424001693726,10,1099,,,,,,,,,,,,
0.6018316745758057,10,1149,,,,,,,,,,,,
,10,1187,0.38179007172584534,0.21532376110553741,0.05905601382255554,0.05905601382255554,0.24130286276340485,,,,,,,
,10,1187,,,,,,0.940436840057373,0.0,100.0,1.0,1.0,0.0,1.0
1.0598983764648438,11,1199,,,,,,,,,,,,
0.9152759313583374,11,1249,,,,,,,,,,,,
,11,1295,0.3764687180519104,0.19588740170001984,0.05314648151397705,0.05314648151397705,0.2171565145254135,,,,,,,
,11,1295,,,,,,0.9387978315353394,0.0,100.0,1.0,1.0,0.0,1.0
