evaluation_timestamp,collapse_detected,degradation_detected,checkpoint_used,frequency,max_prediction_length,fold_id,test_year,test_start,test_end,train_years,pred_min,pred_max,pred_mean,pred_std,pred_range,pred_num_unique,pred_pct_positive,pred_pct_negative,pred_num_predictions,mse,rmse,mae,mape,r2,mean_error,std_error,directional_accuracy,sharpe_ratio,max_drawdown,total_return,hit_rate,num_trades,precision,recall,f1_score,confusion_matrix,auc_roc,alpha,healthy_periods,degraded_periods,unidirectional_periods,weak_collapse_periods,strong_collapse_periods,total_periods,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,experiment
2025-12-14T01:27:32.802039,True,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_d010/fold_2016/checkpoints/tft-epoch=epoch=85-valloss=val_loss=0.3778.ckpt,daily,1,fold_2016,2016,2016-01-01,2016-12-31,10,0.06788289546966553,0.12311486899852753,0.0941726565361023,0.015566866844892502,0.055231973528862,200,100.0,0.0,200,0.6004261374473572,0.7748717069625854,0.5479777455329895,212.58232593536377,0.004268229007720947,-0.034959521144628525,0.7740826606750488,0.51,1.2104857776503184,-0.05595732107758522,0.11891007423400879,0.51,200,0.51,1.0,0.6754966887417219,"[[0, 98], [0, 102]]",0.5615246098439376,0.0,29,0,167,2,2,200,14.499999999999998,0.0,83.5,1.0,1.0,macro_heavy_daily_h1_d010
2025-12-14T01:41:15.746410,True,False,experiments/12c_h1_rolling/macro_heavy_daily_h1_d010/fold_2017/checkpoints/tft-epoch=epoch=55-valloss=val_loss=0.3059.ckpt,daily,1,fold_2017,2017,2017-01-01,2017-12-31,10,0.04653968662023544,0.05982283130288124,0.050065163522958755,0.002163443248718977,0.013283144682645798,197,100.0,0.0,200,0.18076378107070923,0.42516323924064636,0.289092481136322,112.74054050445557,0.0008436441421508789,0.010826850309967995,0.42502540349960327,0.595,2.2725931339001235,-0.027967534959316254,0.12742555141448975,0.595,200,0.595,1.0,0.7460815047021944,"[[0, 81], [0, 119]]",0.560639070442992,0.0,29,0,0,152,19,200,14.499999999999998,0.0,0.0,76.0,9.5,macro_heavy_daily_h1_d010
2025-12-14T01:55:50.378168,True,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_d010/fold_2018/checkpoints/tft-epoch=epoch=65-valloss=val_loss=0.1752.ckpt,daily,1,fold_2018,2018,2018-01-01,2018-12-31,10,0.008008880540728569,0.1148746907711029,0.04816111549735069,0.03475610166788101,0.10686580836772919,198,100.0,0.0,199,0.9678765535354614,0.9838071465492249,0.6874918937683105,118.01981925964355,0.0005460381507873535,-0.05508088320493698,0.9822640419006348,0.5226130653266332,-0.11162565834681244,-0.09842368215322495,-0.02319413423538208,0.5226130653266332,199,0.5226130653266332,1.0,0.6864686468646866,"[[0, 95], [0, 104]]",0.5472672064777327,0.0,30,0,163,6,0,199,15.07537688442211,0.0,81.90954773869346,3.015075376884422,0.0,macro_heavy_daily_h1_d010
2025-12-14T02:10:22.005912,False,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_d010/fold_2019/checkpoints/tft-epoch=epoch=90-valloss=val_loss=0.3784.ckpt,daily,1,fold_2019,2019,2019-01-01,2019-12-31,10,0.025956034660339355,0.08450702577829361,0.047068748623132706,0.015032299794256687,0.058550991117954254,199,100.0,0.0,200,0.6016846299171448,0.7756833434104919,0.5638166666030884,125.69564580917358,0.0032368898391723633,0.033553823828697205,0.7749572396278381,0.585,1.6472836498754606,-0.06836147606372833,0.1678025722503662,0.585,200,0.585,1.0,0.7381703470031545,"[[0, 83], [0, 117]]",0.5332097621254247,0.0,30,0,170,0,0,200,15.0,0.0,85.0,0.0,0.0,macro_heavy_daily_h1_d010
2025-12-14T02:24:41.683082,False,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_d010/fold_2020/checkpoints/tft-epoch=epoch=70-valloss=val_loss=0.3080.ckpt,daily,1,fold_2020,2020,2020-01-01,2020-12-31,10,0.025141092017292976,0.19119709730148315,0.1529543399810791,0.042352333664894104,0.16605600714683533,201,100.0,0.0,201,5.793210983276367,2.4069089889526367,1.55237877368927,119.60407495498657,-0.0011336803436279297,-0.08855590969324112,2.4052793979644775,0.572139303482587,0.424973576464598,-0.3392496705055237,0.07327389717102051,0.572139303482587,201,0.572139303482587,1.0,0.7278481012658228,"[[0, 86], [0, 115]]",0.4618806875631952,0.0,30,0,171,0,0,201,14.925373134328357,0.0,85.07462686567165,0.0,0.0,macro_heavy_daily_h1_d010
2025-12-14T02:39:15.110346,False,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_d010/fold_2021/checkpoints/tft-epoch=epoch=99-valloss=val_loss=0.9410.ckpt,daily,1,fold_2021,2021,2021-01-01,2021-12-31,10,0.06770246475934982,0.22634020447731018,0.1066364124417305,0.037450797855854034,0.15863773226737976,200,100.0,0.0,200,0.5470691919326782,0.7396412491798401,0.5569419264793396,153.44640016555786,0.013368844985961914,0.007894125767052174,0.7395990490913391,0.575,2.4416189364517393,-0.05212545022368431,0.250307559967041,0.575,200,0.575,1.0,0.7301587301587301,"[[0, 85], [0, 115]]",0.48286445012787726,0.0,30,0,170,0,0,200,15.0,0.0,85.0,0.0,0.0,macro_heavy_daily_h1_d010
2025-12-14T02:53:10.061061,True,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_d010/fold_2022/checkpoints/tft-epoch=epoch=18-valloss=val_loss=0.3120.ckpt,daily,1,fold_2022,2022,2022-01-01,2022-12-31,10,0.060834646224975586,0.10194845497608185,0.08315999060869217,0.011085011065006256,0.04111380875110626,199,100.0,0.0,199,2.576216697692871,1.6050597429275513,1.2776176929473877,108.63029956817627,-0.005924224853515625,-0.13728685677051544,1.5991777181625366,0.4472361809045226,-0.53691375574447,-0.2258353978395462,-0.12476766109466553,0.4472361809045226,199,0.4472361809045226,1.0,0.6180555555555556,"[[0, 110], [0, 89]]",0.5045965270684372,0.0,29,1,141,28,0,199,14.572864321608039,0.5025125628140703,70.85427135678391,14.07035175879397,0.0,macro_heavy_daily_h1_d010
2025-12-14T03:06:24.300940,False,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_d010/fold_2023/checkpoints/tft-epoch=epoch=43-valloss=val_loss=0.7146.ckpt,daily,1,fold_2023,2023,2023-01-01,2023-12-31,10,0.02976384200155735,0.23126770555973053,0.0844268873333931,0.053394049406051636,0.20150385797023773,199,100.0,0.0,199,0.6955041885375977,0.8339689373970032,0.661888837814331,167.7599549293518,0.002086460590362549,-0.03411395475268364,0.8332709670066833,0.5226130653266332,0.956701713786933,-0.1083863377571106,0.09764766693115234,0.5226130653266332,199,0.5226130653266332,1.0,0.6864686468646866,"[[0, 95], [0, 104]]",0.505161943319838,0.0,30,0,169,0,0,199,15.07537688442211,0.0,84.92462311557789,0.0,0.0,macro_heavy_daily_h1_d010
2025-12-14T03:19:16.856802,True,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_d010/fold_2024/checkpoints/tft-epoch=epoch=16-valloss=val_loss=0.3553.ckpt,daily,1,fold_2024,2024,2024-01-01,2024-12-31,10,0.06603133678436279,0.07609469443559647,0.06938531249761581,0.0025312723591923714,0.010063357651233673,199,100.0,0.0,200,0.6695191264152527,0.8182414770126343,0.6106983423233032,185.47728061676025,0.00010859966278076172,0.017499376088380814,0.8180543780326843,0.565,1.6855375799170806,-0.08485137671232224,0.18174850940704346,0.565,200,0.565,1.0,0.7220447284345047,"[[0, 87], [0, 113]]",0.5238531176889432,0.0,29,1,0,168,2,200,14.499999999999998,0.5,0.0,84.0,1.0,macro_heavy_daily_h1_d010
2025-12-14T01:27:23.429291,True,True,experiments/12c_h1_rolling/macro_heavy_daily_h1_d005/fold_2016/checkpoints/tft-epoch=epoch=85-valloss=val_loss=0.3759.ckpt,daily,1,fold_2016,2016,2016-01-01,2016-12-31,10,0.08048613369464874,0.1618916094303131,0.1208997368812561,0.02291504293680191,0.08140547573566437,200,100.0,0.0,200,0.6024422645568848,0.7761715650558472,0.5508182644844055,248.15881252288818,0.0009247660636901855,-0.06168658286333084,0.7737163305282593,0.51,1.2104857776503184,-0.05595732107758522,0.11891007423400879,0.51,200,0.51,1.0,0.6754966887417219,"[[0, 98], [0, 102]]",0.5628251300520207,0.0,29,0,168,3,0,200,14.499999999999998,0.0,84.0,1.5,0.0,macro_heavy_daily_h1_d005
