experiment,avg_entropy,std_entropy,min_entropy,max_entropy,entropy_range,avg_concentration,std_concentration,temporal_variance,top_timestep_diversity,mean_attention_pattern,phase
baseline_h18_drop0.20,2.860894799232483,0.05667841127236893,2.768423318862915,2.9487760066986084,0.18035268783569336,0.053382255136966705,0.0021914890826117434,2.0316416139257805e-05,0.16666666666666666,"[0.0277015  0.03108437 0.03370722 0.03669622 0.03934989 0.04170325
 0.0438699  0.04589381 0.04789984 0.04982738 0.05165856 0.0533556
 0.054926   0.05662567 0.05834059 0.06022946 0.0623209  0.06477019
 0.06785341 0.07218621]",Vintage Release
baseline_h14_drop0.25,2.93703826268514,0.03493312690014694,2.878150224685669,2.970719337463379,0.09256911277770996,0.050458760311206184,0.0007081566693069065,1.1176172162566626e-05,0.3333333333333333,"[0.04313748 0.04309158 0.04429797 0.04605404 0.0477834  0.04909758
 0.04992859 0.05040903 0.05069118 0.05082044 0.05090341 0.05098281
 0.0510857  0.05132312 0.05166561 0.05215066 0.05278559 0.05359492
 0.05459621 0.05560065]",Vintage Release
baseline_h10_drop0.10,2.780064423878988,0.13216887614705713,2.5194506645202637,2.9083099365234375,0.38885927200317383,0.05310768447816372,0.005402935772561853,0.00010907957387064114,0.5,"[0.04919363 0.05141876 0.0515264  0.05003148 0.04764944 0.0453469
 0.04370679 0.04281964 0.04273295 0.04323915 0.04417817 0.04541712
 0.04686111 0.04853311 0.05029663 0.052323   0.05468883 0.05777737
 0.06231893 0.06994059]",Vintage Release
baseline_h16_drop0.30,2.8246991634368896,0.08937423648999888,2.6629202365875244,2.9436392784118652,0.2807190418243408,0.050316156819462776,0.00029354489194096626,4.607750783015281e-06,0.16666666666666666,"[0.04840384 0.04930548 0.04965456 0.04950728 0.04907118 0.04853388
 0.0480507  0.04761659 0.04737986 0.04729231 0.04745071 0.04771429
 0.04807101 0.04870852 0.04947307 0.05056903 0.05200081 0.05395604
 0.05662919 0.06061166]",Vintage Release
baseline_h18_drop0.30,2.8688740730285645,0.06362954021068656,2.7590439319610596,2.95261549949646,0.1935715675354004,0.05222382086018721,0.0016449797430898407,1.7399413363196923e-05,0.16666666666666666,"[0.02880952 0.03332155 0.03746865 0.04063937 0.0429419  0.04485804
 0.04654824 0.04802643 0.04938558 0.05060949 0.05176294 0.05283205
 0.05381688 0.05495397 0.05615519 0.05753455 0.05912191 0.06101529
 0.06340557 0.0667929 ]",Vintage Release
baseline_h18_drop0.10,2.8263362646102905,0.10882762058197502,2.592482566833496,2.91176176071167,0.31927919387817383,0.05911522793273131,0.010687477770964347,0.000124863686360382,0.16666666666666666,"[0.02694651 0.02821167 0.0291183  0.03076606 0.03296002 0.03537681
 0.03788875 0.0404254  0.04297408 0.04550456 0.04813512 0.05092859
 0.05391072 0.05711566 0.06043935 0.06413342 0.06846382 0.07393042
 0.0812241  0.09154662]",Vintage Release
baseline_h14_drop0.20,2.8905426263809204,0.05694594393785226,2.792407512664795,2.9529459476470947,0.1605384349822998,0.05093004492421945,0.0011100060845785794,1.903818697474215e-05,0.3333333333333333,"[0.04198735 0.04094893 0.04130742 0.0427757  0.04504426 0.04750839
 0.04931557 0.05032656 0.05081236 0.05099517 0.05110031 0.05119928
 0.05135399 0.05172533 0.05227255 0.05311013 0.05425028 0.0557702
 0.05783247 0.06036376]",Vintage Release
baseline_h20_drop0.15,2.613322695096334,0.24087136290574748,2.153581380844116,2.8348114490509033,0.6812300682067871,0.08132906506458919,0.03262783342619962,0.00045480595814333737,0.16666666666666666,"[0.01162024 0.01450124 0.01744088 0.02057175 0.02352711 0.02621939
 0.02873405 0.03122169 0.03382376 0.0367142  0.04011995 0.04428281
 0.04941013 0.05597941 0.06413328 0.0739748  0.08536521 0.09821577
 0.11315346 0.13099086]",Vintage Release
baseline_h18_drop0.15,2.867450396219889,0.06645885137136089,2.733947992324829,2.936332941055298,0.20238494873046875,0.055569746841986976,0.004148199515195732,4.1337221931472224e-05,0.16666666666666666,"[0.02708709 0.02934833 0.03063165 0.03277177 0.03530578 0.0379303
 0.04048858 0.04290923 0.04527545 0.04764386 0.05011188 0.05262957
 0.05512382 0.05770763 0.06028327 0.06308426 0.06623254 0.06996708
 0.07462838 0.08083956]",Vintage Release
baseline_h12_drop0.10,2.7284366687138877,0.16755996272572737,2.493840217590332,2.918381929397583,0.424541711807251,0.07282437197864056,0.02065574678745496,0.00025649107196390843,0.16666666666666666,"[0.02660456 0.02627298 0.02722308 0.02794915 0.02855885 0.02909866
 0.02969737 0.03044485 0.03143455 0.0328927  0.03503117 0.03823264
 0.04299735 0.0498222  0.05910943 0.0706211  0.08355534 0.09696233
 0.11005928 0.12343243]",Vintage Release
