evaluation_timestamp,prediction_stats,statistical_metrics,financial_metrics,residual_diagnostics,mode_stats,collapse_detected,degradation_detected,checkpoint_used,frequency,fold_id,test_year,test_start,test_end,train_years
2025-12-01T20:52:09.986547,"{'min': 0.03548913449048996, 'max': 0.08801158517599106, 'mean': 0.05518288165330887, 'std': 0.013198193162679672, 'range': 0.0525224506855011, 'num_unique': 229, 'pct_positive': 100.0, 'pct_negative': 0.0, 'num_predictions': 230}","{'mse': 0.5522893667221069, 'rmse': 0.7431617379188538, 'mae': 0.5220181941986084, 'mape': 149.84357357025146, 'r2': -0.00014650821685791016, 'mean_error': 0.008639272302389145, 'std_error': 0.7431114315986633}","{'directional_accuracy': 0.5217391304347826, 'sharpe_ratio': 1.3633903199745212, 'max_drawdown': -0.05595732107758522, 'total_return': 0.1507207155227661, 'hit_rate': 0.5217391304347826, 'num_trades': 230, 'precision': 0.5217391304347826, 'recall': 1.0, 'f1_score': 0.6857142857142856, 'confusion_matrix': [[0, 110], [0, 120]], 'auc_roc': 0.5107575757575757, 'alpha': 0.0}","{'normality_p_value': 7.844328577481764e-07, 'acf_lag1': -0.043993197341686385, 'skewness': -0.39479740903933463, 'kurtosis': 3.1265053233708624}","{'healthy_periods': 30, 'degraded_periods': 0, 'unidirectional_periods': 127, 'weak_collapse_periods': 33, 'strong_collapse_periods': 40, 'total_periods': 230, 'healthy_pct': 13.043478260869565, 'degraded_pct': 0.0, 'unidirectional_pct': 55.21739130434783, 'weak_collapse_pct': 14.347826086956522, 'strong_collapse_pct': 17.391304347826086}",True,True,experiments/07_weekly_mods/rolling/daily_regime_attn/fold_2016/checkpoints/tft-epoch=epoch=18-valloss=val_loss=0.4017.ckpt,daily,fold_2016,2016,2016-01-01,2016-12-31,10
2025-12-01T21:03:21.980385,"{'min': -0.04100591689348221, 'max': -0.0017481595277786255, 'mean': -0.02546549215912819, 'std': 0.008324936963617802, 'range': 0.03925775736570358, 'num_unique': 230, 'pct_positive': 0.0, 'pct_negative': 100.0, 'num_predictions': 230}","{'mse': 0.18758070468902588, 'rmse': 0.4331058859825134, 'mae': 0.30275794863700867, 'mape': 110.68999767303467, 'r2': -0.05029022693634033, 'mean_error': 0.09662556648254395, 'std_error': 0.42218974232673645}","{'directional_accuracy': 0.41739130434782606, 'sharpe_ratio': 0.0, 'max_drawdown': 0.0, 'total_return': 0.0, 'hit_rate': 0.0, 'num_trades': 0, 'precision': 0.0, 'recall': 0.0, 'f1_score': 0.0, 'confusion_matrix': [[96, 0], [134, 0]], 'auc_roc': 0.49681281094527363, 'alpha': -0.1753385066986084}","{'normality_p_value': 1.1970226917467563e-07, 'acf_lag1': -0.13475773659328621, 'skewness': -0.5190202728172576, 'kurtosis': 3.1061530088271834}","{'healthy_periods': 29, 'degraded_periods': 0, 'unidirectional_periods': 126, 'weak_collapse_periods': 61, 'strong_collapse_periods': 14, 'total_periods': 230, 'healthy_pct': 12.608695652173912, 'degraded_pct': 0.0, 'unidirectional_pct': 54.78260869565217, 'weak_collapse_pct': 26.521739130434785, 'strong_collapse_pct': 6.086956521739131}",True,True,experiments/07_weekly_mods/rolling/daily_regime_attn/fold_2017/checkpoints/tft-epoch=epoch=50-valloss=val_loss=0.2969.ckpt,daily,fold_2017,2017,2017-01-01,2017-12-31,10
2025-12-01T21:14:42.382785,"{'min': -0.03890889137983322, 'max': -0.023622192442417145, 'mean': -0.03012019395828247, 'std': 0.004579178057610989, 'range': 0.015286698937416077, 'num_unique': 228, 'pct_positive': 0.0, 'pct_negative': 100.0, 'num_predictions': 229}","{'mse': 1.2079739570617676, 'rmse': 1.09907865524292, 'mae': 0.763129711151123, 'mape': 118.6190128326416, 'r2': -4.673004150390625e-05, 'mean_error': -0.006726408842951059, 'std_error': 1.0990581512451172}","{'directional_accuracy': 0.4847161572052402, 'sharpe_ratio': 0.0, 'max_drawdown': 0.0, 'total_return': 0.0, 'hit_rate': 0.0, 'num_trades': 0, 'precision': 0.0, 'recall': 0.0, 'f1_score': 0.0, 'confusion_matrix': [[111, 0], [118, 0]], 'auc_roc': 0.4847304932050695, 'alpha': 0.09360229969024658}","{'normality_p_value': 2.4218545156696383e-06, 'acf_lag1': -0.01388998000625562, 'skewness': -0.367036942551496, 'kurtosis': 2.9177534357320285}","{'healthy_periods': 29, 'degraded_periods': 1, 'unidirectional_periods': 0, 'weak_collapse_periods': 188, 'strong_collapse_periods': 11, 'total_periods': 229, 'healthy_pct': 12.663755458515283, 'degraded_pct': 0.43668122270742354, 'unidirectional_pct': 0.0, 'weak_collapse_pct': 82.09606986899564, 'strong_collapse_pct': 4.8034934497816595}",True,True,experiments/07_weekly_mods/rolling/daily_regime_attn/fold_2018/checkpoints/tft-epoch=epoch=04-valloss=val_loss=0.1974.ckpt,daily,fold_2018,2018,2018-01-01,2018-12-31,10
2025-12-01T21:25:48.863785,"{'min': -0.031160656362771988, 'max': 0.0940646231174469, 'mean': 0.019442394375801086, 'std': 0.03283419460058212, 'range': 0.1252252757549286, 'num_unique': 230, 'pct_positive': 63.91304347826087, 'pct_negative': 36.08695652173913, 'num_predictions': 230}","{'mse': 0.5509540438652039, 'rmse': 0.7422627806663513, 'mae': 0.5387255549430847, 'mape': 105.92354536056519, 'r2': -0.0013979673385620117, 'mean_error': 0.06590425223112106, 'std_error': 0.7393312454223633}","{'directional_accuracy': 0.508695652173913, 'sharpe_ratio': 1.4711820873086954, 'max_drawdown': -0.06411685049533844, 'total_return': 0.15080392360687256, 'hit_rate': 0.3695652173913043, 'num_trades': 147, 'precision': 0.5782312925170068, 'recall': 0.625, 'f1_score': 0.6007067137809187, 'confusion_matrix': [[32, 62], [51, 85]], 'auc_roc': 0.5186170212765957, 'alpha': -0.05828511714935303}","{'normality_p_value': 5.6377684876923995e-12, 'acf_lag1': -0.04378163182666245, 'skewness': -1.0224653893333924, 'kurtosis': 2.9858954982302404}","{'healthy_periods': 216, 'degraded_periods': 11, 'unidirectional_periods': 3, 'weak_collapse_periods': 0, 'strong_collapse_periods': 0, 'total_periods': 230, 'healthy_pct': 93.91304347826087, 'degraded_pct': 4.782608695652174, 'unidirectional_pct': 1.3043478260869565, 'weak_collapse_pct': 0.0, 'strong_collapse_pct': 0.0}",False,True,experiments/07_weekly_mods/rolling/daily_regime_attn/fold_2019/checkpoints/tft-epoch=epoch=86-valloss=val_loss=0.4218.ckpt,daily,fold_2019,2019,2019-01-01,2019-12-31,10
2025-12-01T21:37:17.060549,"{'min': -0.05783965066075325, 'max': 0.2010875940322876, 'mean': 0.07305145263671875, 'std': 0.07232590019702911, 'range': 0.25892725586891174, 'num_unique': 231, 'pct_positive': 83.11688311688312, 'pct_negative': 16.883116883116884, 'num_predictions': 231}","{'mse': 5.075891971588135, 'rmse': 2.252974033355713, 'mae': 1.4176186323165894, 'mape': 106.52275085449219, 'r2': 0.0018135905265808105, 'mean_error': 0.00046891876263543963, 'std_error': 2.252974033355713}","{'directional_accuracy': 0.5627705627705628, 'sharpe_ratio': 0.5078233636668072, 'max_drawdown': -0.3392496705055237, 'total_return': 0.1125333309173584, 'hit_rate': 0.4805194805194805, 'num_trades': 192, 'precision': 0.578125, 'recall': 0.8473282442748091, 'f1_score': 0.6873065015479877, 'confusion_matrix': [[19, 81], [20, 111]], 'auc_roc': 0.5177862595419848, 'alpha': -0.004313230514526367}","{'normality_p_value': 5.41565191097888e-13, 'acf_lag1': -0.3559179477241323, 'skewness': -0.619033122641486, 'kurtosis': 7.163473779571314}","{'healthy_periods': 169, 'degraded_periods': 3, 'unidirectional_periods': 59, 'weak_collapse_periods': 0, 'strong_collapse_periods': 0, 'total_periods': 231, 'healthy_pct': 73.16017316017316, 'degraded_pct': 1.2987012987012987, 'unidirectional_pct': 25.541125541125542, 'weak_collapse_pct': 0.0, 'strong_collapse_pct': 0.0}",False,True,experiments/07_weekly_mods/rolling/daily_regime_attn/fold_2020/checkpoints/tft-epoch=epoch=76-valloss=val_loss=0.2907.ckpt,daily,fold_2020,2020,2020-01-01,2020-12-31,10
2025-12-01T21:48:10.668976,"{'min': -0.003896959125995636, 'max': 0.11981631070375443, 'mean': 0.038062043488025665, 'std': 0.01978142000734806, 'range': 0.12371326982975006, 'num_unique': 230, 'pct_positive': 99.1304347826087, 'pct_negative': 0.8695652173913043, 'num_predictions': 230}","{'mse': 0.6392478346824646, 'rmse': 0.7995297312736511, 'mae': 0.6077869534492493, 'mape': 120.20667791366577, 'r2': -0.001107931137084961, 'mean_error': 0.06944059580564499, 'std_error': 0.7965084910392761}","{'directional_accuracy': 0.5565217391304348, 'sharpe_ratio': 2.0412651609251027, 'max_drawdown': -0.05212527513504028, 'total_return': 0.25674355030059814, 'hit_rate': 0.5565217391304348, 'num_trades': 228, 'precision': 0.5614035087719298, 'recall': 0.9846153846153847, 'f1_score': 0.7150837988826815, 'confusion_matrix': [[0, 100], [2, 128]], 'auc_roc': 0.5233846153846153, 'alpha': -0.014233112335205078}","{'normality_p_value': 0.04257630317480462, 'acf_lag1': -0.06708675735384578, 'skewness': -0.28191658922171003, 'kurtosis': 0.6147306158657764}","{'healthy_periods': 63, 'degraded_periods': 0, 'unidirectional_periods': 167, 'weak_collapse_periods': 0, 'strong_collapse_periods': 0, 'total_periods': 230, 'healthy_pct': 27.391304347826086, 'degraded_pct': 0.0, 'unidirectional_pct': 72.60869565217392, 'weak_collapse_pct': 0.0, 'strong_collapse_pct': 0.0}",False,True,experiments/07_weekly_mods/rolling/daily_regime_attn/fold_2021/checkpoints/tft-epoch=epoch=93-valloss=val_loss=0.8562.ckpt,daily,fold_2021,2021,2021-01-01,2021-12-31,10
2025-12-01T21:59:02.595085,"{'min': 0.15634046494960785, 'max': 0.2973344326019287, 'mean': 0.26576995849609375, 'std': 0.035730209201574326, 'range': 0.14099396765232086, 'num_unique': 229, 'pct_positive': 100.0, 'pct_negative': 0.0, 'num_predictions': 229}","{'mse': 2.49883770942688, 'rmse': 1.5807712078094482, 'mae': 1.2615660429000854, 'mape': 138.91454935073853, 'r2': -0.03836691379547119, 'mean_error': -0.32525816559791565, 'std_error': 1.5469470024108887}","{'directional_accuracy': 0.4366812227074236, 'sharpe_ratio': -0.6087475928915013, 'max_drawdown': -0.2258353978395462, 'total_return': -0.1511407494544983, 'hit_rate': 0.4366812227074236, 'num_trades': 229, 'precision': 0.4366812227074236, 'recall': 1.0, 'f1_score': 0.60790273556231, 'confusion_matrix': [[0, 129], [0, 100]], 'auc_roc': 0.5515503875968992, 'alpha': 0.0}","{'normality_p_value': 0.5255966377573656, 'acf_lag1': -0.030190298026330945, 'skewness': -0.0002481038449945835, 'kurtosis': 0.3231805523723601}","{'healthy_periods': 30, 'degraded_periods': 0, 'unidirectional_periods': 197, 'weak_collapse_periods': 2, 'strong_collapse_periods': 0, 'total_periods': 229, 'healthy_pct': 13.100436681222707, 'degraded_pct': 0.0, 'unidirectional_pct': 86.02620087336244, 'weak_collapse_pct': 0.8733624454148471, 'strong_collapse_pct': 0.0}",True,True,experiments/07_weekly_mods/rolling/daily_regime_attn/fold_2022/checkpoints/tft-epoch=epoch=70-valloss=val_loss=0.3224.ckpt,daily,fold_2022,2022,2022-01-01,2022-12-31,10
2025-12-01T22:10:18.942912,"{'min': 0.012963630259037018, 'max': 0.27520057559013367, 'mean': 0.09030386805534363, 'std': 0.057314202189445496, 'range': 0.26223695278167725, 'num_unique': 228, 'pct_positive': 100.0, 'pct_negative': 0.0, 'num_predictions': 229}","{'mse': 0.6433073282241821, 'rmse': 0.8020644187927246, 'mae': 0.6285508871078491, 'mape': 170.4520583152771, 'r2': -0.0017348527908325195, 'mean_error': -0.021236877888441086, 'std_error': 0.8017832636833191}","{'directional_accuracy': 0.5458515283842795, 'sharpe_ratio': 1.3681633976372272, 'max_drawdown': -0.1083863377571106, 'total_return': 0.16272127628326416, 'hit_rate': 0.5458515283842795, 'num_trades': 229, 'precision': 0.5458515283842795, 'recall': 1.0, 'f1_score': 0.7062146892655368, 'confusion_matrix': [[0, 104], [0, 125]], 'auc_roc': 0.4724615384615384, 'alpha': 0.0}","{'normality_p_value': 0.6442096982326353, 'acf_lag1': 0.05792610049473582, 'skewness': -0.12561767776644303, 'kurtosis': -0.20332965894508792}","{'healthy_periods': 30, 'degraded_periods': 0, 'unidirectional_periods': 199, 'weak_collapse_periods': 0, 'strong_collapse_periods': 0, 'total_periods': 229, 'healthy_pct': 13.100436681222707, 'degraded_pct': 0.0, 'unidirectional_pct': 86.8995633187773, 'weak_collapse_pct': 0.0, 'strong_collapse_pct': 0.0}",False,True,experiments/07_weekly_mods/rolling/daily_regime_attn/fold_2023/checkpoints/tft-epoch=epoch=84-valloss=val_loss=0.6597.ckpt,daily,fold_2023,2023,2023-01-01,2023-12-31,10
2025-12-01T22:20:55.308378,"{'min': -0.038539592176675797, 'max': 0.08431456238031387, 'mean': 0.03469620645046234, 'std': 0.02920202910900116, 'range': 0.12285415828227997, 'num_unique': 230, 'pct_positive': 82.17391304347827, 'pct_negative': 17.82608695652174, 'num_predictions': 230}","{'mse': 0.663575291633606, 'rmse': 0.8146013021469116, 'mae': 0.6047065854072571, 'mape': 127.54545211791992, 'r2': -0.0034246444702148438, 'mean_error': 0.042065855115652084, 'std_error': 0.8135144710540771}","{'directional_accuracy': 0.5173913043478261, 'sharpe_ratio': 1.403222147456377, 'max_drawdown': -0.08485154807567596, 'total_return': 0.15906119346618652, 'hit_rate': 0.45217391304347826, 'num_trades': 189, 'precision': 0.5502645502645502, 'recall': 0.8, 'f1_score': 0.6520376175548589, 'confusion_matrix': [[15, 85], [26, 104]], 'auc_roc': 0.5024615384615384, 'alpha': -0.024903416633605957}","{'normality_p_value': 2.0082779481386787e-05, 'acf_lag1': 0.029554163042850294, 'skewness': -0.5312740215018196, 'kurtosis': 1.6497798249812288}","{'healthy_periods': 142, 'degraded_periods': 44, 'unidirectional_periods': 22, 'weak_collapse_periods': 1, 'strong_collapse_periods': 21, 'total_periods': 230, 'healthy_pct': 61.73913043478261, 'degraded_pct': 19.130434782608695, 'unidirectional_pct': 9.565217391304348, 'weak_collapse_pct': 0.43478260869565216, 'strong_collapse_pct': 9.130434782608695}",True,True,experiments/07_weekly_mods/rolling/daily_regime_attn/fold_2024/checkpoints/tft-epoch=epoch=21-valloss=val_loss=0.3392.ckpt,daily,fold_2024,2024,2024-01-01,2024-12-31,10
