experiment_name_attention,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep,phase_prefix,exp_name_only,experiment_name_collapse,phase,dir_acc,sharpe_ratio,test_rmse,test_mae,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,pred_std,composite_score,collapsed,collapse_type
02b_vintage_sweep/baseline_h16_drop0.10,yearly,6,2.8185449043909707,0.11923120693946201,2.5987205505371094,2.9563286304473877,0.0516057051718235,0.032165275301252,19,02b_vintage_sweep,baseline_h16_drop0.10,baseline_h16_drop0.10,02b_vintage_sweep,0.5327613104524181,0.7229074851021601,1.0821499824523926,0.7721704840660095,False,False,True,True,61.15444617784711,12.948517940717627,25.897035881435254,0.0,0.0,38.84555382215289,0.0554251871989932,0.5429674649838774,False,
02b_vintage_sweep/baseline_h20_drop0.30,yearly,6,2.6604120333989463,0.17774455136374748,2.404229164123535,2.871335029602051,0.08254298567771912,0.08494663919721333,19,02b_vintage_sweep,baseline_h20_drop0.30,baseline_h20_drop0.30,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.084668755531311,0.7723454236984253,True,True,False,True,2.3400936037441498,0.0,85.95943837753511,5.538221528861154,6.162246489859594,97.65990639625586,0.0249886854027257,0.4985173780937046,True,
02b_vintage_sweep/baseline_h16_drop0.20,yearly,6,2.841848095258077,0.10146753160872926,2.648083448410034,2.958965539932251,0.05053347907960415,0.02441819735935761,19,02b_vintage_sweep,baseline_h16_drop0.20,baseline_h16_drop0.20,02b_vintage_sweep,0.5397815912636506,0.8907643827439599,1.082805633544922,0.7712386846542358,False,False,True,True,17.160686427457097,0.3900156006240249,82.44929797191888,0.0,0.0,82.8393135725429,0.0410652096231621,0.544406178550747,True,
02b_vintage_sweep/baseline_h10_drop0.30,yearly,6,2.9916796684265137,0.0003204253752180081,2.99118709564209,2.9920554161071777,0.050260831912358604,-5.7125091552540755e-05,19,02b_vintage_sweep,baseline_h10_drop0.30,baseline_h10_drop0.30,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0826647281646729,0.7721052765846252,True,True,False,True,2.3400936037441498,0.0,70.04680187207488,14.97659906396256,12.636505460218409,97.65990639625583,0.0241957591681908,0.5182101165493691,True,
02b_vintage_sweep/baseline_h10_drop0.25,yearly,6,2.99015740553538,0.00024647962919939633,2.9897470474243164,2.9903969764709473,0.05048283996681372,3.1723294939345375e-05,19,02b_vintage_sweep,baseline_h10_drop0.25,baseline_h10_drop0.25,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0824828147888184,0.772119402885437,True,True,False,True,2.3400936037441498,0.0,81.66926677067082,11.388455538221528,4.602184087363495,97.65990639625583,0.0292104405556509,0.5178650163601758,True,
02b_vintage_sweep/baseline_h12_drop0.20,yearly,6,2.8396137158075967,0.058098602603230104,2.770430564880371,2.95772385597229,0.05737781710922718,-0.018999964850289347,19,02b_vintage_sweep,baseline_h12_drop0.20,baseline_h12_drop0.20,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0837846994400024,0.7727149724960327,True,False,False,True,2.3400936037441498,0.0,96.48985959438376,1.1700468018720749,0.0,97.65990639625583,0.0357457692945219,0.5136357034032546,True,
02b_vintage_sweep/baseline_h10_drop0.15,yearly,6,2.7934298117955527,0.09928882291965854,2.620946168899536,2.932277202606201,0.05147357409199079,0.02447152137756357,19,02b_vintage_sweep,baseline_h10_drop0.15,baseline_h10_drop0.15,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0825012922286987,0.7718974351882935,True,True,False,True,2.3400936037441498,0.0,72.15288611544462,9.906396255850234,15.600624024960998,97.65990639625583,0.0287534367561434,0.5244219199548471,True,
02b_vintage_sweep/baseline_h14_drop0.30,yearly,6,2.9885907570521035,0.0014035888479737844,2.9866108894348145,2.990755558013916,0.05003591316441695,0.00014011519295829613,3,02b_vintage_sweep,baseline_h14_drop0.30,baseline_h14_drop0.30,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0820789337158203,0.7720149755477905,False,False,False,True,2.3400936037441498,0.0,97.65990639625583,0.0,0.0,97.65990639625583,0.0448799081238982,0.5464349064910446,True,
02b_vintage_sweep/baseline_h14_drop0.10,yearly,6,2.7716455459594727,0.07978200326766074,2.6735713481903076,2.8868825435638428,0.05421079260607561,0.008930560520716972,0,02b_vintage_sweep,baseline_h14_drop0.10,baseline_h14_drop0.10,02b_vintage_sweep,0.5101404056162246,0.6297641672709747,1.0837204456329346,0.7741918563842773,False,False,True,True,40.40561622464899,16.69266770670827,42.90171606864275,0.0,0.0,59.59438377535102,0.053873301958625,0.4770572903160487,False,
02b_vintage_sweep/baseline_h18_drop0.20,yearly,6,2.860894799232483,0.05667841127236893,2.768423318862915,2.9487760066986084,0.053382255136966705,-0.0021880081721715795,19,02b_vintage_sweep,baseline_h18_drop0.20,baseline_h18_drop0.20,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0828698873519895,0.772146999835968,True,True,False,True,2.3400936037441498,0.0,69.57878315132605,9.126365054602184,18.954758190327613,97.65990639625583,0.0245267277944016,0.510625254944335,True,
02b_vintage_sweep/baseline_h14_drop0.25,yearly,6,2.93703826268514,0.03493312690014694,2.878150224685669,2.970719337463379,0.050458760311206184,0.002857889447893208,19,02b_vintage_sweep,baseline_h14_drop0.25,baseline_h14_drop0.25,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0837801694869995,0.7746374607086182,False,False,False,True,2.3400936037441498,0.0,97.65990639625583,0.0,0.0,97.65990639625583,0.0637433054392225,0.50676551736733,True,
02b_vintage_sweep/baseline_h10_drop0.10,yearly,6,2.780064423878988,0.13216887614705713,2.5194506645202637,2.9083099365234375,0.05310768447816372,0.0362218720572336,19,02b_vintage_sweep,baseline_h10_drop0.10,baseline_h10_drop0.10,02b_vintage_sweep,0.5382215288611545,0.84640081630915,1.082761526107788,0.7718783020973206,True,True,False,True,2.3400936037441498,0.0,72.46489859594384,15.522620904836192,9.67238689547582,97.65990639625583,0.0288326282867526,0.5233540742565145,True,
02b_vintage_sweep/baseline_h16_drop0.30,yearly,6,2.8246991634368896,0.08937423648999888,2.6629202365875244,2.9436392784118652,0.050316156819462776,0.016815171922956087,19,02b_vintage_sweep,baseline_h16_drop0.30,baseline_h16_drop0.30,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.083248257637024,0.7722952365875244,False,False,False,True,2.3400936037441498,0.0,97.65990639625583,0.0,0.0,97.65990639625583,0.0429842922466577,0.5116311852830471,True,
