val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,epoch,step,train_loss_epoch,train_loss_step
2.8483996391296387,1.8603368997573853,3.3278794288635254,4.38443660736084,1.4762028455734253,0,3,,
,,,,,0,3,2.828770160675049,
2.8267531394958496,1.8593075275421143,3.3141400814056396,4.377842903137207,1.4359838962554932,1,7,,
,,,,,1,7,2.844163417816162,
2.8080546855926514,1.8581088781356812,3.302527904510498,4.372352600097656,1.4019330739974976,2,11,,
,,,,,2,11,2.735334634780884,
2.7342936992645264,1.8490747213363647,3.256657123565674,4.351321220397949,1.2675613164901733,3,15,,
,,,,,3,15,2.790294647216797,
2.7034263610839844,1.8407071828842163,3.23789644241333,4.3430399894714355,1.212748646736145,4,19,,
,,,,,4,19,2.745698928833008,
2.675713062286377,1.8335373401641846,3.221606731414795,4.335820198059082,1.1671193838119507,5,23,,
,,,,,5,23,2.7428290843963623,
2.5669469833374023,1.8853341341018677,3.1632885932922363,4.307912349700928,1.0552961826324463,6,27,,
,,,,,6,27,2.7437615394592285,
2.5328404903411865,1.906580924987793,3.1472904682159424,4.299744129180908,1.0532820224761963,7,31,,
,,,,,7,31,2.637629508972168,
2.5009734630584717,1.896873950958252,3.131338119506836,4.291916847229004,1.050843358039856,8,35,,
,,,,,8,35,2.5718648433685303,
2.385955333709717,1.7936402559280396,3.0755560398101807,4.264237880706787,1.0976223945617676,9,39,,
,,,,,9,39,2.536564588546753,
2.357351303100586,1.7391369342803955,3.059094190597534,4.256469249725342,1.128055214881897,10,43,,
,,,,,10,43,2.489706039428711,
2.3302650451660156,1.691731572151184,3.042478561401367,4.2488532066345215,1.170186996459961,11,47,,
,,,,,11,47,2.4601778984069824,
,,,,,12,49,,2.4779865741729736
2.2336065769195557,1.5289431810379028,2.9808595180511475,4.223801136016846,1.3294830322265625,12,51,,
,,,,,12,51,2.3617725372314453,
2.2072715759277344,1.4960641860961914,2.96657133102417,4.218355178833008,1.3767495155334473,13,55,,
,,,,,13,55,2.367229461669922,
2.182360887527466,1.4638949632644653,2.952052116394043,4.213230609893799,1.4239732027053833,14,59,,
,,,,,14,59,2.3028430938720703,
2.0866336822509766,1.3656330108642578,2.904407501220703,4.19711446762085,1.6194732189178467,15,63,,
,,,,,15,63,2.171652317047119,
2.061494827270508,1.3454437255859375,2.8940465450286865,4.1935296058654785,1.6813182830810547,16,67,,
,,,,,16,67,2.2014408111572266,
2.0384883880615234,1.3270347118377686,2.8844547271728516,4.190528392791748,1.7382084131240845,17,71,,
,,,,,17,71,2.156045913696289,
1.9623407125473022,1.2559592723846436,2.846278667449951,4.18203067779541,1.9709407091140747,18,75,,
,,,,,18,75,2.0497536659240723,
1.9485019445419312,1.2384990453720093,2.836583375930786,4.180731773376465,2.0324103832244873,19,79,,
,,,,,19,79,2.048004150390625,
1.9364798069000244,1.2221473455429077,2.8273487091064453,4.179840564727783,2.091175079345703,20,83,,
,,,,,20,83,2.016798257827759,
1.8960589170455933,1.1669994592666626,2.7966651916503906,4.179898262023926,2.3190362453460693,21,87,,
,,,,,21,87,2.0472898483276367,
1.8877485990524292,1.1613935232162476,2.793731451034546,4.180437088012695,2.3457462787628174,22,91,,
,,,,,22,91,1.9668827056884766,
1.8794952630996704,1.149054765701294,2.787100315093994,4.181346893310547,2.406620740890503,23,95,,
,,,,,23,95,1.9462735652923584,
,,,,,24,99,,2.1822292804718018
1.8529340028762817,1.1134929656982422,2.7693822383880615,4.1867570877075195,2.60855770111084,24,99,,
,,,,,24,99,1.8642606735229492,
1.8477505445480347,1.104628562927246,2.7652060985565186,4.188668727874756,2.6637911796569824,25,103,,
,,,,,25,103,1.8856838941574097,
1.8429628610610962,1.1004503965377808,2.76339054107666,4.18982458114624,2.691476583480835,26,107,,
,,,,,26,107,1.8120341300964355,
1.8241255283355713,1.084019660949707,2.755871057510376,4.194939613342285,2.797455072402954,27,111,,
,,,,,27,111,1.9098858833312988,
1.8196147680282593,1.0868651866912842,2.757420301437378,4.194302082061768,2.7801997661590576,28,115,,
,,,,,28,115,1.769931435585022,
1.8151801824569702,1.08676016330719,2.7575109004974365,4.194458961486816,2.782127618789673,29,119,,
,,,,,29,119,1.7707724571228027,
1.8009743690490723,1.089120626449585,2.7592833042144775,4.194382667541504,2.7724335193634033,30,123,,
,,,,,30,123,1.8062374591827393,
1.797530174255371,1.0911508798599243,2.760383367538452,4.1938676834106445,2.76094913482666,31,127,,
,,,,,31,127,1.8373626470565796,
1.7942190170288086,1.0840940475463867,2.756873369216919,4.1959123611450195,2.804722785949707,32,131,,
,,,,,32,131,1.8069641590118408,
1.7819207906723022,1.072953462600708,2.7518813610076904,4.199889659881592,2.879506826400757,33,135,,
,,,,,33,135,1.804724931716919,
1.7801858186721802,1.0795259475708008,2.7548887729644775,4.197688579559326,2.8352646827697754,34,139,,
,,,,,34,139,1.7608908414840698,
1.7776411771774292,1.0773701667785645,2.753915309906006,4.1984052658081055,2.8502197265625,35,143,,
,,,,,35,143,1.7291910648345947,
1.7694917917251587,1.0807057619094849,2.7556560039520264,4.197497367858887,2.8290722370147705,36,147,,
,,,,,36,147,1.8419928550720215,
,,,,,37,149,,2.205470561981201
1.7683240175247192,1.089138150215149,2.7600409984588623,4.195114612579346,2.7782840728759766,37,151,,
,,,,,37,151,1.8085951805114746,
1.7668421268463135,1.0879725217819214,2.7595324516296387,4.195449352264404,2.786670684814453,38,155,,
,,,,,38,155,1.796673059463501,
1.7598711252212524,1.0911976099014282,2.7613587379455566,4.194648265838623,2.769495725631714,39,159,,
