train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch
0.6278790235519409,0,49,,,,,,
,0,93,0.21256564557552338,1.9731212854385376,0.16676785051822662,0.16676785051822662,0.9932348132133484,
,0,93,,,,,,0.6936762928962708
0.6339865922927856,1,99,,,,,,
0.4691299498081207,1,149,,,,,,
,1,187,0.10513363778591156,1.9999998807907104,0.19623920321464539,0.19623920321464539,1.168760061264038,
,1,187,,,,,,0.5904148817062378
0.46124735474586487,2,199,,,,,,
0.5834362506866455,2,249,,,,,,
,2,281,0.1696174293756485,1.9999998807907104,0.2021213173866272,0.2021213173866272,1.203792691230774,
,2,281,,,,,,0.5078990459442139
0.4987613558769226,3,299,,,,,,
0.4766301214694977,3,349,,,,,,
,3,375,0.18758618831634521,1.9765011072158813,0.1669115275144577,0.1669115275144577,0.9940904974937439,
,3,375,,,,,,0.4753245413303375
0.447809100151062,4,399,,,,,,
0.5160855054855347,4,449,,,,,,
,4,469,0.18710878491401672,1.3071824312210083,0.13272979855537415,0.13272979855537415,0.7905111908912659,
,4,469,,,,,,0.46439507603645325
0.3949715495109558,5,499,,,,,,
0.3673969805240631,5,549,,,,,,
,5,563,0.19078166782855988,1.5783755779266357,0.14812037348747253,0.14812037348747253,0.8821743130683899,
,5,563,,,,,,0.458274245262146
0.4083622395992279,6,599,,,,,,
0.5733749866485596,6,649,,,,,,
,6,657,0.19672030210494995,1.863330602645874,0.16196396946907043,0.16196396946907043,0.9646238684654236,
,6,657,,,,,,0.45603424310684204
0.6864981651306152,7,699,,,,,,
0.36336907744407654,7,749,,,,,,
,7,751,0.198698490858078,1.479806900024414,0.14280396699905396,0.14280396699905396,0.8505108952522278,
,7,751,,,,,,0.45339640974998474
0.4109571874141693,8,799,,,,,,
,8,845,0.20818321406841278,1.7006973028182983,0.15432412922382355,0.15432412922382355,0.919122576713562,
,8,845,,,,,,0.45137229561805725
0.4126198887825012,9,849,,,,,,
0.39929306507110596,9,899,,,,,,
,9,939,0.21860869228839874,1.445048451423645,0.14085668325424194,0.14085668325424194,0.8389132618904114,
,9,939,,,,,,0.4497789442539215
0.3732137084007263,10,949,,,,,,
0.48386871814727783,10,999,,,,,,
,10,1033,0.22736433148384094,1.2881191968917847,0.13155242800712585,0.13155242800712585,0.7834990620613098,
,10,1033,,,,,,0.44818612933158875
0.41436338424682617,11,1049,,,,,,
0.32257696986198425,11,1099,,,,,,
,11,1127,0.24194088578224182,1.509730577468872,0.14444950222969055,0.14444950222969055,0.8603113293647766,
,11,1127,,,,,,0.4456653296947479
