evaluation_timestamp,prediction_stats,statistical_metrics,financial_metrics,residual_diagnostics,mode_stats,collapse_detected,degradation_detected,checkpoint_used,frequency,fold_id,test_year,test_start,test_end,train_years
2025-12-03T02:53:38.637618,"{'min': 0.3332362174987793, 'max': 0.4116002917289734, 'mean': 0.3646524250507355, 'std': 0.018932294100522995, 'range': 0.07836407423019409, 'num_unique': 53, 'pct_positive': 100.0, 'pct_negative': 0.0, 'num_predictions': 53}","{'mse': 2.9571242332458496, 'rmse': 1.7196290493011475, 'mae': 1.293139100074768, 'mape': 418.6012268066406, 'r2': -0.02109706401824951, 'mean_error': -0.19380581378936768, 'std_error': 1.7086730003356934}","{'directional_accuracy': 0.5471698113207547, 'sharpe_ratio': 0.7239466701093867, 'max_drawdown': -0.0876542255282402, 'total_return': 0.08628904819488525, 'hit_rate': 0.5471698113207547, 'num_trades': 53, 'precision': 0.5471698113207547, 'recall': 1.0, 'f1_score': 0.7073170731707317, 'confusion_matrix': [[0, 24], [0, 29]], 'auc_roc': 0.38649425287356326, 'alpha': 0.0}","{'normality_p_value': 0.010838699742092483, 'acf_lag1': 0.08808466079489014, 'skewness': -0.5962128776774794, 'kurtosis': 1.8955579655587043}","{'healthy_periods': 5, 'degraded_periods': 1, 'unidirectional_periods': 14, 'weak_collapse_periods': 23, 'strong_collapse_periods': 10, 'total_periods': 53, 'healthy_pct': 9.433962264150944, 'degraded_pct': 1.8867924528301887, 'unidirectional_pct': 26.41509433962264, 'weak_collapse_pct': 43.39622641509434, 'strong_collapse_pct': 18.867924528301888}",True,True,experiments/07b_regime_attention_sweep/rolling_vix20_enc12_gs100/fold_2016/checkpoints/tft-epoch=epoch=00-predstd=val_pred_std=0.0170.ckpt,weekly,fold_2016,2016,2016-01-01,2016-12-31,10
2025-12-03T03:01:16.854269,"{'min': 0.20350390672683716, 'max': 0.3105437159538269, 'mean': 0.2519837021827698, 'std': 0.03947598859667778, 'range': 0.10703980922698975, 'num_unique': 52, 'pct_positive': 100.0, 'pct_negative': 0.0, 'num_predictions': 52}","{'mse': 0.5973406434059143, 'rmse': 0.7728781700134277, 'mae': 0.6262255907058716, 'mape': 136.81342601776123, 'r2': -0.0209883451461792, 'mean_error': 0.09281838685274124, 'std_error': 0.7672844529151917}","{'directional_accuracy': 0.6730769230769231, 'sharpe_ratio': 3.2506554387717794, 'max_drawdown': -0.022730810567736626, 'total_return': 0.194199800491333, 'hit_rate': 0.6730769230769231, 'num_trades': 52, 'precision': 0.6730769230769231, 'recall': 1.0, 'f1_score': 0.8045977011494253, 'confusion_matrix': [[0, 17], [0, 35]], 'auc_roc': 0.43865546218487395, 'alpha': 0.0}","{'normality_p_value': 0.7035117000203726, 'acf_lag1': 0.029554141890639353, 'skewness': -0.23754372671296073, 'kurtosis': -0.3820666359148759}","{'healthy_periods': 5, 'degraded_periods': 1, 'unidirectional_periods': 10, 'weak_collapse_periods': 15, 'strong_collapse_periods': 21, 'total_periods': 52, 'healthy_pct': 9.615384615384617, 'degraded_pct': 1.9230769230769231, 'unidirectional_pct': 19.230769230769234, 'weak_collapse_pct': 28.846153846153843, 'strong_collapse_pct': 40.38461538461539}",True,True,experiments/07b_regime_attention_sweep/rolling_vix20_enc12_gs100/fold_2017/checkpoints/tft-epoch=epoch=02-predstd=val_pred_std=0.0171.ckpt,weekly,fold_2017,2017,2017-01-01,2017-12-31,10
2025-12-03T03:09:02.315115,"{'min': 0.18681883811950684, 'max': 0.22905738651752472, 'mean': 0.21094919741153717, 'std': 0.012938941828906536, 'range': 0.04223854839801788, 'num_unique': 52, 'pct_positive': 100.0, 'pct_negative': 0.0, 'num_predictions': 52}","{'mse': 6.3708600997924805, 'rmse': 2.5240561962127686, 'mae': 1.8716710805892944, 'mape': 187.02298402786255, 'r2': -0.015936970710754395, 'mean_error': -0.31916651129722595, 'std_error': 2.503795623779297}","{'directional_accuracy': 0.5769230769230769, 'sharpe_ratio': -0.3116253728212873, 'max_drawdown': -0.17512193322181702, 'total_return': -0.07026827335357666, 'hit_rate': 0.5769230769230769, 'num_trades': 52, 'precision': 0.5769230769230769, 'recall': 1.0, 'f1_score': 0.7317073170731707, 'confusion_matrix': [[0, 22], [0, 30]], 'auc_roc': 0.5696969696969697, 'alpha': 0.0}","{'normality_p_value': 0.056126622415633876, 'acf_lag1': -0.21405459368072166, 'skewness': -0.7211590388767433, 'kurtosis': 0.3865269608037889}","{'healthy_periods': 5, 'degraded_periods': 0, 'unidirectional_periods': 0, 'weak_collapse_periods': 42, 'strong_collapse_periods': 5, 'total_periods': 52, 'healthy_pct': 9.615384615384617, 'degraded_pct': 0.0, 'unidirectional_pct': 0.0, 'weak_collapse_pct': 80.76923076923077, 'strong_collapse_pct': 9.615384615384617}",True,False,experiments/07b_regime_attention_sweep/rolling_vix20_enc12_gs100/fold_2018/checkpoints/tft-epoch=epoch=01-predstd=val_pred_std=0.0143.ckpt,weekly,fold_2018,2018,2018-01-01,2018-12-31,10
2025-12-03T03:16:47.442570,"{'min': 0.27438288927078247, 'max': 0.3156890273094177, 'mean': 0.2945740520954132, 'std': 0.012880300171673298, 'range': 0.041306138038635254, 'num_unique': 52, 'pct_positive': 100.0, 'pct_negative': 0.0, 'num_predictions': 52}","{'mse': 2.3033766746520996, 'rmse': 1.5176879167556763, 'mae': 1.2073285579681396, 'mape': 110.466468334198, 'r2': -0.02541530132293701, 'mean_error': 0.22754788398742676, 'std_error': 1.5005327463150024}","{'directional_accuracy': 0.6538461538461539, 'sharpe_ratio': 2.5121239567314384, 'max_drawdown': -0.06571735441684723, 'total_return': 0.3034433126449585, 'hit_rate': 0.6538461538461539, 'num_trades': 52, 'precision': 0.6538461538461539, 'recall': 1.0, 'f1_score': 0.7906976744186047, 'confusion_matrix': [[0, 18], [0, 34]], 'auc_roc': 0.4918300653594771, 'alpha': 0.0}","{'normality_p_value': 0.8306845504324165, 'acf_lag1': -0.04307977131468191, 'skewness': -0.09909081993249674, 'kurtosis': 0.06144355397210077}","{'healthy_periods': 5, 'degraded_periods': 1, 'unidirectional_periods': 0, 'weak_collapse_periods': 46, 'strong_collapse_periods': 0, 'total_periods': 52, 'healthy_pct': 9.615384615384617, 'degraded_pct': 1.9230769230769231, 'unidirectional_pct': 0.0, 'weak_collapse_pct': 88.46153846153845, 'strong_collapse_pct': 0.0}",True,True,experiments/07b_regime_attention_sweep/rolling_vix20_enc12_gs100/fold_2019/checkpoints/tft-epoch=epoch=00-predstd=val_pred_std=0.0107.ckpt,weekly,fold_2019,2019,2019-01-01,2019-12-31,10
2025-12-03T03:24:43.587401,"{'min': 0.18486253917217255, 'max': 0.28241831064224243, 'mean': 0.23099128901958466, 'std': 0.035507168620824814, 'range': 0.09755577147006989, 'num_unique': 52, 'pct_positive': 100.0, 'pct_negative': 0.0, 'num_predictions': 52}","{'mse': 19.002548217773438, 'rmse': 4.359191417694092, 'mae': 2.9387478828430176, 'mape': 106.52637481689453, 'r2': -0.0012967586517333984, 'mean_error': 0.1233760192990303, 'std_error': 4.357445240020752}","{'directional_accuracy': 0.5576923076923077, 'sharpe_ratio': 0.5865847684999475, 'max_drawdown': -0.3181033432483673, 'total_return': 0.14291250705718994, 'hit_rate': 0.5576923076923077, 'num_trades': 52, 'precision': 0.5576923076923077, 'recall': 1.0, 'f1_score': 0.7160493827160493, 'confusion_matrix': [[0, 23], [0, 29]], 'auc_roc': 0.4302848575712144, 'alpha': 0.0}","{'normality_p_value': 0.0006521973581361483, 'acf_lag1': -0.08576861067607805, 'skewness': -0.766394396143386, 'kurtosis': 3.236150473840776}","{'healthy_periods': 5, 'degraded_periods': 0, 'unidirectional_periods': 13, 'weak_collapse_periods': 14, 'strong_collapse_periods': 20, 'total_periods': 52, 'healthy_pct': 9.615384615384617, 'degraded_pct': 0.0, 'unidirectional_pct': 25.0, 'weak_collapse_pct': 26.923076923076923, 'strong_collapse_pct': 38.46153846153847}",True,True,experiments/07b_regime_attention_sweep/rolling_vix20_enc12_gs100/fold_2020/checkpoints/tft-epoch=epoch=03-predstd=val_pred_std=0.0079.ckpt,weekly,fold_2020,2020,2020-01-01,2020-12-31,10
2025-12-03T03:32:16.395306,"{'min': 0.027541637420654297, 'max': 0.9040558338165283, 'mean': 0.5085606575012207, 'std': 0.32649827003479004, 'range': 0.876514196395874, 'num_unique': 53, 'pct_positive': 100.0, 'pct_negative': 0.0, 'num_predictions': 53}","{'mse': 2.6388957500457764, 'rmse': 1.6244678497314453, 'mae': 1.2836326360702515, 'mape': 137.87806034088135, 'r2': 0.007398009300231934, 'mean_error': -0.01798219420015812, 'std_error': 1.6243683099746704}","{'directional_accuracy': 0.6415094339622641, 'sharpe_ratio': 2.1696347359600425, 'max_drawdown': -0.03933253511786461, 'total_return': 0.2870924472808838, 'hit_rate': 0.6415094339622641, 'num_trades': 53, 'precision': 0.6415094339622641, 'recall': 1.0, 'f1_score': 0.7816091954022989, 'confusion_matrix': [[0, 19], [0, 34]], 'auc_roc': 0.5526315789473684, 'alpha': 0.0}","{'normality_p_value': 0.6046023783757655, 'acf_lag1': -0.24873301718679147, 'skewness': -0.29507246132794995, 'kurtosis': -0.0684608442790342}","{'healthy_periods': 5, 'degraded_periods': 0, 'unidirectional_periods': 38, 'weak_collapse_periods': 10, 'strong_collapse_periods': 0, 'total_periods': 53, 'healthy_pct': 9.433962264150944, 'degraded_pct': 0.0, 'unidirectional_pct': 71.69811320754717, 'weak_collapse_pct': 18.867924528301888, 'strong_collapse_pct': 0.0}",True,True,experiments/07b_regime_attention_sweep/rolling_vix20_enc12_gs100/fold_2021/checkpoints/tft-epoch=epoch=97-predstd=val_pred_std=0.0326.ckpt,weekly,fold_2021,2021,2021-01-01,2021-12-31,10
2025-12-03T03:40:01.472062,"{'min': 0.32170766592025757, 'max': 0.45542097091674805, 'mean': 0.3671049475669861, 'std': 0.0342346653342247, 'range': 0.13371330499649048, 'num_unique': 52, 'pct_positive': 100.0, 'pct_negative': 0.0, 'num_predictions': 52}","{'mse': 10.383112907409668, 'rmse': 3.2222838401794434, 'mae': 2.690868854522705, 'mape': 121.09925746917725, 'r2': -0.055200934410095215, 'mean_error': -0.7330678105354309, 'std_error': 3.1377902030944824}","{'directional_accuracy': 0.40384615384615385, 'sharpe_ratio': -0.8412839110870989, 'max_drawdown': -0.23390080034732819, 'total_return': -0.1944284439086914, 'hit_rate': 0.40384615384615385, 'num_trades': 52, 'precision': 0.40384615384615385, 'recall': 1.0, 'f1_score': 0.5753424657534247, 'confusion_matrix': [[0, 31], [0, 21]], 'auc_roc': 0.5622119815668203, 'alpha': 0.0}","{'normality_p_value': 0.2934375067457754, 'acf_lag1': -0.04525435820675551, 'skewness': 0.470060194729646, 'kurtosis': -0.451024106045125}","{'healthy_periods': 5, 'degraded_periods': 1, 'unidirectional_periods': 42, 'weak_collapse_periods': 4, 'strong_collapse_periods': 0, 'total_periods': 52, 'healthy_pct': 9.615384615384617, 'degraded_pct': 1.9230769230769231, 'unidirectional_pct': 80.76923076923077, 'weak_collapse_pct': 7.6923076923076925, 'strong_collapse_pct': 0.0}",True,True,experiments/07b_regime_attention_sweep/rolling_vix20_enc12_gs100/fold_2022/checkpoints/tft-epoch=epoch=00-predstd=val_pred_std=0.0222.ckpt,weekly,fold_2022,2022,2022-01-01,2022-12-31,10
2025-12-03T03:47:38.344063,"{'min': 0.2010275274515152, 'max': 0.2194294035434723, 'mean': 0.2081630378961563, 'std': 0.005733168683946133, 'range': 0.018401876091957092, 'num_unique': 52, 'pct_positive': 100.0, 'pct_negative': 0.0, 'num_predictions': 52}","{'mse': 3.481137990951538, 'rmse': 1.8657808303833008, 'mae': 1.4597971439361572, 'mape': 103.93656492233276, 'r2': -0.016368389129638672, 'mean_error': 0.22703777253627777, 'std_error': 1.8519158363342285}","{'directional_accuracy': 0.6153846153846154, 'sharpe_ratio': 1.6957284414201144, 'max_drawdown': -0.10144838690757751, 'total_return': 0.24230492115020752, 'hit_rate': 0.6153846153846154, 'num_trades': 52, 'precision': 0.6153846153846154, 'recall': 1.0, 'f1_score': 0.761904761904762, 'confusion_matrix': [[0, 20], [0, 32]], 'auc_roc': 0.38906250000000003, 'alpha': 0.0}","{'normality_p_value': 0.4185067892311284, 'acf_lag1': -0.12400295350692142, 'skewness': -0.10368635308700627, 'kurtosis': 0.6274579066705983}","{'healthy_periods': 5, 'degraded_periods': 1, 'unidirectional_periods': 0, 'weak_collapse_periods': 41, 'strong_collapse_periods': 5, 'total_periods': 52, 'healthy_pct': 9.615384615384617, 'degraded_pct': 1.9230769230769231, 'unidirectional_pct': 0.0, 'weak_collapse_pct': 78.84615384615384, 'strong_collapse_pct': 9.615384615384617}",True,True,experiments/07b_regime_attention_sweep/rolling_vix20_enc12_gs100/fold_2023/checkpoints/tft-epoch=epoch=07-predstd=val_pred_std=0.0148.ckpt,weekly,fold_2023,2023,2023-01-01,2023-12-31,10
2025-12-03T03:55:17.517145,"{'min': 0.2165708839893341, 'max': 0.28654733300209045, 'mean': 0.25980985164642334, 'std': 0.0173033457249403, 'range': 0.06997644901275635, 'num_unique': 52, 'pct_positive': 100.0, 'pct_negative': 0.0, 'num_predictions': 52}","{'mse': 2.9049947261810303, 'rmse': 1.7044044733047485, 'mae': 1.3365744352340698, 'mape': 129.36612367630005, 'r2': -0.009642720222473145, 'mean_error': 0.18735593557357788, 'std_error': 1.694075584411621}","{'directional_accuracy': 0.6346153846153846, 'sharpe_ratio': 1.9009970086041381, 'max_drawdown': -0.054644323885440826, 'total_return': 0.25179266929626465, 'hit_rate': 0.6346153846153846, 'num_trades': 52, 'precision': 0.6346153846153846, 'recall': 1.0, 'f1_score': 0.7764705882352941, 'confusion_matrix': [[0, 19], [0, 33]], 'auc_roc': 0.456140350877193, 'alpha': 0.0}","{'normality_p_value': 0.43592741945081315, 'acf_lag1': -0.1308259137564574, 'skewness': -0.15568335151747426, 'kurtosis': 0.5484884186634722}","{'healthy_periods': 5, 'degraded_periods': 0, 'unidirectional_periods': 17, 'weak_collapse_periods': 20, 'strong_collapse_periods': 10, 'total_periods': 52, 'healthy_pct': 9.615384615384617, 'degraded_pct': 0.0, 'unidirectional_pct': 32.69230769230769, 'weak_collapse_pct': 38.46153846153847, 'strong_collapse_pct': 19.230769230769234}",True,True,experiments/07b_regime_attention_sweep/rolling_vix20_enc12_gs100/fold_2024/checkpoints/tft-epoch=epoch=99-predstd=val_pred_std=0.0148.ckpt,weekly,fold_2024,2024,2024-01-01,2024-12-31,10
