experiment_name,period1,period2,cosine_similarity,l2_distance,entropy_change,concentration_change,top_timestep1,top_timestep2,top_timestep_delta,signal_cosine,signal_l2,signal_entropy,signal_top_timestep,n_signals_fired
00_baseline_exploration/sweep2_h16_drop_0.1,2024,2025,0.9830890681416877,0.04321008548140526,-0.016330718994140625,-0.0033283010125160217,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep_encoder_40,2023,2024,0.9995984948270237,0.004484209232032299,-0.00021529197692871094,-3.0333176255226135e-05,t-39,t-18,21,False,False,False,True,1
00_baseline_exploration/sweep_encoder_40,2024,2025,0.999519417487562,0.004907924681901932,-0.005550861358642578,4.7674402594566345e-05,t-18,t-26,8,False,False,False,True,1
00_baseline_exploration/sweep2_h16_lr_0.0008,2021,2022,0.9930807925273935,0.02642921544611454,0.028383970260620117,0.0005444064736366272,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_lr_0.0008,2022,2023,0.9881497803609163,0.034638676792383194,-0.0345149040222168,-3.4149736166000366e-05,t-19,t-0,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_lr_0.0008,2023,2024,0.990245866046167,0.032109882682561874,-0.07670164108276367,0.0021717697381973267,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_lr_0.0008,2024,2025,0.9880421249529407,0.035446494817733765,-0.02833843231201172,-0.0018516592681407928,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep_hidden_16,2021,2022,0.9933143275597421,0.02597867324948311,0.03510117530822754,0.00026680901646614075,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep_hidden_16,2022,2023,0.9846181314083166,0.0395832285284996,-0.05466461181640625,0.0005926117300987244,t-19,t-0,19,False,True,True,True,3
00_baseline_exploration/sweep_hidden_16,2023,2024,0.9836157931440019,0.04279937222599983,-0.1114041805267334,0.0042854249477386475,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep_hidden_16,2024,2025,0.9811057256520082,0.04567491635680199,-0.013338327407836914,-0.0035510361194610596,t-0,t-0,0,False,True,False,False,1
00_baseline_exploration/sweep2_h16_lr_0.0006,2021,2022,0.9925708830085248,0.027398692443966866,0.03209090232849121,0.000478353351354599,t-0,t-19,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_lr_0.0006,2022,2023,0.9862310779238781,0.0373990423977375,-0.045282602310180664,0.00019708648324012756,t-19,t-0,19,False,True,False,True,2
00_baseline_exploration/sweep2_h16_lr_0.0006,2023,2024,0.9849588973000589,0.040475256741046906,-0.09688687324523926,0.0034491345286369324,t-0,t-0,0,False,True,True,False,2
00_baseline_exploration/sweep2_h16_lr_0.0006,2024,2025,0.9847048171110266,0.04068849980831146,-0.021709203720092773,-0.0027885213494300842,t-0,t-0,0,False,True,False,False,1
