experiment_name,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep
01_staleness_features_fixed/sweep_stale_h18_drop0.20_lr5,yearly,6,2.9868184328079224,0.004457801844125001,2.9799883365631104,2.9920461177825928,0.05021731679638227,0.0011317593710760113,0
01_staleness_features_fixed/sweep_stale_h18_drop0.35_lr5,yearly,6,2.986626704533895,0.004514695402994103,2.9795689582824707,2.9918859004974365,0.05022316612303257,0.0011599540710446963,0
01_staleness_features_fixed/sweep_stale_h18_drop0.20_lr3,yearly,6,2.9872491359710693,0.0043160465986166385,2.980937957763672,2.9923532009124756,0.05019661349554857,0.0010959352765762,0
01_staleness_features_fixed/baseline_fixed_h16_drop0.25,yearly,6,2.9911189476648965,0.0036012123212862735,2.9845130443573,2.9953720569610596,0.0500135018179814,-0.0006865024566650414,19
01_staleness_features_fixed/sweep_stale_h18_drop0.35_lr3,yearly,6,2.9873348474502563,0.004283071055321088,2.980855941772461,2.992337226867676,0.05019551453491052,0.001080887658255035,0
01_staleness_features_fixed/sweep_stale_h18_drop0.25_lr3,yearly,6,2.9876976807912192,0.004113729285635386,2.9816625118255615,2.9925894737243652,0.05019164520005385,0.0010653359549383627,0
01_staleness_features_fixed/sweep_stale_h18_drop0.30_lr3,yearly,6,2.9873278538386026,0.004282625537522041,2.980907440185547,2.992368459701538,0.050197577103972435,0.0011141027723037288,0
01_staleness_features_fixed/sweep_stale_h18_drop0.25_lr5,yearly,6,2.98696231842041,0.004378021467363469,2.98026442527771,2.9921138286590576,0.05021571616331736,0.0011155128478998967,0
01_staleness_features_fixed/sweep_stale_h18_drop0.30_lr5,yearly,6,2.9867223103841147,0.004470296318316439,2.9797961711883545,2.9919633865356445,0.050220911701520286,0.0011542728969024761,0
01_staleness_features_fixed/sweep_stale_h12_drop0.30_lr5,yearly,6,2.9550309975941977,0.024500921438538346,2.921459913253784,2.9815566539764404,0.05002071956793467,-0.010877309526716426,19
01_staleness_features_fixed/sweep_stale_h22_drop0.35_lr5,yearly,6,2.973233977953593,0.01608304416035333,2.9447455406188965,2.988114356994629,0.050083473324775696,0.008512558255876627,0
01_staleness_features_fixed/sweep_stale_h14_drop0.20_lr3,yearly,6,2.986095428466797,0.0033964118385607068,2.9813826084136963,2.9900569915771484,0.05022875778377056,-0.0003409385681156404,19
01_staleness_features_fixed/sweep_stale_h14_drop0.35_lr3,yearly,6,2.985632578531901,0.003339498196469723,2.981351852416992,2.9904305934906006,0.05027305086453756,-0.0006023543221614009,19
01_staleness_features_fixed/sweep_stale_h22_drop0.20_lr5,yearly,6,2.9772486686706543,0.0164331685774706,2.948225259780884,2.992340326309204,0.0500950962305069,0.008909593309674587,19
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr5,yearly,6,2.960368553797404,0.019832708434113343,2.9326164722442627,2.981675624847412,0.05002224196990331,-0.008468055725097784,19
01_staleness_features_fixed/sweep_stale_h12_drop0.30_lr3,yearly,6,2.957038243611654,0.023991127824149684,2.9239883422851562,2.982586622238159,0.05002326394120852,-0.010507597242083248,19
01_staleness_features_fixed/sweep_stale_h22_drop0.35_lr3,yearly,6,2.9730098644892373,0.016547897859448126,2.9434194564819336,2.9882872104644775,0.05008274999757608,0.008753442764281956,0
01_staleness_features_fixed/sweep_stale_h14_drop0.20_lr5,yearly,6,2.9859747091929116,0.0033999276036914953,2.9811208248138428,2.9901282787323,0.05021877773106098,-0.00046986171177465746,19
01_staleness_features_fixed/sweep_stale_h14_drop0.35_lr5,yearly,6,2.9835917154947915,0.00411200564540581,2.9777419567108154,2.989809513092041,0.05028019907573859,-0.000810146331787201,19
01_staleness_features_fixed/sweep_stale_h22_drop0.20_lr3,yearly,6,2.9768735567728677,0.016363805878534213,2.948024272918701,2.9919703006744385,0.050090838223695755,0.00886269978114509,0
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.960176189740499,0.02155966576141501,2.9300591945648193,2.983015537261963,0.0500242126484712,-0.00920378140040846,19
01_staleness_features_fixed/sweep_stale_h16_drop0.15_lr3,yearly,6,2.989129384358724,0.0042132888638850285,2.983302116394043,2.9941482543945312,0.05002743937075138,-0.0018355914524627258,0
