evaluation_timestamp,collapse_detected,degradation_detected,checkpoint_used,frequency,fold_id,test_year,test_start,test_end,train_years,pred_min,pred_max,pred_mean,pred_std,pred_range,pred_num_unique,pred_pct_positive,pred_pct_negative,pred_num_predictions,mse,rmse,mae,mape,r2,mean_error,std_error,directional_accuracy,sharpe_ratio,max_drawdown,total_return,hit_rate,num_trades,precision,recall,f1_score,confusion_matrix,auc_roc,alpha,healthy_periods,degraded_periods,unidirectional_periods,weak_collapse_periods,strong_collapse_periods,total_periods,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,experiment
2025-11-29T22:11:19.361108,True,True,experiments/06b_rolling/daily_h16_baseline/fold_2016/checkpoints/tft-epoch=epoch=21-valloss=val_loss=0.4020.ckpt,daily,fold_2016,2016,2016-01-01,2016-12-31,10,0.08132097125053406,0.11892153322696686,0.09245572239160538,0.007746345363557339,0.0376005619764328,230,100.0,0.0,230,0.5535420179367065,0.7440040707588196,0.5257550477981567,196.1668848991394,-0.0024149417877197266,-0.028633564710617065,0.7434528470039368,0.5217391304347826,1.3633903199745212,-0.05595732107758522,0.1507207155227661,0.5217391304347826,230,0.5217391304347826,1.0,0.6857142857142856,"[[0, 110], [0, 120]]",0.4828030303030303,0.0,30,0,44,148,8,230,13.043478260869565,0.0,19.130434782608695,64.34782608695652,3.4782608695652173,daily_h16_baseline
2025-11-29T22:17:37.629476,True,True,experiments/06b_rolling/daily_h16_baseline/fold_2017/checkpoints/tft-epoch=epoch=47-valloss=val_loss=0.2964.ckpt,daily,fold_2017,2017,2017-01-01,2017-12-31,10,0.029796389862895012,0.06963525712490082,0.04737495630979538,0.008473200723528862,0.03983886539936066,228,100.0,0.0,230,0.17873606085777283,0.4227718710899353,0.29248183965682983,113.82203102111816,-0.0007679462432861328,0.023785119876265526,0.42210227251052856,0.5826086956521739,2.6729894881748666,-0.027967534959316254,0.1753385066986084,0.5826086956521739,230,0.5826086956521739,1.0,0.7362637362637362,"[[0, 96], [0, 134]]",0.49852300995024873,0.0,29,1,148,52,0,230,12.608695652173912,0.43478260869565216,64.34782608695652,22.608695652173914,0.0,daily_h16_baseline
2025-11-29T22:19:25.112410,True,True,experiments/06b_rolling/daily_h16_baseline/fold_2018/checkpoints/tft-epoch=epoch=04-valloss=val_loss=0.1994.ckpt,daily,fold_2018,2018,2018-01-01,2018-12-31,10,-0.014573175460100174,4.2224302887916565e-05,-0.006270959507673979,0.004392380826175213,0.01461539976298809,228,1.3100436681222707,98.68995633187772,229,1.2088415622711182,1.0994733572006226,0.7619964480400085,100.46497583389282,-0.0007649660110473633,-0.030575647950172424,1.0990480184555054,0.48034934497816595,-1.4161738929844838,-0.01124650239944458,-0.01124650239944458,0.004366812227074236,3,0.3333333333333333,0.00847457627118644,0.01652892561983471,"[[109, 2], [117, 1]]",0.4869445716903344,0.082355797290802,29,1,0,188,11,229,12.663755458515283,0.43668122270742354,0.0,82.09606986899564,4.8034934497816595,daily_h16_baseline
2025-11-29T22:29:55.279796,False,True,experiments/06b_rolling/daily_h16_baseline/fold_2019/checkpoints/tft-epoch=epoch=99-valloss=val_loss=0.4184.ckpt,daily,fold_2019,2019,2019-01-01,2019-12-31,10,0.011419673450291157,0.11915448307991028,0.03907030448317528,0.024228699505329132,0.1077348068356514,230,100.0,0.0,230,0.5495917797088623,0.7413445711135864,0.5364224910736084,115.24960994720459,0.001078188419342041,0.04627634584903717,0.7398988008499146,0.591304347826087,1.8265533078499283,-0.06836147606372833,0.20908904075622559,0.591304347826087,230,0.591304347826087,1.0,0.7431693989071038,"[[0, 94], [0, 136]]",0.517913016270338,0.0,30,0,200,0,0,230,13.043478260869565,0.0,86.95652173913044,0.0,0.0,daily_h16_baseline
2025-11-29T22:40:43.247958,False,True,experiments/06b_rolling/daily_h16_baseline/fold_2020/checkpoints/tft-epoch=epoch=87-valloss=val_loss=0.2921.ckpt,daily,fold_2020,2020,2020-01-01,2020-12-31,10,0.02710753120481968,0.1459900289773941,0.09735655039548874,0.024215007200837135,0.11888249963521957,231,100.0,0.0,231,5.078612804412842,2.253577709197998,1.4158318042755127,108.761465549469,0.001278519630432129,-0.02383618988096714,2.2534518241882324,0.5670995670995671,0.5175562741123849,-0.3392496705055237,0.11684656143188477,0.5670995670995671,231,0.5670995670995671,1.0,0.7237569060773481,"[[0, 100], [0, 131]]",0.5005343511450382,0.0,30,0,201,0,0,231,12.987012987012985,0.0,87.01298701298701,0.0,0.0,daily_h16_baseline
2025-11-29T22:51:35.518637,False,True,experiments/06b_rolling/daily_h16_baseline/fold_2021/checkpoints/tft-epoch=epoch=96-valloss=val_loss=0.8685.ckpt,daily,fold_2021,2021,2021-01-01,2021-12-31,10,0.04220465198159218,0.18903103470802307,0.0797995999455452,0.03231911361217499,0.1468263864517212,230,100.0,0.0,230,0.6323234438896179,0.7951876521110535,0.603350818157196,132.6184868812561,0.009736180305480957,0.02770303003489971,0.7947049736976624,0.5652173913043478,2.1356258169920745,-0.05212545022368431,0.2709766626358032,0.5652173913043478,230,0.5652173913043478,1.0,0.7222222222222222,"[[0, 100], [0, 130]]",0.5076923076923077,0.0,30,0,200,0,0,230,13.043478260869565,0.0,86.95652173913044,0.0,0.0,daily_h16_baseline
2025-11-29T22:58:53.370069,False,True,experiments/06b_rolling/daily_h16_baseline/fold_2022/checkpoints/tft-epoch=epoch=54-valloss=val_loss=0.3243.ckpt,daily,fold_2022,2022,2022-01-01,2022-12-31,10,0.18605488538742065,0.2937473952770233,0.24880893528461456,0.03172510862350464,0.10769250988960266,228,100.0,0.0,229,2.488220453262329,1.5774093866348267,1.258585810661316,136.51357889175415,-0.03395497798919678,-0.30829712748527527,1.5469884872436523,0.4366812227074236,-0.6087475928915013,-0.2258353978395462,-0.1511407494544983,0.4366812227074236,229,0.4366812227074236,1.0,0.60790273556231,"[[0, 129], [0, 100]]",0.5548837209302326,0.0,30,0,199,0,0,229,13.100436681222707,0.0,86.8995633187773,0.0,0.0,daily_h16_baseline
2025-11-29T23:07:13.747236,False,True,experiments/06b_rolling/daily_h16_baseline/fold_2023/checkpoints/tft-epoch=epoch=66-valloss=val_loss=0.6598.ckpt,daily,fold_2023,2023,2023-01-01,2023-12-31,10,0.03495454788208008,0.2744441330432892,0.11276613175868988,0.06210914999246597,0.2394895851612091,229,100.0,0.0,229,0.6460884213447571,0.8037962317466736,0.6300177574157715,192.31315851211548,-0.006065487861633301,-0.04369914531707764,0.8026074767112732,0.5458515283842795,1.3681633976372272,-0.1083863377571106,0.16272127628326416,0.5458515283842795,229,0.5458515283842795,1.0,0.7062146892655368,"[[0, 104], [0, 125]]",0.47007692307692306,0.0,30,0,199,0,0,229,13.100436681222707,0.0,86.8995633187773,0.0,0.0,daily_h16_baseline
2025-11-29T23:10:35.336691,True,True,experiments/06b_rolling/daily_h16_baseline/fold_2024/checkpoints/tft-epoch=epoch=19-valloss=val_loss=0.3395.ckpt,daily,fold_2024,2024,2024-01-01,2024-12-31,10,-0.06536184251308441,0.05476461350917816,0.01462870929390192,0.03695519641041756,0.12012645602226257,230,65.21739130434783,34.78260869565217,230,0.6686120629310608,0.8176870346069336,0.6080529093742371,139.8305892944336,-0.011041045188903809,0.06213335692882538,0.8153229355812073,0.5043478260869565,0.7146702123209631,-0.08485132455825806,0.06752502918243408,0.36086956521739133,150,0.5533333333333333,0.6384615384615384,0.5928571428571429,"[[33, 67], [47, 83]]",0.4919230769230769,-0.1164395809173584,126,68,8,6,22,230,54.78260869565217,29.565217391304348,3.4782608695652173,2.608695652173913,9.565217391304348,daily_h16_baseline
2025-11-29T23:12:54.601561,True,True,experiments/06b_rolling/weekly_h16_enc8_d025_bs32/fold_2016/checkpoints/tft-epoch=epoch=31-valloss=val_loss=0.7919.ckpt,weekly,fold_2016,2016,2016-01-01,2016-12-31,10,0.15762042999267578,0.19700244069099426,0.17590081691741943,0.010307463817298412,0.03938201069831848,45,100.0,0.0,45,1.9224355220794678,1.386519193649292,1.0762572288513184,271.451210975647,-0.0175400972366333,0.1780322790145874,1.3750417232513428,0.5777777777777777,1.8568326365585646,-0.04526925086975098,0.16740679740905762,0.5777777777777777,45,0.5777777777777777,1.0,0.732394366197183,"[[0, 19], [0, 26]]",0.4757085020242915,0.0,5,1,0,38,1,45,11.11111111111111,2.2222222222222223,0.0,84.44444444444444,2.2222222222222223,weekly_h16_enc8_d025_bs32
