feature,mean_weight,std_weight,median_weight,min_weight,max_weight,consistency,n_observations,rank
VIX,0.5343325673786116,0.16179301741620292,0.5656846463680267,0.06452331691980362,0.7830334901809692,0.7675807053350984,558,1
Inflation_YoY,0.14917898245195868,0.07214496509355775,0.13373485207557678,0.023468898609280586,0.5197523236274719,0.6740300094334765,558,2
Yield_Spread,0.1440928137083421,0.12554025620348694,0.08181549981236458,0.02281227521598339,0.7058261632919312,0.5344033421251367,558,3
Treasury_10Y,0.12637118250799223,0.06795316865146231,0.10681543499231339,0.02246549166738987,0.5339400768280029,0.6503105851324689,558,4
relative_time_idx,0.04602445471417626,0.06613413309684896,0.028426699340343475,0.015990223735570908,0.5436689853668213,0.4103515888745173,558,5
