Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,SP500_Volatility,cumret_5,cumret_10,cumret_20,cumret_30
2008-01-04,-4.522180453921343,23.025,3.88,1.14,1.1498642442443892,-5.691290603232968,-8.748042320383142,-2.5289878401839827,-10.719518979169361
2008-01-11,-0.7516123428138122,24.094,3.82,1.23,1.1651843611976165,-3.6423483308931304,-5.104139039322986,-0.04568204875842197,-7.47313184555477
2008-01-18,-5.412490690202343,25.252,3.66,1.3,1.277377212348082,2.106871103751695,-0.7523427692595619,2.67811512869065,-2.0366884316775136
2008-01-25,0.4090012892461914,29.2225,3.61,1.38,1.3804976670769786,0.0015045378788602903,2.990360774422296,2.21101932716512,-2.8866485749045268
2008-02-01,4.870702858631137,26.588,3.62,1.53,1.5187602179030333,-7.313213628463866,-4.485394069133619,-5.553165913776381,-8.068544548944212
2008-02-08,-4.595749155322137,27.774,3.64,1.71,1.5797957619236744,-3.2412189040675776,4.434789960102448,-3.9743431278841834,-6.683741172690638
2008-02-15,1.4046489212105495,25.874,3.76,1.85,1.489721494386273,-1.5170468386357605,3.5444689169606747,-6.451156412292535,-7.2807976187612695
2008-02-22,0.2311124630372862,24.7925,3.79,1.81,1.3055165953829395,-2.800216912048925,4.492616248538428,-8.396951936443454,-7.244793871756494
2008-02-29,-1.661356483368892,23.538,3.53,1.88,1.2277936567148136,2.9888112687457946,4.332536031993395,-5.256904692904085,-8.819881178156486
2008-03-07,-2.800178083231064,26.288,3.56,2.03,1.1495754685971031,3.050941423295095,10.20434840509752,-2.7532713365857497,-15.01040037896092
2008-03-14,-0.404368470622829,28.282,3.44,1.97,1.38268160483679,7.9331392740050966,6.815255955421917,-2.1604760148905444,-30.19237346271376
2008-03-21,3.2116070183937584,28.6225,3.34,1.75,1.7436561662655246,5.139484137222361,5.330534903583084,-2.4964132073299283,-29.255892706007124
2008-03-28,-1.0748350112098182,25.824,3.47,1.8,1.914711370090057,7.5029315178496425,3.4564623424558683,-1.2940815917014237,-33.33662512267638
2008-04-04,4.195499987841411,23.476,3.5,1.67,1.9451007864017904,1.3047288794713507,-0.756712998572906,-5.706368348586643,-29.308962146712958
2008-04-11,-2.741540257592945,22.606,3.49,1.73,1.7770145498446468,6.941622155996496,-1.1179147254353983,-3.751416283289799,-30.14937982109882
2008-04-18,4.314128725783295,21.526,3.77,1.58,1.4829311636760212,-1.0357183401710102,-8.052041940429245,-10.646386263658625,-37.188293021790145
2008-04-25,0.5401602499406799,20.256,3.91,1.47,1.2363747974947044,0.1817117212705499,-9.653461390843965,-10.454702843088093,-42.76669369462599
2008-05-02,1.1489196894098883,19.546,3.89,1.42,1.001537461563815,-3.7640547269372826,-12.335386602172594,-11.232765090671249,-36.61220915490203
2008-05-09,-1.8120089592476465,19.130000000000003,3.77,1.52,1.0206891516641703,-2.034892053752879,-9.19122748243838,-12.60624701590377,-36.89529570140662
2008-05-16,2.6702066951029613,17.240000000000002,3.85,1.38,0.8947681320547026,-7.53638921773171,-11.757811673685204,-22.879994436673357,-38.279721083440734
2008-05-23,-3.4672131561713004,18.156,3.85,1.39,0.8487800874239942,-7.089753477295502,-8.40304307659796,-34.6463893075165,-35.470556625450165
2008-05-30,1.776976315469847,18.67,4.06,1.4,0.9042929662807287,-9.817333865764144,-7.4308443587394635,-32.83608845359966,-37.674060987038516
2008-06-06,-2.8349413040353437,20.612,3.94,1.54,0.9142207863639898,-8.906580437189826,-4.591829090803701,-35.56383683731787,-31.519537950769394
2008-06-13,-0.0477720248995838,22.994,4.27,1.22,1.116297840343011,-7.304983966957012,-4.987395620967838,-28.769955138355552,-34.534535531818975
2008-06-20,-3.095518089972093,21.754,4.16,1.28,1.1510959454235647,-4.565496004578529,-2.663274697880791,-29.35968129621469,-35.49581840679043
2008-06-27,-3.0009216890352186,22.714,3.99,1.34,1.1894480690995313,-1.4135035138256091,-2.8215355489989213,-31.68776305231734,-34.92154061942675
2008-07-04,-1.2109060224364976,24.5775,3.99,1.45,1.2580172798241145,2.6462840469502424,-0.8868535137913303,-36.65135689041906,-34.60448262593159
2008-07-11,-1.8536727949268084,25.448,3.96,1.37,1.1571419157867184,4.736622433425097,1.2577726277050782,-27.692841628764974,-29.92279224282447
2008-07-18,1.7095792336778493,26.236,4.11,1.45,1.2524206067965988,2.500229726658687,-3.7606713963730276,-30.508140844664,-34.41317450676063
2008-07-25,-0.2316245058940236,22.378,4.13,1.43,1.339092758538407,1.9932217668244823,-12.60415564702333,-30.05581560565901,-38.77607955300928
2008-08-01,0.2027452620790626,22.596,3.97,1.46,1.4487806545778037,-1.4282199747008617,-28.650893121771016,-29.550668993826314,-41.67387446897948
2008-08-08,2.857224494065558,21.334,3.94,1.43,1.5282010325189217,-3.4420511112954633,-27.444610376824485,-32.670943597565724,-47.28307569137507
2008-08-15,0.1450263022021891,20.552,3.84,1.44,1.516254569490198,-3.321521856341425,-32.46263653454948,-28.2236925866589,-41.72315388626866
2008-08-22,-0.4621784182462729,20.262,3.87,1.45,1.4755741214582172,-6.108182527715211,-25.03095212769071,-31.09812651064614,-40.52468603404854
2008-08-29,-0.725119600003854,20.26,3.83,1.47,1.3436111979682777,-14.312105413455933,-27.42685919982626,-33.73088996676448,-36.39531111739779
2008-09-05,-3.158633556200652,22.6275,3.66,1.43,1.2698036533939598,-27.617106173879847,-29.70434619068636,-33.03201511957743,-32.182791713553414
2008-09-12,0.7558413065377634,24.536,3.74,1.51,1.4086008549862306,-24.858190901709253,-36.08452021206317,-34.019330742195706,-31.56826468223001
2008-09-19,0.2700331560808955,32.678,3.78,1.62,2.1018633722353046,-30.142297683778253,-28.59100442877891,-30.793255728793547,-30.71357953006406
2008-09-26,-3.3312568113083363,34.464,3.85,1.74,2.6288185767159424,-20.1538005221394,-27.79266006567187,-31.850287772303087,-28.603693611136915
2008-10-03,-9.3993947947844,43.264,3.63,2.03,3.4783234827068683,-15.305258519480292,-19.96852377574322,-29.946416903167716,-20.16957005147867
2008-10-10,-18.19546530930076,59.426,3.89,2.27,3.754490106152931,-2.8836095194266997,-1.2610891872703367,-18.252479837532785,3.3373379977492457
2008-10-17,4.596207650673811,65.58,3.98,2.34,4.071252433513973,-14.940190348184302,-7.203232244888724,-27.342510897651916,-6.131517054769276
2008-10-24,-6.781135409015371,64.532,3.76,2.19,4.181029765942711,2.2206474068917625,6.276442742777588,-13.711695092238063,1.1667803689523248
2008-10-31,10.490776192133657,67.954,4.01,2.45,4.537595644846819,-9.566966985887094,-8.09290574596776,-20.6668409778226,-5.1210307459677695
2008-11-07,-3.897807459677416,55.15,3.83,2.5,4.672085750586976,-5.505967873265782,-8.686451623054358,-12.357811469487977,0.9774580518103093
2008-11-14,-6.197704896108003,63.145,3.72,2.5,4.588064205316151,1.6706967012750873,-4.733818875798201,-3.5257450333844864,8.350037877456252
2008-11-21,-8.38896020494293,72.91600000000001,3.2,2.11,4.603899455840515,9.09590338253292,3.231125662702472,7.06598079967089,15.149425238249448
2008-11-28,12.02579370952568,59.09,2.93,1.93,4.696691310845266,3.9676869974630824,-3.0839970264225136,-2.9724197691146315,2.528344464272525
2008-12-05,-2.250511373062214,63.15599999999999,2.67,1.74,4.835897440608581,1.630003098192323,-5.6194116973726,-1.1232009740321347,2.3228709367750566
