experiment_name_x,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep,phase_prefix,experiment_name_y,phase,dir_acc,sharpe_ratio,test_rmse,test_mae,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,pred_std,composite_score,collapsed,collapse_type
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h16_drop0.20_lr5,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.083815574645996,0.7723486423492432,True,True,False,True,2.34375,0.0,87.890625,9.53125,0.234375,97.65625,0.0179193476012054,0.5432517858304431,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h16_drop0.25_lr3,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.084408164024353,0.7728388905525208,True,True,False,True,2.34375,0.0,93.984375,3.59375,0.078125,97.65625,0.017642067181279,0.5181775942061804,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h16_drop0.25_lr5,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.0840128660202026,0.772561252117157,True,False,False,True,2.34375,0.0,96.09375,1.5625,0.0,97.65625,0.0241457844276873,0.5281876337014073,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h16_drop0.30_lr3,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.0842550992965698,0.7729736566543579,True,True,False,True,2.34375,0.0,93.28125,3.28125,1.09375,97.65625,0.023134105174198,0.5140881567861096,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h16_drop0.30_lr5,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.0841612815856934,0.7728295922279358,True,True,False,True,2.34375,0.0,94.0625,3.046875,0.546875,97.65625,0.0228526183577411,0.5156566745000504,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h16_drop0.35_lr3,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.084251880645752,0.7729655504226685,True,True,False,True,2.34375,0.0,93.203125,2.890625,1.5625,97.65625,0.020560630023557,0.511281271017892,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h16_drop0.35_lr5,01_staleness_features_fixed,0.53671875,0.8329736080938573,1.083737015724182,0.7725124955177307,True,True,False,True,2.34375,0.0,93.984375,3.125,0.546875,97.65625,0.0215443201636536,0.5238797329377675,True,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h18_drop0.15_lr3,01_staleness_features_fixed,0.52734375,0.768709148754257,1.0839539766311646,0.7740222811698914,True,False,True,True,23.359375,1.25,73.046875,2.34375,0.0,76.640625,0.0538240724064007,0.5051599020504871,False,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h18_drop0.15_lr5,01_staleness_features_fixed,0.525,0.8280694825064246,1.0859291553497314,0.7734365463256836,False,False,True,True,37.265625,23.671875,39.0625,0.0,0.0,62.734375,0.0535125039678005,0.5083194645929832,False,
01_staleness_features_fixed/sweep_stale_h12_drop0.25_lr3,yearly,6,2.9611782232920327,0.01808366596550211,2.92816424369812,2.985232353210449,0.05008387193083763,-0.003669016701834634,19,01_staleness_features_fixed,sweep_stale_h18_drop0.20_lr3,01_staleness_features_fixed,0.53046875,0.8422846341102826,1.083349108695984,0.7736886739730835,True,True,True,True,41.171875,3.359375,51.64062499999999,3.4375000000000004,0.390625,58.82812499999999,0.0451039878167907,0.5248844341952817,True,
