experiment,frequency,quantiles,horizon,seed,epoch,dir_acc,base_rate,excess_dir_acc,sharpe,healthy_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,pred_std,pct_positive,mae,collapse_pct
daily_3q_h1_s123,daily,3q,1,123,20,0.5374414976599063,0.539,-0.0015585023400936926,0.8380294796085687,2.3400936037441498,91.65366614664586,4.212168486739469,1.794071762870515,0.0364736132323741,100.0,0.7728545665740967,6.006240249609984
daily_3q_h1_s42,daily,3q,1,42,25,0.5436817472698908,0.539,0.00468174726989079,0.9993287769448114,34.789391575663025,53.198127925117,2.02808112324493,3.58814352574103,0.0391859970986843,93.13572542901716,0.7709418535232544,5.61622464898596
daily_3q_h1_s456,daily,3q,1,456,35,0.5374414976599063,0.539,-0.0015585023400936926,0.8380294796085687,2.3400936037441498,97.65990639625583,0.0,0.0,0.0500481016933918,100.0,0.772566020488739,0.0
daily_3q_h20_s123,daily,3q,20,123,62,0.5296912114014252,0.539,-0.009308788598574869,0.977700073924161,28.028503562945367,50.43547110055424,0.3167062549485352,3.4045922406967537,0.108530580997467,57.00712589073634,0.7845839858055115,3.721298495645289
daily_3q_h20_s42,daily,3q,20,42,33,0.5391923990498813,0.539,0.00019239904988122003,0.8514650261620321,16.23119556611243,68.72525732383214,1.5043547110055424,11.0055423594616,0.0321785248816013,97.70387965162313,0.7779072523117065,12.509897070467142
daily_3q_h30_s123,daily,3q,30,123,22,0.5283320031923384,0.539,-0.010667996807661617,0.698915602424465,12.609736632083004,73.18435754189943,1.4365522745411012,2.8731045490822025,0.0491548776626586,97.52593774940144,0.783740222454071,4.309656823623303
daily_3q_h30_s42,daily,3q,30,42,21,0.5339185953711093,0.539,-0.005081404628890729,0.7959332315104144,2.314445331205108,84.75658419792498,1.7557861133280128,11.093375897845172,0.0251383855938911,100.0,0.7816137671470642,12.849162011173185
daily_3q_h3_s123,daily,3q,3,123,28,0.53671875,0.539,-0.0022812500000000124,0.8344670576836827,2.34375,74.453125,18.75,4.453125,0.0783610120415687,100.0,0.7788213491439819,23.203125
daily_3q_h3_s42,daily,3q,3,42,62,0.5359375,0.539,-0.003062500000000079,0.8408065601794958,51.71875,41.09375,0.0,0.0,0.0762980878353118,81.953125,0.7735580205917358,0.0
daily_3q_h3_s456,daily,3q,3,456,35,0.5390625,0.539,6.249999999996536e-05,0.8729671165442167,6.484375000000001,93.515625,0.0,0.0,0.0442012138664722,99.765625,0.7727861404418945,0.0
daily_3q_h5_s123,daily,3q,5,123,34,0.5391236306729265,0.539,0.0001236306729264225,0.8579136366998674,10.719874804381847,79.96870109546165,8.528951486697965,0.7042253521126761,0.0227507408708333,99.21752738654148,0.7736635804176331,9.23317683881064
daily_3q_h5_s42,daily,3q,5,42,47,0.5352112676056338,0.539,-0.0037887323943662787,0.8628952910911436,51.40845070422535,38.654147104851326,0.0,0.0,0.0565190650522708,83.33333333333334,0.7738252878189087,0.0
