experiment,epoch,dir_acc,sharpe,total_return,healthy_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,pred_std,pct_positive,mae,collapse_total
[BASE] h16_enc12_d015_bs16,98,0.578544061302682,0.904631419317978,0.93078351020813,18.773946360153257,77.01149425287356,1.532567049808429,1.532567049808429,0.2340367287397384,91.18773946360152,1.7252687215805054,3.065134099616858
[BASE] baseline_h16_drop0.10,50,0.5351014040561622,0.9091636651322048,0.9383001327514648,60.9984399375975,28.627145085803438,0.0,0.0,0.0597599744796752,81.51326053042122,0.7714847326278687,0.0
daily_3q_h1_s123,20,0.5374414976599063,0.8380294796085687,0.9312556982040404,2.3400936037441498,91.65366614664586,4.212168486739469,1.794071762870515,0.0364736132323741,100.0,0.7728545665740967,6.006240249609984
daily_3q_h1_s42,25,0.5436817472698908,0.9993287769448114,1.1776742935180664,34.789391575663025,53.198127925117,2.02808112324493,3.58814352574103,0.0391859970986843,93.13572542901716,0.7709418535232544,5.61622464898596
daily_3q_h1_s456,35,0.5374414976599063,0.8380294796085687,0.9312556982040404,2.3400936037441498,97.65990639625583,0.0,0.0,0.0500481016933918,100.0,0.772566020488739,0.0
daily_3q_h3_s123,28,0.53671875,0.8344670576836827,0.9241126775741576,2.34375,74.453125,18.75,4.453125,0.0783610120415687,100.0,0.7788213491439819,23.203125
daily_3q_h3_s42,62,0.5359375,0.8408065601794958,0.8537142276763916,51.71875,41.09375,0.0,0.0,0.0762980878353118,81.953125,0.7735580205917358,0.0
daily_3q_h3_s456,35,0.5390625,0.8729671165442167,0.9879980087280272,6.484375000000001,93.515625,0.0,0.0,0.0442012138664722,99.765625,0.7727861404418945,0.0
daily_3q_h5_s123,34,0.5391236306729265,0.8579136366998674,0.9601796865463256,10.719874804381847,79.96870109546165,8.528951486697965,0.7042253521126761,0.0227507408708333,99.21752738654148,0.7736635804176331,9.23317683881064
daily_3q_h5_s42,47,0.5352112676056338,0.8628952910911436,0.9023451805114746,51.40845070422535,38.654147104851326,0.0,0.0,0.0565190650522708,83.33333333333334,0.7738252878189087,0.0
daily_3q_h5_s456,21,0.5359937402190923,0.8305442539657977,0.9164079427719116,2.3474178403755865,96.32237871674492,1.330203442879499,0.0,0.0318100340664386,100.0,0.7732757925987244,1.330203442879499
daily_7q_h1_s123,32,0.5374414976599063,0.8380294796085687,0.9312556982040404,2.2620904836193447,64.1185647425897,18.174726989079563,15.366614664586583,0.0197874922305345,100.0,0.7715431451797485,33.541341653666144
daily_7q_h1_s42,52,0.5374414976599063,0.8529690613017338,0.8255484104156494,64.97659906396255,22.38689547581903,0.0,0.0,0.0698885023593902,76.28705148205928,0.7717083096504211,0.0
daily_7q_h1_s456,49,0.5374414976599063,0.8380294796085687,0.9312556982040404,2.3400936037441498,95.3978159126365,1.40405616224649,0.858034321372855,0.0587430670857429,100.0,0.7741791605949402,2.262090483619345
daily_7q_h3_s42,39,0.55078125,1.2088041536487235,1.412562131881714,31.796875000000004,62.34375,0.78125,0.0,0.0424750074744224,84.84375,0.7719182968139648,0.78125
weekly_3q_h1_s123,77,0.5287356321839081,1.0380664754786195,0.5966430902481079,17.624521072796934,58.620689655172406,5.363984674329502,4.980842911877394,0.3881931006908417,47.12643678160919,1.775161862373352,10.344827586206897
weekly_3q_h1_s456,91,0.5670498084291188,0.883413376766828,0.9384552240371704,2.2988505747126435,91.95402298850574,4.597701149425287,1.1494252873563218,0.1319173723459243,100.0,1.7314577102661133,5.747126436781609
weekly_3q_h3_s123,50,0.5366795366795367,1.023337138184652,0.5694615840911865,15.05791505791506,64.0926640926641,4.633204633204633,6.563706563706563,0.4887109398841858,46.33204633204633,1.8021066188812256,11.196911196911195
weekly_3q_h3_s42,21,0.5637065637065637,0.8694387949745734,0.9106794595718384,2.3166023166023164,82.62548262548263,3.861003861003861,11.196911196911197,0.1168416365981102,100.0,1.7500011920928955,15.057915057915057
weekly_3q_h3_s456,40,0.5637065637065637,0.8694387949745734,0.9106794595718384,2.3166023166023164,90.34749034749036,6.177606177606178,1.1583011583011582,0.1628007441759109,100.0,1.750826716423035,7.335907335907336
weekly_3q_h5_s123,45,0.5369649805447471,1.1995752341797048,0.7502213716506958,34.63035019455253,47.85992217898833,2.723735408560312,1.9455252918287935,0.28481325507164,45.13618677042802,1.7724298238754272,4.669260700389105
