experiment_name,phase,group,hidden_size,dropout,learning_rate,encoder_length,attention_heads,batch_size,created_at,best_val_loss,total_epochs,early_stopped,test_mse,test_rmse,test_mae,test_r2,dir_acc,sharpe_ratio,max_drawdown,total_return,num_trades,precision,recall,f1_score,auc_roc,alpha,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,healthy_days,degraded_days,unidirectional_days,weak_collapse_days,strong_collapse_days,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,problematic_pct,predicted_down,predicted_up,pct_down_predictions,pct_up_predictions,evaluated,collapse_type,pred_std,pred_mean,pred_min,pred_max,num_unique,num_positive,num_negative,num_zero,pct_positive,pct_negative,collapsed,composite_score
learn2r_d010_lb0,05a_regime_output,other,16,0.1,0.0005,20,2,64,2025-11-27T19:50:59.164948,0.39471742510795593,90,True,1.1750978231430054,1.0840193033218384,0.7707817554473877,-9.584426879882812e-05,0.5374414976599063,0.8380294796085687,-0.2524595558643341,0.9312556982040405,1282,0.5374414976599063,1.0,0.6991374936580415,0.5041791388159392,0.0,2.3400936037441498,0.0,95.3978159126365,2.2620904836193447,0.0,30,0,1223,29,0,True,False,False,True,97.65990639625585,0,1282,0.0,1.0,True,,0.050593843919577705,0.08509180437137284,0.0023350157,0.27251288,1277,1282,0,0,100.0,0.0,True,0.5416206364758456
learn2r_d010_lb0_mlp,05a_regime_output,other,16,0.1,0.0005,20,2,64,2025-11-27T19:53:30.925987,0.3955349028110504,86,True,1.1740989685058594,1.083558440208435,0.7718802690505981,0.000754237174987793,0.5374414976599063,0.8380294796085687,-0.2524595558643341,0.9312556982040405,1282,0.5374414976599063,1.0,0.6991374936580415,0.47783404352178416,0.0,2.3400936037441498,0.0,96.48985959438377,1.1700468018720749,0.0,30,0,1237,15,0,True,False,False,True,97.65990639625585,0,1282,0.0,1.0,True,,0.030111689007035713,0.08436700617316692,0.038951762,0.21825796,1266,1282,0,0,100.0,0.0,True,0.5152755411816905
learn2r_d010_lb1,05a_regime_output,other,16,0.1,0.0005,20,2,64,2025-11-27T20:04:22.750497,0.39188820123672485,100,False,1.192025899887085,1.0917993783950806,0.7770221829414368,-0.014502882957458496,0.5288611544461779,0.7786734628683619,-0.2524595558643341,0.8263429403305054,1245,0.5341365461847389,0.965166908563135,0.687693898655636,0.4561269968696231,-0.10491275787353516,19.422776911076443,7.644305772230889,70.82683307332293,2.1060842433697347,0.0,249,98,908,27,0,True,False,True,True,80.57722308892356,37,1245,0.028861154446177848,0.9711388455538221,True,,0.08657579377031441,0.124029160290234,-0.037144646,0.30432424,1279,1245,37,0,97.11388455538221,2.886115444617785,False,0.484988151315801
learn2r_d010_lb1_mlp,05a_regime_output,other,16,0.1,0.0005,20,2,64,2025-11-27T20:05:24.500812,0.3962683379650116,70,True,1.1740479469299316,1.0835349559783936,0.7721198797225952,0.0007977485656738281,0.5374414976599063,0.8380294796085687,-0.2524595558643341,0.9312556982040405,1282,0.5374414976599063,1.0,0.6991374936580415,0.4712551122554622,0.0,2.3400936037441498,0.0,94.38377535101404,3.2761310452418098,0.0,30,0,1210,42,0,True,False,False,True,97.65990639625585,0,1282,0.0,1.0,True,,0.02737960012798431,0.07963865879173167,0.032806855,0.20113632,1277,1282,0,0,100.0,0.0,True,0.5086966099153685
learn2r_d010_lb2,05a_regime_output,other,16,0.1,0.0005,20,2,64,2025-11-27T20:24:27.271717,0.39163392782211304,100,False,1.1887500286102295,1.0902981758117676,0.7758165597915649,-0.011714935302734375,0.5288611544461779,0.8220041398386954,-0.2524595558643341,0.8890631198883057,1229,0.5345809601301872,0.95355587808418,0.6850886339937435,0.46220663424519737,-0.04219257831573486,24.726989079563182,9.282371294851794,65.83463338533542,0.15600624024961,0.0,317,119,844,2,0,True,False,True,True,75.27301092043683,53,1229,0.041341653666146644,0.9586583463338534,True,,0.07954333842444734,0.11467111702432917,-0.045037948,0.29191005,1280,1229,53,0,95.86583463338533,4.134165366614664,False,0.49106778869137524
learn2r_d010_lb2_mlp,05a_regime_output,other,16,0.1,0.0005,20,2,64,2025-11-27T20:25:58.408230,0.3967580795288086,56,True,1.1738533973693848,1.0834451913833618,0.7722463607788086,0.0009633302688598633,0.5374414976599063,0.8380294796085687,-0.2524595558643341,0.9312556982040405,1282,0.5374414976599063,1.0,0.6991374936580415,0.4646174405314053,0.0,2.3400936037441498,0.0,93.21372854914196,3.1201248049921997,1.326053042121685,30,0,1195,40,17,True,True,False,True,97.65990639625585,0,1282,0.0,1.0,True,,0.02692698651816344,0.07288233221840873,0.037447736,0.19826889,1270,1282,0,0,100.0,0.0,True,0.5020589381913116
learn2r_d025_lb0,05a_regime_output,other,16,0.25,0.0005,20,2,64,2025-11-27T20:31:00.393885,0.39616549015045166,87,True,1.1765146255493164,1.0846725702285767,0.7734208106994629,-0.0013016462326049805,0.5374414976599063,0.8380294796085687,-0.2524595558643341,0.9312556982040405,1282,0.5374414976599063,1.0,0.6991374936580415,0.46149685371423255,0.0,2.3400936037441498,0.0,91.88767550702028,1.87207488299532,3.9001560062402496,30,0,1178,24,50,True,True,False,True,97.65990639625585,0,1282,0.0,1.0,True,,0.0433906231303413,0.07193927234555382,0.02511587,0.1916303,1274,1282,0,0,100.0,0.0,True,0.4989383513741389
learn2r_d025_lb0_mlp,05a_regime_output,other,16,0.25,0.0005,20,2,64,2025-11-27T20:41:32.897076,0.39970704913139343,56,True,1.1718766689300537,1.082532525062561,0.7716540694236755,0.0026456713676452637,0.5374414976599063,0.8380294796085687,-0.2524595558643341,0.9312556982040405,1282,0.5374414976599063,1.0,0.6991374936580415,0.489075498620823,0.0,2.3400936037441498,0.0,84.71138845553821,12.948517940717629,0.0,30,0,1086,166,0,True,False,False,True,97.65990639625585,0,1282,0.0,1.0,True,,0.024186224849555495,0.07417218824648986,0.05175429,0.23241204,1263,1282,0,0,100.0,0.0,True,0.5265169962807293
learn2r_d025_lb1,05a_regime_output,other,16,0.25,0.0005,20,2,64,2025-11-27T20:47:04.928095,0.3945274353027344,88,True,1.1782718896865845,1.0854823589324951,0.7732071280479431,-0.002797245979309082,0.5374414976599063,0.8380294796085687,-0.2524595558643341,0.9312556982040405,1282,0.5374414976599063,1.0,0.6991374936580415,0.4694561857373273,0.0,2.3400936037441498,0.0,82.91731669266771,2.02808112324493,12.714508580343214,30,0,1063,26,163,True,True,False,True,97.65990639625585,0,1282,0.0,1.0,True,,0.04878876071814505,0.08874037874102964,0.042482596,0.240219,1269,1282,0,0,100.0,0.0,True,0.5068976833972336
learn2r_d025_lb1_mlp,05a_regime_output,other,16,0.25,0.0005,20,2,64,2025-11-27T21:01:37.342086,0.39977192878723145,56,True,1.170998215675354,1.0821267366409302,0.7716912031173706,0.003393232822418213,0.5374414976599063,0.8380294796085687,-0.2524595558643341,0.9312556982040405,1282,0.5374414976599063,1.0,0.6991374936580415,0.48235461124830814,0.0,2.3400936037441498,0.0,94.22776911076443,3.0421216848673946,0.39001560062402496,30,0,1208,39,5,True,True,False,True,97.65990639625585,0,1282,0.0,1.0,True,,0.02329116313604507,0.0761448855772231,0.04527697,0.29789478,1262,1282,0,0,100.0,0.0,True,0.5197961089082145
