checkpoint,epoch,ckpt_metric,ckpt_value,mse,mae,r2,dir_acc,sharpe,total_return,max_drawdown,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,pred_std,pred_mean,pct_positive,num_negative
tft-epoch=epoch=00-composite=val_composite=0.4885,0,,,5.435122013092041,1.7448387145996094,-0.039995551109313965,0.5670498084291188,0.883413376766828,0.9384552240371704,-0.2482302188873291,1.9157088122605364,0.38314176245210724,93.10344827586206,4.597701149425287,0.0,0.028689414262771606,0.7278410792350769,100.0,0
tft-epoch=epoch=01-composite=val_composite=0.4885,1,,,5.268693923950195,1.726060390472412,-0.008149981498718262,0.5670498084291188,0.883413376766828,0.9384552240371704,-0.2482302188873291,1.9157088122605364,0.38314176245210724,0.0,93.10344827586206,4.597701149425287,0.006824858486652374,0.48333939909935,100.0,0
tft-epoch=epoch=02-composite=val_composite=0.4885,2,,,5.251163482666016,1.7248399257659912,-0.004795551300048828,0.5670498084291188,0.883413376766828,0.9384552240371704,-0.2482302188873291,1.9157088122605364,0.38314176245210724,0.0,97.70114942528735,0.0,0.005020696669816971,0.4365648627281189,100.0,0
tft-epoch=epoch=03-composite=val_composite=0.4885,3,,,5.235415935516357,1.7246756553649902,-0.0017822980880737305,0.5670498084291188,0.883413376766828,0.9384552240371704,-0.2482302188873291,1.9157088122605364,0.38314176245210724,0.0,96.93486590038314,0.7662835249042145,0.005050846375524998,0.3743956685066223,100.0,0
tft-epoch=epoch=04-composite=val_composite=0.4885,4,,,5.2362871170043945,1.7246673107147217,-0.0019489526748657227,0.5670498084291188,0.883413376766828,0.9384552240371704,-0.2482302188873291,1.9157088122605364,0.38314176245210724,0.0,97.70114942528735,0.0,0.005970800761133432,0.37828466296195984,100.0,0
tft-epoch=epoch=09-sharpe=val_sharpe=1385.0634,9,val_sharpe,1385.0634,5.227293014526367,1.7279620170593262,-0.00022804737091064453,0.5670498084291188,0.883413376766828,0.9384552240371704,-0.2482302188873291,1.9157088122605364,0.38314176245210724,0.0,96.16858237547893,1.532567049808429,0.005446908995509148,0.29927483201026917,100.0,0
tft-epoch=epoch=10-sharpe=val_sharpe=1431.0121,10,val_sharpe,1431.0121,5.228174209594727,1.7269750833511353,-0.0003966093063354492,0.5670498084291188,0.883413376766828,0.9384552240371704,-0.2482302188873291,1.9157088122605364,0.38314176245210724,0.0,95.01915708812261,2.681992337164751,0.006066793575882912,0.3151029348373413,100.0,0
tft-epoch=epoch=25-unique=val_num_unique=260,25,val_num_unique,260.0,5.230041027069092,1.7331206798553467,-0.0007537603378295898,0.5670498084291188,0.883413376766828,0.9384552240371704,-0.2482302188873291,1.9157088122605364,0.38314176245210724,13.409961685823754,75.09578544061303,9.195402298850574,0.014619292691349983,0.22981314361095428,100.0,0
tft-epoch=epoch=32-unique=val_num_unique=260,32,val_num_unique,260.0,5.223742485046387,1.7329412698745728,0.0004513859748840332,0.5670498084291188,0.883413376766828,0.9384552240371704,-0.2482302188873291,1.9157088122605364,0.38314176245210724,24.904214559386972,63.601532567049816,9.195402298850574,0.026408731937408447,0.24031157791614532,100.0,0
tft-epoch=epoch=34-unique=val_num_unique=260,34,val_num_unique,260.0,5.220089912414551,1.7334375381469727,0.0011502504348754883,0.5670498084291188,0.883413376766828,0.9384552240371704,-0.2482302188873291,1.9157088122605364,0.38314176245210724,32.95019157088122,39.46360153256705,25.287356321839084,0.03403645008802414,0.23921874165534973,100.0,0
