train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique
1.0341159105300903,0,49,,,,,,,,,
,0,93,0.9246029853820801,1.377732753753662,0.7325137257575989,0.9969198703765869,18769.916015625,,,,
,0,93,,,,,,1.0168430805206299,0.06706704944372177,100.0,1253.0
1.0075618028640747,1,99,,,,,,,,,
0.8483190536499023,1,149,,,,,,,,,
,1,187,0.8228223919868469,1.480850338935852,0.7096145749092102,0.9762377142906189,9710.6142578125,,,,
,1,187,,,,,,0.9298478960990906,0.0705307200551033,100.0,1261.0
0.9016205668449402,2,199,,,,,,,,,
0.8405787348747253,2,249,,,,,,,,,
,2,281,0.7195433974266052,1.7104078531265259,0.7060035467147827,0.9730536937713623,2737.0478515625,,,,
,2,281,,,,,,0.8224889039993286,0.07207465916872025,100.0,1258.0
0.7173072695732117,3,299,,,,,,,,,
0.8134287595748901,3,349,,,,,,,,,
,3,375,0.6273202896118164,1.7965922355651855,0.7068697810173035,0.9737234711647034,1616.38818359375,,,,
,3,375,,,,,,0.7217842936515808,0.06953837722539902,100.0,1263.0
0.9784008264541626,4,399,,,,,,,,,
0.5232263803482056,4,449,,,,,,,,,
,4,469,0.5666859149932861,1.6688063144683838,0.7060904502868652,0.9729631543159485,3822.3525390625,,,,
,4,469,,,,,,0.6403512954711914,0.0635056272149086,100.0,1259.0
0.5233571529388428,5,499,,,,,,,,,
0.4673285484313965,5,549,,,,,,,,,
,5,563,0.5281491279602051,1.6112704277038574,0.7064498066902161,0.9730586409568787,5453.18896484375,,,,
,5,563,,,,,,0.5811659693717957,0.0560244545340538,100.0,1255.0
0.5824011564254761,6,599,,,,,,,,,
0.4737531542778015,6,649,,,,,,,,,
,6,657,0.4998854100704193,1.6335232257843018,0.7069635987281799,0.9733231663703918,5267.5166015625,,,,
,6,657,,,,,,0.538856565952301,0.04478367418050766,100.0,1255.0
0.6053478121757507,7,699,,,,,,,,,
0.4892832636833191,7,749,,,,,,,,,
,7,751,0.47947776317596436,1.641695261001587,0.7075377702713013,0.9736577868461609,5435.87646484375,,,,
,7,751,,,,,,0.5077289342880249,0.03640357404947281,100.0,1257.0
0.4648333191871643,8,799,,,,,,,,,
,8,845,0.46462711691856384,1.658386468887329,0.7080876231193542,0.9740782380104065,5400.3447265625,,,,
,8,845,,,,,,0.4816274344921112,0.029611125588417053,100.0,1268.0
0.5011829733848572,9,849,,,,,,,,,
0.40547171235084534,9,899,,,,,,,,,
,9,939,0.453832745552063,1.628815770149231,0.708687424659729,0.9743497371673584,6467.21240234375,,,,
,9,939,,,,,,0.4645945727825165,0.02663649432361126,100.0,1263.0
0.5689935684204102,10,949,,,,,,,,,
0.4415658116340637,10,999,,,,,,,,,
,10,1033,0.4456292986869812,1.6839460134506226,0.7086750864982605,0.9746009111404419,5209.43115234375,,,,
,10,1033,,,,,,0.4530833661556244,0.026463620364665985,99.6099853515625,1270.0
0.4510763883590698,11,1049,,,,,,,,,
0.41062283515930176,11,1099,,,,,,,,,
,11,1127,0.4394233822822571,1.6877062320709229,0.7088823914527893,0.9747623801231384,5266.2626953125,,,,
,11,1127,,,,,,0.44500571489334106,0.026354681700468063,98.9859619140625,1270.0
0.4487863779067993,12,1149,,,,,,,,,
0.5334402918815613,12,1199,,,,,,,,,
,12,1221,0.4352222681045532,1.6843609809875488,0.7088693976402283,0.9746941924095154,5340.66943359375,,,,
,12,1221,,,,,,0.439491868019104,0.02702951245009899,99.3759765625,1260.0
0.43768033385276794,13,1249,,,,,,,,,
0.4275473356246948,13,1299,,,,,,,,,
,13,1315,0.43062877655029297,1.7146693468093872,0.7088555693626404,0.9748280644416809,4608.64111328125,,,,
,13,1315,,,,,,0.4353407919406891,0.027747197076678276,97.26988983154297,1278.0
0.4688701629638672,14,1349,,,,,,,,,
0.3930738568305969,14,1399,,,,,,,,,
,14,1409,0.42958399653434753,1.6746399402618408,0.70889812707901,0.9746353626251221,5557.26708984375,,,,
,14,1409,,,,,,0.43230339884757996,0.02701730653643608,99.843994140625,1269.0
0.3610202372074127,15,1449,,,,,,,,,
0.4548172950744629,15,1499,,,,,,,,,
