Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,SP500_Volatility,cumret_5,cumret_10,cumret_20,cumret_30
2010-01-04,1.604341766668682,20.04,3.85,2.76,0.699239676431416,1.2347849808877154,1.5216365884052507,-2.6187384002549385,-2.9550111437281146
2010-01-05,0.3115675625823266,19.35,3.77,2.76,0.6940548559879123,-0.02640066368989613,0.13374331337139278,-3.4526439974686074,-2.619401244117825
2010-01-06,0.0545520630110152,19.16,3.85,2.84,0.6884958735205038,0.7510103375564237,-1.8168417181304242,-6.5101947291655415,-2.4596769388835815
2010-01-07,0.400120187417663,19.06,3.85,2.82,0.6314604987049793,0.5929823225832687,-4.373335511664833,-6.6130038692470805,-2.9500068643103394
2010-01-08,0.288172729142877,18.13,3.83,2.87,0.6307696793282616,-0.7816687911181397,-4.209676325706768,-7.706684111476758,-4.400077358748855
2010-01-11,0.1746755431637492,17.55,3.85,2.9,0.624985216745147,0.2833528095818938,-4.778630617514135,-6.6661983852806195,-3.6391210784094463
2010-01-12,-0.9381166148364262,18.25,3.74,2.82,0.6729531272382225,0.16018626729901175,-3.407788254167343,-5.992674620758165,-2.9290128808667215
2010-01-13,0.8325925658531075,17.85,3.8,2.83,0.6796072264654602,-2.5487109728066115,-5.337443400187802,-5.866391999242204,-3.5952501174429163
2010-01-14,0.2426425438374568,17.63,3.76,2.82,0.659681106823208,-4.937042047647033,-6.49478156464628,-6.3519803609283,-2.851644908305362
2010-01-15,-1.0823130159869354,17.91,3.7,2.81,0.7178321726059586,-3.455014303124826,-4.123138181445429,-3.6231466702656423,-1.5598153434458584
2010-01-19,1.2499626599363545,17.58,3.73,2.8,0.6908676655267921,-5.047680682064703,-4.078317812631749,-4.409550399864859,-2.733361322527661
2010-01-20,-1.0597829662970737,18.68,3.68,2.76,0.7440134353138769,-3.562268256914436,-3.5815971641210975,-2.749467328783639,-1.324212491837251
2010-01-21,-1.894490338978838,22.27,3.62,2.75,0.8435856947276179,-2.861668075630064,-4.7802017099115695,-0.6547306401650577,1.990180844424616
2010-01-22,-2.2140988764300484,27.31,3.62,2.78,0.974393410109954,-1.6386398556838544,-2.3420960770365817,1.4884223505757799,4.2811597618792385
2010-01-25,0.4598098012701168,25.41,3.66,2.8,0.9800077489737996,-0.6920337431281287,-3.650690019234648,-0.1987685454425181,3.981648161755502
2010-01-26,-0.4203199573680982,24.55,3.65,2.78,0.9708695797950035,1.0208943566582862,-1.9822942896194795,1.1966951814434301,4.893005599494882
2010-01-27,0.4880152210944954,23.14,3.66,2.76,0.9797657345023076,-0.02004288866743753,-2.67608155965261,0.49566664293851925,4.805466080580878
2010-01-28,-1.1817740959567224,23.73,3.68,2.81,1.0075455675103229,-1.9750530982714953,-0.5587727799182263,1.84042492123897,6.035790542373376
2010-01-29,-0.9829173828039272,24.62,3.63,2.81,1.021748314479822,-0.715175370003629,0.15272003649371424,3.896185386551121,7.136805665202917
2010-02-01,1.4266108894671836,22.59,3.68,2.82,1.0687222608213227,-2.9792738564936583,0.5214934048696884,2.6735572998317414,6.451585426920503
2010-02-02,1.297294837718499,21.48,3.67,2.81,1.0447040405308985,-2.9728390996766274,-0.34531565719010393,1.4021402246437775,5.700070488162856
2010-02-03,-0.547431142933863,21.6,3.73,2.85,1.043364529405285,-2.6565711245780554,0.8630404682743675,2.341238400439294,6.247259125069338
2010-02-04,-3.1140677888039425,26.08,3.62,2.82,1.231099893826576,1.4448162055860303,4.332576989060843,7.1102676921349195,9.104423850415833
2010-02-05,0.2897118921960873,26.11,3.59,2.82,1.2279028184856964,0.8741470911911131,3.922384439700899,6.782099116258489,9.343561903811093
