experiment_name_attention,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep,phase_prefix,exp_name_only,experiment_name_collapse,phase,dir_acc,sharpe_ratio,test_rmse,test_mae,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,pred_std,composite_score,collapsed
00_baseline_exploration/sweep2_h16_drop_0.1,yearly,6,2.792617917060852,0.12922326536082512,2.5443756580352783,2.9241013526916504,0.05210594336191813,0.03546177319117925,19,00_baseline_exploration,sweep2_h16_drop_0.1,sweep2_h16_drop_0.1,00_baseline_exploration,0.5359375,0.8790067345516318,1.082306742668152,0.7713769674301147,True,False,True,True,48.203125,11.328125,37.65625,2.8125,0.0,51.796875,0.056025,0.5646605203907302,False
00_baseline_exploration/sweep_encoder_40,yearly,6,3.5951446692148843,0.03714583005776026,3.5325679779052734,3.632444381713867,0.025146587130924065,0.012351036071777254,1,00_baseline_exploration,sweep_encoder_40,sweep_encoder_40,00_baseline_exploration,0.5071428571428571,0.7648537022503901,1.0804791450500488,0.7732592225074768,False,False,True,True,59.12698412698413,18.88888888888889,21.984126984126984,0.0,0.0,40.87301587301587,0.063369,0.4936935301155838,False
00_baseline_exploration/sweep2_h16_lr_0.0008,yearly,6,2.806995471318563,0.13060977918573763,2.548511028289795,2.9452290534973145,0.05068629048764706,0.03114023208618137,19,00_baseline_exploration,sweep2_h16_lr_0.0008,sweep2_h16_lr_0.0008,00_baseline_exploration,0.53515625,0.8964671555441348,1.082925796508789,0.7708621025085449,False,False,True,True,37.890625,6.09375,56.015625,0.0,0.0,62.109375,0.067919,0.5599567487837238,False
00_baseline_exploration/sweep_hidden_16,yearly,6,2.8438319762547812,0.11271542459971141,2.619776964187622,2.9635798931121826,0.05098722564677397,0.026365968159266548,19,00_baseline_exploration,sweep_hidden_16,sweep_hidden_16,00_baseline_exploration,0.5453125,1.006013640397486,1.0836728811264038,0.7719882726669312,True,False,True,True,45.3125,16.015625,35.9375,2.734375,0.0,54.6875,0.047946,0.576318339598813,True
00_baseline_exploration/sweep_lr_0.0007,yearly,6,2.714244286219279,0.09746704624550906,2.5530149936676025,2.864360809326172,0.05743463026980559,0.02350939341953778,0,00_baseline_exploration,sweep_lr_0.0007,sweep_lr_0.0007,00_baseline_exploration,0.5171875,0.6744092856776368,1.0836397409439087,0.7744737267494202,True,False,True,True,39.375,16.328125,42.1875,2.109375,0.0,60.625,0.05677,0.5172206376981818,False
00_baseline_exploration/sweep2_h16_lr_0.0006,yearly,6,2.8195363680521646,0.12409412969187289,2.5799574851989746,2.956671953201294,0.05097861712177595,0.032592051369802894,19,00_baseline_exploration,sweep2_h16_lr_0.0006,sweep2_h16_lr_0.0006,00_baseline_exploration,0.53515625,0.8763055269443439,1.0829553604125977,0.7711097002029419,True,False,True,True,33.125,5.625,59.68750000000001,1.5625,0.0,66.875,0.050334,0.5631551503193493,False
00_baseline_exploration/sweep_baseline,yearly,6,2.373480280240377,0.24214230787477653,2.1165645122528076,2.7789032459259033,0.06057569322486719,0.08617298262459876,0,00_baseline_exploration,sweep_baseline,sweep_baseline,00_baseline_exploration,0.5265625,0.7697217541762329,1.0848512649536133,0.7738154530525208,False,False,True,True,30.234375000000004,7.03125,62.734375,0.0,0.0,69.765625,0.067879,0.5284538034406749,False
00_baseline_exploration/sweep2_h16_lr_0.0007,yearly,6,2.806462605794271,0.12805842211563115,2.554847240447998,2.943819522857666,0.050813731426994004,0.031048134395054137,19,00_baseline_exploration,sweep2_h16_lr_0.0007,sweep2_h16_lr_0.0007,00_baseline_exploration,0.5328125,0.8752693257994593,1.08272123336792,0.7709378004074097,False,False,True,True,35.546875,7.968749999999999,56.484375,0.0,0.0,64.453125,0.059277,0.5606174834188777,False
00_baseline_exploration/sweep_dropout_0.3,yearly,6,2.963243285814921,0.014641479608696386,2.9358224868774414,2.984788179397583,0.05147436074912548,0.0035113539014541453,0,00_baseline_exploration,sweep_dropout_0.3,sweep_dropout_0.3,00_baseline_exploration,0.53359375,0.8353788934018072,1.0822051763534546,0.7727476358413696,True,False,True,True,32.890625,5.15625,59.609375,2.34375,0.0,67.109375,0.054241,0.5412951965218917,False
00_baseline_exploration/sweep2_hidden_16,yearly,6,2.8438319762547812,0.11271542459971141,2.619776964187622,2.9635798931121826,0.05098722564677397,0.026365968159266548,19,00_baseline_exploration,sweep2_hidden_16,sweep2_hidden_16,00_baseline_exploration,0.5453125,1.006013640397486,1.0836728811264038,0.7719882726669312,True,False,True,True,45.3125,16.015625,35.9375,2.734375,0.0,54.6875,0.047946,0.576318339598813,True
00_baseline_exploration/sweep_combo1,yearly,6,3.8790116707483926,0.04421156917258098,3.8071084022521973,3.9431612491607666,0.018292497843503952,-0.011890036719186392,59,00_baseline_exploration,sweep_combo1,sweep_combo1,00_baseline_exploration,0.5370967741935484,0.9287704098521616,1.0761691331863403,0.7649515271186829,True,False,True,True,32.822580645161295,10.0,56.048387096774185,1.129032258064516,0.0,67.17741935483869,0.041621,0.5372824125804292,True
00_baseline_exploration/sweep2_hidden_18,yearly,6,2.87348473072052,0.06161247661708638,2.7574031352996826,2.9565625190734863,0.053686983262499176,0.0028884138379776086,19,00_baseline_exploration,sweep2_hidden_18,sweep2_hidden_18,00_baseline_exploration,0.53671875,0.8329736080938573,1.083710789680481,0.7731541395187378,True,True,False,True,2.34375,0.0,76.09375,7.34375,14.21875,97.65625,0.027106,0.5033122682662357,True
00_baseline_exploration/sweep2_h16_drop_0.05,yearly,6,2.7755518356959024,0.13997093278229977,2.5077290534973145,2.919240713119507,0.053453126922249794,0.0400909355708529,19,00_baseline_exploration,sweep2_h16_drop_0.05,sweep2_h16_drop_0.05,00_baseline_exploration,0.5296875,0.8048062877928472,1.082661271095276,0.772081732749939,True,False,True,True,61.64062500000001,14.609375,21.5625,2.1875,0.0,38.359375,0.06868,0.5528728428278975,False
