experiment_name,phase,evaluation_type,hidden_size,dropout,learning_rate,best_val_loss,total_epochs,early_stopped,checkpoint_selected,checkpoint_epoch,test_mse,test_rmse,test_mae,test_r2,dir_acc,sharpe_ratio,auc_roc,alpha,precision,recall,f1_score,hit_rate,num_trades,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,pred_std,num_unique,pct_positive,pct_negative,num_negative,composite_score,evaluated,collapsed
core_dynamics_daily_7q_h10_d015_s42,12b_feature_sweep,standard,16,0.15,0.0005,0.4883440136909485,100,False,tft-epoch=epoch=94-unique=val_num_unique=900,94,1.3107563257217407,1.1448826789855957,0.8043935298919678,-0.0028798580169677734,0.5266075388026608,0.6384064703935319,0.5240034512510785,0.0,0.5266075388026608,1.0,0.6899055918663762,0.5266075388026608,902,3.325942350332594,0.0,92.01773835920177,0.11086474501108648,4.545454545454546,96.6740576496674,True,True,False,True,,,100.0,0.0,0,0.5506109900537393,True,True
core_dynamics_daily_7q_h1_d010_s42,12b_feature_sweep,standard,16,0.1,0.0005,0.46587812900543213,100,False,tft-epoch=epoch=09-composite=val_composite=0.4717,9,1.297570824623108,1.1391096115112305,0.79782634973526,-0.0017857551574707031,0.5411635565312843,0.5885246982041575,0.534907001711981,-0.17521333694458008,0.5445682451253482,0.8112033195020747,0.6516666666666666,0.429198682766191,718,13.721185510428102,21.07574094401756,46.8715697036224,8.232711306256862,10.098792535675083,86.27881448957191,True,True,True,True,0.0393,911.0,78.81448957189902,21.185510428100987,193,0.5760705582432654,True,True
core_dynamics_daily_7q_h1_d015_s42,12b_feature_sweep,standard,16,0.15,0.0005,0.4637242257595062,100,False,tft-epoch=epoch=10-composite=val_composite=0.4849,10,1.29888117313385,1.1396846771240234,0.7978243827819824,-0.002797365188598633,0.544456641053787,0.9812538618251255,0.536287709524224,-0.023822903633117676,0.5532591414944356,0.7219917012448133,0.6264626462646264,0.38199780461031835,629,20.30735455543359,19.538968166849617,41.05378704720088,6.366630076838639,12.733260153677278,79.69264544456642,True,True,True,True,0.043823,910.0,69.0450054884742,30.954994511525797,282,0.580744350578011,True,True
core_dynamics_daily_7q_h3_d010_s42,12b_feature_sweep,standard,16,0.1,0.0005,0.4617629945278168,100,False,tft-epoch=epoch=91-predstd=val_pred_std=0.0393,91,1.309949278831482,1.144530177116394,0.8035072088241577,-0.009209990501403809,0.5357535753575358,0.6809044371526383,0.5026757964257964,-0.005296945571899414,0.5336426914153132,0.9583333333333334,0.6855439642324889,0.506050605060506,862,4.84048404840484,18.26182618261826,76.89768976897689,0.0,0.0,95.15951595159515,False,False,True,True,,,94.82948294829482,5.17051705170517,47,0.5384293717833322,True,False
core_dynamics_daily_7q_h3_d015_s42,12b_feature_sweep,standard,16,0.15,0.0005,0.46026816964149475,100,False,tft-epoch=epoch=84-unique=val_num_unique=908,84,1.3067721128463745,1.1431413888931274,0.802766740322113,-0.006762266159057617,0.528052805280528,0.6491571903302984,0.48599941724941725,0.0,0.528052805280528,1.0,0.6911447084233261,0.528052805280528,909,3.3003300330033,0.0,96.69966996699671,0.0,0.0,96.69966996699671,False,False,False,True,,,100.0,0.0,0,0.5140522225299453,True,True
core_dynamics_daily_7q_h5_d010_s42,12b_feature_sweep,standard,16,0.1,0.0005,0.4670715630054474,100,False,tft-epoch=epoch=97-unique=val_num_unique=906,97,1.307715654373169,1.1435539722442627,0.8010883927345276,-0.005346179008483887,0.545755237045204,0.7555827120846147,0.520979020979021,-0.01983928680419922,0.5454545454545454,0.8284518828451883,0.6578073089700996,0.43660418963616315,726,16.868798235942666,15.87651598676957,67.25468577728776,0.0,0.0,83.13120176405734,False,False,True,True,,,80.04410143329659,19.955898566703418,181,0.5667342580242251,True,False
core_dynamics_daily_7q_h5_d015_s42,12b_feature_sweep,standard,16,0.15,0.0005,0.46960851550102234,100,False,tft-epoch=epoch=86-valloss=val_loss=0.4697,86,1.3078172206878662,1.1435983180999756,0.803063154220581,-0.005424141883850098,0.5270121278941565,0.6437298783755105,0.5011313651481015,0.0,0.5270121278941565,1.0,0.6902527075812274,0.5270121278941565,907,3.307607497243661,0.0,96.69239250275635,0.0,0.0,96.69239250275635,False,False,False,True,,,100.0,0.0,0,0.528143493042258,True,True
core_dynamics_weekly_7q_h1_enc8_s42,12b_feature_sweep,standard,16,0.25,0.0005,1.0440210103988647,100,False,tft-epoch=epoch=99-predstd=val_pred_std=0.0962,99,5.645879745483398,2.376106023788452,1.8113114833831787,0.003346860408782959,0.5614973262032086,0.8515614373850564,0.5083623693379791,0.0,0.5614973262032086,1.0,0.7191780821917808,0.5614973262032086,187,2.6737967914438503,0.0,89.83957219251337,7.4866310160427805,0.0,97.32620320855615,True,False,False,True,0.102331,187.0,100.0,0.0,0,0.5698596955411876,True,True
core_dynamics_weekly_7q_h3_enc12_s42,12b_feature_sweep,standard,16,0.15,0.0005,1.0573688745498657,100,False,tft-epoch=epoch=40-predstd=val_pred_std=0.0805,40,5.652370929718018,2.377471446990967,1.8194530010223389,-0.0038050413131713867,0.56353591160221,0.8335655582524885,0.4711111111111111,0.07564449310302734,0.5586592178770949,1.0,0.7168458781362006,0.5524861878453039,179,9.392265193370166,1.6574585635359116,61.87845303867403,27.071823204419886,0.0,90.60773480662982,True,False,True,True,,,98.89502762430939,1.1049723756906076,2,0.5346470227133211,True,False
core_dynamics_weekly_7q_h3_enc8_s42,12b_feature_sweep,standard,16,0.25,0.0005,1.053140640258789,100,False,tft-epoch=epoch=99-predstd=val_pred_std=0.0996,99,5.724940776824951,2.3926849365234375,1.8344146013259888,-0.0004220008850097656,0.5567567567567567,0.8327954368571613,0.4589154629410372,0.0,0.5567567567567567,1.0,0.7152777777777777,0.5567567567567567,185,3.2432432432432434,0.0,96.21621621621622,0.5405405405405406,0.0,96.75675675675677,True,False,False,True,,,100.0,0.0,0,0.5156722196977939,True,True
