train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique,val_dir_acc,val_sharpe,val_composite,val_pred_std_avg,val_dir_acc_avg,val_composite_avg
0.8252812623977661,0,49,,,,,,,,,,,,,,,
,0,93,0.6362356543540955,1.7337027788162231,0.7032255530357361,0.959876537322998,3218.118896484375,,,,,,,,,,
,0,93,,,,,,0.7831612229347229,0.03752303123474121,91.58654022216797,1242.0,0.5424679517745972,22.524120330810547,0.44184187054634094,0.031181281432509422,0.49839743971824646,0.40849602222442627
0.7163053750991821,1,99,,,,,,,,,,,,,,,
0.6441143751144409,1,149,,,,,,,,,,,,,,,
,1,187,0.5327568054199219,1.5971660614013672,0.6995068192481995,0.9546684622764587,6866.5400390625,,,,,,,,,,
,1,187,,,,,,0.6416312456130981,0.0218276996165514,100.0,1239.0,0.5448718070983887,96.60260009765625,0.420878529548645,0.016100578010082245,0.5456730723381042,0.4217163622379303
0.6129164099693298,2,199,,,,,,,,,,,,,,,
0.694815993309021,2,249,,,,,,,,,,,,,,,
,2,281,0.48980242013931274,1.6293621063232422,0.6982482075691223,0.95382159948349,5586.4814453125,,,,,,,,,,
,2,281,,,,,,0.5532468557357788,0.01589246653020382,100.0,1223.0,0.5448718070983887,105.61336517333984,0.420878529548645,0.011785619892179966,0.5456730723381042,0.4217163622379303
0.4535659849643707,3,299,,,,,,,,,,,,,,,
0.41672104597091675,3,349,,,,,,,,,,,,,,,
,3,375,0.462462455034256,1.6252530813217163,0.6977864503860474,0.9534504413604736,5356.1953125,,,,,,,,,,
,3,375,,,,,,0.5043461322784424,0.01332581415772438,100.0,1231.0,0.5448718070983887,109.71088409423828,0.420878529548645,0.009684838354587555,0.5456730723381042,0.4217163622379303
0.44139450788497925,4,399,,,,,,,,,,,,,,,
0.5765973925590515,4,449,,,,,,,,,,,,,,,
,4,469,0.45072174072265625,1.6771161556243896,0.6974385976791382,0.9534570574760437,3908.21630859375,,,,,,,,,,
,4,469,,,,,,0.477680504322052,0.011620409786701202,100.0,1219.0,0.5448718070983887,89.53524780273438,0.420878529548645,0.008275688625872135,0.5456730723381042,0.4217163622379303
0.3668859899044037,5,499,,,,,,,,,,,,,,,
0.42500799894332886,5,549,,,,,,,,,,,,,,,
,5,563,0.4437718987464905,1.6319724321365356,0.6973398923873901,0.9531455636024475,4895.79150390625,,,,,,,,,,
,5,563,,,,,,0.463079035282135,0.012127387337386608,100.0,1227.0,0.5448718070983887,95.54360961914062,0.420878529548645,0.008596214465796947,0.5456730723381042,0.4217163622379303
0.3631967008113861,6,599,,,,,,,,,,,,,,,
0.4698719084262848,6,649,,,,,,,,,,,,,,,
,6,657,0.4331819713115692,1.6235605478286743,0.6971604228019714,0.9529887437820435,5085.38720703125,,,,,,,,,,
,6,657,,,,,,0.4543735086917877,0.008653701283037663,100.0,1213.0,0.5448718070983887,131.72288513183594,0.420878529548645,0.00853339210152626,0.5456730723381042,0.4217163622379303
0.4789261817932129,7,699,,,,,,,,,,,,,,,
0.4450817108154297,7,749,,,,,,,,,,,,,,,
,7,751,0.4287222921848297,1.6157383918762207,0.6971291303634644,0.9529608488082886,5849.86572265625,,,,,,,,,,
,7,751,,,,,,0.44754141569137573,0.009482886642217636,100.0,1211.0,0.5448718070983887,125.80325317382812,0.420878529548645,0.00819479487836361,0.5456730723381042,0.4217163622379303
0.46455931663513184,8,799,,,,,,,,,,,,,,,
,8,845,0.42559394240379333,1.6468617916107178,0.6972661018371582,0.9532327651977539,5436.3486328125,,,,,,,,,,
,8,845,,,,,,0.4437267482280731,0.012602489441633224,100.0,1223.0,0.5448718070983887,85.70323944091797,0.420878529548645,0.010182571597397327,0.5456730723381042,0.4217163622379303
0.42306241393089294,9,849,,,,,,,,,,,,,,,
0.3695791959762573,9,899,,,,,,,,,,,,,,,
,9,939,0.42379409074783325,1.640348196029663,0.6976025104522705,0.953453540802002,5935.08984375,,,,,,,,,,
,9,939,,,,,,0.44046512246131897,0.01721150241792202,100.0,1211.0,0.5448718070983887,65.04381561279297,0.420878529548645,0.013956988230347633,0.5456730723381042,0.4217163622379303
0.45231881737709045,10,949,,,,,,,,,,,,,,,
0.42940837144851685,10,999,,,,,,,,,,,,,,,
,10,1033,0.421924889087677,1.674743413925171,0.6970981359481812,0.9532275795936584,4626.46044921875,,,,,,,,,,
,10,1033,,,,,,0.43819087743759155,0.01093357428908348,100.0,1209.0,0.5448718070983887,83.83930206298828,0.420878529548645,0.009191042743623257,0.5456730723381042,0.4217163622379303
0.384827196598053,11,1049,,,,,,,,,,,,,,,
0.44932836294174194,11,1099,,,,,,,,,,,,,,,
,11,1127,0.42049238085746765,1.6314470767974854,0.6974085569381714,0.9532365202903748,5828.009765625,,,,,,,,,,
,11,1127,,,,,,0.4361022412776947,0.012987113557755947,100.0,1218.0,0.5448718070983887,84.26606750488281,0.420878529548645,0.010245428420603275,0.5456730723381042,0.4217163622379303
0.4208969175815582,12,1149,,,,,,,,,,,,,,,
0.49540644884109497,12,1199,,,,,,,,,,,,,,,
,12,1221,0.418224573135376,1.6023410558700562,0.6977845430374146,0.9533430933952332,6737.4462890625,,,,,,,,,,
,12,1221,,,,,,0.43458205461502075,0.01585223898291588,100.0,1208.0,0.5448718070983887,77.08086395263672,0.420878529548645,0.012362699024379253,0.5456730723381042,0.4217163622379303
0.46560925245285034,13,1249,,,,,,,,,,,,,,,
0.45252227783203125,13,1299,,,,,,,,,,,,,,,
,13,1315,0.4166008532047272,1.639520525932312,0.6969889998435974,0.9529033303260803,5146.93505859375,,,,,,,,,,
,13,1315,,,,,,0.4330315589904785,0.010388276539742947,100.0,1207.0,0.5448718070983887,97.41484069824219,0.420878529548645,0.009189659729599953,0.5456730723381042,0.4217163622379303
0.5059546232223511,14,1349,,,,,,,,,,,,,,,
0.4554152488708496,14,1399,,,,,,,,,,,,,,,
,14,1409,0.41492560505867004,1.6989694833755493,0.69712233543396,0.9533109664916992,3761.499267578125,,,,,,,,,,
,14,1409,,,,,,0.4317818582057953,0.012556018307805061,99.51923370361328,1202.0,0.5464743375778198,57.369503021240234,0.42343005537986755,0.01004410907626152,0.5459935665130615,0.4224887490272522
0.3880719244480133,15,1449,,,,,,,,,,,,,,,
0.4512656331062317,15,1499,,,,,,,,,,,,,,,
,15,1503,0.4137380123138428,1.6449856758117676,0.6969308853149414,0.9528676271438599,4808.5703125,,,,,,,,,,
,15,1503,,,,,,0.4311693608760834,0.010514608584344387,100.0,1218.0,0.5448718070983887,96.96233367919922,0.420878529548645,0.009937585331499577,0.5456730723381042,0.4217163622379303
0.5011669993400574,16,1549,,,,,,,,,,,,,,,
,16,1597,0.41261979937553406,1.6425726413726807,0.6969596147537231,0.9528706669807434,4835.99462890625,,,,,,,,,,
,16,1597,,,,,,0.43027833104133606,0.010974239557981491,100.0,1202.0,0.5448718070983887,97.24179077148438,0.420878529548645,0.010483887046575546,0.5456730723381042,0.4217163622379303
0.4268684983253479,17,1599,,,,,,,,,,,,,,,
0.4699787497520447,17,1649,,,,,,,,,,,,,,,
,17,1691,0.41153907775878906,1.684580683708191,0.697167694568634,0.9532386660575867,3928.89111328125,,,,,,,,,,
,17,1691,,,,,,0.4294082522392273,0.01387303788214922,99.43910217285156,1208.0,0.5456730723381042,63.42203903198242,0.42302781343460083,0.011380385607481003,0.5461538434028625,0.422656387090683
0.4343625009059906,18,1699,,,,,,,,,,,,,,,
0.4372080862522125,18,1749,,,,,,,,,,,,,,,
,18,1785,0.41028937697410583,1.696746826171875,0.6971505880355835,0.9532594084739685,3623.501953125,,,,,,,,,,
,18,1785,,,,,,0.4285389184951782,0.013405480422079563,99.11859130859375,1214.0,0.5440705418586731,65.00192260742188,0.4226573407649994,0.012117850594222546,0.545352578163147,0.4225163459777832
0.3753456771373749,19,1799,,,,,,,,,,,,,,,
0.46694493293762207,19,1849,,,,,,,,,,,,,,,
,19,1879,0.40914955735206604,1.6558703184127808,0.6970678567886353,0.9529916048049927,4517.38720703125,,,,,,,,,,
,19,1879,,,,,,0.4280024468898773,0.014371175318956375,99.8397445678711,1216.0,0.5464743375778198,74.1814956665039,0.42255428433418274,0.012375013902783394,0.5461538434028625,0.42221900820732117
0.41874462366104126,20,1899,,,,,,,,,,,,,,,
0.42963647842407227,20,1949,,,,,,,,,,,,,,,
,20,1973,0.4084455370903015,1.6594510078430176,0.6970683932304382,0.9529858231544495,4387.41064453125,,,,,,,,,,
,20,1973,,,,,,0.4275619089603424,0.013773360289633274,99.8397445678711,1219.0,0.5464743375778198,75.64476013183594,0.42255428433418274,0.012578027322888374,0.5461538434028625,0.42221900820732117
0.43141889572143555,21,1999,,,,,,,,,,,,,,,
0.40476804971694946,21,2049,,,,,,,,,,,,,,,
,21,2067,0.40751591324806213,1.6649136543273926,0.6969196200370789,0.9528767466545105,4130.29052734375,,,,,,,,,,
,21,2067,,,,,,0.42710497975349426,0.011277426965534687,100.0,1215.0,0.5448718070983887,91.53711700439453,0.420878529548645,0.01236578356474638,0.5456730723381042,0.4217163622379303
0.4639071822166443,22,2099,,,,,,,,,,,,,,,
0.4122641682624817,22,2149,,,,,,,,,,,,,,,
,22,2161,0.4077978730201721,1.6633071899414062,0.6968915462493896,0.9528592228889465,4199.1494140625,,,,,,,,,,
