train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique
0.9860766530036926,0,49,,,,,,,,,
,0,93,0.7665760517120361,1.5911564826965332,0.730480968952179,0.9963586330413818,11436.673828125,,,,
,0,93,,,,,,1.0314313173294067,0.11284765601158142,6.630265235900879,1267.0
0.9179679155349731,1,99,,,,,,,,,
0.7405415177345276,1,149,,,,,,,,,
,1,187,0.6323328018188477,1.3642070293426514,0.7516255974769592,0.9947603344917297,22066.376953125,,,,
,1,187,,,,,,0.8276405930519104,0.32084083557128906,73.08892059326172,1267.0
0.7659732103347778,2,199,,,,,,,,,
0.6176117658615112,2,249,,,,,,,,,
,2,281,0.5169359445571899,1.39998459815979,0.7271386981010437,0.9765851497650146,14609.060546875,,,,
,2,281,,,,,,0.6286364793777466,0.2573030889034271,73.08892059326172,1258.0
0.4863935708999634,3,299,,,,,,,,,
0.6130282282829285,3,349,,,,,,,,,
,3,375,0.46172061562538147,1.5075167417526245,0.7090359330177307,0.966335654258728,8695.2783203125,,,,
,3,375,,,,,,0.5135824084281921,0.12312207370996475,73.94696044921875,1261.0
0.7157445549964905,4,399,,,,,,,,,
0.3707415461540222,4,449,,,,,,,,,
,4,469,0.43985214829444885,1.6164907217025757,0.7060547471046448,0.9680131077766418,5172.4580078125,,,,
,4,469,,,,,,0.4659716784954071,0.06172260269522667,75.81903076171875,1257.0
0.39179372787475586,5,499,,,,,,,,,
0.3585108518600464,5,549,,,,,,,,,
,5,563,0.4304722845554352,1.5583802461624146,0.7069212794303894,0.9668362736701965,7671.90625,,,,
,5,563,,,,,,0.44872185587882996,0.08129221200942993,75.58502197265625,1253.0
0.4767542779445648,6,599,,,,,,,,,
0.41998833417892456,6,649,,,,,,,,,
,6,657,0.42554497718811035,1.5751941204071045,0.7066196799278259,0.9672339558601379,6992.20458984375,,,,
,6,657,,,,,,0.44315117597579956,0.07461389154195786,75.66302490234375,1247.0
0.5223105549812317,7,699,,,,,,,,,
0.44480645656585693,7,749,,,,,,,,,
,7,751,0.42304325103759766,1.5674351453781128,0.7068837285041809,0.9671903252601624,7629.650390625,,,,
,7,751,,,,,,0.4394792914390564,0.0765325054526329,75.81903076171875,1242.0
0.4401794672012329,8,799,,,,,,,,,
