feature,mean_weight,std_weight,median_weight,min_weight,max_weight,consistency,n_observations,rank
VIX,0.47702851188274065,0.1991583477582091,0.4752160310745239,0.07985056191682816,0.7907176613807678,0.7054684738121638,196,1
Industrial_Production,0.1194889132237556,0.17654684286250655,0.0,0.0,0.677212655544281,0.40363000335992394,196,2
relative_time_idx,0.05606305067503483,0.046625902186573136,0.03964393027126789,0.009089902974665165,0.25412607192993164,0.5459501641874758,196,3
Yield_Spread,0.05524595641550057,0.09167221513774318,0.0262273158878088,0.0,0.49868738651275635,0.3760321533506099,196,4
CPI,0.04043503035316054,0.07310220838967485,0.0,0.0,0.27071982622146606,0.3561389267599406,196,5
Consumer_Sentiment,0.04004917776554215,0.052664962436417904,0.0,0.0,0.1601247787475586,0.43196407450150176,196,6
Inflation_YoY,0.03884273793605365,0.04752371961473826,0.023574954830110073,0.0,0.20374543964862823,0.4497433267216075,196,7
Treasury_10Y,0.03686839338315993,0.038084340627438096,0.032791053876280785,0.0,0.1344822198152542,0.4918885731099133,196,8
Fed_Rate,0.03479526739339439,0.06108612751017267,0.0,0.0,0.3282327353954315,0.3628990528182221,196,9
SP500_Volatility,0.03374461464735926,0.06603876073001813,0.0,0.0,0.28991439938545227,0.3381787248601108,196,10
Unemployment,0.029166683982297475,0.049589077729645104,0.0,0.0,0.2950040102005005,0.3703434942192251,196,11
VIX_relative,0.01824169577460508,0.030647878227430696,0.0,0.0,0.09351620823144913,0.37312036660097486,196,12
Treasury_10Y_change,0.012271832893317451,0.020361899950139775,0.0,0.0,0.06806977093219757,0.3760474767684398,196,13
VIX_spike,0.0077581447264065545,0.012645849653824755,0.0,0.0,0.04002101719379425,0.38022676255601895,196,14
