train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique
0.799990713596344,0,49,,,,,,,,,
,0,93,0.73409503698349,1.7677944898605347,0.7103853821754456,0.9760135412216187,2874.177734375,,,,
,0,93,,,,,,0.7886651754379272,0.03507593274116516,70.51482391357422,1269.0
0.6600292325019836,1,99,,,,,,,,,
0.6187391877174377,1,149,,,,,,,,,
,1,187,0.6667802929878235,1.6882076263427734,0.7096284627914429,0.9738543033599854,4618.82373046875,,,,
,1,187,,,,,,0.7316648364067078,0.04736412316560745,73.71295166015625,1269.0
0.5963854789733887,2,199,,,,,,,,,
0.402837336063385,2,249,,,,,,,,,
,2,281,0.593508780002594,1.6724709272384644,0.7093557715415955,0.9735414981842041,4966.1767578125,,,,
,2,281,,,,,,0.657374382019043,0.045705560594797134,75.03900146484375,1275.0
0.578264594078064,3,299,,,,,,,,,
0.49907049536705017,3,349,,,,,,,,,
,3,375,0.5193101763725281,1.684127926826477,0.7087422013282776,0.9737550616264343,4889.1083984375,,,,
,3,375,,,,,,0.5836056470870972,0.03210319206118584,85.95944213867188,1269.0
0.4944738447666168,4,399,,,,,,,,,
0.5998309850692749,4,449,,,,,,,,,
,4,469,0.46602287888526917,1.6872029304504395,0.7076987624168396,0.9725886583328247,4236.96240234375,,,,
,4,469,,,,,,0.5151008367538452,0.03240024298429489,88.37753295898438,1257.0
0.3876134753227234,5,499,,,,,,,,,
0.33994239568710327,5,549,,,,,,,,,
,5,563,0.433284193277359,1.62666916847229,0.7063859701156616,0.9699010848999023,5873.4892578125,,,,
,5,563,,,,,,0.4666985869407654,0.04285735264420509,89.5475845336914,1265.0
0.48833006620407104,6,599,,,,,,,,,
0.5718690752983093,6,649,,,,,,,,,
,6,657,0.4175455570220947,1.6023006439208984,0.7053455710411072,0.9675007462501526,6294.91845703125,,,,
,6,657,,,,,,0.44246670603752136,0.05464916676282883,83.69734954833984,1259.0
0.42706388235092163,7,699,,,,,,,,,
0.3452422618865967,7,749,,,,,,,,,
,7,751,0.4109691381454468,1.6593412160873413,0.7045438289642334,0.9675266146659851,3902.1279296875,,,,
,7,751,,,,,,0.43072623014450073,0.055963121354579926,83.54134368896484,1263.0
0.4324166178703308,8,799,,,,,,,,,
