train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique,val_dir_acc,val_sharpe,val_composite,val_pred_std_avg,val_dir_acc_avg,val_composite_avg
1.2437740564346313,0,49,,,,,,,,,,,,,,,
,0,66,1.22976553440094,1.2812186479568481,0.9665979743003845,1.3147506713867188,6.385659694671631,,,,,,,,,,
,0,66,,,,,,1.291085124015808,0.013083122670650482,100.0,896.0,0.5656008720397949,724.39208984375,0.4427526295185089,0.009724512696266174,0.5644983649253845,0.44157859683036804
1.0304431915283203,1,99,,,,,,,,,,,,,,,
,1,133,0.9926132559776306,1.354164719581604,0.8360652923583984,1.1755434274673462,3.179105758666992,,,,,,,,,,
,1,133,,,,,,1.1028558015823364,0.010118533857166767,100.0,891.0,0.5656008720397949,398.79248046875,0.4427526295185089,0.007859736680984497,0.5644983649253845,0.44157859683036804
0.9574919939041138,2,149,,,,,,,,,,,,,,,
0.7494104504585266,2,199,,,,,,,,,,,,,,,
,2,200,0.7660395503044128,1.7689483165740967,0.8341851234436035,1.1564610004425049,1.2792302370071411,,,,,,,,,,
,2,200,,,,,,0.8780490159988403,0.007611239328980446,0.0,891.0,0.4343991279602051,-168.19949340820312,0.3115508556365967,0.006214527878910303,0.43550166487693787,0.3125819265842438
0.8002203106880188,3,249,,,,,,,,,,,,,,,
,3,267,0.6109745502471924,1.683463454246521,0.8422784209251404,1.1620724201202393,1.559726357460022,,,,,,,,,,
,3,267,,,,,,0.6896405220031738,0.006811878643929958,0.0,886.0,0.4343991279602051,-285.8671875,0.3115508556365967,0.00518121849745512,0.43550166487693787,0.3125819265842438
0.6183932423591614,4,299,,,,,,,,,,,,,,,
,4,334,0.536496102809906,1.863246202468872,0.8256352543830872,1.1509515047073364,1.096189022064209,,,,,,,,,,
,4,334,,,,,,0.5690516829490662,0.005879091564565897,0.0,887.0,0.4343991279602051,-75.85499572753906,0.3115508556365967,0.004043341614305973,0.49966925382614136,0.3981878161430359
0.5181070566177368,5,349,,,,,,,,,,,,,,,
0.6308060884475708,5,399,,,,,,,,,,,,,,,
,5,401,0.5151224732398987,1.759932279586792,0.8213661909103394,1.1488420963287354,1.2446558475494385,,,,,,,,,,
,5,401,,,,,,0.5102192759513855,0.005627829115837812,100.0,877.0,0.5656008720397949,50.06794738769531,0.4427526295185089,0.0034892496187239885,0.5644983649253845,0.44157859683036804
0.4926217198371887,6,449,,,,,,,,,,,,,,,
,6,468,0.5087239742279053,1.7352546453475952,0.8208945989608765,1.1486626863479614,1.2794824838638306,,,,,,,,,,
,6,468,,,,,,0.4875718951225281,0.007281569764018059,100.0,889.0,0.5656008720397949,63.30355453491211,0.4427526295185089,0.004394322633743286,0.5644983649253845,0.44157859683036804
0.43553391098976135,7,499,,,,,,,,,,,,,,,
,7,535,0.5063639283180237,1.6821452379226685,0.8199734687805176,1.1486124992370605,1.3923331499099731,,,,,,,,,,
,7,535,,,,,,0.477422297000885,0.012092665769159794,100.0,893.0,0.5656008720397949,64.07778930664062,0.4427526295185089,0.00775062944740057,0.5644983649253845,0.44157859683036804
0.49497538805007935,8,549,,,,,,,,,,,,,,,
0.42316827178001404,8,599,,,,,,,,,,,,,,,
,8,602,0.5050111413002014,1.6521570682525635,0.8198807239532471,1.1490803956985474,1.4902689456939697,,,,,,,,,,
,8,602,,,,,,0.4755575358867645,0.02298702858388424,100.0,893.0,0.5656008720397949,43.342594146728516,0.4427526295185089,0.015897732228040695,0.5644983649253845,0.44157859683036804
0.5105428695678711,9,649,,,,,,,,,,,,,,,
,9,669,0.4996279776096344,1.6761200428009033,0.8215446472167969,1.1500649452209473,1.4844820499420166,,,,,,,,,,
,9,669,,,,,,0.4729827344417572,0.04451136291027069,81.25688934326172,902.0,0.532524824142456,19.511213302612305,0.46676650643348694,0.03265267610549927,0.5490628480911255,0.45251181721687317
0.4321931004524231,10,699,,,,,,,,,,,,,,,
,10,736,0.49474626779556274,1.692350149154663,0.8216687440872192,1.1497477293014526,1.3924496173858643,,,,,,,,,,
