train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique,val_dir_acc,val_sharpe,val_composite,val_pred_std_avg,val_dir_acc_avg,val_composite_avg
0.6588972806930542,0,49,,,,,,,,,,,,,,,
,0,66,0.738976240158081,1.5043156147003174,0.8196237087249756,1.1655312776565552,1.9565317630767822,,,,,,,,,,
,0,66,,,,,,0.7365098595619202,0.027262341231107712,100.0,888.0,0.567627489566803,26.347749710083008,0.44491422176361084,0.021546345204114914,0.5662971138954163,0.4434950053691864
0.6124987602233887,1,99,,,,,,,,,,,,,,,
,1,133,0.6300773024559021,1.796081781387329,0.8231477737426758,1.1628636121749878,1.1744946241378784,,,,,,,,,,
,1,133,,,,,,0.6484541893005371,0.022451307624578476,42.90465545654297,897.0,0.46674057841300964,-0.24272438883781433,0.43439990282058716,0.01701905019581318,0.5542128682136536,0.4462623596191406
0.5445501208305359,2,149,,,,,,,,,,,,,,,
0.5686722993850708,2,199,,,,,,,,,,,,,,,
,2,200,0.5629690885543823,1.853685736656189,0.830950915813446,1.1677074432373047,1.136244773864746,,,,,,,,,,
,2,200,,,,,,0.564296305179596,0.017317628487944603,0.0,894.0,0.432372510433197,-50.769683837890625,0.3096592426300049,0.011079701595008373,0.44711750745773315,0.343913197517395
0.49351567029953003,3,249,,,,,,,,,,,,,,,
,3,267,0.5270766615867615,1.8256479501724243,0.8243272304534912,1.1637409925460815,1.1447782516479492,,,,,,,,,,
,3,267,,,,,,0.5136723518371582,0.016654804348945618,13.85809326171875,894.0,0.449002206325531,-15.071667671203613,0.3526808023452759,0.010418584570288658,0.5415742993354797,0.43235155940055847
0.48697584867477417,4,299,,,,,,,,,,,,,,,
,4,334,0.5148565769195557,1.830008864402771,0.8243534564971924,1.1637459993362427,1.1397486925125122,,,,,,,,,,
,4,334,,,,,,0.49025389552116394,0.015515794046223164,14.301551818847656,895.0,0.44456762075424194,-16.433914184570312,0.35018324851989746,0.008472957648336887,0.5425720810890198,0.4321393370628357
0.5055801272392273,5,349,,,,,,,,,,,,,,,
0.4451756477355957,5,399,,,,,,,,,,,,,,,
,5,401,0.5102549195289612,1.8116635084152222,0.8240901231765747,1.1636234521865845,1.1663020849227905,,,,,,,,,,
,5,401,,,,,,0.4809953570365906,0.01654927246272564,19.401330947875977,897.0,0.44456762075424194,-15.815731048583984,0.3615192472934723,0.008331741206347942,0.551995575428009,0.4370516240596771
0.41057276725769043,6,449,,,,,,,,,,,,,,,
,6,468,0.5064616203308105,1.752821683883667,0.8233460783958435,1.163590908050537,1.305725336074829,,,,,,,,,,
,6,468,,,,,,0.4747803211212158,0.021372955292463303,53.65853500366211,896.0,0.5011086463928223,0.5695650577545166,0.4933308959007263,0.018111858516931534,0.5545454621315002,0.4499809443950653
