train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique
2.2902989387512207,0,49,,,,,,,,,
,0,93,1.887612223625183,1.6234582662582397,0.7457809448242188,1.0117665529251099,14028.6298828125,,,,
,0,93,,,,,,2.0865590572357178,0.1742153912782669,27.61310386657715,1272.0
1.6992048025131226,1,99,,,,,,,,,
1.88771653175354,1,149,,,,,,,,,
,1,187,1.5939266681671143,1.3278034925460815,0.7561704516410828,1.0034652948379517,22459.900390625,,,,
,1,187,,,,,,1.8359589576721191,0.3745726943016052,56.94227600097656,1271.0
1.916424036026001,2,199,,,,,,,,,
1.3623639345169067,2,249,,,,,,,,,
,2,281,1.393977403640747,1.3232470750808716,0.7775608897209167,1.0211784839630127,30632.537109375,,,,
,2,281,,,,,,1.522832989692688,0.41509324312210083,55.77223205566406,1272.0
1.090474009513855,3,299,,,,,,,,,
1.9627354145050049,3,349,,,,,,,,,
,3,375,1.2295275926589966,1.3665343523025513,0.7264525294303894,0.9780391454696655,17139.064453125,,,,
,3,375,,,,,,1.304720163345337,0.2634258270263672,55.77223205566406,1263.0
2.2348976135253906,4,399,,,,,,,,,
0.5633004307746887,4,449,,,,,,,,,
,4,469,1.1408891677856445,1.470391869544983,0.7063918709754944,0.9656772017478943,9687.16796875,,,,
,4,469,,,,,,1.1592310667037964,0.14114072918891907,56.16224670410156,1265.0
0.8384219408035278,5,499,,,,,,,,,
0.5294586420059204,5,549,,,,,,,,,
,5,563,1.0852882862091064,1.5561835765838623,0.7040538191795349,0.9659713506698608,7714.396484375,,,,
,5,563,,,,,,1.072633981704712,0.08767382055521011,57.64430618286133,1271.0
1.2689461708068848,6,599,,,,,,,,,
0.9180904030799866,6,649,,,,,,,,,
,6,657,1.0406558513641357,1.5502088069915771,0.7047234177589417,0.9660935997962952,9528.92578125,,,,
,6,657,,,,,,1.0249898433685303,0.08927272260189056,57.72230911254883,1256.0
1.5254497528076172,7,699,,,,,,,,,
1.1415975093841553,7,749,,,,,,,,,
,7,751,1.0100566148757935,1.6286429166793823,0.7048583626747131,0.9677847027778625,8604.716796875,,,,
,7,751,,,,,,0.9881988167762756,0.06033394858241081,68.33073425292969,1261.0
0.8420610427856445,8,799,,,,,,,,,
,8,845,0.9890666007995605,1.5772310495376587,0.7044702172279358,0.9667393565177917,8681.20703125,,,,
,8,845,,,,,,0.9588117599487305,0.07683384418487549,57.95631790161133,1254.0
1.194003939628601,9,849,,,,,,,,,
0.5872446298599243,9,899,,,,,,,,,
,9,939,0.973017692565918,1.6060593128204346,0.7043836116790771,0.9673068523406982,8142.5302734375,,,,
,9,939,,,,,,0.943812370300293,0.06592459976673126,59.204368591308594,1255.0
1.6341919898986816,10,949,,,,,,,,,
0.7459706664085388,10,999,,,,,,,,,
,10,1033,0.9636397957801819,1.5813212394714355,0.7044833302497864,0.9670770168304443,8192.4208984375,,,,
,10,1033,,,,,,0.9382458925247192,0.07568960636854172,57.72230911254883,1257.0
0.892317533493042,11,1049,,,,,,,,,
0.7941936254501343,11,1099,,,,,,,,,
,11,1127,0.9589042067527771,1.6215648651123047,0.7052363157272339,0.9687831401824951,7457.5498046875,,,,
,11,1127,,,,,,0.9296168088912964,0.06236788630485535,57.64430618286133,1242.0
0.9534937739372253,12,1149,,,,,,,,,
1.1758217811584473,12,1199,,,,,,,,,
,12,1221,0.9517133831977844,1.5520079135894775,0.7062419056892395,0.9675565361976624,10545.4765625,,,,
,12,1221,,,,,,0.9234160780906677,0.09300124645233154,55.77223205566406,1239.0
1.0332715511322021,13,1249,,,,,,,,,
0.8056771755218506,13,1299,,,,,,,,,
,13,1315,0.9486560821533203,1.5138696432113647,0.7069761753082275,0.967225193977356,11318.3486328125,,,,
,13,1315,,,,,,0.9132778644561768,0.11265020072460175,55.77223205566406,1243.0
1.0417284965515137,14,1349,,,,,,,,,
0.8110663890838623,14,1399,,,,,,,,,
,14,1409,0.9439799189567566,1.5652549266815186,0.7070505023002625,0.9686139225959778,10657.7607421875,,,,
,14,1409,,,,,,0.9028645157814026,0.09041060507297516,60.062400817871094,1247.0
0.691865861415863,15,1449,,,,,,,,,
0.9614394903182983,15,1499,,,,,,,,,
,15,1503,0.9346591234207153,1.523468017578125,0.7054250836372375,0.9663583636283875,10917.8046875,,,,
,15,1503,,,,,,0.8998904824256897,0.10268746316432953,61.934478759765625,1255.0
0.9403793811798096,16,1549,,,,,,,,,
,16,1597,0.9327147603034973,1.524662733078003,0.7043687105178833,0.9657586812973022,9855.892578125,,,,
,16,1597,,,,,,0.8925249576568604,0.10029162466526031,62.246490478515625,1246.0
1.4877046346664429,17,1599,,,,,,,,,
0.9940067529678345,17,1649,,,,,,,,,
,17,1691,0.9278538823127747,1.52180016040802,0.7044569849967957,0.9657050967216492,10678.1884765625,,,,
,17,1691,,,,,,0.8895878195762634,0.0994470864534378,63.65054702758789,1260.0
0.7640186548233032,18,1699,,,,,,,,,
0.9361618757247925,18,1749,,,,,,,,,
,18,1785,0.9214347004890442,1.5274100303649902,0.7027885317802429,0.9649503827095032,9206.00390625,,,,
,18,1785,,,,,,0.8868938088417053,0.09414086490869522,64.19657135009766,1250.0
1.1502000093460083,19,1799,,,,,,,,,
0.6228846311569214,19,1849,,,,,,,,,
,19,1879,0.9195465445518494,1.5385245084762573,0.7030646204948425,0.9653432965278625,8958.1103515625,,,,
,19,1879,,,,,,0.8744271397590637,0.09067723900079727,63.33853530883789,1235.0
0.3220919370651245,20,1899,,,,,,,,,
0.5389127135276794,20,1949,,,,,,,,,
,20,1973,0.9152352213859558,1.5452041625976562,0.7035336494445801,0.9657585024833679,8426.6123046875,,,,
,20,1973,,,,,,0.8763076066970825,0.08988818526268005,62.324493408203125,1233.0
0.8762627243995667,21,1999,,,,,,,,,
0.8934149742126465,21,2049,,,,,,,,,
,21,2067,0.9111440777778625,1.6345919370651245,0.7039392590522766,0.9682520031929016,7248.05859375,,,,
,21,2067,,,,,,0.8758355975151062,0.055238284170627594,63.65054702758789,1215.0
0.7737064957618713,22,2099,,,,,,,,,
0.9963505268096924,22,2149,,,,,,,,,
,22,2161,0.9084032773971558,1.5773816108703613,0.7038028240203857,0.9666139483451843,8171.7763671875,,,,
,22,2161,,,,,,0.8750114440917969,0.07444866001605988,61.70046615600586,1233.0
0.5333051085472107,23,2199,,,,,,,,,
0.8815878629684448,23,2249,,,,,,,,,
