Date,SP500_Returns,VIX,Inflation_YoY,Unemployment,Fed_Rate,Consumer_Sentiment,Industrial_Production,CPI,cumret_5,cumret_10,cumret_20,cumret_30
2013-01-04,4.566353724574923,15.2725,1.898817925194085,7.8,0.16,72.9,97.509,231.025,3.509112633458078,6.425633142939113,12.487811447990737,16.58404727684808
2013-01-11,0.3805109028127251,13.614,1.898817925194085,7.8,0.16,72.9,97.509,231.025,3.243095591238876,5.76338867607471,10.78020013875074,14.90234624100073
2013-01-18,0.946294703207573,13.303999999999998,1.8785285815102304,7.8,0.16,72.9,98.093,230.979,1.9932970501960412,5.599669042058797,10.592338152793346,11.43016580427676
2013-01-25,1.1426789520672775,12.6175,1.8663973503508344,7.8,0.16,72.9,98.093,230.979,1.0139984184853956,3.3480644639386936,8.23508428355244,10.681591209013996
2013-02-01,0.6793316703822105,13.675999999999998,1.8663973503508344,7.9,0.16,73.8,98.093,230.979,2.5119456942539475,5.0014161953208625,5.238010763084389,7.917148983828404
2013-02-08,0.3145720327118129,13.663999999999998,1.8663973503508344,7.9,0.14,73.8,98.093,230.979,2.8176461330597036,2.458607772988275,5.820424687550307,9.04125917389007
2013-02-15,0.1225343254134259,12.736,1.8663973503508344,7.9,0.14,73.8,98.6212,230.979,2.4411250654611916,4.109117020558806,7.376017259271306,11.067315013831113
2013-02-22,-0.2757001538940984,14.095,1.8345350675893048,7.9,0.14,73.8,98.6212,231.198,3.5358911773269774,6.5201946391673316,10.859723440987912,12.820669155700482
2013-03-01,0.1715476133425264,16.291999999999998,1.6232610272301828,7.9,0.14,77.6,98.6212,231.198,2.3106362306178463,7.607693565715579,11.453696498555033,11.431303807786609
2013-03-08,2.1723161375157174,13.334,1.6232610272301828,7.7,0.15,77.6,98.6212,231.198,2.4284686864610716,7.496867737177504,9.055684436315081,8.981545756455777
2013-03-15,0.613719692834036,11.652,2.3142348519812783,7.7,0.15,77.6,99.4965,232.77,-0.34919916334864576,5.696163721111813,9.545082170444141,9.130518642805185
2013-03-22,-0.244117168106317,13.596,1.8985873319529167,7.7,0.15,77.6,99.0446,232.77,1.6282444711845478,4.74342920123445,8.640946247397775,12.050304362310804
2013-03-29,0.7900318353952551,13.09,1.8985873319529167,7.7,0.15,77.6,99.0446,232.77,2.882385449050817,4.7279211725048675,5.521321056314865,12.145124888718662
2013-04-05,-1.0138933273506123,13.675999999999998,1.8985873319529167,7.6,0.14,78.6,99.0446,232.77,5.177425857422735,4.728699898699107,7.095949772367716,13.414193282706455
2013-04-12,2.2899892883554207,12.538,1.8985873319529167,7.6,0.14,78.6,99.0446,232.77,4.948232767426242,0.22532512068542676,2.7768509170235767,11.43972134301694
2013-04-19,-2.114735569892079,16.054,1.4151149289823417,7.6,0.14,78.6,99.4765,232.34,6.066547216584928,3.2811463942693964,6.424693389828806,15.620000238607101
2013-04-26,1.7354116852194237,13.742,1.4151149289823417,7.6,0.14,76.4,99.4765,232.34,3.065274566395937,3.137957877471398,6.683562585492209,14.063607348104568
2013-05-03,2.0338288698019014,13.632,1.4151149289823417,7.5,0.14,76.4,99.4765,232.34,1.7938306109435587,4.073902433731491,5.914816939525647,11.855032113000718
2013-05-10,1.194231160525372,12.774,1.4151149289823417,7.5,0.15,76.4,99.4765,232.34,-0.4266371372616873,3.5740966146539543,3.553287051669729,10.490911414026627
2013-05-17,2.067088237777459,12.73,1.0419121947812693,7.5,0.15,76.4,98.7439,231.485,-4.5002259897097385,1.450104297874777,1.3811360745023649,6.467881130144759
2013-05-24,-1.0716831745792854,13.654,1.0070818624905664,7.5,0.15,76.4,98.7439,231.485,-2.626087956486245,3.6414930436719173,3.2492711190116985,10.22793241999147
2013-05-31,-1.1433065973987633,15.035,1.0070818624905664,7.5,0.15,84.5,98.7439,231.485,0.07052162950251795,3.721013409514562,6.975974738270474,12.918063912163614
2013-06-07,0.7751091359831541,16.363999999999997,1.0070818624905664,7.6,0.15,84.5,98.7439,231.485,2.2398919552427454,0.7575820038508763,7.082355529617024,11.439228278050106
2013-06-14,-1.013157295609779,16.932,1.0070818624905664,7.6,0.11,84.5,98.6709,231.485,4.017875500931556,2.260364041526719,8.293326845848913,13.256042320330263
2013-06-21,-2.1085199860845227,17.887999999999998,1.4457810236864876,7.6,0.11,84.5,98.6709,231.831,6.230727087315779,2.5457894930904335,11.189184179575173,15.465037028599117
2013-06-28,0.8697383947045001,17.901999999999997,1.4457810236864876,7.6,0.11,84.1,98.6709,231.831,6.436612095195815,3.0436794180799476,11.946859882088145,11.455661927526585
2013-07-05,1.5943661680692722,15.975,1.4457810236864876,7.6,0.11,84.1,98.6709,231.831,3.647919207943673,3.437730182939047,10.59323812055002,9.234687988720935
2013-07-12,2.959753802293963,14.238,1.4457810236864876,7.6,0.09,84.1,98.6709,231.831,-1.4498352091772637,1.768853154100114,7.476542627219929,6.953385164728343
2013-07-19,0.7082547110181192,13.66,1.932813190563909,7.6,0.09,84.1,99.0549,232.944,-1.68962445247125,-0.020091474282080135,6.678131912756724,8.660298330618543
2013-07-26,-0.025999882697536,12.764,1.892239456210798,7.6,0.09,85.1,99.0549,232.944,-3.468805773301864,-0.06798240755860885,4.946053892203883,8.54786590010086
2013-08-02,1.0652333089695487,13.03,1.892239456210798,7.4,0.09,85.1,99.0549,232.944,-3.1877496007494677,-0.378441021198872,6.355021703078156,8.760749347922347
2013-08-09,-1.0674574351133503,12.736,1.892239456210798,7.4,0.09,85.1,99.0549,232.944,-0.20279136003005238,3.138188899007943,8.867104360364241,11.03333236384547
2013-08-16,-2.104154318025553,13.452000000000002,2.0558311244084138,7.4,0.09,85.1,98.9462,233.318,3.2660405693985206,6.2772184484582105,10.601332487108506,11.190765582574457
2013-08-23,0.4632144694125317,14.938,2.00898029494192,7.4,0.09,85.1,98.9462,233.318,1.698226630598132,5.899610138168776,10.752629703467864,12.204389511947733
2013-08-30,-1.8352888065449324,16.413999999999998,2.00898029494192,7.4,0.09,82.1,98.9462,233.318,3.523030449366038,8.428814804792273,12.59851584289493,13.757143636715675
2013-09-06,1.3594905993665307,16.0275,2.00898029494192,7.3,0.08,82.1,98.9462,233.318,2.9018110497019967,8.640200460898972,8.163511393373945,12.68268010546092
