val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,epoch,step,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique,val_dir_acc,val_sharpe,val_composite,val_pred_std_avg,val_dir_acc_avg,val_composite_avg,train_loss_step
2.8128116130828857,1.1680035591125488,2.1525909900665283,2.966399669647217,3.595970630645752,0,27,,,,,,,,,,,
,,,,,0,27,2.681381940841675,0.032372571527957916,100.0,183.0,0.6010928750038147,731.0795288085938,0.48120278120040894,0.018475446850061417,0.6054644584655762,0.48603421449661255,
,,,,,1,49,,,,,,,,,,,2.370443820953369
2.682657241821289,1.1636114120483398,2.0700690746307373,2.883059024810791,3.2852203845977783,1,55,,,,,,,,,,,
,,,,,1,55,2.5919530391693115,0.029181573539972305,100.0,182.0,0.6010928750038147,727.3043823242188,0.48120278120040894,0.01859409362077713,0.6054644584655762,0.48603421449661255,
2.520203113555908,1.1672760248184204,1.9804203510284424,2.785550832748413,2.890169382095337,2,83,,,,,,,,,,,
,,,,,2,83,2.459268093109131,0.026278389617800713,100.0,183.0,0.6010928750038147,689.5975952148438,0.48120278120040894,0.018428048118948936,0.6054644584655762,0.48603421449661255,
,,,,,3,99,,,,,,,,,,,2.227975845336914
2.296898126602173,1.1954302787780762,1.8843520879745483,2.6708807945251465,2.3394408226013184,3,111,,,,,,,,,,,
,,,,,3,111,2.2872538566589355,0.022973576560616493,100.0,183.0,0.6010928750038147,593.8059692382812,0.48120278120040894,0.017209038138389587,0.6054644584655762,0.48603421449661255,
2.110382318496704,1.2514286041259766,1.8345600366592407,2.6031951904296875,1.8990240097045898,4,139,,,,,,,,,,,
,,,,,4,139,2.119551181793213,0.020249225199222565,100.0,183.0,0.6010928750038147,481.1144104003906,0.48120278120040894,0.015618878416717052,0.6054644584655762,0.48603421449661255,
,,,,,5,149,,,,,,,,,,,1.79045832157135
1.9339015483856201,1.3719162940979004,1.825120449066162,2.5674009323120117,1.5171905755996704,5,167,,,,,,,,,,,
,,,,,5,167,1.9468365907669067,0.01762497052550316,100.0,183.0,0.6010928750038147,327.9007568359375,0.48120278120040894,0.013879676349461079,0.6054644584655762,0.48603421449661255,
1.7392005920410156,1.618545651435852,1.853163480758667,2.564678430557251,1.1895778179168701,6,195,,,,,,,,,,,
,,,,,6,195,1.778176188468933,0.01489222887903452,100.0,182.0,0.6010928750038147,102.3203125,0.48120278120040894,0.011777214705944061,0.6054644584655762,0.48603421449661255,
,,,,,7,199,,,,,,,,,,,1.6036460399627686
1.5980209112167358,1.7932521104812622,1.8766545057296753,2.577688694000244,1.0721540451049805,7,223,,,,,,,,,,,
,,,,,7,223,1.6154111623764038,0.01308760792016983,0.0,181.0,0.3989070951938629,-64.80567169189453,0.27901700139045715,0.010161738842725754,0.5377049446105957,0.4372600018978119,
,,,,,8,249,,,,,,,,,,,1.7074085474014282
1.4751696586608887,1.8189409971237183,1.8923912048339844,2.589447498321533,1.0642038583755493,8,251,,,,,,,,,,,
,,,,,8,251,1.4764572381973267,0.011804305016994476,0.0,183.0,0.3989070951938629,-187.48902893066406,0.27901700139045715,0.008746854960918427,0.4786885380744934,0.35999879240989685,
1.3530855178833008,1.8154598474502563,1.895689606666565,2.5919902324676514,1.0667107105255127,9,279,,,,,,,,,,,
,,,,,9,279,1.3559141159057617,0.010702045634388924,0.0,182.0,0.3989070951938629,-233.90773010253906,0.27901700139045715,0.007482774555683136,0.47759562730789185,0.35816535353660583,
,,,,,10,299,,,,,,,,,,,1.100170373916626
1.2784464359283447,1.8255963325500488,1.8907045125961304,2.5877513885498047,1.0587828159332275,10,307,,,,,,,,,,,
,,,,,10,307,1.253053069114685,0.010004771873354912,0.0,182.0,0.3989070951938629,-205.9423065185547,0.27901700139045715,0.006769363768398762,0.4972677528858185,0.40158259868621826,
1.2208999395370483,1.8134886026382446,1.8822448253631592,2.580983877182007,1.0560650825500488,11,335,,,,,,,,,,,
,,,,,11,335,1.1695078611373901,0.009406923316419125,0.0,180.0,0.3989070951938629,-135.349609375,0.27901700139045715,0.006169675383716822,0.5224043726921082,0.40297409892082214,
,,,,,12,349,,,,,,,,,,,0.8310632705688477
1.1718531847000122,1.7844873666763306,1.8722399473190308,2.5735905170440674,1.0694156885147095,12,363,,,,,,,,,,,
,,,,,12,363,1.108094334602356,0.008747371844947338,0.0,182.0,0.3989070951938629,-26.841571807861328,0.27901700139045715,0.005509630776941776,0.5650272965431213,0.4455970525741577,
1.1464824676513672,1.7332656383514404,1.8661878108978271,2.5695254802703857,1.0915964841842651,13,391,,,,,,,,,,,
,,,,,13,391,1.064760446548462,0.008580769412219524,100.0,182.0,0.6010928750038147,52.44192123413086,0.48120278120040894,0.005297939758747816,0.6054644584655762,0.48603421449661255,
,,,,,14,399,,,,,,,,,,,1.0065838098526
1.1292471885681152,1.6781694889068604,1.8600075244903564,2.5657379627227783,1.1284042596817017,14,419,,,,,,,,,,,
,,,,,14,419,1.0360866785049438,0.008553609251976013,100.0,182.0,0.6010928750038147,141.07876586914062,0.48120278120040894,0.005137908738106489,0.6054644584655762,0.48603421449661255,
1.115963101387024,1.6257671117782593,1.8537912368774414,2.562551498413086,1.169487476348877,15,447,,,,,,,,,,,
,,,,,15,447,1.0136712789535522,0.008712668903172016,100.0,182.0,0.6010928750038147,228.5210723876953,0.48120278120040894,0.004988569300621748,0.6054644584655762,0.48603421449661255,
,,,,,16,449,,,,,,,,,,,1.0508813858032227
1.1095998287200928,1.6709002256393433,1.859238862991333,2.5649614334106445,1.131044626235962,16,475,,,,,,,,,,,
,,,,,16,475,0.995017945766449,0.00883567612618208,100.0,183.0,0.6010928750038147,170.75811767578125,0.48120278120040894,0.00495601911097765,0.6054644584655762,0.48603421449661255,
,,,,,17,499,,,,,,,,,,,1.226270318031311
1.1034657955169678,1.6795799732208252,1.8602992296218872,2.5653789043426514,1.123040795326233,17,503,,,,,,,,,,,
,,,,,17,503,0.9854896664619446,0.009071635082364082,100.0,183.0,0.6010928750038147,166.6785888671875,0.48120278120040894,0.005060882773250341,0.6054644584655762,0.48603421449661255,
1.0996708869934082,1.6295570135116577,1.8543671369552612,2.562382221221924,1.1626434326171875,18,531,,,,,,,,,,,
,,,,,18,531,0.9793108105659485,0.009485641494393349,100.0,180.0,0.6010928750038147,237.34811401367188,0.48120278120040894,0.0052102780900895596,0.6054644584655762,0.48603421449661255,
,,,,,19,549,,,,,,,,,,,1.004281997680664
1.0990530252456665,1.679674506187439,1.8604025840759277,2.5652995109558105,1.1210825443267822,19,559,,,,,,,,,,,
,,,,,19,559,0.9714723229408264,0.009964819066226482,100.0,180.0,0.6010928750038147,169.88742065429688,0.48120278120040894,0.005364451557397842,0.6054644584655762,0.48603421449661255,
1.0973032712936401,1.6121400594711304,1.8523175716400146,2.5614731311798096,1.1771199703216553,20,587,,,,,,,,,,,
,,,,,20,587,0.9690895676612854,0.010923708789050579,100.0,181.0,0.6010928750038147,240.28819274902344,0.48120278120040894,0.005851536523550749,0.6054644584655762,0.48603421449661255,
,,,,,21,599,,,,,,,,,,,1.2428977489471436
1.0959659814834595,1.6395317316055298,1.8557543754577637,2.5630249977111816,1.1523597240447998,21,615,,,,,,,,,,,
,,,,,21,615,0.968682587146759,0.012306390330195427,100.0,183.0,0.6010928750038147,188.90386962890625,0.48120278120040894,0.0065306685864925385,0.6054644584655762,0.48603421449661255,
1.0962579250335693,1.667155146598816,1.8591212034225464,2.564704656600952,1.128941297531128,22,643,,,,,,,,,,,
,,,,,22,643,0.9661512970924377,0.013365277089178562,100.0,182.0,0.6010928750038147,153.77407836914062,0.48120278120040894,0.006986609194427729,0.6054644584655762,0.48603421449661255,
,,,,,23,649,,,,,,,,,,,0.8377367258071899
1.095601201057434,1.6152418851852417,1.8529325723648071,2.5618159770965576,1.1734546422958374,23,671,,,,,,,,,,,
,,,,,23,671,0.9634132385253906,0.015075775794684887,100.0,183.0,0.6010928750038147,187.96568298339844,0.48120278120040894,0.0077751106582582,0.6054644584655762,0.48603421449661255,
,,,,,24,699,,,,,,,,,,,0.8215621709823608
1.095308780670166,1.6237777471542358,1.8540691137313843,2.562345504760742,1.1654551029205322,24,699,,,,,,,,,,,
,,,,,24,699,0.9634220004081726,0.016996053978800774,100.0,182.0,0.6010928750038147,166.978515625,0.48120278120040894,0.008520478382706642,0.6054644584655762,0.48603421449661255,
1.0946476459503174,1.6211907863616943,1.8538376092910767,2.5623066425323486,1.1680585145950317,25,727,,,,,,,,,,,
,,,,,25,727,0.961667001247406,0.018720712512731552,100.0,183.0,0.6010928750038147,157.445068359375,0.48120278120040894,0.009309598244726658,0.6054644584655762,0.48603421449661255,
,,,,,26,749,,,,,,,,,,,0.946832001209259
1.0951728820800781,1.6476280689239502,1.8571467399597168,2.5639967918395996,1.1445122957229614,26,755,,,,,,,,,,,
,,,,,26,755,0.9621977806091309,0.020839162170886993,100.0,183.0,0.6010928750038147,127.0511245727539,0.48120278120040894,0.010500356554985046,0.6054644584655762,0.48603421449661255,
1.0945780277252197,1.6217584609985352,1.8541903495788574,2.5628020763397217,1.1682991981506348,27,783,,,,,,,,,,,
,,,,,27,783,0.9606313109397888,0.024332687258720398,100.0,183.0,0.6010928750038147,126.14933013916016,0.48120278120040894,0.012524666264653206,0.6054644584655762,0.48603421449661255,
,,,,,28,799,,,,,,,,,,,0.8371127843856812
1.094722032546997,1.6463676691055298,1.8572949171066284,2.564460277557373,1.1463314294815063,28,811,,,,,,,,,,,
,,,,,28,811,0.9608468413352966,0.027332760393619537,100.0,183.0,0.6010928750038147,102.46454620361328,0.48120278120040894,0.01414637453854084,0.6054644584655762,0.48603421449661255,
1.0939364433288574,1.6229323148727417,1.8545869588851929,2.5633323192596436,1.16814124584198,29,839,,,,,,,,,,,
,,,,,29,839,0.9601287841796875,0.03057844378054142,100.0,183.0,0.6010928750038147,103.79618835449219,0.48120278120040894,0.015730898827314377,0.6054644584655762,0.48603421449661255,
,,,,,30,849,,,,,,,,,,,1.0960091352462769
1.0935232639312744,1.6335152387619019,1.8560924530029297,2.5643470287323,1.1594675779342651,30,867,,,,,,,,,,,
,,,,,30,867,0.9605746865272522,0.03578555956482887,100.0,181.0,0.6010928750038147,86.2712173461914,0.48120278120040894,0.018424546346068382,0.6054644584655762,0.48603421449661255,
1.0932105779647827,1.6066195964813232,1.8528497219085693,2.562976121902466,1.1851080656051636,31,895,,,,,,,,,,,
,,,,,31,895,0.9600985646247864,0.03845824673771858,100.0,181.0,0.6010928750038147,91.5489730834961,0.48120278120040894,0.01910087838768959,0.6054644584655762,0.48603421449661255,
,,,,,32,899,,,,,,,,,,,0.9812301397323608
1.0911308526992798,1.609376311302185,1.8533061742782593,2.563321590423584,1.1833984851837158,32,923,,,,,,,,,,,
,,,,,32,923,0.9594541192054749,0.04192831367254257,100.0,183.0,0.6010928750038147,82.94159698486328,0.48120278120040894,0.02042827568948269,0.6054644584655762,0.48603421449661255,
,,,,,33,949,,,,,,,,,,,1.3048349618911743
1.0900795459747314,1.6569831371307373,1.8589576482772827,2.5657622814178467,1.140798807144165,33,951,,,,,,,,,,,
,,,,,33,951,0.9576555490493774,0.04303290322422981,100.0,183.0,0.6010928750038147,64.67208099365234,0.48120278120040894,0.01927766390144825,0.6054644584655762,0.48603421449661255,
1.087517499923706,1.6263781785964966,1.8552614450454712,2.5637969970703125,1.169320821762085,34,979,,,,,,,,,,,
,,,,,34,979,0.956272304058075,0.044100310653448105,100.0,181.0,0.6010928750038147,72.15390014648438,0.48120278120040894,0.01980600878596306,0.6054644584655762,0.48603421449661255,
,,,,,35,999,,,,,,,,,,,1.1386808156967163
1.0848459005355835,1.6332367658615112,1.8561269044876099,2.5641591548919678,1.1644842624664307,35,1007,,,,,,,,,,,
,,,,,35,1007,0.9554444551467896,0.04540275037288666,100.0,181.0,0.6010928750038147,67.27372741699219,0.48120278120040894,0.02069193497300148,0.6054644584655762,0.48603421449661255,
1.083139181137085,1.6456297636032104,1.8577549457550049,2.564903974533081,1.1566828489303589,36,1035,,,,,,,,,,,
,,,,,36,1035,0.9524489641189575,0.04819992929697037,100.0,183.0,0.6010928750038147,60.40433883666992,0.48120278120040894,0.024019761011004448,0.6054644584655762,0.48603421449661255,
,,,,,37,1049,,,,,,,,,,,0.9046384692192078
1.0820380449295044,1.6619234085083008,1.8606512546539307,2.567857027053833,1.147108793258667,37,1063,,,,,,,,,,,
,,,,,37,1063,0.9505972266197205,0.06037597358226776,100.0,183.0,0.6010928750038147,44.03219223022461,0.48120278120040894,0.03213997930288315,0.6054644584655762,0.48603421449661255,
1.0810315608978271,1.6455367803573608,1.8592735528945923,2.5680196285247803,1.163369059562683,38,1091,,,,,,,,,,,
,,,,,38,1091,0.948489785194397,0.06659635156393051,100.0,183.0,0.6010928750038147,42.86823654174805,0.48120278120040894,0.03730287030339241,0.6054644584655762,0.48603421449661255,
,,,,,39,1099,,,,,,,,,,,1.0350220203399658
1.0802799463272095,1.6782857179641724,1.862624168395996,2.568561553955078,1.1375967264175415,39,1119,,,,,,,,,,,
,,,,,39,1119,0.9471122622489929,0.05689439922571182,100.0,183.0,0.6010928750038147,43.48971939086914,0.48120278120040894,0.032374098896980286,0.6054644584655762,0.48603421449661255,
1.0795249938964844,1.6530110836029053,1.8590705394744873,2.565854549407959,1.1563547849655151,40,1147,,,,,,,,,,,
,,,,,40,1147,0.944832980632782,0.05088113620877266,100.0,183.0,0.6010928750038147,56.1595573425293,0.48120278120040894,0.031438443809747696,0.6054644584655762,0.48603421449661255,
,,,,,41,1149,,,,,,,,,,,1.111903429031372
1.0784332752227783,1.643985390663147,1.8588711023330688,2.5671560764312744,1.166059136390686,41,1175,,,,,,,,,,,
,,,,,41,1175,0.9429051280021667,0.05779527500271797,100.0,183.0,0.6010928750038147,51.24626922607422,0.48120278120040894,0.03483561426401138,0.6054644584655762,0.48603421449661255,
,,,,,42,1199,,,,,,,,,,,0.9524650573730469
1.078328251838684,1.6431998014450073,1.8573343753814697,2.565394163131714,1.1488293409347534,42,1203,,,,,,,,,,,
,,,,,42,1203,0.9405413269996643,0.04708089679479599,100.0,182.0,0.6010928750038147,64.22418975830078,0.48120278120040894,0.03012923337519169,0.6054644584655762,0.48603421449661255,
1.0786138772964478,1.6265451908111572,1.8541507720947266,2.5637593269348145,1.1572962999343872,43,1231,,,,,,,,,,,
,,,,,43,1231,0.9383097887039185,0.044559407979249954,100.0,183.0,0.6010928750038147,73.50460052490234,0.48120278120040894,0.029836732894182205,0.6054644584655762,0.48603421449661255,
,,,,,44,1249,,,,,,,,,,,0.8089491128921509
1.0769412517547607,1.6292206048965454,1.8543000221252441,2.5642590522766113,1.1526000499725342,44,1259,,,,,,,,,,,
,,,,,44,1259,0.9389858245849609,0.04361551254987717,100.0,183.0,0.6010928750038147,73.99105072021484,0.48120278120040894,0.030786756426095963,0.6054644584655762,0.48603421449661255,
1.0755277872085571,1.6427910327911377,1.8554905652999878,2.5648202896118164,1.13985276222229,45,1287,,,,,,,,,,,
,,,,,45,1287,0.9359140396118164,0.04124075919389725,100.0,183.0,0.6010928750038147,73.27767181396484,0.48120278120040894,0.030348291620612144,0.6054644584655762,0.48603421449661255,
,,,,,46,1299,,,,,,,,,,,0.9641150236129761
1.0769305229187012,1.6129765510559082,1.8523321151733398,2.563652515411377,1.1734246015548706,46,1315,,,,,,,,,,,
,,,,,46,1315,0.933995246887207,0.04518203064799309,100.0,182.0,0.6010928750038147,76.05943298339844,0.48120278120040894,0.031163722276687622,0.6054644584655762,0.48603421449661255,
1.0775200128555298,1.6442886590957642,1.855997085571289,2.5647690296173096,1.1483404636383057,47,1343,,,,,,,,,,,
,,,,,47,1343,0.9352830648422241,0.043683528900146484,100.0,183.0,0.6010928750038147,69.09748077392578,0.48120278120040894,0.030665233731269836,0.6054644584655762,0.48603421449661255,
,,,,,48,1349,,,,,,,,,,,0.9006668329238892
1.0754270553588867,1.6368646621704102,1.8551393747329712,2.564771890640259,1.1541774272918701,48,1371,,,,,,,,,,,
,,,,,48,1371,0.9329733848571777,0.045318353921175,100.0,183.0,0.6010928750038147,69.06201171875,0.48120278120040894,0.03351186588406563,0.6054644584655762,0.48603421449661255,
,,,,,49,1399,,,,,,,,,,,0.9520740509033203
1.0755168199539185,1.624442219734192,1.8541948795318604,2.564509391784668,1.1686276197433472,49,1399,,,,,,,,,,,
,,,,,49,1399,0.9315837621688843,0.04819221794605255,100.0,183.0,0.6010928750038147,68.16022491455078,0.48120278120040894,0.03575296327471733,0.6054644584655762,0.48603421449661255,
1.076968789100647,1.6184622049331665,1.8542412519454956,2.565357208251953,1.1752897500991821,50,1427,,,,,,,,,,,
,,,,,50,1427,0.9302863478660583,0.05487555265426636,100.0,183.0,0.6010928750038147,60.534576416015625,0.48120278120040894,0.0412893183529377,0.6054644584655762,0.48603421449661255,
,,,,,51,1449,,,,,,,,,,,1.0458582639694214
1.0745168924331665,1.645748257637024,1.8578529357910156,2.567476749420166,1.148537039756775,51,1455,,,,,,,,,,,
,,,,,51,1455,0.9292997121810913,0.05316543206572533,100.0,183.0,0.6010928750038147,56.049720764160156,0.48120278120040894,0.04078727960586548,0.6054644584655762,0.48603421449661255,
1.0734294652938843,1.6265697479248047,1.8558764457702637,2.5670371055603027,1.166739821434021,52,1483,,,,,,,,,,,
,,,,,52,1483,0.9280354380607605,0.05605866014957428,100.0,183.0,0.6010928750038147,57.763545989990234,0.48120278120040894,0.04413629695773125,0.6054644584655762,0.48603421449661255,
,,,,,53,1499,,,,,,,,,,,0.9907761812210083
1.0744657516479492,1.6156306266784668,1.8546340465545654,2.5667154788970947,1.1770401000976562,53,1511,,,,,,,,,,,
,,,,,53,1511,0.9279865026473999,0.05897460877895355,100.0,183.0,0.6010928750038147,57.26028060913086,0.48120278120040894,0.047122176736593246,0.6054644584655762,0.48603421449661255,
1.076169729232788,1.617550015449524,1.8545972108840942,2.566464424133301,1.175070881843567,54,1539,,,,,,,,,,,
,,,,,54,1539,0.9257041215896606,0.0605374276638031,100.0,183.0,0.6010928750038147,55.0396614074707,0.48120278120040894,0.04868048429489136,0.6054644584655762,0.48603421449661255,
,,,,,55,1549,,,,,,,,,,,0.9332599639892578
1.0773906707763672,1.6249727010726929,1.855309009552002,2.566481590270996,1.1684207916259766,55,1567,,,,,,,,,,,
,,,,,55,1567,0.9264788031578064,0.060782819986343384,100.0,182.0,0.6010928750038147,52.93788146972656,0.48120278120040894,0.04877537116408348,0.6054644584655762,0.48603421449661255,
1.0759541988372803,1.621917724609375,1.8552474975585938,2.566964864730835,1.1703826189041138,56,1595,,,,,,,,,,,
,,,,,56,1595,0.9261118769645691,0.060708798468112946,100.0,183.0,0.6010928750038147,53.47166061401367,0.48120278120040894,0.049670349806547165,0.6054644584655762,0.48603421449661255,
,,,,,57,1599,,,,,,,,,,,0.7880616188049316
1.0752803087234497,1.6202354431152344,1.855234980583191,2.567344903945923,1.1712327003479004,57,1623,,,,,,,,,,,
,,,,,57,1623,0.9262931942939758,0.06258303672075272,100.0,183.0,0.6010928750038147,51.908447265625,0.48120278120040894,0.0520874448120594,0.6054644584655762,0.48603421449661255,
,,,,,58,1649,,,,,,,,,,,0.9917238354682922
1.0734672546386719,1.6225076913833618,1.8556255102157593,2.567619562149048,1.1688416004180908,58,1651,,,,,,,,,,,
,,,,,58,1651,0.9249218702316284,0.06013936549425125,100.0,183.0,0.6010928750038147,53.953060150146484,0.48120278120040894,0.050601035356521606,0.6054644584655762,0.48603421449661255,
1.0736478567123413,1.617569088935852,1.855243444442749,2.5678725242614746,1.1737492084503174,59,1679,,,,,,,,,,,
,,,,,59,1679,0.923400342464447,0.0635622963309288,100.0,183.0,0.6010928750038147,51.78672409057617,0.48120278120040894,0.054248612374067307,0.6054644584655762,0.48603421449661255,
,,,,,60,1699,,,,,,,,,,,1.1299161911010742
1.0756069421768188,1.621597170829773,1.8553730249404907,2.5673537254333496,1.1704015731811523,60,1707,,,,,,,,,,,
,,,,,60,1707,0.9232626557350159,0.06291509419679642,100.0,183.0,0.6010928750038147,51.2355842590332,0.48120278120040894,0.05318336933851242,0.6054644584655762,0.48603421449661255,
1.0746042728424072,1.620527982711792,1.8552961349487305,2.5674595832824707,1.170444369316101,61,1735,,,,,,,,,,,
,,,,,61,1735,0.9237706065177917,0.06189721077680588,100.0,182.0,0.6010928750038147,52.29623031616211,0.48120278120040894,0.05271362513303757,0.6054644584655762,0.48603421449661255,
,,,,,62,1749,,,,,,,,,,,0.8916982412338257
1.0741448402404785,1.6212693452835083,1.8553868532180786,2.567485809326172,1.1697447299957275,62,1763,,,,,,,,,,,
,,,,,62,1763,0.9242444038391113,0.061059534549713135,100.0,183.0,0.6010928750038147,52.88897705078125,0.48120278120040894,0.05229277163743973,0.6054644584655762,0.48603421449661255,
1.0739303827285767,1.6231127977371216,1.855811595916748,2.5680510997772217,1.1676181554794312,63,1791,,,,,,,,,,,
,,,,,63,1791,0.9230440258979797,0.06304938346147537,100.0,183.0,0.6010928750038147,50.660499572753906,0.48120278120040894,0.054717253893613815,0.6054644584655762,0.48603421449661255,
,,,,,64,1799,,,,,,,,,,,0.7571511268615723
1.074959635734558,1.6153560876846313,1.8547489643096924,2.567441463470459,1.1753276586532593,64,1819,,,,,,,,,,,
,,,,,64,1819,0.9243523478507996,0.06504464149475098,100.0,182.0,0.6010928750038147,50.634883880615234,0.48120278120040894,0.056460559368133545,0.6054644584655762,0.48603421449661255,
1.0766352415084839,1.6110213994979858,1.8540579080581665,2.5669045448303223,1.1798782348632812,65,1847,,,,,,,,,,,
,,,,,65,1847,0.9223308563232422,0.06725447624921799,100.0,183.0,0.6010928750038147,49.822967529296875,0.48120278120040894,0.05837591364979744,0.6054644584655762,0.48603421449661255,
,,,,,66,1849,,,,,,,,,,,0.9357461929321289
1.0764577388763428,1.6275287866592407,1.8560795783996582,2.567657232284546,1.1652216911315918,66,1875,,,,,,,,,,,
,,,,,66,1875,0.9238501191139221,0.06503552943468094,100.0,183.0,0.6010928750038147,48.10056686401367,0.48120278120040894,0.05683762580156326,0.6043716073036194,0.485484778881073,
,,,,,67,1899,,,,,,,,,,,0.8176600337028503
1.0750703811645508,1.6356041431427002,1.8572663068771362,2.568521022796631,1.1579362154006958,67,1903,,,,,,,,,,,
,,,,,67,1903,0.9241580367088318,0.06441366672515869,100.0,182.0,0.6010928750038147,46.9133415222168,0.48120278120040894,0.05675629898905754,0.6032786965370178,0.4849293828010559,
1.0737698078155518,1.6370347738265991,1.8577576875686646,2.569239854812622,1.1566694974899292,68,1931,,,,,,,,,,,
,,,,,68,1931,0.9223982095718384,0.06503935158252716,99.45355224609375,183.0,0.6065573692321777,45.95138931274414,0.48723462224006653,0.05817800015211105,0.6043716073036194,0.4861357510089874,
,,,,,69,1949,,,,,,,,,,,0.9020864367485046
1.0741453170776367,1.6309651136398315,1.857021450996399,2.568909168243408,1.162173867225647,69,1959,,,,,,,,,,,
,,,,,69,1959,0.9212260246276855,0.06601377576589584,100.0,182.0,0.6010928750038147,46.41497039794922,0.48120278120040894,0.05915660411119461,0.6032786965370178,0.4849293828010559,
1.0745556354522705,1.6300854682922363,1.8568843603134155,2.568834066390991,1.162627100944519,70,1987,,,,,,,,,,,
,,,,,70,1987,0.922467827796936,0.06667377054691315,99.45355224609375,183.0,0.6065573692321777,46.06821823120117,0.48723462224006653,0.059894196689128876,0.6054644584655762,0.4873480796813965,
,,,,,71,1999,,,,,,,,,,,1.0209490060806274
1.074621319770813,1.6315467357635498,1.8570969104766846,2.569017171859741,1.1609243154525757,71,2015,,,,,,,,,,,
,,,,,71,2015,0.9216379523277283,0.06754671782255173,98.36065673828125,183.0,0.5956284403800964,45.039878845214844,0.48171040415763855,0.0608704574406147,0.6032786965370178,0.4869121313095093,
1.074808955192566,1.635408878326416,1.8575992584228516,2.5693047046661377,1.1572433710098267,72,2043,,,,,,,,,,,
,,,,,72,2043,0.9239106178283691,0.067804716527462,98.36065673828125,183.0,0.5956284403800964,44.06600570678711,0.48171040415763855,0.06117280200123787,0.6032786965370178,0.4875750243663788,
,,,,,73,2049,,,,,,,,,,,0.9945878982543945
1.0745865106582642,1.632310390472412,1.857182264328003,2.5690784454345703,1.1596760749816895,73,2071,,,,,,,,,,,
