train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch
0.8146717548370361,0,49,,,,,,
,0,93,0.5437043309211731,1.4346717596054077,0.7197474837303162,0.9715800285339355,12085.041015625,
,0,93,,,,,,0.8460886478424072
0.5629019737243652,1,99,,,,,,
0.6006438136100769,1,149,,,,,,
,1,187,0.4539869427680969,1.6263478994369507,0.7081693410873413,0.9624371528625488,4165.025390625,
,1,187,,,,,,0.5284682512283325
0.5145768523216248,2,199,,,,,,
0.47667238116264343,2,249,,,,,,
,2,281,0.4402177333831787,1.6938848495483398,0.7080740928649902,0.9626320600509644,3154.76025390625,
,2,281,,,,,,0.4604893624782562
0.5833072662353516,3,299,,,,,,
0.4705409109592438,3,349,,,,,,
,3,375,0.4325307309627533,1.541426420211792,0.7098039388656616,0.9631556272506714,7872.77197265625,
,3,375,,,,,,0.44863569736480713
0.4824211597442627,4,399,,,,,,
0.44566136598587036,4,449,,,,,,
,4,469,0.42639970779418945,1.5456554889678955,0.710262656211853,0.9633723497390747,7377.24853515625,
,4,469,,,,,,0.44254058599472046
0.43744373321533203,5,499,,,,,,
0.42986971139907837,5,549,,,,,,
,5,563,0.4228387773036957,1.56846022605896,0.7104474902153015,0.963443398475647,6775.8955078125,
,5,563,,,,,,0.4377758800983429
0.3744523823261261,6,599,,,,,,
0.44892561435699463,6,649,,,,,,
,6,657,0.4191170632839203,1.6023359298706055,0.7081845998764038,0.9620577096939087,4889.830078125,
,6,657,,,,,,0.4355650246143341
0.4662815034389496,7,699,,,,,,
0.5289254188537598,7,749,,,,,,
,7,751,0.417766809463501,1.5828700065612793,0.7088291049003601,0.9623315930366516,5963.6669921875,
,7,751,,,,,,0.4328530430793762
0.37450432777404785,8,799,,,,,,
,8,845,0.41671425104141235,1.7497295141220093,0.7104420065879822,0.9642151594161987,2580.8154296875,
,8,845,,,,,,0.4302735924720764
0.4653257429599762,9,849,,,,,,
0.48688048124313354,9,899,,,,,,
,9,939,0.414781391620636,1.627314805984497,0.7080880403518677,0.9621421098709106,4113.50244140625,
,9,939,,,,,,0.42913803458213806
0.4183644652366638,10,949,,,,,,
0.37192636728286743,10,999,,,,,,
,10,1033,0.41341060400009155,1.7355244159698486,0.7103768587112427,0.9642370343208313,2998.1728515625,
,10,1033,,,,,,0.42820119857788086
0.38376176357269287,11,1049,,,,,,
0.49566417932510376,11,1099,,,,,,
,11,1127,0.41484975814819336,1.601055383682251,0.7125827074050903,0.9649161100387573,7112.78271484375,
,11,1127,,,,,,0.42752206325531006
0.4424235224723816,12,1149,,,,,,
0.43572115898132324,12,1199,,,,,,
,12,1221,0.4106537401676178,1.6657683849334717,0.7085555791854858,0.9625221490859985,3483.88671875,
,12,1221,,,,,,0.42628851532936096
0.440141499042511,13,1249,,,,,,
0.4619995057582855,13,1299,,,,,,
,13,1315,0.40779542922973633,1.5571098327636719,0.7110805511474609,0.9638744592666626,7692.57568359375,
,13,1315,,,,,,0.4258594214916229
0.43970394134521484,14,1349,,,,,,
0.33158332109451294,14,1399,,,,,,
,14,1409,0.40691399574279785,1.6941215991973877,0.7094900012016296,0.9633671641349792,3412.873046875,
,14,1409,,,,,,0.42569151520729065
0.5395023822784424,15,1449,,,,,,
0.35526755452156067,15,1499,,,,,,
,15,1503,0.40851354598999023,1.8244163990020752,0.7101861238479614,0.9644743800163269,991.1281127929688,
,15,1503,,,,,,0.4243735074996948
0.3382682204246521,16,1549,,,,,,
,16,1597,0.4060134291648865,1.6170127391815186,0.708680272102356,0.9626255035400391,4519.77099609375,
,16,1597,,,,,,0.4235156178474426
0.4482644200325012,17,1599,,,,,,
0.42350661754608154,17,1649,,,,,,
,17,1691,0.40352877974510193,1.7114776372909546,0.7089327573776245,0.9631126523017883,2867.61279296875,
,17,1691,,,,,,0.4238259196281433
0.49831822514533997,18,1699,,,,,,
0.3678132891654968,18,1749,,,,,,
,18,1785,0.40447187423706055,1.6398086547851562,0.7097223997116089,0.9633890390396118,5014.7314453125,
,18,1785,,,,,,0.4239232838153839
0.4863256812095642,19,1799,,,,,,
0.46739810705184937,19,1849,,,,,,
,19,1879,0.405168354511261,1.7587991952896118,0.7096512913703918,0.9638601541519165,2232.916015625,
,19,1879,,,,,,0.42297372221946716
0.44272419810295105,20,1899,,,,,,
0.4217054843902588,20,1949,,,,,,
,20,1973,0.4021878242492676,1.864843726158142,0.7096772789955139,0.9642153978347778,347.1942138671875,
,20,1973,,,,,,0.4237673282623291
0.43829452991485596,21,1999,,,,,,
0.3813714385032654,21,2049,,,,,,
,21,2067,0.4033114016056061,1.8829209804534912,0.7109670042991638,0.9652783274650574,338.69415283203125,
,21,2067,,,,,,0.42233407497406006
0.3634156584739685,22,2099,,,,,,
0.4358968734741211,22,2149,,,,,,
,22,2161,0.40125957131385803,1.7108434438705444,0.7093073725700378,0.9633720517158508,2897.10498046875,
,22,2161,,,,,,0.42250192165374756
0.3758053183555603,23,2199,,,,,,
0.39786553382873535,23,2249,,,,,,
,23,2255,0.401475727558136,1.688328504562378,0.7093961834907532,0.9632973670959473,3339.733154296875,
,23,2255,,,,,,0.4219057559967041
0.43163880705833435,24,2299,,,,,,
0.46746206283569336,24,2349,,,,,,
,24,2349,0.40276581048965454,1.5588476657867432,0.7096201181411743,0.9629899263381958,6450.39990234375,
,24,2349,,,,,,0.4212733209133148
0.3803926408290863,25,2399,,,,,,
,25,2443,0.4006682336330414,1.6959350109100342,0.7099803686141968,0.9638561010360718,3144.0146484375,
,25,2443,,,,,,0.42140963673591614
0.4306468367576599,26,2449,,,,,,
0.3672827482223511,26,2499,,,,,,
,26,2537,0.40073102712631226,1.673356056213379,0.7085544466972351,0.9625226855278015,3456.022705078125,
,26,2537,,,,,,0.42195454239845276
0.42022329568862915,27,2549,,,,,,
0.3784036636352539,27,2599,,,,,,
,27,2631,0.4008421301841736,1.5613162517547607,0.7101932764053345,0.9633746147155762,7113.08349609375,
,27,2631,,,,,,0.4218200445175171
0.3828505873680115,28,2649,,,,,,
0.40174663066864014,28,2699,,,,,,
,28,2725,0.40002721548080444,1.8042747974395752,0.7143563032150269,0.9686698913574219,2511.952392578125,
,28,2725,,,,,,0.42101165652275085
0.3311614990234375,29,2749,,,,,,
0.411472350358963,29,2799,,,,,,
,29,2819,0.40084782242774963,1.869479775428772,0.7112170457839966,0.9654998779296875,435.5609436035156,
,29,2819,,,,,,0.4210987985134125
0.4931524693965912,30,2849,,,,,,
0.4852856695652008,30,2899,,,,,,
,30,2913,0.3996303975582123,1.8851559162139893,0.711620032787323,0.9658491015434265,487.2538146972656,
,30,2913,,,,,,0.4197279214859009
0.35775500535964966,31,2949,,,,,,
0.38506850600242615,31,2999,,,,,,
,31,3007,0.3989497423171997,1.7824681997299194,0.7093902826309204,0.9636123776435852,1324.471923828125,
,31,3007,,,,,,0.4208778738975525
0.4582219123840332,32,3049,,,,,,
0.46734854578971863,32,3099,,,,,,
,32,3101,0.39859092235565186,1.6879422664642334,0.7084324359893799,0.9625483751296997,2668.14111328125,
,32,3101,,,,,,0.4197859764099121
0.40175843238830566,33,3149,,,,,,
,33,3195,0.3998783528804779,1.5928562879562378,0.7091460227966309,0.962701678276062,5080.5302734375,
,33,3195,,,,,,0.4195805490016937
0.49255114793777466,34,3199,,,,,,
0.42838287353515625,34,3249,,,,,,
,34,3289,0.3978836238384247,1.5509628057479858,0.7095181345939636,0.9626951217651367,6418.2158203125,
,34,3289,,,,,,0.4198162257671356
0.37671521306037903,35,3299,,,,,,
0.46637821197509766,35,3349,,,,,,
,35,3383,0.39756131172180176,1.6055710315704346,0.709161102771759,0.9626753926277161,4964.517578125,
,35,3383,,,,,,0.41845500469207764
0.45306631922721863,36,3399,,,,,,
0.39292219281196594,36,3449,,,,,,
,36,3477,0.39748328924179077,1.6355775594711304,0.7082713842391968,0.9624379873275757,2555.393798828125,
,36,3477,,,,,,0.4204922020435333
0.42160898447036743,37,3499,,,,,,
0.37079840898513794,37,3549,,,,,,
,37,3571,0.39989757537841797,1.7217578887939453,0.709009051322937,0.963034987449646,1171.632568359375,
,37,3571,,,,,,0.41922616958618164
0.5670915842056274,38,3599,,,,,,
