experiment_name_attention,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep,phase_prefix,exp_name_only,experiment_name_collapse,phase,dir_acc,sharpe_ratio,test_rmse,test_mae,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,pred_std,composite_score,collapsed
06a_weekly_sweep/h16_enc12_d015_bs16,yearly,6,2.3704506158828735,0.0659618924781879,2.2394626140594482,2.427366256713867,0.08606016635894775,0.01464807646615144,11,06a_weekly_sweep,h16_enc12_d015_bs16,h16_enc12_d015_bs16,06a_weekly_sweep,0.578544061302682,0.904631419317978,2.2870609760284424,1.7252687215805054,True,True,True,True,18.773946360153257,1.1494252873563218,77.01149425287356,1.532567049808429,1.532567049808429,81.22605363984675,0.234037,0.5823708969879248,False
06a_weekly_sweep/h8_enc12_d025_bs16,yearly,6,2.3901015520095825,0.06464474104366977,2.3011555671691895,2.4663281440734863,0.08576154957214992,-0.0007207121167868105,11,06a_weekly_sweep,h8_enc12_d025_bs16,h8_enc12_d025_bs16,06a_weekly_sweep,0.5670498084291188,0.883413376766828,2.2862420082092285,1.7299294471740725,True,True,False,False,1.9157088122605364,0.0,0.0,45.593869731800766,52.49042145593869,98.08429118773948,0.022083,0.5164638242148161,True
06a_weekly_sweep/h16_enc8_d015_bs16,yearly,6,1.9957249363263447,0.02709514383495622,1.9589651823043823,2.037226676940918,0.12531673163175583,-0.0029783214841571735,6,06a_weekly_sweep,h16_enc8_d015_bs16,h16_enc8_d015_bs16,06a_weekly_sweep,0.5660377358490566,0.9203434216266334,2.2771480083465576,1.7186017036437988,True,True,False,True,2.2641509433962264,0.0,55.84905660377358,13.58490566037736,28.30188679245283,97.73584905660378,0.079256,0.6332841126606509,True
06a_weekly_sweep/h8_enc8_d030_bs16,yearly,6,2.0609097480773926,0.0030005620365547866,2.055163860321045,2.0641329288482666,0.12823574741681418,5.9577396937574005e-05,7,06a_weekly_sweep,h8_enc8_d030_bs16,h8_enc8_d030_bs16,06a_weekly_sweep,0.5660377358490566,0.9203434216266334,2.281980276107788,1.729470133781433,True,True,False,False,1.8867924528301887,0.0,0.0,57.73584905660377,40.37735849056604,98.1132075471698,0.016383,0.5161826633852884,True
06a_weekly_sweep/h16_enc12_d025_bs32,yearly,6,2.3090632359186807,0.041903786822256595,2.2680234909057617,2.3705408573150635,0.0843281460305055,0.008851752962384652,6,06a_weekly_sweep,h16_enc12_d025_bs32,h16_enc12_d025_bs32,06a_weekly_sweep,0.5747126436781609,0.9607017800231924,2.289198637008667,1.735662817955017,True,True,False,True,8.812260536398467,0.0,62.06896551724138,12.260536398467432,16.85823754789272,91.18773946360152,0.08088,0.6093933420756734,False
06a_weekly_sweep/h8_enc12_d015_bs32,yearly,6,2.3810890515645347,0.05451220806511271,2.3087430000305176,2.463933229446411,0.08489698792497317,0.006084387642996446,11,06a_weekly_sweep,h8_enc12_d015_bs32,h8_enc12_d015_bs32,06a_weekly_sweep,0.5670498084291188,0.883413376766828,2.2873623371124268,1.7348768711090088,True,True,False,False,1.9157088122605364,0.0,0.0,39.84674329501915,58.23754789272031,98.08429118773948,0.013733,0.5119194568385903,True
06a_weekly_sweep/h16_enc8_d025_bs32,yearly,6,2.016893446445465,0.03524138577622129,1.9584261178970337,2.0618042945861816,0.12516491363445917,0.008141398429870444,7,06a_weekly_sweep,h16_enc8_d025_bs32,h16_enc8_d025_bs32,06a_weekly_sweep,0.5811320754716981,1.0520454628767355,2.28782057762146,1.7350349426269531,True,True,True,True,18.11320754716981,0.3773584905660377,49.81132075471698,8.679245283018867,23.0188679245283,81.88679245283018,0.099942,0.6338856986601039,False
06a_weekly_sweep/h16_enc12_d025_bs16,yearly,6,2.3922868569691977,0.09547473212345235,2.211515188217163,2.4817819595336914,0.08417716498176257,0.011573232923234983,11,06a_weekly_sweep,h16_enc12_d025_bs16,h16_enc12_d025_bs16,06a_weekly_sweep,0.5670498084291188,0.883413376766828,2.28507137298584,1.728769063949585,True,True,False,True,2.2988505747126435,0.0,37.16475095785441,35.63218390804598,24.90421455938697,97.70114942528735,0.024854,0.5345814994121372,True
06a_weekly_sweep/h8_enc12_d015_bs16,yearly,6,2.398117780685425,0.05908767558059255,2.3264479637145996,2.4685659408569336,0.08541642129421234,0.004139832087925258,11,06a_weekly_sweep,h8_enc12_d015_bs16,h8_enc12_d015_bs16,06a_weekly_sweep,0.5670498084291188,0.883413376766828,2.280446052551269,1.7361459732055664,True,True,False,True,2.2988505747126435,0.0,61.68582375478927,7.2796934865900385,28.735632183908045,97.70114942528735,0.068656,0.5504867852289275,True
06a_weekly_sweep/h8_enc8_d030_bs32,yearly,6,2.0673473676045737,0.003453043552087508,2.0627694129943848,2.0738511085510254,0.1250328024228414,-0.0006690706525532732,0,06a_weekly_sweep,h8_enc8_d030_bs32,h8_enc8_d030_bs32,06a_weekly_sweep,0.5660377358490566,0.9203434216266334,2.2825262546539307,1.7322118282318115,True,True,False,False,1.8867924528301887,0.0,0.0,47.16981132075472,50.943396226415096,98.11320754716982,0.01531,0.5240087503418103,True
