experiment_name,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep
06a_weekly_sweep/h16_enc8_d015_bs16,yearly,6,1.9957249363263447,0.02709514383495622,1.9589651823043823,2.037226676940918,0.12531673163175583,-0.0029783214841570117,6
06a_weekly_sweep/h16_enc8_d030_bs32,yearly,6,2.012822906176249,0.045652209162384175,1.9289662837982178,2.064028739929199,0.12517357369263968,0.009544556481497607,7
06a_weekly_sweep/h8_enc8_d030_bs16,yearly,6,2.0609097480773926,0.0030005620365547866,2.055163860321045,2.0641329288482666,0.12823574741681418,5.957739693780627e-05,7
06a_weekly_sweep/h8_enc12_d015_bs16,yearly,6,2.398117780685425,0.05908767558059255,2.3264479637145996,2.4685659408569336,0.08541642129421234,0.0041398320879255926,11
06a_weekly_sweep/h16_enc12_d025_bs16,yearly,6,2.3922868569691977,0.09547473212345235,2.211515188217163,2.4817819595336914,0.08417716498176257,0.011573232923235354,11
06a_weekly_sweep/h16_enc12_d030_bs32,yearly,6,2.362364729245504,0.03054690304031619,2.3226985931396484,2.4073057174682617,0.08396917457381885,0.0014086518968854822,6
06a_weekly_sweep/h16_enc12_d025_bs32,yearly,6,2.3090632359186807,0.041903786822256595,2.2680234909057617,2.3705408573150635,0.0843281460305055,0.008851752962385046,6
06a_weekly_sweep/h16_enc12_d015_bs32,yearly,6,2.3131271998087564,0.08038021021304607,2.1911909580230713,2.3987207412719727,0.08460225413242976,0.017166055951799777,11
06a_weekly_sweep/h16_enc12_d015_bs16,yearly,6,2.3704506158828735,0.0659618924781879,2.2394626140594482,2.427366256713867,0.08606016635894775,0.01464807646615168,11
06a_weekly_sweep/h8_enc12_d015_bs32,yearly,6,2.3810890515645347,0.05451220806511271,2.3087430000305176,2.463933229446411,0.08489698792497317,0.006084387642996567,11
06a_weekly_sweep/h8_enc8_d015_bs32,yearly,6,2.0516866048177085,0.008860026768365914,2.0434377193450928,2.067779779434204,0.12565532078345618,-0.0010709898812429539,7
06a_weekly_sweep/h16_enc8_d025_bs16,yearly,6,2.046513398488363,0.013850318990615562,2.0239028930664062,2.059396982192993,0.12580323964357376,-0.003744752066475993,7
06a_weekly_sweep/h8_enc8_d025_bs16,yearly,6,2.0557714700698853,0.004682235784615116,2.0468199253082275,2.0608930587768555,0.1277809664607048,-0.0005752767835345844,7
06a_weekly_sweep/h8_enc12_d030_bs32,yearly,6,2.45231040318807,0.011888202204586192,2.4339866638183594,2.471292018890381,0.0834820605814457,-0.004031835283551839,0
06a_weekly_sweep/h16_enc8_d025_bs32,yearly,6,2.016893446445465,0.03524138577622129,1.9584261178970337,2.0618042945861816,0.12516491363445917,0.008141398429870564,7
06a_weekly_sweep/h8_enc8_d025_bs32,yearly,6,2.0599899689356485,0.006258204769243317,2.054888963699341,2.0717973709106445,0.12514652063449225,-0.000631938661847899,7
06a_weekly_sweep/h8_enc12_d025_bs32,yearly,6,2.4475236733754477,0.013693195128936114,2.4285824298858643,2.4708454608917236,0.08350417762994766,-0.004115908486502628,5
06a_weekly_sweep/h16_enc8_d015_bs32,yearly,6,1.9358569184939067,0.052584227996101456,1.831338882446289,1.988073468208313,0.12523931513230005,0.01599476337432864,7
06a_weekly_sweep/h8_enc8_d015_bs16,yearly,6,1.948201338450114,0.042347486008601415,1.8785029649734497,1.995768427848816,0.14415613810221353,0.009376791545323053,7
06a_weekly_sweep/h8_enc8_d030_bs32,yearly,6,2.0673473676045737,0.003453043552087508,2.0627694129943848,2.0738511085510254,0.1250328024228414,-0.0006690706525531008,0
06a_weekly_sweep/h16_enc8_d030_bs16,yearly,6,2.039948344230652,0.025789092542174662,1.9897925853729248,2.068289041519165,0.12543830027182898,0.006710536139352011,7
06a_weekly_sweep/h8_enc12_d030_bs16,yearly,6,2.425090948740641,0.040964434690099374,2.365875720977783,2.4750866889953613,0.08416632066170375,-0.00010577610560839928,11
06a_weekly_sweep/h8_enc12_d025_bs16,yearly,6,2.3901015520095825,0.06464474104366977,2.3011555671691895,2.4663281440734863,0.08576154957214992,-0.0007207121167864161,11
06a_weekly_sweep/h16_enc12_d030_bs16,yearly,6,2.4026854038238525,0.07671403162014176,2.2591865062713623,2.47611403465271,0.08398694793383281,0.0018277985709054742,11
