checkpoint,epoch,ckpt_metric,ckpt_value,mse,mae,r2,dir_acc,sharpe,total_return,max_drawdown,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,pred_std,pred_mean,pct_positive,num_negative
tft-epoch=epoch=00-composite=val_composite=0.4825,0,,,5.215421199798584,1.7249873876571655,-0.0015895366668701172,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.24823009967803955,1.8867924528301887,0.0,20.754716981132077,39.24528301886793,38.113207547169814,0.05021772161126137,0.3012162148952484,100.0,0
tft-epoch=epoch=01-composite=val_composite=0.4825,1,,,5.211554527282715,1.7300701141357422,-0.0008469820022583008,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.24823009967803955,1.8867924528301887,0.0,20.0,10.943396226415095,67.16981132075472,0.0461282953619957,0.21233806014060974,100.0,0
tft-epoch=epoch=02-composite=val_composite=0.4825,2,,,5.2154388427734375,1.7344706058502197,-0.001592874526977539,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.24823009967803955,1.8867924528301887,0.0,19.622641509433965,18.11320754716981,60.37735849056604,0.039545007050037384,0.16525445878505707,100.0,0
tft-epoch=epoch=03-composite=val_composite=0.4825,3,,,5.217227935791016,1.7351744174957275,-0.0019364356994628906,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.24823009967803955,1.8867924528301887,0.0,13.962264150943396,20.37735849056604,63.77358490566037,0.03324906527996063,0.16043134033679962,100.0,0
tft-epoch=epoch=04-composite=val_composite=0.4825,4,,,5.215001583099365,1.7333542108535767,-0.001508951187133789,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.24823009967803955,1.8867924528301887,0.0,10.18867924528302,31.69811320754717,56.22641509433962,0.02874532900750637,0.18140985071659088,100.0,0
tft-epoch=epoch=05-unique=val_num_unique=264,5,val_num_unique,264.0,5.215396881103516,1.73312246799469,-0.001584768295288086,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.24823009967803955,1.8867924528301887,0.0,3.018867924528302,38.113207547169814,56.9811320754717,0.026335885748267174,0.1868651658296585,100.0,0
tft-epoch=epoch=07-unique=val_num_unique=264,7,val_num_unique,264.0,5.231204986572266,1.7390745878219604,-0.004620671272277832,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.24823009967803955,1.8867924528301887,0.0,3.018867924528302,46.0377358490566,49.056603773584904,0.025026725605130196,0.13617859780788422,100.0,0
tft-epoch=epoch=22-sharpe=val_sharpe=209.8432,22,val_sharpe,209.8432,5.203890800476074,1.7306007146835327,0.0006248950958251953,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.24823009967803955,1.8867924528301887,0.0,15.849056603773585,31.69811320754717,50.56603773584906,0.012991951778531075,0.2280641347169876,100.0,0
tft-epoch=epoch=23-sharpe=val_sharpe=199.8631,23,val_sharpe,199.8631,5.204617977142334,1.7319464683532715,0.0004852414131164551,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.24823009967803955,1.8867924528301887,0.0,25.660377358490567,31.69811320754717,40.75471698113208,0.015728456899523735,0.21783354878425598,100.0,0
tft-epoch=epoch=24-sharpe=val_sharpe=186.2656,24,val_sharpe,186.2656,5.201697826385498,1.730729103088379,0.00104600191116333,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.24823009967803955,1.8867924528301887,0.0,41.132075471698116,21.88679245283019,35.094339622641506,0.022478513419628143,0.24533173441886902,100.0,0
