val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,epoch,step,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique,val_dir_acc,val_sharpe,val_composite,train_loss_step
1.147979497909546,1.4190795421600342,1.3284406661987305,1.6466783285140991,1.2804182767868042,0,14,,,,,,,,
,,,,,0,14,1.3824800252914429,0.002371763112023473,100.0,14.0,0.5,2619.949951171875,0.375,
1.130953073501587,1.4389715194702148,1.324056625366211,1.638028860092163,1.2477270364761353,1,29,,,,,,,,
,,,,,1,29,1.3818265199661255,0.0022125891409814358,100.0,14.0,0.5,2591.01171875,0.375,
1.0966445207595825,1.468870759010315,1.3177449703216553,1.6264950037002563,1.2007931470870972,2,44,,,,,,,,
,,,,,2,44,1.3725759983062744,0.001963165123015642,100.0,14.0,0.5,2567.717529296875,0.375,
,,,,,3,49,,,,,,,,1.7578319311141968
1.0691463947296143,1.4853140115737915,1.3143960237503052,1.620829463005066,1.1760112047195435,3,59,,,,,,,,
,,,,,3,59,1.3281491994857788,0.001835013972595334,100.0,14.0,0.5,2547.44580078125,0.375,
1.031145691871643,1.5009053945541382,1.3113223314285278,1.6158888339996338,1.1533467769622803,4,74,,,,,,,,
,,,,,4,74,1.3072059154510498,0.001804661937057972,100.0,14.0,0.5,2403.05908203125,0.375,
1.0059144496917725,1.5115264654159546,1.3093388080596924,1.6127859354019165,1.1384857892990112,5,89,,,,,,,,
,,,,,5,89,1.2783349752426147,0.001922677387483418,100.0,14.0,0.5,2139.522705078125,0.375,
,,,,,6,99,,,,,,,,1.2258191108703613
0.9687260389328003,1.5201159715652466,1.3078413009643555,1.610460877418518,1.1270657777786255,6,104,,,,,,,,
,,,,,6,104,1.2416439056396484,0.00221203058026731,100.0,13.0,0.5,1780.5330810546875,0.375,
0.9422045946121216,1.5218336582183838,1.3075543642044067,1.6100083589553833,1.1249303817749023,7,119,,,,,,,,
,,,,,7,119,1.2155498266220093,0.0023386599496006966,100.0,14.0,0.5,1669.478759765625,0.375,
0.9048203825950623,1.5268861055374146,1.306631326675415,1.6086461544036865,1.1180522441864014,8,134,,,,,,,,
,,,,,8,134,1.1896003484725952,0.0024210538249462843,100.0,14.0,0.5,1570.036865234375,0.375,
,,,,,9,149,,,,,,,,1.0807244777679443
0.8790310025215149,1.5271786451339722,1.3065125942230225,1.608507752418518,1.1174018383026123,9,149,,,,,,,,
,,,,,9,149,1.129062533378601,0.002329687587916851,100.0,14.0,0.5,1628.1358642578125,0.375,
0.8436310887336731,1.5169460773468018,1.308327078819275,1.6112018823623657,1.1313942670822144,10,164,,,,,,,,
,,,,,10,164,1.1221580505371094,0.0021776510402560234,100.0,14.0,0.5,1837.44970703125,0.375,
0.8230301737785339,1.512093186378479,1.3092223405838013,1.6125274896621704,1.1382595300674438,11,179,,,,,,,,
,,,,,11,179,1.090957522392273,0.0021279582288116217,100.0,14.0,0.5,1928.0203857421875,0.375,
0.7974010109901428,1.5077991485595703,1.3099581003189087,1.6136590242385864,1.1441572904586792,12,194,,,,,,,,
,,,,,12,194,1.0595420598983765,0.0019973840098828077,100.0,14.0,0.5,2098.546142578125,0.375,
,,,,,13,199,,,,,,,,1.1604373455047607
0.7831481695175171,1.5046138763427734,1.3105193376541138,1.6145364046096802,1.148576021194458,13,209,,,,,,,,
,,,,,13,209,1.0377479791641235,0.0019223737763240933,100.0,14.0,0.5,2214.955810546875,0.375,
0.7635717988014221,1.5163661241531372,1.3082904815673828,1.6111031770706177,1.1318385601043701,14,224,,,,,,,,
,,,,,14,224,1.0246717929840088,0.0018831015331670642,100.0,14.0,0.5,2130.64697265625,0.375,
0.752517819404602,1.50472092628479,1.3105217218399048,1.6144691705703735,1.148582100868225,15,239,,,,,,,,
,,,,,15,239,0.9934887290000916,0.001936292857863009,100.0,14.0,0.5,2198.89111328125,0.375,
,,,,,16,249,,,,,,,,0.6893943548202515
0.736577570438385,1.5188941955566406,1.3079407215118408,1.6104413270950317,1.1288915872573853,16,254,,,,,,,,
,,,,,16,254,0.9697065353393555,0.0020589176565408707,100.0,14.0,0.5,1925.9100341796875,0.375,
0.7266287207603455,1.5290498733520508,1.3060972690582275,1.6077197790145874,1.114890456199646,17,269,,,,,,,,
,,,,,17,269,0.9583415389060974,0.002089311368763447,100.0,14.0,0.5,1798.8681640625,0.375,
0.7154442667961121,1.5280570983886719,1.3063993453979492,1.6080514192581177,1.1167389154434204,18,284,,,,,,,,
,,,,,18,284,0.9408248662948608,0.0022500960621982813,100.0,14.0,0.5,1681.2928466796875,0.375,
,,,,,19,299,,,,,,,,0.9139097929000854
0.7094460725784302,1.5324766635894775,1.3056507110595703,1.606937289237976,1.110811471939087,19,299,,,,,,,,
,,,,,19,299,0.930524468421936,0.002307451795786619,100.0,14.0,0.5,1601.5123291015625,0.375,
0.7033516764640808,1.5196069478988647,1.308066964149475,1.610392689704895,1.1288740634918213,20,314,,,,,,,,
,,,,,20,314,0.9229845404624939,0.002389058470726013,100.0,14.0,0.5,1657.5706787109375,0.375,
0.6994190216064453,1.5243138074874878,1.3072021007537842,1.6091173887252808,1.1223238706588745,21,329,,,,,,,,
,,,,,21,329,0.9133052229881287,0.002384446794167161,100.0,14.0,0.5,1620.2939453125,0.375,
0.6994566321372986,1.4915752410888672,1.3133782148361206,1.6186853647232056,1.1689084768295288,22,344,,,,,,,,
,,,,,22,344,0.9109621047973633,0.0023650515358895063,100.0,14.0,0.5,1923.8956298828125,0.375,
,,,,,23,349,,,,,,,,0.9866321086883545
0.6987512707710266,1.485499382019043,1.3145902156829834,1.620665431022644,1.1778603792190552,23,359,,,,,,,,
,,,,,23,359,0.908281683921814,0.002382655395194888,100.0,14.0,0.5,1965.1688232421875,0.375,
0.6975817084312439,1.4970684051513672,1.3124204874038696,1.6170488595962524,1.161075234413147,24,374,,,,,,,,
,,,,,24,374,0.8945541977882385,0.0024475313257426023,100.0,14.0,0.5,1812.1307373046875,0.375,
0.6957144141197205,1.5216808319091797,1.3077905178070068,1.6099172830581665,1.1260006427764893,25,389,,,,,,,,
,,,,,25,389,0.9024847745895386,0.002407555468380451,100.0,14.0,0.5,1628.226806640625,0.375,
,,,,,26,399,,,,,,,,1.1131312847137451
0.6938153505325317,1.518858790397644,1.308300256729126,1.610695242881775,1.1297396421432495,26,404,,,,,,,,
,,,,,26,404,0.8899990916252136,0.0023315614089369774,100.0,14.0,0.5,1705.78369140625,0.375,
0.6915209889411926,1.5346835851669312,1.3053817749023438,1.6064908504486084,1.1076974868774414,27,419,,,,,,,,
,,,,,27,419,0.8787034153938293,0.00227740197442472,100.0,14.0,0.5,1604.3062744140625,0.375,
0.690614640712738,1.5307265520095825,1.3061069250106812,1.6075249910354614,1.1130352020263672,28,434,,,,,,,,
,,,,,28,434,0.8909671902656555,0.0022470648400485516,100.0,14.0,0.5,1661.4449462890625,0.375,
,,,,,29,449,,,,,,,,1.0313034057617188
0.6914183497428894,1.5141925811767578,1.3091678619384766,1.6120294332504272,1.1359831094741821,29,449,,,,,,,,
,,,,,29,449,0.8892881274223328,0.002220655558630824,100.0,14.0,0.5,1833.9056396484375,0.375,
0.6912009119987488,1.5116010904312134,1.3096816539764404,1.6128050088882446,1.1396074295043945,30,464,,,,,,,,
,,,,,30,464,0.8823845982551575,0.0022176397033035755,100.0,14.0,0.5,1860.8687744140625,0.375,
0.6908830404281616,1.5043374300003052,1.311050295829773,1.6149381399154663,1.1498701572418213,31,479,,,,,,,,
,,,,,31,479,0.883221447467804,0.0021826825104653835,100.0,14.0,0.5,1960.247802734375,0.375,
0.69362872838974,1.4876152276992798,1.3142280578613281,1.6201165914535522,1.1739357709884644,32,494,,,,,,,,
,,,,,32,494,0.8792364001274109,0.0020829050336033106,100.0,14.0,0.5,2224.967529296875,0.375,
,,,,,33,499,,,,,,,,0.9882316589355469
0.694544792175293,1.484349012374878,1.314867377281189,1.62118399143219,1.178743600845337,33,509,,,,,,,,
,,,,,33,509,0.8857433199882507,0.002092510461807251,100.0,14.0,0.5,2248.657958984375,0.375,
0.6951981782913208,1.4851678609848022,1.3147048950195312,1.6209156513214111,1.1774793863296509,34,524,,,,,,,,
,,,,,34,524,0.8700457811355591,0.0020860584918409586,100.0,14.0,0.5,2246.9609375,0.375,
0.6951430439949036,1.4862194061279297,1.3144819736480713,1.6205631494522095,1.175823450088501,35,539,,,,,,,,
,,,,,35,539,0.8760114312171936,0.002050505019724369,100.0,14.0,0.5,2274.41796875,0.375,
,,,,,36,549,,,,,,,,0.7302299737930298
0.6937910318374634,1.5024127960205078,1.3113346099853516,1.615479588508606,1.1521272659301758,36,554,,,,,,,,
,,,,,36,554,0.869511604309082,0.002010943600907922,100.0,14.0,0.5,2145.9599609375,0.375,
0.6923289895057678,1.519289255142212,1.3081468343734741,1.6106088161468506,1.1281174421310425,37,569,,,,,,,,
,,,,,37,569,0.8765328526496887,0.001994720194488764,100.0,14.0,0.5,1986.2952880859375,0.375,
0.6915006041526794,1.5318938493728638,1.3058143854141235,1.6072378158569336,1.1105055809020996,38,584,,,,,,,,
,,,,,38,584,0.8823100328445435,0.001967883901670575,100.0,14.0,0.5,1882.0313720703125,0.375,
,,,,,39,599,,,,,,,,1.209349274635315
0.6918320059776306,1.5290464162826538,1.3063418865203857,1.6079882383346558,1.1144243478775024,39,599,,,,,,,,
,,,,,39,599,0.8739103078842163,0.0019749170169234276,100.0,14.0,0.5,1904.646240234375,0.375,
0.6923671364784241,1.5189378261566162,1.3082263469696045,1.6107304096221924,1.1285568475723267,40,614,,,,,,,,
,,,,,40,614,0.8810185790061951,0.0020036757923662663,100.0,14.0,0.5,1980.962646484375,0.375,
0.693291187286377,1.503153681755066,1.3112070560455322,1.6152828931808472,1.1510207653045654,41,629,,,,,,,,
,,,,,41,629,0.8782406449317932,0.002031015232205391,100.0,14.0,0.5,2116.919189453125,0.375,
0.6947258710861206,1.489241361618042,1.3138855695724487,1.6196054220199585,1.171218991279602,42,644,,,,,,,,
,,,,,42,644,0.8751785159111023,0.0020335668232291937,100.0,14.0,0.5,2260.524169921875,0.375,
,,,,,43,649,,,,,,,,0.8017069101333618
0.6955910325050354,1.489625096321106,1.3138034343719482,1.6194803714752197,1.1706000566482544,43,659,,,,,,,,
,,,,,43,659,0.8693692684173584,0.0020156935788691044,100.0,14.0,0.5,2276.2744140625,0.375,
0.6959871649742126,1.4952656030654907,1.3127069473266602,1.6177011728286743,1.1623059511184692,44,674,,,,,,,,
,,,,,44,674,0.8778494596481323,0.002002050867304206,100.0,14.0,0.5,2230.980224609375,0.375,
0.6965837478637695,1.4987201690673828,1.3120393753051758,1.6166355609893799,1.1572641134262085,45,689,,,,,,,,
,,,,,45,689,0.87623530626297,0.0019915932789444923,100.0,14.0,0.5,2205.507568359375,0.375,
,,,,,46,699,,,,,,,,1.047431230545044
0.6963037252426147,1.5104836225509644,1.3098008632659912,1.6131397485733032,1.1403796672821045,46,704,,,,,,,,
,,,,,46,704,0.8773187398910522,0.001984504284337163,100.0,14.0,0.5,2088.109130859375,0.375,
0.6963147521018982,1.515143632888794,1.3089354038238525,1.6118227243423462,1.133787989616394,47,719,,,,,,,,
,,,,,47,719,0.8703166842460632,0.0019914088770747185,100.0,14.0,0.5,2032.1427001953125,0.375,
0.6956654191017151,1.515028953552246,1.3089678287506104,1.6118690967559814,1.1339786052703857,48,734,,,,,,,,
,,,,,48,734,0.8656478524208069,0.0020069689489901066,100.0,14.0,0.5,2017.669921875,0.375,
,,,,,49,749,,,,,,,,0.9378665685653687
0.6951818466186523,1.5180060863494873,1.3083940744400024,1.6110261678695679,1.1297119855880737,49,749,,,,,,,,
,,,,,49,749,0.8713364005088806,0.0019781754817813635,100.0,14.0,0.5,2015.4642333984375,0.375,
0.6954144239425659,1.5182832479476929,1.308335542678833,1.6109468936920166,1.1293052434921265,50,764,,,,,,,,
,,,,,50,764,0.8719194531440735,0.0019759556744247675,100.0,14.0,0.5,2014.6651611328125,0.375,
0.6954270005226135,1.520608901977539,1.307900309562683,1.6103049516677856,1.1260268688201904,51,779,,,,,,,,
,,,,,51,779,0.8799771070480347,0.0019743461161851883,100.0,14.0,0.5,1991.9066162109375,0.375,
0.6951212286949158,1.5217149257659912,1.3076940774917603,1.610003113746643,1.124475359916687,52,794,,,,,,,,
,,,,,52,794,0.8714303374290466,0.0019743884913623333,100.0,14.0,0.5,1980.28662109375,0.375,
,,,,,53,799,,,,,,,,0.6802869439125061
0.6953352689743042,1.5196679830551147,1.30807363986969,1.6105657815933228,1.12732994556427,53,809,,,,,,,,
,,,,,53,809,0.866532564163208,0.0019721591379493475,100.0,14.0,0.5,2003.8748779296875,0.375,
0.6951384544372559,1.5207663774490356,1.3078752756118774,1.6102712154388428,1.125802755355835,54,824,,,,,,,,
,,,,,54,824,0.8684477210044861,0.0019801619928330183,100.0,14.0,0.5,1984.3814697265625,0.375,
0.6947354078292847,1.5210611820220947,1.307829737663269,1.6101981401443481,1.1254242658615112,55,839,,,,,,,,
,,,,,55,839,0.8723610639572144,0.001995630096644163,100.0,14.0,0.5,1966.089599609375,0.375,
,,,,,56,849,,,,,,,,0.9867004156112671
0.6945282816886902,1.52165687084198,1.3077259063720703,1.6100412607192993,1.1246188879013062,56,854,,,,,,,,
,,,,,56,854,0.8677110075950623,0.002008959883823991,100.0,14.0,0.5,1947.02783203125,0.375,
0.6944855451583862,1.521013855934143,1.30785071849823,1.6102219820022583,1.1255394220352173,57,869,,,,,,,,
,,,,,57,869,0.8678727746009827,0.0020184337627142668,100.0,14.0,0.5,1944.524658203125,0.375,
0.695101797580719,1.5178462266921997,1.3084458112716675,1.6111042499542236,1.129975438117981,58,884,,,,,,,,
,,,,,58,884,0.872113049030304,0.0020224072504788637,100.0,14.0,0.5,1973.069091796875,0.375,
,,,,,59,899,,,,,,,,0.8196350336074829
0.6956247091293335,1.5129462480545044,1.309366226196289,1.6124893426895142,1.1368844509124756,59,899,,,,,,,,
,,,,,59,899,0.8712912797927856,0.002025894820690155,100.0,14.0,0.5,2019.933349609375,0.375,
0.6953133344650269,1.5144016742706299,1.3090943098068237,1.6120808124542236,1.1348055601119995,60,914,,,,,,,,
,,,,,60,914,0.8712775707244873,0.0020233094692230225,100.0,14.0,0.5,2007.4796142578125,0.375,
0.6951931715011597,1.5149801969528198,1.3089848756790161,1.6119176149368286,1.1339786052703857,61,929,,,,,,,,
,,,,,61,929,0.8755286931991577,0.002020409097895026,100.0,14.0,0.5,2004.369873046875,0.375,
