train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique
0.9281491637229919,0,49,,,,,,,,,
,0,93,0.7332258820533752,1.631962537765503,0.7254805564880371,0.9903239011764526,6849.15380859375,,,,
,0,93,,,,,,0.9081970453262329,0.021917738020420074,2.028081178665161,1252.0
0.8512126803398132,1,99,,,,,,,,,
0.6636368632316589,1,149,,,,,,,,,
,1,187,0.5645689368247986,1.579957365989685,0.7347565293312073,0.9985032677650452,9482.037109375,,,,
,1,187,,,,,,0.7045431137084961,0.008346621878445148,0.0,1178.0
0.5621691942214966,2,199,,,,,,,,,
0.5111737847328186,2,249,,,,,,,,,
,2,281,0.4851588308811188,1.7229093313217163,0.7174293994903564,0.9835056662559509,3738.318359375,,,,
,2,281,,,,,,0.5546272397041321,0.003775237128138542,0.0,1152.0
0.4248591661453247,3,299,,,,,,,,,
0.5189652442932129,3,349,,,,,,,,,
,3,375,0.46063345670700073,1.9520875215530396,0.7115100622177124,0.9781180024147034,235.60995483398438,,,,
,3,375,,,,,,0.4863866865634918,0.0030872083734720945,4.446177959442139,1191.0
0.43376797437667847,4,399,,,,,,,,,
0.44380488991737366,4,449,,,,,,,,,
,4,469,0.4534454941749573,1.9596794843673706,0.7108865976333618,0.9775483012199402,204.98822021484375,,,,
,4,469,,,,,,0.4651144742965698,0.002960504498332739,74.57098388671875,1198.0
0.4125834107398987,5,499,,,,,,,,,
0.4254191815853119,5,549,,,,,,,,,
,5,563,0.450554758310318,1.676201343536377,0.7082910537719727,0.9749027490615845,4075.281982421875,,,,
,5,563,,,,,,0.45947256684303284,0.00318915699608624,100.0,1190.0
0.47998756170272827,6,599,,,,,,,,,
0.3276245594024658,6,649,,,,,,,,,
,6,657,0.44825077056884766,1.688951849937439,0.7082831859588623,0.9749524593353271,3609.774658203125,,,,
,6,657,,,,,,0.4562707841396332,0.004127245396375656,100.0,1182.0
0.40059614181518555,7,699,,,,,,,,,
0.3658515512943268,7,749,,,,,,,,,
,7,751,0.4469129741191864,1.666968822479248,0.7081533670425415,0.9748273491859436,3978.847900390625,,,,
,7,751,,,,,,0.4547685980796814,0.005104336887598038,100.0,1195.0
0.5063352584838867,8,799,,,,,,,,,
,8,845,0.4435405433177948,1.684073805809021,0.7082205414772034,0.9748935103416443,3629.283447265625,,,,
,8,845,,,,,,0.4512617588043213,0.0044115157797932625,100.0,1210.0
0.393218994140625,9,849,,,,,,,,,
0.4870564341545105,9,899,,,,,,,,,
,9,939,0.43743544816970825,1.6958156824111938,0.7081868052482605,0.9749054908752441,3658.821044921875,,,,
,9,939,,,,,,0.4473622441291809,0.0068526435643434525,100.0,1206.0
0.4551786184310913,10,949,,,,,,,,,
0.4305169880390167,10,999,,,,,,,,,
,10,1033,0.4317251443862915,1.6509190797805786,0.7089676260948181,0.975349485874176,5314.40478515625,,,,
,10,1033,,,,,,0.44252362847328186,0.010952879674732685,100.0,1234.0
0.5200325846672058,11,1049,,,,,,,,,
0.3755634129047394,11,1099,,,,,,,,,
,11,1127,0.43004924058914185,1.6674922704696655,0.7080864906311035,0.9747307896614075,3991.338134765625,,,,
,11,1127,,,,,,0.4394829571247101,0.007687113713473082,100.0,1217.0
0.49347996711730957,12,1149,,,,,,,,,
0.36065781116485596,12,1199,,,,,,,,,
,12,1221,0.4274963140487671,1.6886632442474365,0.7079634666442871,0.9746621251106262,3326.342529296875,,,,
,12,1221,,,,,,0.43683165311813354,0.010563601739704609,100.0,1230.0
0.43092238903045654,13,1249,,,,,,,,,
0.5250210165977478,13,1299,,,,,,,,,
,13,1315,0.42582258582115173,1.763384461402893,0.708457887172699,0.9752277135848999,1881.5799560546875,,,,
,13,1315,,,,,,0.43503233790397644,0.011035286821424961,100.0,1236.0
0.49545174837112427,14,1349,,,,,,,,,
0.43771007657051086,14,1399,,,,,,,,,
,14,1409,0.42512422800064087,1.6245139837265015,0.7075350284576416,0.9741755723953247,4495.27685546875,,,,
,14,1409,,,,,,0.4342552423477173,0.014741259627044201,100.0,1253.0
0.4212304353713989,15,1449,,,,,,,,,
0.3195207118988037,15,1499,,,,,,,,,
,15,1503,0.42261433601379395,1.699599266052246,0.7078400254249573,0.9745423197746277,2869.279052734375,,,,
,15,1503,,,,,,0.4325386583805084,0.012992026284337044,100.0,1257.0
0.4889989495277405,16,1549,,,,,,,,,
,16,1597,0.42156511545181274,1.635216236114502,0.707446813583374,0.974113941192627,4193.0009765625,,,,
,16,1597,,,,,,0.4318276345729828,0.014439472928643227,100.0,1252.0
0.36868199706077576,17,1599,,,,,,,,,
0.4147951602935791,17,1649,,,,,,,,,
,17,1691,0.4207507073879242,1.6839653253555298,0.7076594829559326,0.974367618560791,3144.83203125,,,,
,17,1691,,,,,,0.42977020144462585,0.013668986968696117,100.0,1261.0
0.42572954297065735,18,1699,,,,,,,,,
0.4355386793613434,18,1749,,,,,,,,,
,18,1785,0.41891342401504517,1.6431142091751099,0.7074038982391357,0.9741128087043762,3914.450439453125,,,,
,18,1785,,,,,,0.42931634187698364,0.015340536832809448,100.0,1249.0
0.3444741368293762,19,1799,,,,,,,,,
0.40034979581832886,19,1849,,,,,,,,,
,19,1879,0.417745977640152,1.6507532596588135,0.7074807286262512,0.974179744720459,3737.11767578125,,,,
,19,1879,,,,,,0.4282149076461792,0.01484757661819458,100.0,1259.0
0.4303792715072632,20,1899,,,,,,,,,
0.4250038266181946,20,1949,,,,,,,,,
,20,1973,0.41641098260879517,1.6601556539535522,0.7074891328811646,0.9742355346679688,3508.093994140625,,,,
,20,1973,,,,,,0.42784106731414795,0.014429047703742981,100.0,1255.0
0.40968868136405945,21,1999,,,,,,,,,
0.45988062024116516,21,2049,,,,,,,,,
,21,2067,0.416225403547287,1.7513947486877441,0.7078506350517273,0.9746296405792236,1692.4925537109375,,,,
,21,2067,,,,,,0.4269070625305176,0.018085895106196404,100.0,1257.0
0.4213356673717499,22,2099,,,,,,,,,
0.3720356822013855,22,2149,,,,,,,,,
,22,2161,0.41491228342056274,1.6801337003707886,0.7073708176612854,0.9741763472557068,3044.75048828125,,,,
,22,2161,,,,,,0.42582130432128906,0.017746753990650177,100.0,1258.0
0.47359219193458557,23,2199,,,,,,,,,
0.3966606557369232,23,2249,,,,,,,,,
,23,2255,0.4136051535606384,1.6751148700714111,0.7072403430938721,0.9740852117538452,3030.491455078125,,,,
,23,2255,,,,,,0.42635658383369446,0.0216693002730608,100.0,1262.0
0.46637773513793945,24,2299,,,,,,,,,
0.44818660616874695,24,2349,,,,,,,,,
,24,2349,0.41172993183135986,1.6060048341751099,0.7074490785598755,0.9741544127464294,4869.4736328125,,,,
,24,2349,,,,,,0.4262162446975708,0.01661408692598343,100.0,1262.0
0.38442254066467285,25,2399,,,,,,,,,
,25,2443,0.4110632538795471,1.6859099864959717,0.7076653242111206,0.9744430184364319,3087.328125,,,,
,25,2443,,,,,,0.4244842231273651,0.014856687746942043,100.0,1253.0
0.3824883699417114,26,2449,,,,,,,,,
0.38355931639671326,26,2499,,,,,,,,,
,26,2537,0.408966064453125,1.6578079462051392,0.7075631022453308,0.9743433594703674,3683.765869140625,,,,
,26,2537,,,,,,0.42502743005752563,0.01735011488199234,100.0,1261.0
0.34160709381103516,27,2549,,,,,,,,,
