train_loss_step,epoch,step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,train_loss_epoch,val_pred_std,val_pct_positive,val_num_unique,val_dir_acc,val_sharpe,val_composite
1.3123794794082642,0,49,,,,,,,,,,,,
,0,93,2.5022358894348145,1.7601054906845093,2.8148281574249268,2.8148281574249268,0.9362000823020935,,,,,,,
,0,93,,,,,,1.3945385217666626,0.0,100.0,1.0,1.0,0.0,1.0
1.2384862899780273,1,99,,,,,,,,,,,,
0.8710867166519165,1,149,,,,,,,,,,,,
,1,187,2.2856359481811523,1.8043246269226074,2.8520052433013916,2.8520052433013916,0.9485650062561035,,,,,,,
,1,187,,,,,,1.1989399194717407,0.0,100.0,1.0,1.0,0.0,1.0
1.1871747970581055,2,199,,,,,,,,,,,,
1.7236945629119873,2,249,,,,,,,,,,,,
,2,281,1.973061442375183,1.9537162780761719,2.9714553356170654,2.9714553356170654,0.9882936477661133,,,,,,,
,2,281,,,,,,1.041335940361023,0.0,100.0,1.0,1.0,0.0,1.0
0.8637778759002686,3,299,,,,,,,,,,,,
1.1690568923950195,3,349,,,,,,,,,,,,
,3,375,1.6761441230773926,1.9685778617858887,2.98284649848938,2.98284649848938,0.9920822978019714,,,,,,,
,3,375,,,,,,0.9698120355606079,0.0,100.0,1.0,1.0,0.0,1.0
0.976591944694519,4,399,,,,,,,,,,,,
1.1357431411743164,4,449,,,,,,,,,,,,
,4,469,1.4825111627578735,1.8870066404342651,2.91925048828125,2.91925048828125,0.9709305167198181,,,,,,,
,4,469,,,,,,0.9395980834960938,0.0,100.0,1.0,1.0,0.0,1.0
0.620069682598114,5,499,,,,,,,,,,,,
1.026489496231079,5,549,,,,,,,,,,,,
,5,563,1.348010540008545,1.8492037057876587,2.8888638019561768,2.8888638019561768,0.9608240127563477,,,,,,,
,5,563,,,,,,0.9308943152427673,0.0,100.0,1.0,1.0,0.0,1.0
0.9802951216697693,6,599,,,,,,,,,,,,
0.8211038708686829,6,649,,,,,,,,,,,,
,6,657,1.339686393737793,1.7528736591339111,2.808664560317993,2.808664560317993,0.9341500997543335,,,,,,,
,6,657,,,,,,0.9262736439704895,0.0,100.0,1.0,1.0,0.0,1.0
0.6271132826805115,7,699,,,,,,,,,,,,
0.7499194145202637,7,749,,,,,,,,,,,,
,7,751,1.3499953746795654,1.7716935873031616,2.824655055999756,2.824655055999756,0.9394684433937073,,,,,,,
,7,751,,,,,,0.9167975783348083,0.0,100.0,1.0,1.0,0.0,1.0
1.4723235368728638,8,799,,,,,,,,,,,,
,8,845,1.3361449241638184,1.8105131387710571,2.8571393489837646,2.8571393489837646,0.9502726197242737,,,,,,,
,8,845,,,,,,0.9162041544914246,0.0,100.0,1.0,1.0,0.0,1.0
0.6743056178092957,9,849,,,,,,,,,,,,
0.6255267858505249,9,899,,,,,,,,,,,,
,9,939,1.3117947578430176,1.700974702835083,2.763725757598877,2.763725757598877,0.9192036390304565,,,,,,,
,9,939,,,,,,0.9139409065246582,0.0,100.0,1.0,1.0,0.0,1.0
0.5021030306816101,10,949,,,,,,,,,,,,
0.7307265996932983,10,999,,,,,,,,,,,,
,10,1033,1.3363572359085083,1.7864519357681274,2.837083339691162,2.837083339691162,0.9436020255088806,,,,,,,
,10,1033,,,,,,0.9109388589859009,0.0,100.0,1.0,1.0,0.0,1.0
0.6230231523513794,11,1049,,,,,,,,,,,,
0.6940791606903076,11,1099,,,,,,,,,,,,
,11,1127,1.3253533840179443,1.701706886291504,2.7643685340881348,2.7643685340881348,0.9194174408912659,,,,,,,
,11,1127,,,,,,0.9065930247306824,0.0,100.0,1.0,1.0,0.0,1.0
1.1232171058654785,12,1149,,,,,,,,,,,,
