checkpoint,epoch,ckpt_metric,ckpt_value,mse,mae,r2,dir_acc,sharpe,total_return,max_drawdown,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,pred_std,pred_mean,pct_positive,num_negative,experiment,phase
tft-epoch=epoch=00-composite=val_composite=0.4808,0,,,5.243448257446289,1.7317570447921753,-0.0049746036529541,0.5650557620817844,0.8959485611611329,0.9983927011489868,-0.2482302188873291,1.858736059479554,0.0,43.86617100371748,20.074349442379184,34.20074349442379,0.0494112893939018,0.362248808145523,100.0,0,h16_enc4_lr1e4,06c_weekly_refined
tft-epoch=epoch=00-composite=val_composite=0.4808,0,,,5.230435848236084,1.7330055236816406,-0.0024807453155517,0.5650557620817844,0.8959485611611329,0.9983927011489868,-0.2482302188873291,1.858736059479554,0.0,34.20074349442379,22.30483271375465,41.63568773234201,0.0478119812905788,0.2939794659614563,100.0,0,h16_enc4_lr5e4,06c_weekly_refined
tft-epoch=epoch=00-composite=val_composite=0.4817,0,,,5.249044418334961,1.7323729991912842,-0.0050916671752929,0.5617977528089888,0.8551497496322387,0.921396255493164,-0.2482304722070694,1.872659176029963,0.0,40.0749063670412,23.220973782771537,34.831460674157306,0.0512018240988254,0.3649919629096985,100.0,0,h16_enc6_lr1e4,06c_weekly_refined
tft-epoch=epoch=00-composite=val_composite=0.4817,0,,,5.23435115814209,1.7329483032226562,-0.0022780895233154,0.5617977528089888,0.8551497496322387,0.921396255493164,-0.2482304722070694,1.872659176029963,0.0,31.46067415730337,26.217228464419478,40.44943820224719,0.0495363473892211,0.2994808852672577,100.0,0,h16_enc6_lr5e4,06c_weekly_refined
tft-epoch=epoch=00-composite=val_composite=0.4825,0,,,5.226126670837402,1.7237099409103394,-0.0036454200744628,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.2482300996780395,1.8867924528301887,0.0,30.943396226415093,35.094339622641506,32.075471698113205,0.0523216128349304,0.3661427497863769,100.0,0,h16_enc8_lr1e4,06c_weekly_refined
tft-epoch=epoch=37-predstd=val_pred_std=0.0765,37,val_pred_std,0.0765,5.234123229980469,1.7350349426269531,-0.005181074142456,0.5811320754716981,1.0520454628767355,1.1990761756896973,-0.2117948532104492,18.11320754716981,0.3773584905660377,49.81132075471698,8.679245283018867,23.0188679245283,0.0999421626329422,0.1311373561620712,93.20754716981132,18,h16_enc8_lr5e4,06c_weekly_refined
tft-epoch=epoch=00-composite=val_composite=0.4808,0,,,7.668727397918701,2.158118724822998,-0.4698108434677124,0.5650557620817844,0.8959485611611329,0.9983927011489868,-0.2482302188873291,2.2304832713754648,0.0,57.62081784386617,27.881040892193308,12.267657992565056,0.0941837057471275,1.8279852867126465,100.0,0,h24_enc4_lr1e4,06c_weekly_refined
tft-epoch=epoch=00-composite=val_composite=0.4808,0,,,7.542125701904297,2.132696390151977,-0.4455459117889404,0.5650557620817844,0.8959485611611329,0.9983927011489868,-0.2482302188873291,2.2304832713754648,0.0,56.50557620817844,26.394052044609666,14.869888475836431,0.0927384048700332,1.7871692180633545,100.0,0,h24_enc4_lr5e4,06c_weekly_refined
tft-epoch=epoch=00-composite=val_composite=0.4817,0,,,7.783980369567871,2.1780076026916504,-0.4904834032058716,0.5617977528089888,0.8551497496322387,0.921396255493164,-0.2482304722070694,2.247191011235955,0.0,59.925093632958806,23.59550561797753,14.232209737827716,0.0888910666108131,1.853844404220581,100.0,0,h24_enc6_lr1e4,06c_weekly_refined
tft-epoch=epoch=00-composite=val_composite=0.4817,0,,,7.632291316986084,2.147915363311768,-0.4614378213882446,0.5617977528089888,0.8551497496322387,0.921396255493164,-0.2482304722070694,2.247191011235955,0.0,59.55056179775281,22.09737827715356,16.10486891385768,0.0894062891602516,1.8054603338241575,100.0,0,h24_enc6_lr5e4,06c_weekly_refined
tft-epoch=epoch=00-composite=val_composite=0.4825,0,,,7.734155654907227,2.1682589054107666,-0.4852969646453857,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.2482300996780395,2.2641509433962264,0.0,65.66037735849056,17.358490566037734,14.716981132075473,0.0849198326468467,1.866982698440552,100.0,0,h24_enc8_lr1e4,06c_weekly_refined
tft-epoch=epoch=00-composite=val_composite=0.4825,0,,,7.610737323760986,2.1438629627227783,-0.4615951776504516,0.5660377358490566,0.9203434216266334,1.0174620151519775,-0.2482300996780395,2.2641509433962264,0.0,66.0377358490566,16.22641509433962,15.471698113207546,0.0858601555228233,1.8274930715560915,100.0,0,h24_enc8_lr5e4,06c_weekly_refined
