experiment_name_attention,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep,phase_prefix,exp_name_only,experiment_name_collapse,phase,dir_acc,sharpe_ratio,test_rmse,test_mae,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,pred_std,composite_score,collapsed
02b_vintage_sweep/baseline_h16_drop0.10,yearly,6,2.8185449043909707,0.11923120693946201,2.5987205505371094,2.9563286304473877,0.0516057051718235,0.03216527530125179,19,02b_vintage_sweep,baseline_h16_drop0.10,baseline_h16_drop0.10,02b_vintage_sweep,0.5351014040561622,0.9091636651322048,1.0824085474014282,0.7714847326278687,False,False,True,True,60.9984399375975,10.374414976599065,28.627145085803438,0.0,0.0,39.0015600624025,0.05976,0.5514202374706716,False
02b_vintage_sweep/baseline_h16_drop0.20,yearly,6,2.841848095258077,0.10146753160872926,2.648083448410034,2.958965539932251,0.05053347907960415,0.0244181973593573,19,02b_vintage_sweep,baseline_h16_drop0.20,baseline_h16_drop0.20,02b_vintage_sweep,0.5397815912636506,0.8907643827439599,1.082805633544922,0.7712386846542358,False,False,True,True,17.160686427457097,0.3900156006240249,82.44929797191888,0.0,0.0,82.8393135725429,0.041065,0.544406178550747,True
02b_vintage_sweep/baseline_h14_drop0.15,yearly,6,2.8797436952590942,0.05966694159960841,2.7911558151245117,2.9562108516693115,0.05051154953738054,-0.0033623354775568896,19,02b_vintage_sweep,baseline_h14_drop0.15,baseline_h14_drop0.15,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0833745002746582,0.7729485630989075,False,False,False,True,2.3400936037441498,0.0,97.65990639625583,0.0,0.0,97.65990639625583,0.050487,0.5052456080234363,True
02b_vintage_sweep/baseline_h18_drop0.30,yearly,6,2.8688740730285645,0.06362954021068656,2.7590439319610596,2.95261549949646,0.05222382086018721,-0.00585222244262726,19,02b_vintage_sweep,baseline_h18_drop0.30,baseline_h18_drop0.30,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0828832387924194,0.7720409035682678,True,True,False,True,2.3400936037441498,0.0,75.27301092043682,6.084243369734789,16.302652106084242,97.65990639625583,0.029282,0.5056151834033525,True
02b_vintage_sweep/baseline_h20_drop0.25,yearly,6,2.358626127243042,0.20464800578278916,2.0968806743621826,2.639962911605835,0.12522930527726808,0.10060303551810124,19,02b_vintage_sweep,baseline_h20_drop0.25,baseline_h20_drop0.25,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.085410237312317,0.7735236883163452,True,True,False,True,2.3400936037441498,0.0,74.72698907956318,2.65210608424337,20.2808112324493,97.65990639625583,0.041007,0.4945793199063862,True
02b_vintage_sweep/baseline_h14_drop0.25,yearly,6,2.93703826268514,0.03493312690014694,2.878150224685669,2.970719337463379,0.050458760311206184,0.0028578894478931377,19,02b_vintage_sweep,baseline_h14_drop0.25,baseline_h14_drop0.25,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0837801694869995,0.7746374607086182,False,False,False,True,2.3400936037441498,0.0,97.65990639625583,0.0,0.0,97.65990639625583,0.063743,0.50676551736733,True
02b_vintage_sweep/baseline_h20_drop0.15,yearly,6,2.613322695096334,0.24087136290574748,2.153581380844116,2.8348114490509033,0.08132906506458919,0.08208374977111782,19,02b_vintage_sweep,baseline_h20_drop0.15,baseline_h20_drop0.15,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0846494436264038,0.7729595303535461,True,True,False,True,2.3400936037441498,0.0,86.66146645865834,3.6661466458658345,7.332293291731669,97.65990639625583,0.045976,0.5168297157925961,True
02b_vintage_sweep/baseline_h12_drop0.30,yearly,6,2.9180825551350913,0.02046174144831343,2.8989601135253906,2.961056709289551,0.05146022575596968,-0.006031867436000593,19,02b_vintage_sweep,baseline_h12_drop0.30,baseline_h12_drop0.30,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.082868218421936,0.771864116191864,True,True,False,True,2.3400936037441498,0.0,93.99375975039,2.65210608424337,1.014040561622465,97.65990639625583,0.026412,0.5088483560978507,True
02b_vintage_sweep/baseline_h12_drop0.15,yearly,6,2.85511044661204,0.06555324610348093,2.7405402660369873,2.9543509483337402,0.05920555628836155,-0.017687640871320676,19,02b_vintage_sweep,baseline_h12_drop0.15,baseline_h12_drop0.15,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0836448669433594,0.7726311683654785,True,True,False,True,2.3400936037441498,0.0,96.41185647425895,0.31201248049922,0.93603744149766,97.65990639625583,0.038962,0.5256872873152223,True
02b_vintage_sweep/baseline_h20_drop0.30,yearly,6,2.6604120333989463,0.17774455136374748,2.404229164123535,2.871335029602051,0.08254298567771912,0.08494663919721293,19,02b_vintage_sweep,baseline_h20_drop0.30,baseline_h20_drop0.30,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.084668755531311,0.7723454236984253,True,True,False,True,2.3400936037441498,0.0,85.95943837753511,5.538221528861154,6.162246489859594,97.65990639625586,0.024989,0.4985173780937046,True
02b_vintage_sweep/baseline_h18_drop0.25,yearly,6,2.8632379372914634,0.06392218791041838,2.7503628730773926,2.950758695602417,0.05259107860426108,-0.003664493560791216,19,02b_vintage_sweep,baseline_h18_drop0.25,baseline_h18_drop0.25,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.082848310470581,0.7720234990119934,True,True,False,True,2.3400936037441498,0.0,72.23088923556942,7.410296411856475,18.018720748829956,97.65990639625583,0.028512,0.5074238999977765,True
02b_vintage_sweep/baseline_h12_drop0.25,yearly,6,2.8929400046666465,0.034027404530096284,2.867825984954834,2.965702772140503,0.05353386824329694,-0.011743211746216344,19,02b_vintage_sweep,baseline_h12_drop0.25,baseline_h12_drop0.25,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0833581686019895,0.7722258567810059,True,True,False,True,2.3400936037441498,0.0,94.22776911076444,2.80811232449298,0.62402496099844,97.65990639625583,0.028614,0.5113876571353541,True
02b_vintage_sweep/baseline_h18_drop0.15,yearly,6,2.867450396219889,0.06645885137136089,2.733947992324829,2.936332941055298,0.055569746841986976,-0.0015474864414762538,19,02b_vintage_sweep,baseline_h18_drop0.15,baseline_h18_drop0.15,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0830228328704834,0.7722946405410767,True,True,False,True,2.3400936037441498,0.0,72.30889235569423,10.686427457098285,14.664586583463338,97.65990639625583,0.027947,0.5068364954204264,True
02b_vintage_sweep/baseline_h14_drop0.30,yearly,6,2.9885907570521035,0.0014035888479737844,2.9866108894348145,2.990755558013916,0.05003591316441695,0.000140115192957782,3,02b_vintage_sweep,baseline_h14_drop0.30,baseline_h14_drop0.30,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.0820789337158203,0.7720149755477905,False,False,False,True,2.3400936037441498,0.0,97.65990639625583,0.0,0.0,97.65990639625583,0.04488,0.5464349064910446,True
02b_vintage_sweep/baseline_h10_drop0.10,yearly,6,2.780064423878988,0.13216887614705713,2.5194506645202637,2.9083099365234375,0.05310768447816372,0.03622187205723329,19,02b_vintage_sweep,baseline_h10_drop0.10,baseline_h10_drop0.10,02b_vintage_sweep,0.5382215288611545,0.84640081630915,1.082761526107788,0.7718783020973206,True,True,False,True,2.3400936037441498,0.0,72.46489859594384,15.522620904836192,9.67238689547582,97.65990639625583,0.028833,0.5233540742565145,True
02b_vintage_sweep/baseline_h10_drop0.20,yearly,6,2.914351542790731,0.026036600438747608,2.8791871070861816,2.9561715126037598,0.05169882314900557,-0.003924083709717015,19,02b_vintage_sweep,baseline_h10_drop0.20,baseline_h10_drop0.20,02b_vintage_sweep,0.5374414976599063,0.8380294796085687,1.082518458366394,0.7720995545387268,True,True,False,True,2.3400936037441498,0.0,84.86739469578784,5.61622464898596,7.17628705148206,97.65990639625586,0.029801,0.5201412090974077,True
02b_vintage_sweep/baseline_h16_drop0.25,yearly,6,2.838536779085795,0.09884415407317908,2.656442642211914,2.960329055786133,0.05033006022373835,0.025040810448782442,19,02b_vintage_sweep,baseline_h16_drop0.25,baseline_h16_drop0.25,02b_vintage_sweep,0.5374414976599063,0.958706226628333,1.0825060606002808,0.7723751068115234,True,False,True,True,49.84399375975039,6.474258970358815,43.29173166926677,0.3900156006240249,0.0,50.15600624024961,0.037195,0.5373644008091292,True
