experiment_name,period_type,n_periods,avg_entropy,std_entropy,min_entropy,max_entropy,avg_concentration,entropy_trend,top_timestep
01_staleness_features_fixed/sweep_stale_h14_drop0.20_lr3,yearly,6,2.836058338483175,0.057049422973067025,2.7440221309661865,2.9163379669189453,0.05059113477667173,-0.0009166240692139264,19
01_staleness_features_fixed/sweep_stale_h22_drop0.30_lr3,yearly,6,2.6764888366063437,0.057615594514088334,2.598201274871826,2.783346652984619,0.06686973199248314,-0.016053329195295094,19
01_staleness_features_fixed/sweep_stale_h18_drop0.15_lr3,yearly,6,2.68777334690094,0.16101219936986225,2.418875217437744,2.869779348373413,0.05085580671826998,0.04949227060590464,0
01_staleness_features_fixed/sweep_stale_h16_drop0.35_lr5,yearly,6,2.8127997318903604,0.06497647838362004,2.7189228534698486,2.926825523376465,0.05060906521975994,0.01776039259774348,19
01_staleness_features_fixed/staleness_fixed_h16_drop0.25,yearly,6,2.7399247090021768,0.08884198886946958,2.6087002754211426,2.881221055984497,0.05287302223344644,0.03493613515581393,19
01_staleness_features_fixed/sweep_stale_h14_drop0.20_lr5,yearly,6,2.738910714785258,0.10067523370486506,2.602743625640869,2.8870558738708496,0.050710935766498245,-0.006386463982718235,3
01_staleness_features_fixed/sweep_stale_h14_drop0.30_lr3,yearly,6,2.9537662665049234,0.012320688523172706,2.936959981918335,2.9775240421295166,0.050151572252313294,-0.0020524978637697193,19
01_staleness_features_fixed/sweep_stale_h22_drop0.20_lr3,yearly,6,2.504237413406372,0.09330054575548731,2.406484603881836,2.674760341644287,0.0849911980330944,-0.04047708511352524,19
01_staleness_features_fixed/sweep_stale_h20_drop0.35_lr3,yearly,6,2.9480435450871787,0.03224841514625729,2.8805859088897705,2.975924015045166,0.05050940066576004,0.0011947291237967663,19
01_staleness_features_fixed/sweep_stale_h20_drop0.20_lr3,yearly,6,2.830697258313497,0.04346694690855762,2.7713587284088135,2.894775152206421,0.05574464797973633,-0.0041365964072091884,19
