checkpoint,epoch,ckpt_metric,ckpt_value,mse,mae,r2,dir_acc,sharpe,total_return,max_drawdown,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,pred_std,pred_mean,pct_positive,num_negative
tft-epoch=epoch=00-predstd=val_pred_std=0.0758,0,val_pred_std,0.0758,5.189891338348389,1.7809085845947266,-0.04589223861694336,0.45454545454545453,0.4613229708425528,0.07479679584503174,-0.033120155334472656,8.225108225108226,4.329004329004329,25.108225108225106,19.480519480519483,42.857142857142854,0.13588550686836243,-0.27530136704444885,4.761904761904762,219
tft-epoch=epoch=01-composite=val_composite=0.4944,1,,,4.995342254638672,1.7353794574737549,-0.006685853004455566,0.5497835497835498,1.077638379502024,0.5886842012405396,-0.08822400867938995,7.35930735930736,4.329004329004329,24.242424242424242,30.735930735930733,33.33333333333333,0.11407899856567383,-0.023259365931153297,51.515151515151516,112
tft-epoch=epoch=02-composite=val_composite=0.4944,2,,,4.944457054138184,1.7227513790130615,0.0035688281059265137,0.5627705627705628,0.8426311131233643,0.6990799903869629,-0.21179495751857758,2.1645021645021645,1.2987012987012987,25.108225108225106,41.125541125541126,30.303030303030305,0.08303633332252502,0.13135385513305664,96.1038961038961,9
tft-epoch=epoch=03-composite=val_composite=0.4944,3,,,4.9423699378967285,1.7186800241470337,0.00398939847946167,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.1645021645021645,0.4329004329004329,12.121212121212121,63.63636363636363,21.645021645021643,0.057951122522354126,0.20900388062000275,100.0,0
tft-epoch=epoch=04-composite=val_composite=0.4944,4,,,4.945486545562744,1.7191834449768066,0.0033614039421081543,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.1645021645021645,0.4329004329004329,7.35930735930736,74.02597402597402,16.017316017316016,0.049118079245090485,0.21630717813968658,100.0,0
tft-epoch=epoch=05-composite=val_composite=0.4944,5,,,4.947262763977051,1.7202893495559692,0.003003358840942383,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.1645021645021645,0.4329004329004329,6.926406926406926,74.02597402597402,16.450216450216452,0.04612408205866814,0.20643560588359833,100.0,0
tft-epoch=epoch=06-sharpe=val_sharpe=169.4058,6,val_sharpe,169.4058,4.952300548553467,1.7230198383331299,0.0019881725311279297,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.1645021645021645,0.4329004329004329,6.493506493506493,75.75757575757575,15.151515151515152,0.03853686898946762,0.18100672960281372,100.0,0
tft-epoch=epoch=08-unique=val_num_unique=230,8,val_num_unique,230.0,4.958139896392822,1.7261743545532227,0.0008113980293273926,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.1645021645021645,0.4329004329004329,6.0606060606060606,79.65367965367966,11.688311688311687,0.038411129266023636,0.1505444496870041,100.0,0
tft-epoch=epoch=09-sharpe=val_sharpe=227.3001,9,val_sharpe,227.3001,4.954680919647217,1.7184715270996094,0.001508474349975586,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.1645021645021645,0.4329004329004329,5.627705627705628,84.84848484848484,6.926406926406926,0.0340036004781723,0.2660207450389862,100.0,0
tft-epoch=epoch=15-valloss=val_loss=0.7406,15,val_loss,0.7406,4.961702823638916,1.7273658514022827,9.340047836303711e-05,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.1645021645021645,0.0,22.943722943722943,48.917748917748916,25.97402597402597,0.04769870638847351,0.16561101377010345,100.0,0
tft-epoch=epoch=16-sharpe=val_sharpe=256.2819,16,val_sharpe,256.2819,4.958005905151367,1.7240709066390991,0.0008384585380554199,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.1645021645021645,0.0,24.242424242424242,45.02164502164502,28.57142857142857,0.046625640243291855,0.20923291146755219,100.0,0
tft-epoch=epoch=17-sharpe=val_sharpe=202.9683,17,val_sharpe,202.9683,4.9504899978637695,1.7198188304901123,0.0023530125617980957,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.1645021645021645,0.4329004329004329,46.75324675324675,42.857142857142854,7.792207792207792,0.05174987390637398,0.21384546160697937,100.0,0
tft-epoch=epoch=20-valloss=val_loss=0.7412,20,val_loss,0.7412,4.952960968017578,1.7210887670516968,0.001855015754699707,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.1645021645021645,0.0,44.15584415584416,19.913419913419915,33.76623376623377,0.08204133808612823,0.15909425914287567,100.0,0
tft-epoch=epoch=21-predstd=val_pred_std=0.0774,21,val_pred_std,0.0774,4.95319938659668,1.7183940410614014,0.0018069744110107422,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.1645021645021645,0.0,46.320346320346324,23.809523809523807,27.705627705627705,0.10072962194681168,0.18306118249893188,100.0,0
tft-epoch=epoch=22-predstd=val_pred_std=0.0802,22,val_pred_std,0.0802,4.951319217681885,1.7142307758331299,0.0021858811378479004,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.1645021645021645,0.0,48.484848484848484,11.255411255411255,38.095238095238095,0.10630609095096588,0.2285490483045578,100.0,0
tft-epoch=epoch=36-predstd=val_pred_std=0.0742,36,val_pred_std,0.0742,4.941890239715576,1.7117630243301392,0.0040860772132873535,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.5974025974025974,0.0,50.21645021645021,29.43722943722944,17.74891774891775,0.11522474884986877,0.21265853941440582,100.0,0
tft-epoch=epoch=38-predstd=val_pred_std=0.0755,38,val_pred_std,0.0755,4.941891670227051,1.7131860256195068,0.0040857791900634766,0.5584415584415584,0.7583750830165464,0.6217176914215088,-0.2482302188873291,2.5974025974025974,0.0,50.21645021645021,16.450216450216452,30.735930735930733,0.11087457090616226,0.2051595002412796,100.0,0
