experiment_name,phase,evaluation_type,hidden_size,dropout,learning_rate,best_val_loss,total_epochs,early_stopped,checkpoint_selected,checkpoint_epoch,n_folds,fold_years,test_mse,test_rmse,test_mae,test_r2,dir_acc,sharpe_ratio,auc_roc,alpha,precision,recall,f1_score,hit_rate,num_trades,dir_acc_std,sharpe_std,healthy_pct_std,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,problematic_pct,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,pred_std,num_unique,pct_positive,pct_negative,num_negative,composite_score,evaluated,collapsed
h16_enc12_d015_bs16,06a_weekly_sweep,standard,16,0.15,0.0005,0.9089945554733276,100,False,tft-epoch=epoch=98-predstd=val_pred_std=0.1346,98.0,,,5.230647563934326,2.2870609760284424,1.7252687215805054,-0.0008698701858520508,0.578544061302682,0.904631419317978,0.5038268356852428,-0.007671713829040527,0.5798319327731093,0.9324324324324325,0.7150259067357514,0.5287356321839081,238.0,,,,18.773946360153257,1.1494252873563218,77.01149425287356,1.532567049808429,1.532567049808429,81.22605363984675,True,True,True,True,0.234037,261.0,91.18773946360153,8.812260536398467,23.0,0.5823708969879248,True,False
h16_enc12_d015_bs32,06a_weekly_sweep,standard,16,0.15,0.0005,0.9284968376159668,68,True,tft-epoch=epoch=32-predstd=val_pred_std=0.0680,32.0,,,5.223888397216797,2.2855827808380127,1.7256630659103394,0.0004234910011291504,0.578544061302682,0.9362429308189005,0.5391054771585745,0.08126676082611084,0.5736434108527132,1.0,0.729064039408867,0.5670498084291188,258.0,,,,7.2796934865900385,0.38314176245210724,54.02298850574713,16.091954022988507,22.22222222222222,92.72030651340995,True,True,True,True,0.119358,261.0,98.85057471264368,1.1494252873563218,3.0,0.6176495384612565,True,False
h16_enc12_d025_bs16,06a_weekly_sweep,standard,16,0.25,0.0005,0.9220671057701111,91,True,tft-epoch=epoch=24-sharpe=val_sharpe=287.1056,24.0,,,5.221550941467285,2.28507137298584,1.728769063949585,0.0008707046508789062,0.5670498084291188,0.883413376766828,0.4675316909830184,0.0,0.5670498084291188,1.0,0.723716381418093,0.5670498084291188,261.0,,,,2.2988505747126435,0.0,37.16475095785441,35.63218390804598,24.904214559386972,97.70114942528737,True,True,False,True,0.024854,261.0,100.0,0.0,0.0,0.5345814994121372,True,True
h16_enc12_d025_bs32,06a_weekly_sweep,standard,16,0.25,0.0005,0.9266690611839294,56,True,tft-epoch=epoch=39-predstd=val_pred_std=0.0621,39.0,,,5.24043083190918,2.289198637008667,1.735662817955017,-0.0027419328689575195,0.5747126436781609,0.9607017800231924,0.5346806983975125,0.10880458354949951,0.5725490196078431,0.9864864864864865,0.7245657568238212,0.5593869731800766,255.0,,,,8.812260536398467,0.0,62.06896551724138,12.260536398467432,16.85823754789272,91.18773946360153,True,True,False,True,0.08088,261.0,97.70114942528735,2.2988505747126435,6.0,0.6093933420756734,True,False
h16_enc12_d030_bs16,06a_weekly_sweep,standard,16,0.3,0.0005,0.9135085344314575,100,False,tft-epoch=epoch=24-sharpe=val_sharpe=252.9811,24.0,,,5.217473983764648,2.2841789722442627,1.7255226373672485,0.0016508102416992188,0.5670498084291188,0.883413376766828,0.5520808419038508,0.0,0.5670498084291188,1.0,0.723716381418093,0.5670498084291188,261.0,,,,1.9157088122605364,0.38314176245210724,30.65134099616858,37.93103448275862,29.118773946360154,98.08429118773945,True,True,True,True,0.028203,261.0,100.0,0.0,0.0,0.6191306503329695,True,True
h16_enc12_d030_bs32,06a_weekly_sweep,standard,16,0.3,0.0005,0.9253910183906555,56,True,tft-epoch=epoch=21-sharpe=val_sharpe=243.5204,21.0,,,5.225984573364258,2.286041259765625,1.7321805953979492,2.2351741790771484e-05,0.5670498084291188,0.883413376766828,0.5536952882085626,0.0,0.5670498084291188,1.0,0.723716381418093,0.5670498084291188,261.0,,,,1.9157088122605364,0.38314176245210724,1.1494252873563218,56.32183908045977,40.229885057471265,98.08429118773947,True,True,True,True,0.021978,261.0,100.0,0.0,0.0,0.6207450966376814,True,True
h16_enc8_d015_bs16,06a_weekly_sweep,standard,16,0.15,0.0005,0.9258561730384827,36,True,tft-epoch=epoch=20-valloss=val_loss=0.9259,20.0,,,5.185403347015381,2.2771480083465576,1.7186017036437988,0.004175305366516113,0.5660377358490566,0.9203434216266334,0.5672463768115943,0.0,0.5660377358490566,1.0,0.7228915662650602,0.5660377358490566,265.0,,,,2.2641509433962264,0.0,55.84905660377358,13.584905660377359,28.30188679245283,97.73584905660378,True,True,False,True,0.079256,265.0,100.0,0.0,0.0,0.6332841126606509,True,True
h16_enc8_d015_bs32,06a_weekly_sweep,standard,16,0.15,0.0005,0.9266691207885742,47,True,tft-epoch=epoch=45-predstd=val_pred_std=0.0548,45.0,,,5.197101593017578,2.2797152996063232,1.7229009866714478,0.0019286870956420898,0.5660377358490566,0.8450496295605523,0.5486956521739131,-0.12961959838867188,0.5686274509803921,0.9666666666666667,0.7160493827160493,0.5471698113207547,255.0,,,,9.056603773584905,3.7735849056603774,58.490566037735846,5.660377358490567,23.0188679245283,90.9433962264151,True,True,True,True,0.100022,265.0,96.22641509433963,3.7735849056603774,10.0,0.6147333880229697,True,False
h16_enc8_d025_bs16,06a_weekly_sweep,standard,16,0.25,0.0005,0.8955501317977905,100,False,tft-epoch=epoch=62-predstd=val_pred_std=0.1365,62.0,,,5.130891799926758,2.2651472091674805,1.7244431972503662,0.01464390754699707,0.5660377358490566,0.9203434216266334,0.5308985507246378,0.0,0.5660377358490566,1.0,0.7228915662650602,0.5660377358490566,265.0,,,,2.2641509433962264,0.0,57.73584905660377,8.679245283018867,31.32075471698113,97.73584905660377,True,True,False,True,0.090345,265.0,100.0,0.0,0.0,0.5969362865736944,True,True
h16_enc8_d025_bs32,06a_weekly_sweep,standard,16,0.25,0.0005,0.9218848943710327,66,True,tft-epoch=epoch=37-predstd=val_pred_std=0.0765,37.0,,,5.234123229980469,2.28782057762146,1.7350349426269531,-0.005181074142456055,0.5811320754716981,1.0520454628767355,0.5527536231884058,0.18161416053771973,0.5789473684210527,0.9533333333333334,0.7204030226700253,0.539622641509434,247.0,,,,18.11320754716981,0.37735849056603776,49.81132075471698,8.679245283018867,23.0188679245283,81.88679245283018,True,True,True,True,0.099942,265.0,93.20754716981132,6.7924528301886795,18.0,0.6338856986601039,True,False
