experiment_name,phase,group,hidden_size,dropout,learning_rate,best_val_loss,total_epochs,early_stopped,test_mse,test_rmse,test_r2,dir_acc,sharpe_ratio,auc_roc,alpha,pred_std,num_unique,pct_positive,pct_negative,composite_score,collapsed,evaluated
sweep2_combo3,00_baseline_exploration,sweep2,18,0.25,0.0003,0.14089302718639374,14,True,1.2123850584030151,1.1010836362838745,-0.024450063705444336,0.5346456692913386,0.7914648875824186,0.47328733157400277,0.0,0.11344789544776213,1262.0,100.0,0.0,0.5079330008653413,True,True
sweep2_h16_drop_0.05,00_baseline_exploration,sweep2,16,0.05,0.0005,0.1387777030467987,12,True,,,,,,,,,,,,,,False
sweep2_h16_drop_0.1,00_baseline_exploration,sweep2,16,0.1,0.0005,0.1321549415588379,12,True,,,,,,,,,,,,,,False
sweep2_h16_drop_0.15,00_baseline_exploration,sweep2,16,0.15,0.0005,0.13244730234146118,12,True,,,,,,,,,,,,,,False
sweep2_h16_drop_0.2,00_baseline_exploration,sweep2,16,0.2,0.0005,0.12843942642211914,12,True,1.1812622547149658,1.086858868598938,-0.0038242340087890625,0.53046875,0.9282216762359428,0.5435367988001698,-0.32075750827789307,0.0772184472611012,1272.0,49.53125,50.46874999999999,0.5740055488001699,False,True
sweep2_h16_drop_0.25,00_baseline_exploration,sweep2,16,0.25,0.0005,0.12599900364875793,12,True,1.180079698562622,1.0863146781921387,-0.0028194189071655273,0.53671875,1.0193497774015514,0.5429182284341088,-0.22291254997253418,0.07732981257043844,1275.0,54.53125,45.46875,0.5796369784341088,False,True
sweep2_h16_drop_0.3,00_baseline_exploration,sweep2,16,0.3,0.0005,0.1279943436384201,12,True,,,,,,,,,,,,,,False
sweep2_h16_enc_15,00_baseline_exploration,sweep2,16,0.15,0.0005,0.1319243311882019,12,True,,,,,,,,,,,,,,False
sweep2_h16_enc_20,00_baseline_exploration,sweep2,16,0.15,0.0005,0.13244730234146118,12,True,,,,,,,,,,,,,,False
sweep2_h16_enc_30,00_baseline_exploration,sweep2,16,0.15,0.0005,0.13037872314453125,12,True,,,,,,,,,,,,,,False
sweep2_h16_enc_40,00_baseline_exploration,sweep2,16,0.15,0.0005,0.1276702582836151,12,True,1.1729038953781128,1.0830068588256836,-0.005221128463745117,0.5246031746031746,0.8151465367704398,0.5442622618770317,-0.44857311248779297,0.06963765346402703,1253.0,42.61904761904762,57.38095238095238,0.5688654364802064,False,True
sweep2_h16_enc_50,00_baseline_exploration,sweep2,16,0.15,0.0005,0.13141195476055145,12,True,1.170960783958435,1.0821094512939453,-0.006741166114807129,0.5272,0.9139599836949186,0.5424079405385797,-0.40214335918426514,0.069372964350792,1244.0,40.48,59.519999999999996,0.5696079405385797,False,True
sweep2_h16_enc_60,00_baseline_exploration,sweep2,16,0.15,0.0005,0.13566820323467255,12,True,,,,,,,,,,,,,,False
sweep2_h16_lr_0.0002,00_baseline_exploration,sweep2,16,0.15,0.0002,0.115431047976017,14,True,1.1835319995880127,1.087902545928955,-0.005753040313720703,0.5203125,0.7922912109814298,0.5426874918689908,-0.44844377040863037,0.07095206288098176,1273.0,44.453125,55.54687499999999,0.5629999918689907,False,True
sweep2_h16_lr_0.0003,00_baseline_exploration,sweep2,16,0.15,0.0003,0.12265065312385559,13,True,,,,,,,,,,,,,,False
sweep2_h16_lr_0.0004,00_baseline_exploration,sweep2,16,0.15,0.0004,0.12982743978500366,13,True,,,,,,,,,,,,,,False
sweep2_h16_lr_0.0005,00_baseline_exploration,sweep2,16,0.15,0.0005,0.13244730234146118,12,True,,,,,,,,,,,,,,False
sweep2_h16_lr_0.0006,00_baseline_exploration,sweep2,16,0.15,0.0006,0.11982454359531403,12,True,,,,,,,,,,,,,,False
sweep2_h16_lr_0.0007,00_baseline_exploration,sweep2,16,0.15,0.0007,0.1187467873096466,12,True,,,,,,,,,,,,,,False
sweep2_h16_lr_0.0008,00_baseline_exploration,sweep2,16,0.15,0.0008,0.13411152362823486,12,True,,,,,,,,,,,,,,False
sweep2_hidden_10,00_baseline_exploration,sweep2,10,0.15,0.0005,0.1228998675942421,14,True,1.186439871788025,1.089238166809082,-0.008224129676818848,0.46328125,0.0,0.5312390308082406,-0.9216080904006958,0.011203783079955437,1244.0,0.0,100.0,0.4945202808082406,True,True
sweep2_hidden_12,00_baseline_exploration,sweep2,12,0.15,0.0005,0.11193826794624329,14,True,1.1784346103668213,1.085557222366333,-0.0014213323593139648,0.53671875,0.8329736080938573,0.5004136075661957,0.0,0.021607327146345886,1269.0,100.0,0.0,0.5371323575661957,True,True
sweep2_hidden_14,00_baseline_exploration,sweep2,14,0.15,0.0005,0.13769084215164185,12,True,1.2816402912139893,1.1320955753326416,-0.08912444114685059,0.46328125,0.0,0.4853420915042305,-0.9216080904006958,0.01700584632431829,1257.0,0.0,100.0,0.4486233415042305,True,True
sweep2_hidden_16,00_baseline_exploration,sweep2,16,0.15,0.0005,0.13244730234146118,12,True,1.183201551437378,1.0877506732940674,-0.0054721832275390625,0.52421875,0.8480382057224343,0.5438853582921567,-0.40112316608428955,0.07691613671964609,1275.0,45.78125,54.21875000000001,0.5681041082921566,False,True
sweep2_hidden_18,00_baseline_exploration,sweep2,18,0.15,0.0005,0.14766889810562134,14,True,1.1852986812591553,1.0887142419815063,-0.007254362106323242,0.48984375,0.5426946487199897,0.4797332292564146,-0.47209787368774414,0.10364327453256517,1273.0,59.53125,40.46875,0.4695769792564146,False,True
sweep2_hidden_20,00_baseline_exploration,sweep2,20,0.15,0.0005,0.06711447238922119,12,True,1.2152724266052246,1.1023939847946167,-0.03272569179534912,0.53671875,0.8329736080938573,0.4736776217442211,0.0,0.051567973412380355,1273.0,100.0,0.0,0.5103963717442211,True,True
sweep2_hidden_8,00_baseline_exploration,sweep2,8,0.15,0.0005,0.1451360285282135,15,True,1.202223539352417,1.0964595079421997,-0.02163684368133545,0.46328125,0.0,0.4900734184113051,-0.9216080904006958,0.00890721767626825,1196.0,0.0,100.0,0.45335466841130506,True,True
baseline_fixed_h16_drop0.25,01_staleness_features_fixed,other,16,0.25,0.0005,0.10513363778591156,12,True,1.1794918775558472,1.086044192314148,-0.002319812774658203,0.54609375,1.0593565325735437,0.5322797999955816,-0.14514577388763428,0.014727175179912051,1260.0,64.84375,35.15625,0.5783735499955817,True,True
staleness_fixed_h16_drop0.25,01_staleness_features_fixed,other,16,0.25,0.0005,0.14756560325622559,12,True,1.1785494089126587,1.0856101512908936,-0.001518845558166504,0.53671875,0.8329736080938573,0.521352950850657,0.0,0.018846412846116507,1268.0,100.0,0.0,0.558071700850657,True,True
staleness_fixed_h16_drop0.25_seed999,01_staleness_features_fixed,other,16,0.25,0.0005,0.1368691325187683,13,True,1.2290844917297363,1.1086407899856567,-0.04446303844451904,0.53671875,0.8329736080938573,0.49494220539972655,0.0,0.01456602964860187,1253.0,100.0,0.0,0.5316609553997266,True,True
sweep_stale_h12_drop0.15_lr3,01_staleness_features_fixed,sweep1,12,0.15,0.0003,0.1418820321559906,15,True,1.1766971349716187,1.0847567319869995,5.513429641723633e-05,0.53671875,0.8329736080938573,0.5416737237690572,0.0,0.013258782284150731,1260.0,100.0,0.0,0.5783924737690572,True,True
sweep_stale_h12_drop0.15_lr5,01_staleness_features_fixed,sweep1,12,0.15,0.0005,0.1440202295780182,14,True,1.1768913269042969,1.0848462581634521,-0.00010991096496582031,0.53671875,0.8329736080938573,0.5510688748646877,0.0,0.008089008106372336,1243.0,100.0,0.0,0.5877876248646877,True,True
