experiment_name,experiment_path,phase,hidden_size,attention_heads,dropout,max_encoder_length,learning_rate,batch_size,max_epochs,feature_set,frequency,alignment,regime_enabled,num_regimes,routing_strategy,routing_mode,vix_threshold,vix_threshold_low,vix_threshold_high,expert_hidden_size,hard_routing_train,load_balance_weight,dist_loss_std_weight,directional_weight,freeze_backbone,load_checkpoint,best_val_loss,total_epochs,early_stopped,evaluated,pred_min,pred_max,pred_mean,pred_std,pred_range,pred_unique,pred_pct_positive,pred_pct_negative,test_mse,test_rmse,test_r2,test_mae,directional_accuracy,sharpe_ratio,alpha,auc_roc,max_drawdown,total_return,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,total_days,problematic_pct,final_pred_std,final_pred_mean,final_pct_positive,final_num_unique,final_attention_entropy,final_routing_entropy,final_dominant_regime_pct,final_vix_correlation,final_expert_0_std,final_expert_1_std,final_expert_0_mean,final_expert_1_mean,final_expert_weight_diff,final_expert_weight_cosine,final_expert_2_std,final_expert_2_mean,composite_score,min_expert_std,max_expert_std,any_expert_collapsed
vix3r_d010_t14_23_mlp_hr,experiments/05a_regime_output/vix3r_d010_t14_23_mlp_hr,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,3,vix_threshold,learned,25.0,14.0,23.0,16,True,0.0,0.0,0.0,False,False,0.3577802777290344,89,True,True,-0.7613940834999084,0.6161136627197266,-0.21233578026294708,0.4519961178302765,1.3775076866149902,1281,26.833073322932915,73.16692667706708,1.426910400390625,1.1945335865020752,-0.2144070863723755,0.9162386059761047,0.4781591263650546,0.4706497215155069,-0.6221811771392822,0.483399701892177,-0.1472965031862259,0.3090745210647583,64.1965678627145,6.4742589703588145,29.329173166926676,0.0,0.0,1282,35.8034321372855,0.3046150505542755,0.05970704182982445,79.6411856474259,1282,2.846205472946167,0.0,58.4375,0.4067413076052764,0.14012929797172546,0.5083637237548828,0.16008594632148743,-0.2781882584095001,3.374202251434326,0.08299258351325989,0.4077399671077728,-1.4662765264511108,0.5730109204368175,0.14012929797172546,0.5083637237548828,False
vix3r_d010_t14_23_mlp,experiments/05a_regime_output/vix3r_d010_t14_23_mlp,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,3,vix_threshold,learned,25.0,14.0,23.0,16,False,0.0,0.0,0.0,False,False,0.3577802777290344,89,True,True,-0.761394,0.616114,-0.212336,0.451996,1.3775080000000002,1282,26.833073322932915,73.16692667706708,1.426910400390625,1.1945335865020752,-0.2144070863723755,0.9162386059761047,0.4781591263650546,0.4706497215155069,-0.6221811771392822,0.483399701892177,-0.1472965031862259,0.3090745210647583,64.1965678627145,6.4742589703588145,29.329173166926676,0.0,0.0,1282,35.8034321372855,0.3046150505542755,0.05970704182982445,79.6411856474259,1282,2.846205472946167,0.0,58.4375,0.4067413076052764,0.14012929797172546,0.5083637237548828,0.16008594632148743,-0.2781882584095001,3.374202251434326,0.08299258351325989,0.4077399671077728,-1.4662765264511108,0.5730109204368175,0.14012929797172546,0.5083637237548828,False
vix2r_d010_t20_mlp,experiments/05a_regime_output/vix2r_d010_t20_mlp,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,20.0,,,16,False,0.0,0.0,0.0,False,False,0.3723495304584503,75,True,True,-0.670107,0.545136,-0.127772,0.520339,1.215243,1282,42.90171606864275,57.09828393135725,1.4621946811676025,1.2092124223709106,-0.2444366216659546,0.9342198967933655,0.4781591263650546,0.6062962397435866,-0.43691420555114746,0.48586190607890317,-0.19141049683094025,0.49434149265289307,61.62246489859594,7.17628705148206,27.53510140405616,3.6661466458658345,0.0,1282,38.37753510140406,0.2383892834186554,0.10538893193006516,95.63182527301092,1278,2.914599657058716,0.0,87.96875,0.8006432350209167,0.2628178894519806,0.38199692964553833,0.13781297206878662,-1.0004059076309204,3.7699999809265137,0.08146828413009644,,,0.5688767550702027,0.2628178894519806,0.38199692964553833,False
vix2r_d010_t20_mlp_hr,experiments/05a_regime_output/vix2r_d010_t20_mlp_hr,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,20.0,,,16,True,0.0,0.0,0.0,False,False,0.3723495304584503,75,True,True,-0.670107,0.545136,-0.127772,0.520339,1.215243,1282,42.90171606864275,57.09828393135725,1.4621946811676025,1.2092124223709106,-0.2444366216659546,0.9342198967933655,0.4781591263650546,0.6062962397435866,-0.43691420555114746,0.48586190607890317,-0.19141049683094025,0.49434149265289307,61.62246489859594,7.17628705148206,27.53510140405616,3.6661466458658345,0.0,1282,38.37753510140406,0.2383892834186554,0.10538893193006516,95.63182527301092,1278,2.914599657058716,0.0,87.96875,0.8006432350209167,0.2628178894519806,0.38199692964553833,0.13781297206878662,-1.0004059076309204,3.7699999809265137,0.08146828413009644,,,0.5688767550702027,0.2628178894519806,0.38199692964553833,False
vix3r_d025_t14_23_mlp_hr,experiments/05a_regime_output/vix3r_d025_t14_23_mlp_hr,05a_regime_output,16,2,0.25,20,0.0005,64,100,core_proposal,daily,vintage,True,3,vix_threshold,learned,25.0,14.0,23.0,16,True,0.0,0.0,0.0,False,False,0.35869476199150085,100,False,True,-0.8953140377998352,0.7377818822860718,-0.23653243482112885,0.47552502155303955,1.6330959796905518,1278,26.443057722308893,73.5569422776911,1.4572960138320923,1.20718514919281,-0.24026751518249512,0.9328235983848572,0.4789391575663027,0.4537235751060116,-0.6381028890609741,0.4853724022644446,-0.14729659259319305,0.2931528091430664,62.94851794071763,5.30421216848674,31.747269890795632,0.0,0.0,1282,37.05148205928237,0.3300793468952179,0.04676007479429245,80.26521060842434,1281,2.8392536640167236,0.0,58.4375,0.4067413076052764,0.11848390102386475,0.6033594608306885,0.12552860379219055,-0.39050227403640747,3.362269163131714,0.10706900805234909,0.4430689811706543,-1.5037567615509033,0.5648205928237129,0.11848390102386475,0.6033594608306885,False
vix3r_d025_t14_23_mlp,experiments/05a_regime_output/vix3r_d025_t14_23_mlp,05a_regime_output,16,2,0.25,20,0.0005,64,100,core_proposal,daily,vintage,True,3,vix_threshold,learned,25.0,14.0,23.0,16,False,0.0,0.0,0.0,False,False,0.35869476199150085,100,False,True,-0.895314,0.737782,-0.236532,0.475525,1.633096,1282,26.443057722308893,73.5569422776911,1.4572960138320923,1.20718514919281,-0.24026751518249512,0.9328235983848572,0.4789391575663027,0.4537235751060116,-0.6381028890609741,0.4853724022644446,-0.14729659259319305,0.2931528091430664,62.94851794071763,5.30421216848674,31.747269890795632,0.0,0.0,1282,37.05148205928237,0.3300793468952179,0.04676007479429245,80.26521060842434,1281,2.8392536640167236,0.0,58.4375,0.4067413076052764,0.11848390102386475,0.6033594608306885,0.12552860379219055,-0.39050227403640747,3.362269163131714,0.10706900805234909,0.4430689811706543,-1.5037567615509033,0.5648205928237129,0.11848390102386475,0.6033594608306885,False
vix3r_d010_t14_23_hr,experiments/05a_regime_output/vix3r_d010_t14_23_hr,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,3,vix_threshold,learned,25.0,14.0,23.0,0,True,0.0,0.0,0.0,False,False,0.3680883049964905,78,True,True,-0.45867782831192017,0.6255465149879456,-0.13089635968208313,0.35214462876319885,1.0842243432998657,1278,25.975039001560063,74.02496099843994,1.3110424280166626,1.145007610321045,-0.11579477787017822,0.8555697798728943,0.47581903276131043,0.4482114900464873,-0.6435786485671997,0.4865202887093498,-0.14729627966880798,0.2876770496368408,59.51638065522621,8.658346333853356,31.825273010920434,0.0,0.0,1282,40.48361934477379,0.24298205971717834,0.10187460482120514,80.26521060842434,1281,2.874216318130493,0.0,58.4375,0.4067413076052764,0.08807096630334854,0.3605653643608093,0.16064584255218506,-0.11952664703130722,2.0642197132110596,0.05999797582626343,0.2663155496120453,-1.0306262969970703,0.552808112324493,0.08807096630334854,0.3605653643608093,False
vix3r_d010_t14_23,experiments/05a_regime_output/vix3r_d010_t14_23,05a_regime_output,16,2,0.1,20,0.0005,64,100,core_proposal,daily,vintage,True,3,vix_threshold,learned,25.0,14.0,23.0,0,False,0.0,0.0,0.0,False,False,0.3680883049964905,78,True,True,-0.458678,0.625547,-0.130896,0.352145,1.084225,1282,25.975039001560063,74.02496099843994,1.3110424280166626,1.145007610321045,-0.11579477787017822,0.8555697798728943,0.47581903276131043,0.4482114900464873,-0.6435786485671997,0.4865202887093498,-0.14729627966880798,0.2876770496368408,59.51638065522621,8.658346333853356,31.825273010920434,0.0,0.0,1282,40.48361934477379,0.24298205971717834,0.10187460482120514,80.26521060842434,1281,2.874216318130493,0.0,58.4375,0.4067413076052764,0.08807096630334854,0.3605653643608093,0.16064584255218506,-0.11952664703130722,2.0642197132110596,0.05999797582626343,0.2663155496120453,-1.0306262969970703,0.552808112324493,0.08807096630334854,0.3605653643608093,False
vix2r_d025_t20_hr,experiments/05a_regime_output/vix2r_d025_t20_hr,05a_regime_output,16,2,0.25,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,20.0,,,0,True,0.0,0.0,0.0,False,False,0.3745046854019165,88,True,True,-0.616776704788208,0.385800838470459,-0.15008914470672607,0.40369778871536255,1.002577543258667,1279,42.43369734789392,57.56630265210608,1.36738920211792,1.1693542003631592,-0.1637500524520874,0.892217218875885,0.4797191887675507,0.590236718700928,-0.4557877779006958,0.4929964241746354,-0.19460758566856384,0.4754679203033447,58.19032761310452,9.048361934477379,32.761310452418094,0.0,0.0,1282,41.80967238689548,0.2246607393026352,0.09350644052028656,94.46177847113884,1279,2.900468349456787,0.0,87.96875,0.8006432350209167,0.18372312188148499,0.3638852536678314,0.10514932870864868,-1.0048859119415283,2.515596628189087,0.11260164529085159,,,0.5489079563182527,0.18372312188148499,0.3638852536678314,False
vix2r_d025_t20,experiments/05a_regime_output/vix2r_d025_t20,05a_regime_output,16,2,0.25,20,0.0005,64,100,core_proposal,daily,vintage,True,2,vix_threshold,learned,20.0,,,0,False,0.0,0.0,0.0,False,False,0.3745046854019165,88,True,True,-0.616777,0.385801,-0.150089,0.403698,1.002578,1280,42.43369734789392,57.56630265210608,1.36738920211792,1.1693542003631592,-0.1637500524520874,0.892217218875885,0.4797191887675507,0.590236718700928,-0.4557877779006958,0.4929964241746354,-0.19460758566856384,0.4754679203033447,58.19032761310452,9.048361934477379,32.761310452418094,0.0,0.0,1282,41.80967238689548,0.2246607393026352,0.09350644052028656,94.46177847113884,1279,2.900468349456787,0.0,87.96875,0.8006432350209167,0.18372312188148499,0.3638852536678314,0.10514932870864868,-1.0048859119415283,2.515596628189087,0.11260164529085159,,,0.5489079563182527,0.18372312188148499,0.3638852536678314,False
