experiment_name,group,hidden_size,dropout,learning_rate,encoder_length,attention_heads,batch_size,created_at,best_val_loss,total_epochs,early_stopped,test_mse,test_rmse,test_mae,test_r2,dir_acc,sharpe_ratio,max_drawdown,total_return,num_trades,precision,recall,f1_score,auc_roc,alpha,evaluated,collapsed,collapse_type,pred_std,pred_mean
sweep_hidden_24,sweep1,24,0.15,0.0005,20,2,64,2025-10-16T19:34:52.262867,0.10557609796524048,11,True,1.2373031377792358,1.112341284751892,0.7973649501800537,-0.051447272300720215,0.53671875,0.8329736080938573,-0.2524605989456177,0.9216080904006958,1280.0,0.53671875,1.0,0.6985256736146417,0.4735278884413254,0.0,True,,,,
sweep_hidden_32,sweep1,32,0.15,0.0005,20,2,64,2025-10-16T19:36:37.516265,0.15444537997245789,11,True,,,,,,,,,,,,,,,False,,,,
sweep_hidden_48,sweep1,48,0.15,0.0005,20,2,64,2025-10-16T19:38:22.491013,0.15297546982765198,12,True,,,,,,,,,,,,,,,False,,,,
sweep_hidden_64,sweep1,64,0.15,0.0005,20,2,64,2025-10-16T19:40:18.049243,0.16334760189056396,11,True,,,,,,,,,,,,,,,False,,,,
sweep_lr_0.0003,sweep1,32,0.15,0.0003,20,2,64,2025-10-16T19:24:14.431170,0.1373826563358307,12,True,,,,,,,,,,,,,,,False,,,,
sweep_lr_0.0005,sweep1,32,0.15,0.0005,20,2,64,2025-10-16T19:26:08.590830,0.15444537997245789,11,True,,,,,,,,,,,,,,,False,,,,
sweep_lr_0.0007,sweep1,32,0.15,0.0007,20,2,64,2025-10-16T19:27:54.807103,0.14660105109214783,11,True,,,,,,,,,,,,,,,False,,,,
sweep_lr_0.001,sweep1,32,0.15,0.001,20,2,64,2025-10-16T19:29:39.018136,0.13702630996704102,11,True,1.1850945949554443,1.0886205434799194,0.7748261094093323,-0.007081031799316406,0.53671875,0.8329736080938573,-0.2524605989456177,0.9216080904006958,1280.0,0.53671875,1.0,0.6985256736146417,0.5422309280273743,0.0,True,,,,
sweep_lr_0.002,sweep1,32,0.15,0.002,20,2,64,2025-10-16T19:31:24.238444,0.17011156678199768,11,True,,,,,,,,,,,,,,,False,,,,
sweep2_combo1,sweep2,12,0.2,0.0004,40,2,64,2025-10-16T23:10:22.405294,0.12528583407402039,15,True,1.1686885356903076,1.0810589790344238,0.7692925333976746,-0.0016084909439086914,0.5349206349206349,0.8491509303396099,-0.25245988368988037,0.9240425825119019,1260.0,0.5349206349206349,1.0,0.6970010341261634,0.49904295074994176,0.0,True,True,always_positive,0.012225930579006672,0.0805368423461914
sweep2_combo2,sweep2,10,0.15,0.0005,30,2,64,2025-10-16T23:12:48.005971,0.12488682568073273,14,True,1.192757487297058,1.0921343564987183,0.7808202505111694,-0.007865071296691895,0.4653543307086614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5397556374582906,-0.8470276594161987,True,True,always_negative,0.009558452293276787,-0.04957910254597664
sweep2_combo3,sweep2,18,0.25,0.0003,30,2,64,2025-10-16T23:15:09.973299,0.14089302718639374,14,True,1.2123850584030151,1.1010836362838745,0.7851025462150574,-0.024450063705444336,0.5346456692913386,0.7914648875824186,-0.2524600923061371,0.8470276594161987,1270.0,0.5346456692913386,1.0,0.6967675731144177,0.47328733157400277,0.0,True,False,always_positive,0.052032239735126495,0.13955673575401306
sweep2_h16_drop_0.05,sweep2,16,0.05,0.0005,20,2,64,2025-10-16T22:59:02.743742,0.1387777030467987,12,True,,,,,,,,,,,,,,,False,True,low_diversity,0.048178039491176605,0.010618098080158234
sweep2_h16_drop_0.1,sweep2,16,0.1,0.0005,20,2,64,2025-10-16T23:00:55.511785,0.1321549415588379,12,True,,,,,,,,,,,,,,,False,True,low_diversity,0.049661725759506226,0.044419944286346436
sweep2_h16_drop_0.15,sweep2,16,0.15,0.0005,20,2,64,2025-10-16T23:02:50.762310,0.13244730234146118,12,True,,,,,,,,,,,,,,,False,False,,0.05171949416399002,0.055875517427921295
sweep2_h16_drop_0.2,sweep2,16,0.2,0.0005,20,2,64,2025-10-16T23:04:40.826582,0.12843942642211914,12,True,1.1812622547149658,1.086858868598938,0.7726438641548157,-0.0038242340087890625,0.53046875,0.9282216762359428,-0.18902228772640228,0.6008505821228027,634.0,0.5678233438485805,0.5240174672489083,0.5450416351249054,0.5435367988001698,-0.32075750827789307,True,False,,0.05174882709980011,0.0745621919631958
sweep2_h16_drop_0.25,sweep2,16,0.25,0.0005,20,2,64,2025-10-16T23:06:35.997262,0.12599900364875793,12,True,1.180079698562622,1.0863146781921387,0.7721870541572571,-0.0028194189071655273,0.53671875,1.0193497774015514,-0.18902236223220825,0.6986955404281616,698.0,0.5673352435530086,0.5764192139737991,0.5718411552346571,0.5429182284341088,-0.22291254997253418,True,False,,0.05119142308831215,0.09470276534557343
sweep2_h16_drop_0.3,sweep2,16,0.3,0.0005,20,2,64,2025-10-16T23:08:27.344792,0.1279943436384201,12,True,,,,,,,,,,,,,,,False,False,,0.05129643902182579,0.10342748463153839
sweep2_h16_enc_15,sweep2,16,0.15,0.0005,15,2,64,2025-10-16T22:47:31.834469,0.1319243311882019,12,True,,,,,,,,,,,,,,,False,True,low_diversity,0.048760201781988144,0.04207836836576462
sweep2_h16_enc_20,sweep2,16,0.15,0.0005,20,2,64,2025-10-16T22:49:25.627237,0.13244730234146118,12,True,,,,,,,,,,,,,,,False,False,,0.05171949416399002,0.055875517427921295
sweep2_h16_enc_30,sweep2,16,0.15,0.0005,30,2,64,2025-10-16T22:51:18.416341,0.13037872314453125,12,True,,,,,,,,,,,,,,,False,True,low_diversity,0.048233095556497574,0.055196795612573624
sweep2_h16_enc_40,sweep2,16,0.15,0.0005,40,2,64,2025-10-16T22:53:13.952931,0.1276702582836151,12,True,1.1729038953781128,1.0830068588256836,0.7701699137687683,-0.005221128463745117,0.5246031746031746,0.8151465367704398,-0.18902236223220825,0.4754694700241089,537.0,0.5698324022346368,0.4540059347181009,0.5053674649050371,0.5442622618770317,-0.44857311248779297,True,True,low_diversity,0.04633248969912529,0.05153116583824158
sweep2_h16_enc_50,sweep2,16,0.15,0.0005,50,2,64,2025-10-16T22:55:10.874578,0.13141195476055145,12,True,1.170960783958435,1.0821094512939453,0.7680103778839111,-0.006741166114807129,0.5272,0.9139599836949186,-0.18902242183685303,0.5347671508789062,506.0,0.5770750988142292,0.43647234678624813,0.49702127659574463,0.5424079405385797,-0.40214335918426514,True,True,low_diversity,0.04685515910387039,0.0447114072740078
sweep2_h16_enc_60,sweep2,16,0.15,0.0005,60,2,64,2025-10-16T22:57:05.980429,0.13566820323467255,12,True,,,,,,,,,,,,,,,False,True,low_diversity,0.0490693673491478,0.04241590574383736
sweep2_h16_lr_0.0002,sweep2,16,0.15,0.0002,20,2,64,2025-10-16T22:33:05.428417,0.115431047976017,14,True,1.1835319995880127,1.087902545928955,0.7742606401443481,-0.005753040313720703,0.5203125,0.7922912109814298,-0.18902269005775452,0.47316431999206543,569.0,0.5641476274165202,0.4672489082969432,0.5111464968152867,0.5426874918689908,-0.44844377040863037,True,True,low_diversity,0.048053205013275146,0.04215269535779953
sweep2_h16_lr_0.0003,sweep2,16,0.15,0.0003,20,2,64,2025-10-16T22:35:22.028094,0.12265065312385559,13,True,,,,,,,,,,,,,,,False,True,low_diversity,0.04924609884619713,0.0388045534491539
sweep2_h16_lr_0.0004,sweep2,16,0.15,0.0004,20,2,64,2025-10-16T22:37:28.325521,0.12982743978500366,13,True,,,,,,,,,,,,,,,False,True,low_diversity,0.04406421259045601,0.04321352764964104
sweep2_h16_lr_0.0005,sweep2,16,0.15,0.0005,20,2,64,2025-10-16T22:39:35.885492,0.13244730234146118,12,True,,,,,,,,,,,,,,,False,False,,0.05171949416399002,0.055875517427921295
sweep2_h16_lr_0.0006,sweep2,16,0.15,0.0006,20,2,64,2025-10-16T22:41:35.145174,0.11982454359531403,12,True,,,,,,,,,,,,,,,False,True,low_diversity,0.049823515117168427,0.04958978295326233
sweep2_h16_lr_0.0007,sweep2,16,0.15,0.0007,20,2,64,2025-10-16T22:43:32.461823,0.1187467873096466,12,True,,,,,,,,,,,,,,,False,True,low_diversity,0.04686925932765007,0.0519753023982048
sweep2_h16_lr_0.0008,sweep2,16,0.15,0.0008,20,2,64,2025-10-16T22:45:33.540813,0.13411152362823486,12,True,,,,,,,,,,,,,,,False,True,low_diversity,0.044307347387075424,0.05572349950671196
sweep2_hidden_10,sweep2,10,0.15,0.0005,20,2,64,2025-10-16T22:19:41.384406,0.1228998675942421,14,True,1.186439871788025,1.089238166809082,0.7789298892021179,-0.008224129676818848,0.46328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5312390308082406,-0.9216080904006958,True,True,always_negative,0.010266540572047234,-0.04769251495599747
sweep2_hidden_12,sweep2,12,0.15,0.0005,20,2,64,2025-10-16T22:22:04.897489,0.11193826794624329,14,True,1.1784346103668213,1.085557222366333,0.7724215388298035,-0.0014213323593139648,0.53671875,0.8329736080938573,-0.2524605989456177,0.9216080904006958,1280.0,0.53671875,1.0,0.6985256736146417,0.5004136075661957,0.0,True,True,always_positive,0.014639983884990215,0.07972811162471771
sweep2_hidden_14,sweep2,14,0.15,0.0005,20,2,64,2025-10-16T22:24:34.184575,0.13769084215164185,12,True,1.2816402912139893,1.1320955753326416,0.8361026644706726,-0.08912444114685059,0.46328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4853420915042305,-0.9216080904006958,True,True,always_negative,0.01256234385073185,-0.28444981575012207
sweep2_hidden_16,sweep2,16,0.15,0.0005,20,2,64,2025-10-16T22:26:36.479827,0.13244730234146118,12,True,1.183201551437378,1.0877506732940674,0.7737127542495728,-0.0054721832275390625,0.52421875,0.8480382057224343,-0.18902210891246796,0.5204849243164062,586.0,0.5665529010238908,0.48326055312954874,0.5216025137470541,0.5438853582921567,-0.40112316608428955,True,False,,0.05171949416399002,0.055875517427921295
sweep2_hidden_18,sweep2,18,0.15,0.0005,20,2,64,2025-10-16T22:28:34.839091,0.14766889810562134,14,True,1.1852986812591553,1.0887142419815063,0.7786573171615601,-0.007254362106323242,0.48984375,0.5426946487199897,-0.2524597644805908,0.44951021671295166,762.0,0.5223097112860893,0.5793304221251819,0.549344375431332,0.4797332292564146,-0.47209787368774414,True,False,,0.051413122564554214,0.031985051929950714
sweep2_hidden_20,sweep2,20,0.15,0.0005,20,2,64,2025-10-16T22:30:57.877411,0.06711447238922119,12,True,1.2152724266052246,1.1023939847946167,0.7876361012458801,-0.03272569179534912,0.53671875,0.8329736080938573,-0.2524605989456177,0.9216080904006958,1280.0,0.53671875,1.0,0.6985256736146417,0.4736776217442211,0.0,True,True,always_positive,0.028828434646129608,0.2060742825269699
sweep2_hidden_8,sweep2,8,0.15,0.0005,20,2,64,2025-10-16T22:16:53.420834,0.1451360285282135,15,True,1.202223539352417,1.0964595079421997,0.7886959314346313,-0.02163684368133545,0.46328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4900734184113051,-0.9216080904006958,True,True,always_negative,0.0023296175058931112,-0.09212838113307953
