experiment,frequency,hidden_size,dropout,learning_rate,val_loss,epochs,early_stopped,sharpe,dir_acc,mse,r2,evaluated
sweep_stale_h12_drop0.15_lr3,daily,12,0.15,0.0003,0.1418820321559906,15,True,0.8329736080938573,0.53671875,1.1766971349716187,5.513429641723633e-05,True
sweep_stale_h12_drop0.15_lr5,daily,12,0.15,0.0005,0.1440202295780182,14,True,0.8329736080938573,0.53671875,1.1768913269042969,-0.00010991096496582031,True
sweep_stale_h12_drop0.20_lr3,daily,12,0.2,0.0003,0.14159934222698212,15,True,0.8329736080938573,0.53671875,1.1766760349273682,7.301568984985352e-05,True
sweep_stale_h12_drop0.20_lr5,daily,12,0.2,0.0005,0.14320912957191467,14,True,0.8329736080938573,0.53671875,1.17654287815094,0.0001862645149230957,True
sweep_stale_h12_drop0.25_lr3,daily,12,0.25,0.0003,0.14145267009735107,15,True,0.8329736080938573,0.53671875,1.176735281944275,2.2709369659423828e-05,True
sweep_stale_h12_drop0.25_lr5,daily,12,0.25,0.0005,0.14369739592075348,14,True,0.8329736080938573,0.53671875,1.1766263246536255,0.00011533498764038086,True
sweep_stale_h12_drop0.30_lr3,daily,12,0.3,0.0003,0.1421201080083847,15,True,0.8329736080938573,0.53671875,1.1770503520965576,-0.00024497509002685547,True
sweep_stale_h12_drop0.30_lr5,daily,12,0.3,0.0005,0.14374950528144836,14,True,0.8329736080938573,0.53671875,1.1768147945404053,-4.482269287109375e-05,True
sweep_stale_h12_drop0.35_lr3,daily,12,0.35,0.0003,0.14372101426124573,15,True,0.8329736080938573,0.53671875,1.1772878170013428,-0.0004469156265258789,True
sweep_stale_h12_drop0.35_lr5,daily,12,0.35,0.0005,0.14347872138023376,14,True,0.8329736080938573,0.53671875,1.177300214767456,-0.00045740604400634766,True
sweep_stale_h14_drop0.15_lr3,daily,14,0.15,0.0003,0.15414291620254517,16,True,0.8329736080938573,0.53671875,1.2059173583984375,-0.02477586269378662,True
sweep_stale_h14_drop0.15_lr5,daily,14,0.15,0.0005,0.15298813581466675,14,True,0.8329736080938573,0.53671875,1.2149574756622314,-0.03245818614959717,True
sweep_stale_h14_drop0.20_lr3,daily,14,0.2,0.0003,0.15756209194660187,16,True,0.8329736080938573,0.53671875,1.2123762369155884,-0.030264616012573242,True
sweep_stale_h14_drop0.20_lr5,daily,14,0.2,0.0005,0.16033804416656494,14,True,0.8329736080938573,0.53671875,1.2300362586975098,-0.045271873474121094,True
sweep_stale_h14_drop0.25_lr3,daily,14,0.25,0.0003,0.16073186695575714,16,True,0.8329736080938573,0.53671875,1.2176008224487305,-0.03470444679260254,True
sweep_stale_h14_drop0.25_lr5,daily,14,0.25,0.0005,0.16033899784088135,15,True,0.8329736080938573,0.53671875,1.1907330751419067,-0.011872410774230957,True
sweep_stale_h14_drop0.30_lr3,daily,14,0.3,0.0003,0.16238166391849518,16,True,0.8329736080938573,0.53671875,1.223707914352417,-0.0398942232131958,True
sweep_stale_h14_drop0.30_lr5,daily,14,0.3,0.0005,0.16061682999134064,15,True,0.8329736080938573,0.53671875,1.1919050216674805,-0.012868404388427734,True
sweep_stale_h14_drop0.35_lr3,daily,14,0.35,0.0003,0.16202527284622192,17,True,0.8329736080938573,0.53671875,1.1937013864517212,-0.014394879341125488,True
sweep_stale_h14_drop0.35_lr5,daily,14,0.35,0.0005,0.1633380949497223,15,True,0.8329736080938573,0.53671875,1.1957004070281982,-0.016093730926513672,True
sweep_stale_h16_drop0.15_lr3,daily,16,0.15,0.0003,0.12966415286064148,12,True,0.7986164022869072,0.53515625,1.1785428524017334,-0.001513361930847168,True
sweep_stale_h16_drop0.15_lr5,daily,16,0.15,0.0005,0.14635896682739258,12,True,0.8329736080938573,0.53671875,1.1784502267837524,-0.0014345645904541016,True
