experiment,frequency,hidden_size,dropout,learning_rate,val_loss,epochs,early_stopped,sharpe,dir_acc,mse,r2,evaluated
sweep_stale_h18_drop0.35_lr5,daily,18,0.35,0.0005,0.07839316129684448,11,True,0.8329736080938573,0.53671875,1.2022278308868408,-0.021640539169311523,True
sweep_stale_h20_drop0.15_lr3,daily,20,0.15,0.0003,0.16965502500534058,13,True,0.0,0.46328125,1.2095363140106201,-0.027851223945617676,True
sweep_stale_h20_drop0.15_lr5,daily,20,0.15,0.0005,0.16961118578910828,12,True,0.0,0.46328125,1.229317545890808,-0.04466116428375244,True
sweep_stale_h20_drop0.20_lr3,daily,20,0.2,0.0003,0.17012587189674377,13,True,0.0,0.46328125,1.215480089187622,-0.03290212154388428,True
sweep_stale_h20_drop0.20_lr5,daily,20,0.2,0.0005,0.1715436428785324,12,True,0.0,0.46328125,1.2407501935958862,-0.05437648296356201,True
sweep_stale_h20_drop0.25_lr3,daily,20,0.25,0.0003,0.17147625982761383,13,True,0.0,0.46328125,1.2239408493041992,-0.0400921106338501,True
sweep_stale_h20_drop0.25_lr5,daily,20,0.25,0.0005,0.17180296778678894,13,True,0.8329736080938573,0.53671875,1.1782492399215698,-0.0012638568878173828,True
sweep_stale_h20_drop0.30_lr3,daily,20,0.3,0.0003,0.1730753481388092,13,True,0.0,0.46328125,1.2334446907043457,-0.048168301582336426,True
sweep_stale_h20_drop0.30_lr5,daily,20,0.3,0.0005,0.17274141311645508,13,True,0.8329736080938573,0.53671875,1.1783668994903564,-0.0013637542724609375,True
sweep_stale_h20_drop0.35_lr3,daily,20,0.35,0.0003,0.17618012428283691,14,True,0.28823813632227707,0.46953125,1.1807286739349365,-0.0033707618713378906,True
sweep_stale_h20_drop0.35_lr5,daily,20,0.35,0.0005,0.17134356498718262,13,True,0.8329736080938573,0.53671875,1.1781939268112183,-0.001216888427734375,True
sweep_stale_h22_drop0.15_lr3,daily,22,0.15,0.0003,0.12534207105636597,13,True,0.59003305035582,0.51484375,1.178257703781128,-0.0012710094451904297,True
sweep_stale_h22_drop0.15_lr5,daily,22,0.15,0.0005,0.13299502432346344,12,True,0.7823652177406205,0.5109375,1.18015456199646,-0.0028829574584960938,True
sweep_stale_h22_drop0.20_lr3,daily,22,0.2,0.0003,0.1254817396402359,13,True,0.6585712332622806,0.5203125,1.178208351135254,-0.0012290477752685547,True
sweep_stale_h22_drop0.20_lr5,daily,22,0.2,0.0005,0.13729502260684967,12,True,0.6666445778632687,0.509375,1.1793004274368286,-0.0021570920944213867,True
sweep_stale_h22_drop0.25_lr3,daily,22,0.25,0.0003,0.12411234527826309,13,True,0.7161639575965391,0.5296875,1.178210973739624,-0.0012313127517700195,True
sweep_stale_h22_drop0.25_lr5,daily,22,0.25,0.0005,0.14469027519226074,13,True,0.5427402434627535,0.51640625,1.1785659790039062,-0.0015330314636230469,True
sweep_stale_h22_drop0.30_lr3,daily,22,0.3,0.0003,0.13205572962760925,13,True,0.7760791160913906,0.53203125,1.1783233880996704,-0.0013267993927001953,True
sweep_stale_h22_drop0.30_lr5,daily,22,0.3,0.0005,0.1428627371788025,13,True,0.6239185782531935,0.51953125,1.1782640218734741,-0.0012763738632202148,True
sweep_stale_h22_drop0.35_lr3,daily,22,0.35,0.0003,0.13287340104579926,14,True,0.8329736080938573,0.53671875,1.178240180015564,-0.001256108283996582,True
sweep_stale_h22_drop0.35_lr5,daily,22,0.35,0.0005,0.13910800218582153,13,True,0.7716639364613774,0.5296875,1.1780534982681274,-0.0010974407196044922,True
sweep_stale_monthly_h16_drop0.25,monthly,16,0.25,0.0005,2.7655229568481445,50,False,3.274471076839194,0.6274509803921569,21.184709548950195,-0.003019571304321289,True
