val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,epoch,step,train_loss_epoch,train_loss_step
3.2467589378356934,1.7046879529953003,5.0709028244018555,5.0709028244018555,0.9202869534492493,0,3,,
,,,,,0,3,3.1608777046203613,
3.245776653289795,1.7016205787658691,5.065972805023193,5.065972805023193,0.9193922281265259,1,7,,
,,,,,1,7,3.2633180618286133,
3.2444307804107666,1.6989006996154785,5.061594486236572,5.061594486236572,0.9185976386070251,2,11,,
,,,,,2,11,3.1657652854919434,
3.2401199340820312,1.6881828308105469,5.044278621673584,5.044278621673584,0.9154551029205322,3,15,,
,,,,,3,15,3.230600357055664,
3.2383265495300293,1.6834007501602173,5.036520004272461,5.036520004272461,0.9140470027923584,4,19,,
,,,,,4,19,3.1896891593933105,
3.23686146736145,1.6792932748794556,5.029839992523193,5.029839992523193,0.9128347039222717,5,23,,
,,,,,5,23,3.2309961318969727,
3.2316558361053467,1.6627522706985474,5.002787113189697,5.002787113189697,0.9079250693321228,6,27,,
,,,,,6,27,3.138833522796631,
3.2301816940307617,1.6569421291351318,4.993226528167725,4.993226528167725,0.9061899781227112,7,31,,
,,,,,7,31,3.1997716426849365,
3.2290549278259277,1.6520252227783203,4.985112190246582,4.985112190246582,0.9047173261642456,8,35,,
,,,,,8,35,3.204113721847534,
3.2236828804016113,1.6314036846160889,4.950840473175049,4.950840473175049,0.8984975814819336,9,39,,
,,,,,9,39,3.1930131912231445,
3.220945358276367,1.6257951259613037,4.9414520263671875,4.9414520263671875,0.8967937231063843,10,43,,
,,,,,10,43,3.1008708477020264,
3.2188122272491455,1.6200768947601318,4.931849956512451,4.931849956512451,0.895051121711731,11,47,,
,,,,,11,47,3.0770974159240723,
,,,,,12,49,,2.777967691421509
3.2108683586120605,1.5968103408813477,4.892466068267822,4.892466068267822,0.8879035711288452,12,51,,
,,,,,12,51,2.984252452850342,
3.208827495574951,1.5898264646530151,4.880544662475586,4.880544662475586,0.8857400417327881,13,55,,
,,,,,13,55,3.040889263153076,
3.206864833831787,1.584444522857666,4.871325969696045,4.871325969696045,0.8840669393539429,14,59,,
,,,,,14,59,3.1062018871307373,
3.1993296146392822,1.5613186359405518,4.83139705657959,4.83139705657959,0.8768205046653748,15,63,,
,,,,,15,63,2.9875264167785645,
3.195611000061035,1.5546112060546875,4.819718837738037,4.819718837738037,0.8747010827064514,16,67,,
,,,,,16,67,2.936774253845215,
3.1928627490997314,1.5484529733657837,4.808958053588867,4.808958053588867,0.8727481961250305,17,71,,
,,,,,17,71,2.967993974685669,
3.181190252304077,1.5255316495895386,4.768575191497803,4.768575191497803,0.8654193878173828,18,75,,
,,,,,18,75,2.94588565826416,
3.1762585639953613,1.5199052095413208,4.75858211517334,4.75858211517334,0.863605797290802,19,79,,
,,,,,19,79,2.910104751586914,
3.1725549697875977,1.514758825302124,4.74941349029541,4.74941349029541,0.8619418144226074,20,83,,
,,,,,20,83,2.9370479583740234,
3.1582329273223877,1.4955891370773315,4.715024471282959,4.715024471282959,0.8557007908821106,21,87,,
,,,,,21,87,2.8520896434783936,
3.156339406967163,1.4905383586883545,4.7059006690979,4.7059006690979,0.8540449738502502,22,91,,
,,,,,22,91,2.943450927734375,
3.153043270111084,1.4852142333984375,4.696254730224609,4.696254730224609,0.852294385433197,23,95,,
,,,,,23,95,2.8536288738250732,
,,,,,24,99,,2.5327301025390625
3.1395816802978516,1.4659488201141357,4.661102771759033,4.661102771759033,0.8459148406982422,24,99,,
,,,,,24,99,2.8589186668395996,
3.1353602409362793,1.4591984748840332,4.648693561553955,4.648693561553955,0.8436627984046936,25,103,,
,,,,,25,103,2.743048667907715,
3.1307690143585205,1.45402991771698,4.639159202575684,4.639159202575684,0.841932475566864,26,107,,
,,,,,26,107,2.7712619304656982,
3.1122946739196777,1.4347267150878906,4.603297233581543,4.603297233581543,0.8354240655899048,27,111,,
,,,,,27,111,2.8111889362335205,
3.105478048324585,1.4325181245803833,4.599168300628662,4.599168300628662,0.8346747756004333,28,115,,
,,,,,28,115,2.8067867755889893,
3.0995311737060547,1.429235816001892,4.593022346496582,4.593022346496582,0.8335593342781067,29,119,,
,,,,,29,119,2.7505064010620117,
3.0748724937438965,1.4149062633514404,4.566052436828613,4.566052436828613,0.8286647796630859,30,123,,
,,,,,30,123,2.7091286182403564,
3.0660200119018555,1.4124773740768433,4.561458587646484,4.561458587646484,0.8278310298919678,31,127,,
,,,,,31,127,2.731316089630127,
3.058124303817749,1.4086040258407593,4.554119110107422,4.554119110107422,0.8264990448951721,32,131,,
,,,,,32,131,2.717589855194092,
3.029499053955078,1.393316626548767,4.524988174438477,4.524988174438477,0.8212122321128845,33,135,,
,,,,,33,135,2.72025203704834,
3.0198750495910645,1.392582654953003,4.523582935333252,4.523582935333252,0.8209572434425354,34,139,,
,,,,,34,139,2.601367473602295,
3.013066291809082,1.3885284662246704,4.515810012817383,4.515810012817383,0.8195465803146362,35,143,,
,,,,,35,143,2.6512138843536377,
2.9847605228424072,1.3728421926498413,4.485559463500977,4.485559463500977,0.8140565752983093,36,147,,
,,,,,36,147,2.643681764602661,
,,,,,37,149,,1.9243972301483154
2.9784224033355713,1.370679259300232,4.481366157531738,4.481366157531738,0.8132955431938171,37,151,,
,,,,,37,151,2.5738584995269775,
2.969531297683716,1.3681788444519043,4.4765119552612305,4.4765119552612305,0.8124145865440369,38,155,,
,,,,,38,155,2.5667850971221924,
2.9377949237823486,1.3568729162216187,4.454472541809082,4.454472541809082,0.8084148168563843,39,159,,
,,,,,39,159,2.544729709625244,
2.9284043312072754,1.3541697263717651,4.449181079864502,4.449181079864502,0.8074544668197632,40,163,,
,,,,,40,163,2.506465435028076,
2.9198310375213623,1.3503808975219727,4.4417500495910645,4.4417500495910645,0.8061058521270752,41,167,,
,,,,,41,167,2.600295066833496,
2.8847150802612305,1.3437155485153198,4.42863655090332,4.42863655090332,0.8037260174751282,42,171,,
,,,,,42,171,2.457880973815918,
2.8771402835845947,1.343165636062622,4.427552223205566,4.427552223205566,0.8035292029380798,43,175,,
,,,,,43,175,2.470762014389038,
2.8656134605407715,1.3411277532577515,4.4235310554504395,4.4235310554504395,0.80279940366745,44,179,,
,,,,,44,179,2.483539581298828,
2.8298258781433105,1.3366365432739258,4.414651870727539,4.414651870727539,0.8011879920959473,45,183,,
,,,,,45,183,2.476349353790283,
2.8202476501464844,1.33648681640625,4.414355278015137,4.414355278015137,0.8011341691017151,46,187,,
,,,,,46,187,2.443241834640503,
2.8096790313720703,1.3355073928833008,4.412415504455566,4.412415504455566,0.8007821440696716,47,191,,
,,,,,47,191,2.433154582977295,
2.7755398750305176,1.3334708213806152,4.408378601074219,4.408378601074219,0.8000494837760925,48,195,,
,,,,,48,195,2.4181346893310547,
,,,,,49,199,,2.3084278106689453
2.7655229568481445,1.333031177520752,4.407506465911865,4.407506465911865,0.7998912334442139,49,199,,
,,,,,49,199,2.3831734657287598,
